id,type,logic
RASGRF1,gene,
RASGRF2,gene,
fu:ea3af571,functional_unit,OR
DUSP10,gene,
DUSP1,gene,
DUSP2,gene,
DUSP4,gene,
DUSP5,gene,
DUSP6,gene,
DUSP7,gene,
DUSP8,gene,
DUSP9,gene,
DUSP16,gene,
fu:bd9bd64d,functional_unit,OR
DUSP3,gene,
PTPN7,gene,
PTPRR,gene,
PTPN5,gene,
fu:645ada17,functional_unit,OR
PPM1B,gene,
fu:3c67a02d,functional_unit,SINGLE
FASLG,gene,
fu:d4ebbf2b,functional_unit,SINGLE
MAP4K4,gene,
fu:f0d46f11,functional_unit,SINGLE
PLA2G4B,gene,
PLA2G4E,gene,
PLA2G4F,gene,
PLA2G4D,gene,
PLA2G4A,gene,
PLA2G4C,gene,
JMJD7-PLA2G4B,gene,
fu:0c2b138c,functional_unit,OR
STMN1,gene,
fu:e661480b,functional_unit,SINGLE
MAPT,gene,
fu:7e702847,functional_unit,SINGLE
NFKB1,gene,
NFKB2,gene,
RELA,gene,
RELB,gene,
fu:3c93b301,functional_unit,OR
CHUK,gene,
IKBKB,gene,
IKBKG,gene,
fu:523a744b,functional_unit,OR
MAP3K14,gene,
fu:b9ec221f,functional_unit,SINGLE
MAPK1,gene,
MAPK3,gene,
fu:7c6d4d4a,functional_unit,OR
LAMTOR3,gene,
fu:93eeec94,functional_unit,SINGLE
MAP2K2,gene,
fu:4781eb07,functional_unit,SINGLE
MAP2K1,gene,
fu:ee804b17,functional_unit,SINGLE
RAF1,gene,
fu:5324c493,functional_unit,SINGLE
BRAF,gene,
fu:7cec7b64,functional_unit,SINGLE
RASA1,gene,
fu:30ad397b,functional_unit,SINGLE
NF1,gene,
fu:3968d652,functional_unit,SINGLE
PRKCA,gene,
PRKCB,gene,
PRKCG,gene,
fu:6fc31f40,functional_unit,OR
RAP1A,gene,
RAP1B,gene,
fu:5264ac6f,functional_unit,OR
PRKACA,gene,
PRKACB,gene,
PRKACG,gene,
fu:0ddd2c17,functional_unit,OR
RAPGEF2,gene,
fu:cbc27d79,functional_unit,SINGLE
RASA2,gene,
fu:7d8d1672,functional_unit,SINGLE
RRAS2,gene,
MRAS,gene,
HRAS,gene,
KRAS,gene,
NRAS,gene,
RRAS,gene,
fu:cb603216,functional_unit,OR
RASGRP1,gene,
RASGRP2,gene,
RASGRP4,gene,
RASGRP3,gene,
fu:a6602c7f,functional_unit,OR
SOS1,gene,
SOS2,gene,
fu:9bd0df30,functional_unit,OR
GNA12,gene,
GNG12,gene,
fu:c3d880e8,functional_unit,OR
GRB2,gene,
fu:0d65318d,functional_unit,SINGLE
CSF1R,gene,
EGFR,gene,
EPHA2,gene,
ERBB2,gene,
ERBB3,gene,
ERBB4,gene,
FGFR1,gene,
FGFR3,gene,
FGFR2,gene,
FGFR4,gene,
FLT1,gene,
FLT3,gene,
FLT4,gene,
IGF1R,gene,
INSR,gene,
KDR,gene,
KIT,gene,
MET,gene,
NGFR,gene,
NTRK1,gene,
NTRK2,gene,
PDGFRA,gene,
PDGFRB,gene,
RET,gene,
TEK,gene,
fu:727cb396,functional_unit,OR
CACNG3,gene,
CACNG2,gene,
CACNG5,gene,
CACNG4,gene,
CACNA2D3,gene,
CACNG8,gene,
CACNG7,gene,
CACNG6,gene,
CACNA1A,gene,
CACNA1B,gene,
