source,target,type,subtype
ATF4,fu:7bca3a7b,gene_to_fu,
MEF2C,fu:f101a6f1,gene_to_fu,
MAX,fu:45df5340,gene_to_fu,
DDIT3,fu:dda08e08,gene_to_fu,
ELK4,fu:0a37beb9,gene_to_fu,
TP53,fu:31725aa3,gene_to_fu,
ELK1,fu:5fde3828,gene_to_fu,
ATF2,fu:bfc9ae48,gene_to_fu,
MAPK14,fu:5800992d,gene_to_fu,
MAPK11,fu:5800992d,gene_to_fu,
MAPK13,fu:5800992d,gene_to_fu,
MAPK12,fu:5800992d,gene_to_fu,
PPP5C,fu:306b6021,gene_to_fu,
MAP2K6,fu:5e60e9dc,gene_to_fu,
MAP2K3,fu:416a5afd,gene_to_fu,
DUSP10,fu:da3df1ca,gene_to_fu,
DUSP2,fu:da3df1ca,gene_to_fu,
DUSP4,fu:da3df1ca,gene_to_fu,
DUSP5,fu:da3df1ca,gene_to_fu,
DUSP7,fu:da3df1ca,gene_to_fu,
DUSP8,fu:da3df1ca,gene_to_fu,
DUSP9,fu:da3df1ca,gene_to_fu,
DUSP16,fu:da3df1ca,gene_to_fu,
DUSP3,fu:7da6eba5,gene_to_fu,
PTPN7,fu:7da6eba5,gene_to_fu,
PTPRR,fu:7da6eba5,gene_to_fu,
PTPN5,fu:7da6eba5,gene_to_fu,
PPM1A,fu:5dc42453,gene_to_fu,
AKT3,fu:41203a8a,gene_to_fu,
AKT1,fu:41203a8a,gene_to_fu,
AKT2,fu:41203a8a,gene_to_fu,
TAOK3,fu:0c8f7154,gene_to_fu,
TAOK1,fu:0c8f7154,gene_to_fu,
TAOK2,fu:0c8f7154,gene_to_fu,
MAP3K4,fu:8cf03d63,gene_to_fu,
HSPB1,fu:6953fac9,gene_to_fu,
MAP3K7,fu:cabad419,gene_to_fu,
MAP3K5,fu:aacf07bb,gene_to_fu,
MAP3K6,fu:e9c5128e,gene_to_fu,
MAP3K20,fu:8ce177b4,gene_to_fu,
MAP3K12,fu:1ee1c600,gene_to_fu,
MAP3K13,fu:1ee1c600,gene_to_fu,
MAP3K9,fu:e7b77b07,gene_to_fu,
MAP3K10,fu:e7b77b07,gene_to_fu,
MAP3K21,fu:e7b77b07,gene_to_fu,
MAP4K2,fu:b8f9f795,gene_to_fu,
STK3,fu:b9db94ef,gene_to_fu,
STK4,fu:b9db94ef,gene_to_fu,
ECSIT,fu:3285e573,gene_to_fu,
TAB2,fu:545ebf7d,gene_to_fu,
TAB1,fu:d7d24a4c,gene_to_fu,
GADD45G,fu:41822415,gene_to_fu,
GADD45A,fu:41822415,gene_to_fu,
GADD45B,fu:41822415,gene_to_fu,
TRAF6,fu:4d346bcc,gene_to_fu,
DAXX,fu:02465256,gene_to_fu,
TRAF2,fu:af1b2d2f,gene_to_fu,
CASP3,fu:eda4acea,gene_to_fu,
CD14,fu:cec976f1,gene_to_fu,
TGFBR1,fu:e1dd59a5,gene_to_fu,
TGFBR2,fu:e1dd59a5,gene_to_fu,
FAS,fu:12950895,gene_to_fu,
IL1R1,fu:9274968e,gene_to_fu,
IL1RAP,fu:9274968e,gene_to_fu,
TNFRSF1A,fu:cb1c88d1,gene_to_fu,
TGFB1,fu:619d8916,gene_to_fu,
TGFB2,fu:619d8916,gene_to_fu,
TGFB3,fu:619d8916,gene_to_fu,
IL1A,fu:5b3ce1d9,gene_to_fu,
IL1B,fu:5b3ce1d9,gene_to_fu,
TNF,fu:93677f06,gene_to_fu,
MAPKAPK5,fu:9ac97dd2,gene_to_fu,
RAC1,fu:e2794b69,gene_to_fu,
RAC2,fu:e2794b69,gene_to_fu,
RAC3,fu:e2794b69,gene_to_fu,
CDC42,fu:e2794b69,gene_to_fu,
PAK1,fu:9a263ecd,gene_to_fu,
PAK2,fu:9a263ecd,gene_to_fu,
MAP3K2,fu:6dc0c7f6,gene_to_fu,
MAP3K3,fu:6dc0c7f6,gene_to_fu,
MAPK8IP2,fu:92589075,gene_to_fu,
MAPK8IP1,fu:92589075,gene_to_fu,
MAP3K11,fu:28d07664,gene_to_fu,
MAP2K7,fu:66672553,gene_to_fu,
MAPK8,fu:fefb3eac,gene_to_fu,
MAPK9,fu:fefb3eac,gene_to_fu,
MAPK10,fu:fefb3eac,gene_to_fu,
MAP2K4,fu:d7921de4,gene_to_fu,
CRK,fu:5d3f8d6d,gene_to_fu,
CRKL,fu:5d3f8d6d,gene_to_fu,
ARRB1,fu:05519816,gene_to_fu,
ARRB2,fu:05519816,gene_to_fu,
MECOM,fu:6a22a160,gene_to_fu,
HSPA1A,fu:5fff24cf,gene_to_fu,
HSPA1B,fu:5fff24cf,gene_to_fu,
HSPA1L,fu:5fff24cf,gene_to_fu,
HSPA6,fu:5fff24cf,gene_to_fu,
HSPA8,fu:5fff24cf,gene_to_fu,
JUND,fu:f5686479,gene_to_fu,
FOS,fu:1b813b45,gene_to_fu,
JUN,fu:1b813b45,gene_to_fu,
NFATC3,fu:55bfa81d,gene_to_fu,
NFATC1,fu:73b76124,gene_to_fu,
PPP3CA,fu:ff2e7a0f,gene_to_fu,
PPP3CB,fu:ff2e7a0f,gene_to_fu,
PPP3CC,fu:ff2e7a0f,gene_to_fu,
PPP3R1,fu:ff2e7a0f,gene_to_fu,
PPP3R2,fu:ff2e7a0f,gene_to_fu,
MAPK8IP3,fu:be5424aa,gene_to_fu,
FLNA,fu:d00c086a,gene_to_fu,
MAP3K1,fu:210acb65,gene_to_fu,
MAP3K8,fu:eadbb23d,gene_to_fu,
MAP4K1,fu:c7fdd986,gene_to_fu,
MAP4K3,fu:d0d79cd1,gene_to_fu,
FOS,fu:5926e68e,gene_to_fu,
SRF,fu:dc542d4d,gene_to_fu,
MYC,fu:fc6a389a,gene_to_fu,
ELK4,fu:f449b983,gene_to_fu,
ELK1,fu:7b593a5c,gene_to_fu,
ATF4,fu:f64183b7,gene_to_fu,
RPS6KA6,fu:99084968,gene_to_fu,
RPS6KA1,fu:99084968,gene_to_fu,
RPS6KA2,fu:99084968,gene_to_fu,
RPS6KA3,fu:99084968,gene_to_fu,
MKNK2,fu:642e62d6,gene_to_fu,
MKNK1,fu:642e62d6,gene_to_fu,
EFNA4-EFNA3,fu:0d329cca,gene_to_fu,
CSF1,fu:0d329cca,gene_to_fu,
EFNA1,fu:0d329cca,gene_to_fu,
EFNA2,fu:0d329cca,gene_to_fu,
EFNA3,fu:0d329cca,gene_to_fu,
EFNA4,fu:0d329cca,gene_to_fu,
EFNA5,fu:0d329cca,gene_to_fu,
EGF,fu:0d329cca,gene_to_fu,
EREG,fu:0d329cca,gene_to_fu,
FGF1,fu:0d329cca,gene_to_fu,
FGF2,fu:0d329cca,gene_to_fu,
FGF3,fu:0d329cca,gene_to_fu,
FGF4,fu:0d329cca,gene_to_fu,
FGF5,fu:0d329cca,gene_to_fu,
FGF6,fu:0d329cca,gene_to_fu,
FGF7,fu:0d329cca,gene_to_fu,
FGF8,fu:0d329cca,gene_to_fu,
FGF9,fu:0d329cca,gene_to_fu,
FGF10,fu:0d329cca,gene_to_fu,
VEGFD,fu:0d329cca,gene_to_fu,
FLT3LG,fu:0d329cca,gene_to_fu,
FGF20,fu:0d329cca,gene_to_fu,
FGF21,fu:0d329cca,gene_to_fu,
GDNF,fu:0d329cca,gene_to_fu,
FGF22,fu:0d329cca,gene_to_fu,
ANGPT1,fu:0d329cca,gene_to_fu,
ANGPT2,fu:0d329cca,gene_to_fu,
HGF,fu:0d329cca,gene_to_fu,
IGF1,fu:0d329cca,gene_to_fu,
IGF2,fu:0d329cca,gene_to_fu,
INS,fu:0d329cca,gene_to_fu,
AREG,fu:0d329cca,gene_to_fu,
KITLG,fu:0d329cca,gene_to_fu,
NGF,fu:0d329cca,gene_to_fu,
NRTN,fu:0d329cca,gene_to_fu,
NTF3,fu:0d329cca,gene_to_fu,
NTF4,fu:0d329cca,gene_to_fu,
ANGPT4,fu:0d329cca,gene_to_fu,
PDGFA,fu:0d329cca,gene_to_fu,
PDGFB,fu:0d329cca,gene_to_fu,
PGF,fu:0d329cca,gene_to_fu,
PDGFC,fu:0d329cca,gene_to_fu,
PSPN,fu:0d329cca,gene_to_fu,
BDNF,fu:0d329cca,gene_to_fu,
TGFA,fu:0d329cca,gene_to_fu,
VEGFA,fu:0d329cca,gene_to_fu,
VEGFB,fu:0d329cca,gene_to_fu,
VEGFC,fu:0d329cca,gene_to_fu,
PDGFD,fu:0d329cca,gene_to_fu,
FGF23,fu:0d329cca,gene_to_fu,
FGF18,fu:0d329cca,gene_to_fu,
FGF17,fu:0d329cca,gene_to_fu,
FGF16,fu:0d329cca,gene_to_fu,
ARTN,fu:0d329cca,gene_to_fu,
FGF19,fu:0d329cca,gene_to_fu,
TRADD,fu:fd78464d,gene_to_fu,
MYD88,fu:c2e0c4ae,gene_to_fu,
IRAK1,fu:622bda7f,gene_to_fu,
IRAK4,fu:622bda7f,gene_to_fu,
ARAF,fu:d0ad993a,gene_to_fu,
MAX,fu:0b389115,gene_to_fu,
MYC,fu:8f8c2fbf,gene_to_fu,
MAX,fu:8f8c2fbf,gene_to_fu,
