Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
27436,EML4,0.406185,2.34e-08,3.05688
10633,RASL10A,0.0135073,2.89e-08,-3.31561
85004,RERG,0.0774916,2.92e-08,3.26244
100293534,C4B_2,0.00441443,2.93e-08,3.2521
84870,RSPO3,0.509934,3.02e-08,-4.17817
2273,FHL1,0.1024,3.08e-08,-3.0081
1359,CPA3,0.00706489,3.17e-08,4.67913
5580,PRKCD,0.088073,3.41e-08,3.09154
9687,GREB1,0.357546,3.41e-08,3.73933
4154,MBNL1,0.108403,3.49e-08,3.15673
57678,GPAM,0.0259205,3.55e-08,-3.48655
58489,ABHD17C,0.00502031,3.68e-08,3.03854
11240,PADI2,0.103024,3.7e-08,-3.43625
8349,HIST2H2BE,,4.05e-08,4.03657
2568,GABRP,0.107556,4.42e-08,-5.61396
100132417,FCGR1CP,0.0114147,4.58e-08,3.06927
2949,GSTM5,0.0131168,4.9e-08,-3.64912
8470,SORBS2,0.0253501,5.14e-08,-3.33615
100507098,ADAMTS9-AS2,0.02325,5.39e-08,-3.05098
5996,RGS1,0.0254985,5.55e-08,4.05191
100533105,C8orf44-SGK3,0.00478401,5.7e-08,3.33175
8970,HIST1H2BJ,,5.7e-08,5.19869
79838,TMC5,0.0343845,5.92e-08,4.04316
5105,PCK1,0.0297788,6.19e-08,-3.46678
6845,VAMP7,0.0377858,6.34e-08,3.03715
11254,SLC6A14,0.0885813,6.46e-08,-3.59213
64921,CASD1,0.152406,6.79e-08,3.22075
9509,ADAMTS2,0.00940375,7.13e-08,3.03716
2001,ELF5,0.123347,7.25e-08,-5.68175
1365,CLDN3,0.0908926,7.48e-08,4.01397
133,ADM,0.0797743,7.59e-08,-3.22347
10370,CITED2,0.0917184,7.7e-08,3.48833
8671,SLC4A4,0.0327642,7.84e-08,-3.30641
7074,TIAM1,0.106016,8.18e-08,3.10916
5054,SERPINE1,0.123933,8.19e-08,3.55658
100133941,CD24,0.119406,9.55e-08,3.27811
6696,SPP1,0.123673,9.8e-08,3.95794
10562,OLFM4,0.0835957,1.01e-07,-3.28192
5570,PKIB,0.0214974,1.01e-07,4.20263
2099,ESR1,0.875615,1.06e-07,3.53378
51203,NUSAP1,0.0960077,1.08e-07,3.26868
10551,AGR2,0.113894,1.1e-07,3.24912
91851,CHRDL1,0.0397191,1.16e-07,-5.22298
716,C1S,0.0303103,1.17e-07,4.94174
3017,HIST1H2BD,,1.19e-07,3.90987
221091,LRRN4CL,0.0183756,1.25e-07,-3.80101
8507,ENC1,0.0978157,1.38e-07,3.02541
114818,KLHL29,0.0829571,1.51e-07,-3.22191
8345,HIST1H2BH,,1.68e-07,3.37635
57535,KIAA1324,,1.72e-07,3.05269
161835,FSIP1,0.100876,1.91e-07,4.69815
6351,CCL4,0.0760704,1.95e-07,3.05852
22834,ZNF652,0.0559742,2.34e-07,3.90467
84649,DGAT2,0.0218173,2.36e-07,-4.25745
56172,ANKH,0.0102328,2.41e-07,3.00075
6590,SLPI,0.0974702,2.41e-07,-3.72937
19,ABCA1,0.280426,2.49e-07,3.09874
5764,PTN,0.120785,2.64e-07,-3.651
5552,SRGN,0.114054,2.75e-07,3.65203
7078,TIMP3,0.259699,3.02e-07,3.98799
11057,ABHD2,0.0183661,3.04e-07,3.20864
629,CFB,0.0217584,3.14e-07,3.0345
6228,RPS23,0.370542,3.2e-07,3.06053
10884,MRPS30,0.415046,3.55e-07,3.76477
3202,HOXA5,0.110008,3.68e-07,-4.09832
26585,GREM1,0.115046,3.82e-07,3.73311
100509457,LOC100509457,,3.85e-07,3.73762
101060835,LOC101060835,,4.01e-07,3.06749
84417,C2orf40,,4.01e-07,-5.2183
1968,EIF2S3,0.0238832,4.21e-07,3.54773
3040,HBA2,0.261953,4.29e-07,-3.76876
152831,KLB,0.0288667,4.38e-07,-3.17399
28996,HIPK2,0.0277772,4.57e-07,3.3126
1984,EIF5A,0.031604,4.6e-07,5.03808
5366,PMAIP1,0.108128,4.61e-07,3.37425
4915,NTRK2,0.579672,4.8e-07,-4.4104
64102,TNMD,0.0162869,4.98e-07,-3.03479
2327,FMO2,0.0376682,5.04e-07,-3.6802
54102,CLIC6,0.28899,5.04e-07,5.92183
150094,SIK1,0.0375693,5.43e-07,3.63004
100507472,LOC100507472,,5.47e-07,3.13079
65055,REEP1,0.00223707,6.03e-07,3.79196
56477,CCL28,0.0935209,6.08e-07,-4.35875
84620,ST6GAL2,0.0839756,6.33e-07,3.35582
1490,CTGF,,6.69e-07,3.55391
3627,CXCL10,0.119213,6.85e-07,4.69862
51339,DACT1,0.0774868,6.88e-07,3.15114
79901,CYBRD1,0.480972,7.03e-07,3.17316
3866,KRT15,0.0906381,7.42e-07,-4.71224
3852,KRT5,0.128437,8.36e-07,-4.31136
3491,CYR61,,8.9e-07,3.77566
9120,SLC16A6,0.0220054,9.1e-07,3.6798
9073,CLDN8,0.104802,1.03e-06,-3.79384
100653057,LOC100653057,,1.03e-06,-3.86793
2353,FOS,0.119372,1.11e-06,4.92071
2289,FKBP5,0.0933882,1.18e-06,3.02781
8644,AKR1C3,0.0384937,1.36e-06,-3.19622
2261,FGFR3,0.461127,1.55e-06,3.77168
1149,CIDEA,0.0163509,1.62e-06,-3.33366
5396,PRRX1,0.302186,1.66e-06,3.05951
827,CAPN6,0.0464578,1.82e-06,-3.10243
3043,HBB,0.272954,2.06e-06,-3.33638
8344,HIST1H2BE,,2.06e-06,3.01125
3872,KRT17,0.114222,2.1e-06,-3.14704
7802,DNALI1,0.0238317,2.36e-06,3.16035
6241,RRM2,0.138103,2.47e-06,3.42856
658,BMPR1B,0.0974925,2.58e-06,5.89686
2674,GFRA1,0.0699816,2.81e-06,4.40429
85329,LGALS12,0.0111384,3.2e-06,-3.078
1734,DIO2,0.018241,3.76e-06,3.90317
59084,ENPP5,0.0434024,4.13e-06,3.33323
10486,CAP2,0.025517,4.15e-06,3.06919
80000,GREB1L,0.0320919,4.3e-06,3.17552
6505,SLC1A1,0.00942137,5.24e-06,4.45859
2215,FCGR3B,0.0540492,5.34e-06,3.56399
139221,MUM1L1,,5.77e-06,3.3257
3664,IRF6,0.0911811,5.91e-06,3.03864
116844,LRG1,0.0768699,6.02e-06,3.10567
4938,OAS1,0.0960273,6.67e-06,3.301
8490,RGS5,0.0405357,7.52e-06,3.18481
23362,PSD3,0.247307,8.45e-06,4.24679
4128,MAOA,0.0859772,9.25e-06,-3.76361
4314,MMP3,0.28588,9.81e-06,3.59576
2690,GHR,0.105723,1.05e-05,-3.19771
8483,CILP,0.0795008,1.26e-05,4.09753
399,RHOH,0.512931,1.27e-05,3.33203
121506,ERP27,0.0118517,1.38e-05,3.98404
3861,KRT14,0.124285,1.55e-05,-4.58054
10351,ABCA8,0.0342073,1.89e-05,-3.6771
91074,ANKRD30A,0.161774,2.08e-05,4.72931
1475,CSTA,0.0245112,2.2e-05,-3.12923
540,ATP7B,0.0907682,2.6e-05,3.09395
64078,SLC28A3,0.0375107,2.61e-05,-3.37906
84152,PPP1R1B,0.108889,3.34e-05,-3.53982
57758,SCUBE2,0.0948468,3.91e-05,3.25972
348249,CCL15-CCL14,,4.05e-05,-3.20854
574412,MIR452,,5.13e-05,-3.34481
57452,GALNT16,0.0782926,5.13e-05,-3.77907
8842,PROM1,0.121234,6.32e-05,-4.19754
6286,S100P,0.11135,6.54e-05,3.82086
4283,CXCL9,0.115625,7.93e-05,4.0775
23002,DAAM1,0.0876222,8.96e-05,3.34569
163720,CYP4Z2P,0.0146326,9.74e-05,3.79177
8788,DLK1,0.0779962,9.86e-05,-4.40571
7069,THRSP,0.0852543,9.95e-05,-4.27926
83481,EPPK1,0.0593183,0.000103,3.12531
3507,IGHM,0.0364298,0.000103,3.41777
23704,KCNE4,0.0098844,0.000118,4.20682
5241,PGR,0.411686,0.000175,3.24504
118430,MUCL1,0.0934331,0.000634,-4.94536
285386,TPRG1,0.0108384,0.000728,3.21005
221662,RBM24,0.0851299,0.000893,3.64399
5979,RET,0.598481,0.000995,3.29219
