Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
10959,TMED2,0.097194,1.25e-13,5.19734
6240,RRM1,0.594822,1.31e-13,3.20243
286827,TRIM59,0.0940829,1.35e-13,3.45644
100500810,MIR3620,,1.35e-13,5.60166
8908,GYG2,0.0156764,1.37e-13,-5.18333
56889,TM9SF3,0.0112634,1.42e-13,3.23411
51164,DCTN4,0.11123,1.42e-13,3.77945
644596,SMIM10L2B,0.00753909,1.43e-13,-3.69782
5868,RAB5A,0.104324,1.43e-13,4.11012
23671,TMEFF2,0.0209593,1.51e-13,-3.85534
199692,ZNF627,0.00335452,1.61e-13,3.26424
55959,SULF2,0.111249,1.66e-13,4.74312
10097,ACTR2,0.0383319,1.67e-13,3.35685
10466,COG5,0.00194334,1.67e-13,3.10758
10631,POSTN,0.114671,1.7e-13,5.76817
54829,ASPN,0.0797407,1.7e-13,7.47693
54965,PIGX,0.0660362,1.81e-13,3.45976
100288332,NPIPA5,,1.81e-13,3.61688
51008,ASCC1,0.0355897,2.02e-13,3.52596
5279,PIGC,0.212112,2.1e-13,3.50421
57580,PREX1,0.101001,2.14e-13,3.48757
988,CDC5L,0.0332631,2.18e-13,-3.54799
10055,SAE1,0.0958109,2.21e-13,3.64481
115908,CTHRC1,0.120188,2.21e-13,4.93034
26996,GPR160,0.0168372,2.41e-13,4.98041
2191,FAP,0.121286,2.54e-13,4.94137
10451,VAV3,0.0882837,2.61e-13,4.97179
60684,TRAPPC11,,2.62e-13,3.23818
25800,SLC39A6,0.113975,2.69e-13,6.28328
25836,NIPBL,0.0696053,2.77e-13,3.12404
23471,TRAM1,0.0321249,2.78e-13,4.15737
6663,SOX10,0.120786,2.89e-13,-5.1775
10048,RANBP9,0.485035,2.95e-13,4.01746
29028,ATAD2,0.0922095,3.11e-13,4.10523
9620,CELSR1,0.0097866,3.21e-13,4.06412
84640,USP38,0.00825539,3.55e-13,3.22955
222171,PRR15,0.0909237,3.65e-13,3.80473
776,CACNA1D,0.573775,3.82e-13,4.9632
11116,FGFR1OP,,3.89e-13,3.08247
10772,SRSF10,0.01218,3.99e-13,3.51991
5594,MAPK1,0.541966,4.23e-13,3.07731
1301,COL11A1,0.121424,4.29e-13,7.94893
10189,ALYREF,0.0986211,4.52e-13,4.41989
5286,PIK3C2A,0.0791042,4.68e-13,4.02415
2819,GPD1,0.102337,4.82e-13,-5.61331
90293,KLHL13,0.0370094,4.91e-13,-5.54294
100616459,MIR4745,,4.91e-13,3.32019
9555,H2AFY,,4.97e-13,3.82774
9439,MED23,0.333161,5.07e-13,3.36698
6330,SCN4B,0.0482462,5.13e-13,-4.09408
5527,PPP2R5C,0.0168877,5.28e-13,3.19383
23325,KIAA1033,,5.28e-13,3.36016
633,BGN,0.109261,5.38e-13,4.75435
3716,JAK1,0.56724,5.47e-13,4.8515
5021,OXTR,0.1061,5.65e-13,-5.75625
6328,SCN3A,0.395544,5.67e-13,-3.26362
51573,GDE1,,5.67e-13,5.0615
9128,PRPF4,0.0310544,5.67e-13,4.3737
84624,FNDC1,0.0869086,5.84e-13,5.11715
22919,MAPRE1,0.309483,5.84e-13,3.60727
4860,PNP,0.0158742,6.3e-13,3.63276
10489,LRRC41,0.459289,6.62e-13,3.14811
126,ADH1C,0.0394968,6.64e-13,-3.26152
375033,PEAR1,0.0802762,6.88e-13,-3.13894
79016,DDA1,0.0370011,7.95e-13,3.24693
54997,TESC,0.0530878,8.34e-13,-3.77896
1278,COL1A2,0.0445779,8.6e-13,3.30705
7057,THBS1,0.110443,8.67e-13,3.9229
6428,SRSF3,0.389414,8.73e-13,3.41693
286495,TTC3P1,,9.58e-13,4.22377
6478,SIAH2,0.520162,9.89e-13,4.18658
378938,MALAT1,0.131682,1e-12,5.98235
2956,MSH6,0.670662,1.02e-12,3.7224
4646,MYO6,0.0690008,1.06e-12,4.50532
7534,YWHAZ,0.0900063,1.09e-12,4.63123
81671,VMP1,0.0524406,1.15e-12,5.6982
55791,LRIF1,,1.16e-12,3.08875
1311,COMP,0.112388,1.19e-12,6.77976
1290,COL5A2,0.0678805,1.2e-12,3.76364
762,CA4,0.0509165,1.21e-12,-4.51964
5504,PPP1R2,0.00776118,1.22e-12,3.33742
29927,SEC61A1,0.031209,1.23e-12,4.45553
80760,ITIH5,0.100955,1.37e-12,-4.72582
23528,ZNF281,0.0522901,1.43e-12,3.26925
821,CANX,0.0211789,1.58e-12,3.03921
4023,LPL,0.05267,1.58e-12,-5.28472
23118,TAB2,0.421705,1.59e-12,3.25003
2706,GJB2,0.107405,1.6e-12,6.17255
80218,NAA50,0.0262673,1.63e-12,3.29174
101929368,LOC101929368,,1.63e-12,3.4917
5305,PIP4K2A,0.418008,1.72e-12,4.72695
4853,NOTCH2,0.706706,1.73e-12,3.33187
146894,CD300LG,0.0561863,1.74e-12,-5.74976
9474,ATG5,0.0737736,1.76e-12,3.53477
389432,SAMD5,0.0926551,1.82e-12,-3.69921
8780,RIOK3,0.00587221,1.96e-12,3.08153
10808,HSPH1,0.0196659,2.24e-12,3.2765
219988,PATL1,,2.47e-12,3.32376
100526693,ARPC4-TTLL3,,2.48e-12,3.96046
26060,APPL1,0.0191064,2.67e-12,3.51966
4077,NBR1,0.103944,2.77e-12,3.06204
4170,MCL1,0.117802,2.93e-12,3.23065
724102,SNHG4,0.04398,2.96e-12,4.0659
3185,HNRNPF,0.100983,3.02e-12,3.07812
10434,LYPLA1,0.0127452,3.17e-12,3.63057
5966,REL,0.428053,3.33e-12,3.36626
79269,DCAF10,,3.34e-12,3.82578
10576,CCT2,0.0992708,3.35e-12,3.99507
7803,PTP4A1,0.0185114,3.37e-12,4.20807
4616,GADD45B,0.0522449,3.48e-12,4.38652
1508,CTSB,0.104618,3.5e-12,3.56704
10945,KDELR1,,3.51e-12,4.06271
10105,PPIF,0.0848359,4.16e-12,4.14382
286753,TUSC5,,4.24e-12,-4.77654
5910,RAP1GDS1,0.537921,4.24e-12,3.67342
8879,SGPL1,0.0559011,4.28e-12,3.09834
10159,ATP6AP2,0.102959,4.33e-12,3.6433
26118,WSB1,0.0815362,4.43e-12,3.57705
23473,CAPN7,,4.51e-12,3.27598
11170,FAM107A,0.0422057,4.57e-12,-3.73017
6713,SQLE,0.0316818,4.74e-12,3.43629
4582,MUC1,0.378287,4.93e-12,4.17222
