#node1,node2,node1_string_id,node2_string_id,combined_score
CALD1,MAPK1,9606.ENSP00000354826,9606.ENSP00000215832,0.95
CALD1,COL1A1,9606.ENSP00000354826,9606.ENSP00000225964,0.412
CALD1,KRT5,9606.ENSP00000354826,9606.ENSP00000252242,0.416
CALD1,COL1A2,9606.ENSP00000354826,9606.ENSP00000297268,0.443
CALD1,FN1,9606.ENSP00000354826,9606.ENSP00000346839,0.47
CALD1,SOX10,9606.ENSP00000354826,9606.ENSP00000380093,0.478
CALD1,ESR1,9606.ENSP00000354826,9606.ENSP00000405330,0.512
CALD1,COL5A2,9606.ENSP00000354826,9606.ENSP00000364000,0.654
CALD1,TPM4,9606.ENSP00000354826,9606.ENSP00000494125,0.688
CALD1,LMOD1,9606.ENSP00000354826,9606.ENSP00000356257,0.894
CALU,CANX,9606.ENSP00000438248,9606.ENSP00000247461,0.428
CALU,TMED2,9606.ENSP00000438248,9606.ENSP00000262225,0.627
CALU,DNAJC10,9606.ENSP00000438248,9606.ENSP00000264065,0.67
CALU,P4HB,9606.ENSP00000438248,9606.ENSP00000327801,0.872
CALU,TPD52,9606.ENSP00000438248,9606.ENSP00000429309,0.453
CALU,DNAJC3,9606.ENSP00000438248,9606.ENSP00000473631,0.556
CANX,CD74,9606.ENSP00000247461,9606.ENSP00000009530,0.661
CANX,PGRMC1,9606.ENSP00000247461,9606.ENSP00000217971,0.521
CANX,SEC61A1,9606.ENSP00000247461,9606.ENSP00000243253,0.914
CANX,RHOA,9606.ENSP00000247461,9606.ENSP00000400175,0.407
CANX,RAB5C,9606.ENSP00000247461,9606.ENSP00000447053,0.42
CANX,SGPL1,9606.ENSP00000247461,9606.ENSP00000362298,0.458
CANX,RAB1A,9606.ENSP00000247461,9606.ENSP00000387286,0.498
CANX,UBXN4,9606.ENSP00000247461,9606.ENSP00000272638,0.501
CANX,ERP27,9606.ENSP00000247461,9606.ENSP00000266397,0.503
CANX,MAN2A1,9606.ENSP00000247461,9606.ENSP00000261483,0.514
CANX,TMED2,9606.ENSP00000247461,9606.ENSP00000262225,0.538
CANX,DNAJB1,9606.ENSP00000247461,9606.ENSP00000254322,0.592
CANX,RAB5A,9606.ENSP00000247461,9606.ENSP00000273047,0.618
CANX,SAR1B,9606.ENSP00000247461,9606.ENSP00000385432,0.633
CANX,DNAJC3,9606.ENSP00000247461,9606.ENSP00000473631,0.661
CANX,ITGB1,9606.ENSP00000247461,9606.ENSP00000379350,0.671
CANX,LAMP1,9606.ENSP00000247461,9606.ENSP00000333298,0.831
CANX,VDAC1,9606.ENSP00000247461,9606.ENSP00000378487,0.863
CANX,DNAJC10,9606.ENSP00000247461,9606.ENSP00000264065,0.876
CANX,HSP90AB1,9606.ENSP00000247461,9606.ENSP00000360609,0.886
CANX,P4HB,9606.ENSP00000247461,9606.ENSP00000327801,0.966
CAP2,FYTTD1,9606.ENSP00000229922,9606.ENSP00000241502,0.44
CAP2,TWF1,9606.ENSP00000229922,9606.ENSP00000449428,0.559
CAP2,CFL1,9606.ENSP00000229922,9606.ENSP00000432660,0.938
CARMIL1,PDLIM5,9606.ENSP00000331983,9606.ENSP00000480359,0.54
CARMIL1,MYO6,9606.ENSP00000331983,9606.ENSP00000358994,0.55
CCL28,CX3CL1,9606.ENSP00000354416,9606.ENSP00000006053,0.562
CCL28,CXCL10,9606.ENSP00000354416,9606.ENSP00000305651,0.997
CCL28,CCL4,9606.ENSP00000354416,9606.ENSP00000482259,0.542
CCL28,CXCR4,9606.ENSP00000354416,9606.ENSP00000386884,0.695
CCL28,CXCL9,9606.ENSP00000354416,9606.ENSP00000354901,0.997
CCL3L1,CXCL10,9606.ENSP00000480558,9606.ENSP00000305651,0.81
CCL3L1,CXCR4,9606.ENSP00000480558,9606.ENSP00000386884,0.844
CCL3L1,CCL4,9606.ENSP00000480558,9606.ENSP00000482259,0.865
CCL4,CX3CL1,9606.ENSP00000482259,9606.ENSP00000006053,0.904
CCL4,CXCL10,9606.ENSP00000482259,9606.ENSP00000305651,0.959
CCL4,CXCL9,9606.ENSP00000482259,9606.ENSP00000354901,0.959
CCL4,CXCR4,9606.ENSP00000482259,9606.ENSP00000386884,0.995
CCN1,ZWINT,9606.ENSP00000398736,9606.ENSP00000363055,0.78
CCN1,RHOA,9606.ENSP00000398736,9606.ENSP00000400175,0.506
CCN2,COMP,9606.ENSP00000356954,9606.ENSP00000222271,0.4
CCN2,THBS1,9606.ENSP00000356954,9606.ENSP00000260356,0.749
CCN2,FBN1,9606.ENSP00000356954,9606.ENSP00000325527,0.797
CCN2,FN1,9606.ENSP00000356954,9606.ENSP00000346839,0.963
CCN2,ESR1,9606.ENSP00000356954,9606.ENSP00000405330,0.69
CCNG2,CKS2,9606.ENSP00000315743,9606.ENSP00000364976,0.564
CCNG2,PPP2R5C,9606.ENSP00000315743,9606.ENSP00000412324,0.696
CCT2,CSNK2A1,9606.ENSP00000299300,9606.ENSP00000217244,0.449
CCT2,DNAJB1,9606.ENSP00000299300,9606.ENSP00000254322,0.47
CCT2,DNAJC10,9606.ENSP00000299300,9606.ENSP00000264065,0.413
CCT2,YWHAE,9606.ENSP00000299300,9606.ENSP00000264335,0.456
CCT2,GSPT1,9606.ENSP00000299300,9606.ENSP00000398131,0.413
CCT2,HNRNPC,9606.ENSP00000299300,9606.ENSP00000451291,0.449
CCT2,PGK1,9606.ENSP00000299300,9606.ENSP00000362413,0.45
CCT2,SMC3,9606.ENSP00000299300,9606.ENSP00000354720,0.462
CCT2,ESR1,9606.ENSP00000299300,9606.ENSP00000405330,0.521
CCT2,XRN2,9606.ENSP00000299300,9606.ENSP00000366396,0.573
CCT2,ENO1,9606.ENSP00000299300,9606.ENSP00000495530,0.573
CCT2,DHX15,9606.ENSP00000299300,9606.ENSP00000336741,0.575
CCT2,HSPH1,9606.ENSP00000299300,9606.ENSP00000487365,0.617
CCT2,EIF5A,9606.ENSP00000299300,9606.ENSP00000336702,0.656
CCT2,SPAG1,9606.ENSP00000299300,9606.ENSP00000373450,0.665
CCT2,GNB1,9606.ENSP00000299300,9606.ENSP00000367872,0.666
CCT2,STIP1,9606.ENSP00000299300,9606.ENSP00000351646,0.962
CCT2,HSP90AB1,9606.ENSP00000299300,9606.ENSP00000360609,0.97
CD164,CXCR4,9606.ENSP00000309376,9606.ENSP00000386884,0.82
CD36,COMP,9606.ENSP00000415743,9606.ENSP00000222271,0.953
CD36,SERPINE1,9606.ENSP00000415743,9606.ENSP00000223095,0.436
CD36,FABP4,9606.ENSP00000415743,9606.ENSP00000256104,0.969
CD36,THBS1,9606.ENSP00000415743,9606.ENSP00000260356,0.999
CD36,PLIN1,9606.ENSP00000415743,9606.ENSP00000300055,0.815
CD36,MED23,9606.ENSP00000415743,9606.ENSP00000357047,0.499
CD36,ITGB1,9606.ENSP00000415743,9606.ENSP00000379350,0.864
CD36,TBL1XR1,9606.ENSP00000415743,9606.ENSP00000405574,0.421
CD36,MUC1,9606.ENSP00000415743,9606.ENSP00000484824,0.474
CD36,PLIN4,9606.ENSP00000415743,9606.ENSP00000488481,0.489
CD46,DSG2,9606.ENSP00000313875,9606.ENSP00000261590,0.771
CD46,CFD,9606.ENSP00000313875,9606.ENSP00000468253,0.411
CD46,YWHAZ,9606.ENSP00000313875,9606.ENSP00000379287,0.465
CD46,ITGB1,9606.ENSP00000313875,9606.ENSP00000379350,0.465
CD46,CFB,9606.ENSP00000313875,9606.ENSP00000416561,0.724
CD74,VCAN,9606.ENSP00000009530,9606.ENSP00000265077,0.416
CD74,PIGX,9606.ENSP00000009530,9606.ENSP00000296333,0.428
CD74,LYVE1,9606.ENSP00000009530,9606.ENSP00000256178,0.487
CD74,HBB,9606.ENSP00000009530,9606.ENSP00000494175,0.487
CD74,EML4,9606.ENSP00000009530,9606.ENSP00000320663,0.546
CD74,SAR1B,9606.ENSP00000009530,9606.ENSP00000385432,0.563
CD74,DICER1,9606.ENSP00000009530,9606.ENSP00000437256,0.572
CD74,ENO1,9606.ENSP00000009530,9606.ENSP00000495530,0.586
CD74,EIF2S3,9606.ENSP00000009530,9606.ENSP00000253039,0.673
CD74,EIF5A,9606.ENSP00000009530,9606.ENSP00000336702,0.766
CD74,GFM1,9606.ENSP00000009530,9606.ENSP00000264263,0.806
CD74,SEC61A1,9606.ENSP00000009530,9606.ENSP00000243253,0.869
CD74,CTSB,9606.ENSP00000009530,9606.ENSP00000345672,0.954
CD74,RPS23,9606.ENSP00000009530,9606.ENSP00000296674,0.979
CD74,CTSS,9606.ENSP00000009530,9606.ENSP00000357981,0.981
CD74,CXCR4,9606.ENSP00000009530,9606.ENSP00000386884,0.994
CDC5L,CSNK2A1,9606.ENSP00000360532,9606.ENSP00000217244,0.488
CDC5L,DNAJC12,9606.ENSP00000360532,9606.ENSP00000225171,0.492
CDC5L,NAA50,9606.ENSP00000360532,9606.ENSP00000240922,0.555
CDC5L,FUS,9606.ENSP00000360532,9606.ENSP00000254108,0.566
CDC5L,SRSF1,9606.ENSP00000360532,9606.ENSP00000258962,0.957
CDC5L,GFM1,9606.ENSP00000360532,9606.ENSP00000264263,0.723
CDC5L,NIPBL,9606.ENSP00000360532,9606.ENSP00000282516,0.419
CDC5L,PRKDC,9606.ENSP00000360532,9606.ENSP00000313420,0.51
CDC5L,DHX15,9606.ENSP00000360532,9606.ENSP00000336741,0.996
CDC5L,PRPF4B,9606.ENSP00000360532,9606.ENSP00000337194,0.589
CDC5L,SMC4,9606.ENSP00000360532,9606.ENSP00000341382,0.5
CDC5L,WAC,9606.ENSP00000360532,9606.ENSP00000346986,0.828
CDC5L,SMC3,9606.ENSP00000360532,9606.ENSP00000354720,0.663
CDC5L,YWHAZ,9606.ENSP00000360532,9606.ENSP00000379287,0.402
CDC5L,TOP2A,9606.ENSP00000360532,9606.ENSP00000411532,0.565
CDC5L,HNRNPC,9606.ENSP00000360532,9606.ENSP00000451291,0.605
CDC5L,SRPK2,9606.ENSP00000360532,9606.ENSP00000377262,0.833
CDC5L,LSM4,9606.ENSP00000360532,9606.ENSP00000469468,0.838
CDH11,TGFB1,9606.ENSP00000268603,9606.ENSP00000221930,0.405
CDH11,COL1A1,9606.ENSP00000268603,9606.ENSP00000225964,0.64
CDH11,COL8A1,9606.ENSP00000268603,9606.ENSP00000261037,0.421
CDH11,MACF1,9606.ENSP00000268603,9606.ENSP00000354573,0.409
CDH11,ITGBL1,9606.ENSP00000268603,9606.ENSP00000365351,0.435
CDH11,COL11A1,9606.ENSP00000268603,9606.ENSP00000359114,0.455
CDH11,COL12A1,9606.ENSP00000268603,9606.ENSP00000325146,0.478
CDH11,FBN1,9606.ENSP00000268603,9606.ENSP00000325527,0.53
CDH11,COL5A1,9606.ENSP00000268603,9606.ENSP00000360882,0.648
CDH11,FN1,9606.ENSP00000268603,9606.ENSP00000346839,0.664
CDH11,COL5A2,9606.ENSP00000268603,9606.ENSP00000364000,0.676
CDH11,COL1A2,9606.ENSP00000268603,9606.ENSP00000297268,0.693
CDH11,CTNNA1,9606.ENSP00000268603,9606.ENSP00000304669,0.815
CELSR1,DAAM1,9606.ENSP00000262738,9606.ENSP00000378557,0.725
CENPU,EML4,9606.ENSP00000281453,9606.ENSP00000320663,0.513
CENPU,H2BC4,9606.ENSP00000281453,9606.ENSP00000321744,0.81
CFB,COL8A1,9606.ENSP00000416561,9606.ENSP00000261037,0.429
CFB,FN1,9606.ENSP00000416561,9606.ENSP00000346839,0.523
CFB,TF,9606.ENSP00000416561,9606.ENSP00000385834,0.457
CFB,CFD,9606.ENSP00000416561,9606.ENSP00000468253,0.997
CFD,SERPINE1,9606.ENSP00000468253,9606.ENSP00000223095,0.556
CFD,PLIN1,9606.ENSP00000468253,9606.ENSP00000300055,0.553
CFD,CIDEA,9606.ENSP00000468253,9606.ENSP00000320209,0.461
CFL1,UBE2M,9606.ENSP00000432660,9606.ENSP00000253023,0.657
CFL1,FABP4,9606.ENSP00000432660,9606.ENSP00000256104,0.409
CFL1,YWHAE,9606.ENSP00000432660,9606.ENSP00000264335,0.723
CFL1,NTRK2,9606.ENSP00000432660,9606.ENSP00000277120,0.414
CFL1,FN1,9606.ENSP00000432660,9606.ENSP00000346839,0.521
CFL1,GMFB,9606.ENSP00000432660,9606.ENSP00000350757,0.45
CFL1,TAGLN2,9606.ENSP00000432660,9606.ENSP00000357076,0.716
CFL1,DAAM1,9606.ENSP00000432660,9606.ENSP00000378557,0.406
CFL1,YWHAZ,9606.ENSP00000432660,9606.ENSP00000379287,0.888
CFL1,RHOA,9606.ENSP00000432660,9606.ENSP00000400175,0.962
CFL1,JAK1,9606.ENSP00000432660,9606.ENSP00000499900,0.523
CFL1,TPM4,9606.ENSP00000432660,9606.ENSP00000494125,0.63
CFL1,HSPH1,9606.ENSP00000432660,9606.ENSP00000487365,0.635
CFL1,ENO1,9606.ENSP00000432660,9606.ENSP00000495530,0.755
CFL1,TWF1,9606.ENSP00000432660,9606.ENSP00000449428,0.913
CHRDL1,GREM1,9606.ENSP00000361112,9606.ENSP00000498748,0.448
CIDEA,TRARG1,9606.ENSP00000320209,9606.ENSP00000329548,0.483
CIDEA,CIDEC,9606.ENSP00000320209,9606.ENSP00000373328,0.958
CILP,TGFB1,9606.ENSP00000261883,9606.ENSP00000221930,0.451
CILP,FN1,9606.ENSP00000261883,9606.ENSP00000346839,0.504
CILP,ITGBL1,9606.ENSP00000261883,9606.ENSP00000365351,0.517
CITED2,TFAP2A,9606.ENSP00000444198,9606.ENSP00000501092,0.989
CLDN3,KRT5,9606.ENSP00000378577,9606.ENSP00000252242,0.487
CLDN3,CLDN8,9606.ENSP00000378577,9606.ENSP00000382783,0.721
CLDND1,GOLGA7,9606.ENSP00000377735,9606.ENSP00000350378,0.814
COG5,MAN2A1,9606.ENSP00000297135,9606.ENSP00000261483,0.662
COG5,NAPA,9606.ENSP00000297135,9606.ENSP00000263354,0.526
COG5,RAB1A,9606.ENSP00000297135,9606.ENSP00000387286,0.416
COG5,DCTN4,9606.ENSP00000297135,9606.ENSP00000414906,0.503
COL10A1,MMP11,9606.ENSP00000327368,9606.ENSP00000215743,0.812
COL10A1,TGFB1,9606.ENSP00000327368,9606.ENSP00000221930,0.466
COL10A1,COMP,9606.ENSP00000327368,9606.ENSP00000222271,0.768
COL10A1,COL1A1,9606.ENSP00000327368,9606.ENSP00000225964,0.781
COL10A1,INHBA,9606.ENSP00000327368,9606.ENSP00000242208,0.46
COL10A1,COL8A1,9606.ENSP00000327368,9606.ENSP00000261037,0.781
COL10A1,COL1A2,9606.ENSP00000327368,9606.ENSP00000297268,0.755
COL10A1,MMP3,9606.ENSP00000327368,9606.ENSP00000299855,0.542
COL10A1,COL12A1,9606.ENSP00000327368,9606.ENSP00000325146,0.61
COL10A1,ITGBL1,9606.ENSP00000327368,9606.ENSP00000365351,0.412
COL10A1,LRRC15,9606.ENSP00000327368,9606.ENSP00000413707,0.439
COL10A1,COL6A6,9606.ENSP00000327368,9606.ENSP00000351310,0.509
COL10A1,ITGB1,9606.ENSP00000327368,9606.ENSP00000379350,0.551
COL10A1,COL8A2,9606.ENSP00000327368,9606.ENSP00000380901,0.552
COL10A1,COL6A1,9606.ENSP00000327368,9606.ENSP00000355180,0.568
COL10A1,POSTN,9606.ENSP00000327368,9606.ENSP00000369071,0.577
COL10A1,COL5A1,9606.ENSP00000327368,9606.ENSP00000360882,0.577
COL10A1,FN1,9606.ENSP00000327368,9606.ENSP00000346839,0.602
COL10A1,P4HB,9606.ENSP00000327368,9606.ENSP00000327801,0.701
COL10A1,COL5A2,9606.ENSP00000327368,9606.ENSP00000364000,0.753
COL10A1,COL11A1,9606.ENSP00000327368,9606.ENSP00000359114,0.877
COL11A1,MMP11,9606.ENSP00000359114,9606.ENSP00000215743,0.732
COL11A1,TGFB1,9606.ENSP00000359114,9606.ENSP00000221930,0.569
COL11A1,COMP,9606.ENSP00000359114,9606.ENSP00000222271,0.603
COL11A1,COL1A1,9606.ENSP00000359114,9606.ENSP00000225964,0.965
COL11A1,INHBA,9606.ENSP00000359114,9606.ENSP00000242208,0.478
COL11A1,THBS1,9606.ENSP00000359114,9606.ENSP00000260356,0.585
COL11A1,COL8A1,9606.ENSP00000359114,9606.ENSP00000261037,0.618
COL11A1,VCAN,9606.ENSP00000359114,9606.ENSP00000265077,0.498
COL11A1,PCOLCE2,9606.ENSP00000359114,9606.ENSP00000295992,0.608
COL11A1,COL1A2,9606.ENSP00000359114,9606.ENSP00000297268,0.992
COL11A1,MMP3,9606.ENSP00000359114,9606.ENSP00000299855,0.443
COL11A1,COL12A1,9606.ENSP00000359114,9606.ENSP00000325146,0.678
COL11A1,FBN1,9606.ENSP00000359114,9606.ENSP00000325527,0.602
COL11A1,P4HB,9606.ENSP00000359114,9606.ENSP00000327801,0.52
COL11A1,FN1,9606.ENSP00000359114,9606.ENSP00000346839,0.511
COL11A1,COL6A6,9606.ENSP00000359114,9606.ENSP00000351310,0.527
COL11A1,COL6A1,9606.ENSP00000359114,9606.ENSP00000355180,0.759
COL11A1,LAMB3,9606.ENSP00000359114,9606.ENSP00000375778,0.411
COL11A1,LRRC15,9606.ENSP00000359114,9606.ENSP00000413707,0.525
COL11A1,COL8A2,9606.ENSP00000359114,9606.ENSP00000380901,0.584
COL11A1,POSTN,9606.ENSP00000359114,9606.ENSP00000369071,0.648
COL11A1,COL5A1,9606.ENSP00000359114,9606.ENSP00000360882,0.877
COL11A1,COL5A2,9606.ENSP00000359114,9606.ENSP00000364000,0.976
COL12A1,NID2,9606.ENSP00000325146,9606.ENSP00000216286,0.468
COL12A1,COMP,9606.ENSP00000325146,9606.ENSP00000222271,0.533
COL12A1,COL1A1,9606.ENSP00000325146,9606.ENSP00000225964,0.836
COL12A1,THBS1,9606.ENSP00000325146,9606.ENSP00000260356,0.529
COL12A1,COL8A1,9606.ENSP00000325146,9606.ENSP00000261037,0.67
COL12A1,VCAN,9606.ENSP00000325146,9606.ENSP00000265077,0.637
COL12A1,COL1A2,9606.ENSP00000325146,9606.ENSP00000297268,0.793
COL12A1,MMP3,9606.ENSP00000325146,9606.ENSP00000299855,0.425
COL12A1,ITGBL1,9606.ENSP00000325146,9606.ENSP00000365351,0.441
COL12A1,FN1,9606.ENSP00000325146,9606.ENSP00000346839,0.447
COL12A1,COL6A6,9606.ENSP00000325146,9606.ENSP00000351310,0.505
COL12A1,P4HB,9606.ENSP00000325146,9606.ENSP00000327801,0.526
COL12A1,LAMB3,9606.ENSP00000325146,9606.ENSP00000375778,0.529
COL12A1,ITGB1,9606.ENSP00000325146,9606.ENSP00000379350,0.55
COL12A1,COL8A2,9606.ENSP00000325146,9606.ENSP00000380901,0.646
COL12A1,FBN1,9606.ENSP00000325146,9606.ENSP00000325527,0.667
COL12A1,POSTN,9606.ENSP00000325146,9606.ENSP00000369071,0.669
COL12A1,COL6A1,9606.ENSP00000325146,9606.ENSP00000355180,0.781
COL12A1,COL5A1,9606.ENSP00000325146,9606.ENSP00000360882,0.792
COL12A1,COL5A2,9606.ENSP00000325146,9606.ENSP00000364000,0.861
COL1A1,KRT14,9606.ENSP00000225964,9606.ENSP00000167586,0.404
COL1A1,MMP11,9606.ENSP00000225964,9606.ENSP00000215743,0.692
COL1A1,NID2,9606.ENSP00000225964,9606.ENSP00000216286,0.643
COL1A1,TGFB1,9606.ENSP00000225964,9606.ENSP00000221930,0.802
COL1A1,COMP,9606.ENSP00000225964,9606.ENSP00000222271,0.636
COL1A1,SERPINE1,9606.ENSP00000225964,9606.ENSP00000223095,0.643
COL1A1,PLAU,9606.ENSP00000225964,9606.ENSP00000361850,0.411
COL1A1,LAMB3,9606.ENSP00000225964,9606.ENSP00000375778,0.421
COL1A1,ITGBL1,9606.ENSP00000225964,9606.ENSP00000365351,0.433
COL1A1,ESR1,9606.ENSP00000225964,9606.ENSP00000405330,0.443
COL1A1,INHBA,9606.ENSP00000225964,9606.ENSP00000242208,0.446
COL1A1,HSP90AB1,9606.ENSP00000225964,9606.ENSP00000360609,0.469
COL1A1,COL6A6,9606.ENSP00000225964,9606.ENSP00000351310,0.539
COL1A1,VCAN,9606.ENSP00000225964,9606.ENSP00000265077,0.585
COL1A1,COL8A2,9606.ENSP00000225964,9606.ENSP00000380901,0.592
COL1A1,FOS,9606.ENSP00000225964,9606.ENSP00000306245,0.669
COL1A1,MMP3,9606.ENSP00000225964,9606.ENSP00000299855,0.678
COL1A1,LOXL1,9606.ENSP00000225964,9606.ENSP00000261921,0.689
COL1A1,PCOLCE2,9606.ENSP00000225964,9606.ENSP00000295992,0.703
COL1A1,ITGA7,9606.ENSP00000225964,9606.ENSP00000452120,0.75
COL1A1,P4HB,9606.ENSP00000225964,9606.ENSP00000327801,0.763
COL1A1,COL8A1,9606.ENSP00000225964,9606.ENSP00000261037,0.765
COL1A1,THBS1,9606.ENSP00000225964,9606.ENSP00000260356,0.896
COL1A1,POSTN,9606.ENSP00000225964,9606.ENSP00000369071,0.903
COL1A1,FBN1,9606.ENSP00000225964,9606.ENSP00000325527,0.929
COL1A1,RUNX2,9606.ENSP00000225964,9606.ENSP00000360493,0.955
COL1A1,COL6A1,9606.ENSP00000225964,9606.ENSP00000355180,0.969
COL1A1,FN1,9606.ENSP00000225964,9606.ENSP00000346839,0.974
COL1A1,ITGB1,9606.ENSP00000225964,9606.ENSP00000379350,0.984
COL1A1,COL5A1,9606.ENSP00000225964,9606.ENSP00000360882,0.994
COL1A1,COL5A2,9606.ENSP00000225964,9606.ENSP00000364000,0.995
COL1A1,COL1A2,9606.ENSP00000225964,9606.ENSP00000297268,0.999
COL1A2,KRT14,9606.ENSP00000297268,9606.ENSP00000167586,0.565
COL1A2,MMP11,9606.ENSP00000297268,9606.ENSP00000215743,0.41
COL1A2,NID2,9606.ENSP00000297268,9606.ENSP00000216286,0.536
COL1A2,TGFB1,9606.ENSP00000297268,9606.ENSP00000221930,0.804
COL1A2,COMP,9606.ENSP00000297268,9606.ENSP00000222271,0.551
COL1A2,SERPINE1,9606.ENSP00000297268,9606.ENSP00000223095,0.694
COL1A2,INHBA,9606.ENSP00000297268,9606.ENSP00000242208,0.599
COL1A2,THBS1,9606.ENSP00000297268,9606.ENSP00000260356,0.59
COL1A2,COL8A1,9606.ENSP00000297268,9606.ENSP00000261037,0.771
COL1A2,LOXL1,9606.ENSP00000297268,9606.ENSP00000261921,0.638
COL1A2,VCAN,9606.ENSP00000297268,9606.ENSP00000265077,0.756
COL1A2,PCOLCE2,9606.ENSP00000297268,9606.ENSP00000295992,0.638
COL1A2,ITGBL1,9606.ENSP00000297268,9606.ENSP00000365351,0.415
COL1A2,SLC2A10,9606.ENSP00000297268,9606.ENSP00000352216,0.455
COL1A2,COL6A6,9606.ENSP00000297268,9606.ENSP00000351310,0.539
COL1A2,COL8A2,9606.ENSP00000297268,9606.ENSP00000380901,0.574
COL1A2,P4HB,9606.ENSP00000297268,9606.ENSP00000327801,0.662
COL1A2,MMP3,9606.ENSP00000297268,9606.ENSP00000299855,0.68
COL1A2,ITGA7,9606.ENSP00000297268,9606.ENSP00000452120,0.727
COL1A2,COL6A1,9606.ENSP00000297268,9606.ENSP00000355180,0.875
COL1A2,POSTN,9606.ENSP00000297268,9606.ENSP00000369071,0.918
COL1A2,FBN1,9606.ENSP00000297268,9606.ENSP00000325527,0.965
COL1A2,FN1,9606.ENSP00000297268,9606.ENSP00000346839,0.982
COL1A2,ITGB1,9606.ENSP00000297268,9606.ENSP00000379350,0.988
COL1A2,COL5A1,9606.ENSP00000297268,9606.ENSP00000360882,0.989
COL1A2,COL5A2,9606.ENSP00000297268,9606.ENSP00000364000,0.998
COL5A1,MMP11,9606.ENSP00000360882,9606.ENSP00000215743,0.405
COL5A1,NID2,9606.ENSP00000360882,9606.ENSP00000216286,0.582
COL5A1,TGFB1,9606.ENSP00000360882,9606.ENSP00000221930,0.659
COL5A1,SERPINE1,9606.ENSP00000360882,9606.ENSP00000223095,0.432
COL5A1,THBS1,9606.ENSP00000360882,9606.ENSP00000260356,0.653
COL5A1,COL8A1,9606.ENSP00000360882,9606.ENSP00000261037,0.725
COL5A1,LOXL1,9606.ENSP00000360882,9606.ENSP00000261921,0.584
COL5A1,VCAN,9606.ENSP00000360882,9606.ENSP00000265077,0.631
COL5A1,PCOLCE2,9606.ENSP00000360882,9606.ENSP00000295992,0.58
COL5A1,MMP3,9606.ENSP00000360882,9606.ENSP00000299855,0.493
COL5A1,FBN1,9606.ENSP00000360882,9606.ENSP00000325527,0.929
COL5A1,P4HB,9606.ENSP00000360882,9606.ENSP00000327801,0.557
COL5A1,FN1,9606.ENSP00000360882,9606.ENSP00000346839,0.84
COL5A1,COL6A6,9606.ENSP00000360882,9606.ENSP00000351310,0.518
COL5A1,SLC2A10,9606.ENSP00000360882,9606.ENSP00000352216,0.547
COL5A1,COL6A1,9606.ENSP00000360882,9606.ENSP00000355180,0.879
COL5A1,LAMB3,9606.ENSP00000360882,9606.ENSP00000375778,0.41
COL5A1,POSTN,9606.ENSP00000360882,9606.ENSP00000369071,0.78
COL5A1,COL8A2,9606.ENSP00000360882,9606.ENSP00000380901,0.812
COL5A1,COL5A2,9606.ENSP00000360882,9606.ENSP00000364000,0.996
COL5A2,MMP11,9606.ENSP00000364000,9606.ENSP00000215743,0.424
COL5A2,NID2,9606.ENSP00000364000,9606.ENSP00000216286,0.557
COL5A2,KRT5,9606.ENSP00000364000,9606.ENSP00000252242,0.432
COL5A2,COL8A1,9606.ENSP00000364000,9606.ENSP00000261037,0.647
COL5A2,LOXL1,9606.ENSP00000364000,9606.ENSP00000261921,0.529
COL5A2,VCAN,9606.ENSP00000364000,9606.ENSP00000265077,0.589
COL5A2,PCOLCE2,9606.ENSP00000364000,9606.ENSP00000295992,0.585
COL5A2,MMP3,9606.ENSP00000364000,9606.ENSP00000299855,0.408
COL5A2,FBN1,9606.ENSP00000364000,9606.ENSP00000325527,0.924
COL5A2,P4HB,9606.ENSP00000364000,9606.ENSP00000327801,0.583
COL5A2,FN1,9606.ENSP00000364000,9606.ENSP00000346839,0.83
COL5A2,COL6A6,9606.ENSP00000364000,9606.ENSP00000351310,0.552
COL5A2,SLC2A10,9606.ENSP00000364000,9606.ENSP00000352216,0.584
COL5A2,COL6A1,9606.ENSP00000364000,9606.ENSP00000355180,0.904
COL5A2,PLAU,9606.ENSP00000364000,9606.ENSP00000361850,0.542
COL5A2,ITGBL1,9606.ENSP00000364000,9606.ENSP00000365351,0.424
COL5A2,COL8A2,9606.ENSP00000364000,9606.ENSP00000380901,0.574
COL5A2,POSTN,9606.ENSP00000364000,9606.ENSP00000369071,0.792
COL6A1,NID2,9606.ENSP00000355180,9606.ENSP00000216286,0.519
COL6A1,TGFB1,9606.ENSP00000355180,9606.ENSP00000221930,0.401
COL6A1,COMP,9606.ENSP00000355180,9606.ENSP00000222271,0.426
COL6A1,PPIF,9606.ENSP00000355180,9606.ENSP00000225174,0.649
COL6A1,THBS1,9606.ENSP00000355180,9606.ENSP00000260356,0.778
COL6A1,COL8A1,9606.ENSP00000355180,9606.ENSP00000261037,0.658
COL6A1,LOXL1,9606.ENSP00000355180,9606.ENSP00000261921,0.488
COL6A1,TIMP3,9606.ENSP00000355180,9606.ENSP00000266085,0.557
COL6A1,PCOLCE2,9606.ENSP00000355180,9606.ENSP00000295992,0.51
COL6A1,MMP3,9606.ENSP00000355180,9606.ENSP00000299855,0.411
COL6A1,FBN1,9606.ENSP00000355180,9606.ENSP00000325527,0.743
COL6A1,P4HB,9606.ENSP00000355180,9606.ENSP00000327801,0.606
COL6A1,FN1,9606.ENSP00000355180,9606.ENSP00000346839,0.78
COL6A1,COL6A6,9606.ENSP00000355180,9606.ENSP00000351310,0.562
COL6A1,LAMB3,9606.ENSP00000355180,9606.ENSP00000375778,0.459
