#node1,node2,node1_string_id,node2_string_id,combined_score
AGO2,SRSF1,9606.ENSP00000220592,9606.ENSP00000258962,0.419
AGO2,TOP2A,9606.ENSP00000220592,9606.ENSP00000411532,0.422
AGO2,DHX15,9606.ENSP00000220592,9606.ENSP00000336741,0.441
AGO2,HNRNPF,9606.ENSP00000220592,9606.ENSP00000400433,0.448
AGO2,TAB2,9606.ENSP00000220592,9606.ENSP00000356426,0.45
AGO2,YWHAZ,9606.ENSP00000220592,9606.ENSP00000379287,0.461
AGO2,TENT2,9606.ENSP00000220592,9606.ENSP00000397563,0.463
AGO2,MCL1,9606.ENSP00000220592,9606.ENSP00000358022,0.465
AGO2,RBM47,9606.ENSP00000220592,9606.ENSP00000295971,0.492
AGO2,FOS,9606.ENSP00000220592,9606.ENSP00000306245,0.497
AGO2,GREB1,9606.ENSP00000220592,9606.ENSP00000370896,0.499
AGO2,COL1A1,9606.ENSP00000220592,9606.ENSP00000225964,0.516
AGO2,PRKAR1A,9606.ENSP00000220592,9606.ENSP00000376475,0.518
AGO2,XRN2,9606.ENSP00000220592,9606.ENSP00000366396,0.54
AGO2,MBNL1,9606.ENSP00000220592,9606.ENSP00000282486,0.549
AGO2,H2BC4,9606.ENSP00000220592,9606.ENSP00000321744,0.566
AGO2,H2BC5,9606.ENSP00000220592,9606.ENSP00000289316,0.566
AGO2,H2BC9,9606.ENSP00000220592,9606.ENSP00000479169,0.568
AGO2,H2BS1,9606.ENSP00000220592,9606.ENSP00000481622,0.568
AGO2,H2BC11,9606.ENSP00000220592,9606.ENSP00000476136,0.57
AGO2,MAP3K7,9606.ENSP00000220592,9606.ENSP00000358335,0.571
AGO2,FKBP5,9606.ENSP00000220592,9606.ENSP00000444810,0.573
AGO2,H2AC18,9606.ENSP00000220592,9606.ENSP00000358155,0.578
AGO2,NOTCH2,9606.ENSP00000220592,9606.ENSP00000256646,0.6
AGO2,H2BC21,9606.ENSP00000220592,9606.ENSP00000358151,0.605
AGO2,ESR1,9606.ENSP00000220592,9606.ENSP00000405330,0.67
AGO2,P4HB,9606.ENSP00000220592,9606.ENSP00000327801,0.693
AGO2,HNRNPC,9606.ENSP00000220592,9606.ENSP00000451291,0.727
AGO2,PATL1,9606.ENSP00000220592,9606.ENSP00000300146,0.728
AGO2,TSN,9606.ENSP00000220592,9606.ENSP00000374332,0.952
AGO2,HSP90AB1,9606.ENSP00000220592,9606.ENSP00000360609,0.992
AGO2,DICER1,9606.ENSP00000220592,9606.ENSP00000437256,0.999
AGR2,CANX,9606.ENSP00000391490,9606.ENSP00000247461,0.569
AGR2,FOXA1,9606.ENSP00000391490,9606.ENSP00000250448,0.85
AGR2,YWHAE,9606.ENSP00000391490,9606.ENSP00000264335,0.51
AGR2,S100P,9606.ENSP00000391490,9606.ENSP00000296370,0.613
AGR2,P4HB,9606.ENSP00000391490,9606.ENSP00000327801,0.683
AGR2,MCCC2,9606.ENSP00000391490,9606.ENSP00000343657,0.538
AGR2,TAGLN2,9606.ENSP00000391490,9606.ENSP00000357076,0.536
AGR2,HSP90AB1,9606.ENSP00000391490,9606.ENSP00000360609,0.544
AGR2,PGK1,9606.ENSP00000391490,9606.ENSP00000362413,0.547
AGR2,AKR1C3,9606.ENSP00000391490,9606.ENSP00000369927,0.525
AGR2,YWHAZ,9606.ENSP00000391490,9606.ENSP00000379287,0.523
AGR2,RAB1A,9606.ENSP00000391490,9606.ENSP00000387286,0.525
AGR2,RAB5C,9606.ENSP00000391490,9606.ENSP00000447053,0.54
AGR2,ENO1,9606.ENSP00000391490,9606.ENSP00000495530,0.574
AGTRAP,EDNRB,9606.ENSP00000319713,9606.ENSP00000366416,0.458
AGTRAP,ESRP1,9606.ENSP00000319713,9606.ENSP00000405738,0.595
AKR1C3,SIAH2,9606.ENSP00000369927,9606.ENSP00000322457,0.673
ALDH18A1,GLUL,9606.ENSP00000360268,9606.ENSP00000307900,0.927
ALDH18A1,HSPD1,9606.ENSP00000360268,9606.ENSP00000340019,0.53
ALDH18A1,MCCC2,9606.ENSP00000360268,9606.ENSP00000343657,0.478
ALDH18A1,PRKAR1A,9606.ENSP00000360268,9606.ENSP00000376475,0.431
ALDH18A1,CKS2,9606.ENSP00000360268,9606.ENSP00000364976,0.585
ALDOC,PGK1,9606.ENSP00000378731,9606.ENSP00000362413,0.835
ALDOC,ENO1,9606.ENSP00000378731,9606.ENSP00000495530,0.951
ALDOC,FBP1,9606.ENSP00000378731,9606.ENSP00000408025,0.974
ALYREF,FYTTD1,9606.ENSP00000421592,9606.ENSP00000241502,0.93
ALYREF,FUS,9606.ENSP00000421592,9606.ENSP00000254108,0.453
ALYREF,SRSF1,9606.ENSP00000421592,9606.ENSP00000258962,0.984
ALYREF,MBNL1,9606.ENSP00000421592,9606.ENSP00000282486,0.578
ALYREF,DHX15,9606.ENSP00000421592,9606.ENSP00000336741,0.467
ALYREF,PRPF4B,9606.ENSP00000421592,9606.ENSP00000337194,0.839
ALYREF,CDC5L,9606.ENSP00000421592,9606.ENSP00000360532,0.787
ALYREF,SRSF3,9606.ENSP00000421592,9606.ENSP00000362820,0.95
ALYREF,PRPF4,9606.ENSP00000421592,9606.ENSP00000363313,0.666
ALYREF,XRN2,9606.ENSP00000421592,9606.ENSP00000366396,0.457
ALYREF,HNRNPF,9606.ENSP00000421592,9606.ENSP00000400433,0.835
ALYREF,SRSF10,9606.ENSP00000421592,9606.ENSP00000420195,0.539
ALYREF,HNRNPC,9606.ENSP00000421592,9606.ENSP00000451291,0.895
ANGPTL4,TGFB1,9606.ENSP00000301455,9606.ENSP00000221930,0.629
ANGPTL4,LIPE,9606.ENSP00000301455,9606.ENSP00000244289,0.463
ANGPTL4,FABP4,9606.ENSP00000301455,9606.ENSP00000256104,0.737
ANGPTL4,THBS1,9606.ENSP00000301455,9606.ENSP00000260356,0.405
ANGPTL4,LMF1,9606.ENSP00000301455,9606.ENSP00000262301,0.549
ANGPTL4,TBL1XR1,9606.ENSP00000301455,9606.ENSP00000405574,0.41
ANGPTL4,MED23,9606.ENSP00000301455,9606.ENSP00000357047,0.499
ANGPTL4,ITGB1,9606.ENSP00000301455,9606.ENSP00000379350,0.848
ANGPTL4,GPIHBP1,9606.ENSP00000301455,9606.ENSP00000480053,0.926
ANGPTL4,LPL,9606.ENSP00000301455,9606.ENSP00000497642,0.994
ANP32E,FYTTD1,9606.ENSP00000463154,9606.ENSP00000241502,0.437
ANP32E,PRKDC,9606.ENSP00000463154,9606.ENSP00000313420,0.403
ANP32E,H2BC21,9606.ENSP00000463154,9606.ENSP00000358151,0.66
ANP32E,MORF4L2,9606.ENSP00000463154,9606.ENSP00000394417,0.403
ANP32E,H2BC11,9606.ENSP00000463154,9606.ENSP00000476136,0.947
AOC3,MAOA,9606.ENSP00000312326,9606.ENSP00000340684,0.959
AP2B1,M6PR,9606.ENSP00000483185,9606.ENSP00000000412,0.522
AP2B1,CD74,9606.ENSP00000483185,9606.ENSP00000009530,0.524
AP2B1,VAMP3,9606.ENSP00000483185,9606.ENSP00000054666,0.555
AP2B1,MAPK1,9606.ENSP00000483185,9606.ENSP00000215832,0.635
AP2B1,VAMP7,9606.ENSP00000483185,9606.ENSP00000262640,0.585
AP2B1,SCARB2,9606.ENSP00000483185,9606.ENSP00000264896,0.525
AP2B1,SH3GL3,9606.ENSP00000483185,9606.ENSP00000320092,0.547
AP2B1,HIP1,9606.ENSP00000483185,9606.ENSP00000336747,0.836
AP2B1,EZR,9606.ENSP00000483185,9606.ENSP00000338934,0.557
AP2B1,MYO6,9606.ENSP00000483185,9606.ENSP00000358994,0.592
