col1,col2
fu:503ff7009dc7c17fdbeeafa3bf826554b045867b726d353099cbb525a0328140,CHUK
fu:503ff7009dc7c17fdbeeafa3bf826554b045867b726d353099cbb525a0328140,IKBKB
fu:503ff7009dc7c17fdbeeafa3bf826554b045867b726d353099cbb525a0328140,IKBKG
fu:740084bed9bf3f76f31fc2a7c5e876e9bd2420074ffeaf6a556f57122b3c848c,MAP3K14
fu:e20df2505be33cc63e8287c40fb67b72c280a8dacfe76fc0335243db1a564223,MAPK1
fu:e20df2505be33cc63e8287c40fb67b72c280a8dacfe76fc0335243db1a564223,MAPK3
fu:9d4b039ee460e01b1ec62a10591b0a5c21206554333358384567b4adf95982bf,LAMTOR3
fu:ddac8f8b009c54a46167195ab8f2dd2ebd5472c996fa31c14017ff1097979e01,MAP2K2
fu:d64c170791593920f56d0d6aeee18cc20945771d25b8d3dcf2ad1d3b6c1aa33f,MAP2K1
fu:2e4f8bca22d5dfb309b27f78dd891a521e37417aab685b77b22f3a8a4214a0ec,RAF1
fu:5b5e4626ca3a9ed9b4f6cbce92c34a399cbdce634e940c8ddd1f587bf4e7e4e9,BRAF
fu:4e989969a81f4bd898d33df42d249e6421eadae9031f9e255ffbc88a76341749,RASA1
fu:73b0b1638dd8d8a03c2af45bdb3737dcb9c39c72032bb6848350349ccf589575,NF1
fu:1784ba378ff0cdf17de691d6651718f5f54a4196c998fda24ae4c994ffa53b25,PRKCA
fu:1784ba378ff0cdf17de691d6651718f5f54a4196c998fda24ae4c994ffa53b25,PRKCB
fu:1784ba378ff0cdf17de691d6651718f5f54a4196c998fda24ae4c994ffa53b25,PRKCG
fu:532463be37aaa68cd16d667a80a19f9ec580db84df95db6d3f65bce0b6124bf4,RAP1A
fu:532463be37aaa68cd16d667a80a19f9ec580db84df95db6d3f65bce0b6124bf4,RAP1B
fu:0c600b4235779b9f9c30de21a04c10e095f77fc56130c77b772caf9243264887,PRKACA
fu:0c600b4235779b9f9c30de21a04c10e095f77fc56130c77b772caf9243264887,PRKACB
