source,target,type,subtype
hsa:51701,fu:d4eaeabe,gene_to_fu,
hsa:994,fu:6f5d1977,gene_to_fu,
hsa:8986,fu:12c0edde,gene_to_fu,
hsa:9252,fu:12c0edde,gene_to_fu,
hsa:7867,fu:e02d83fb,gene_to_fu,
hsa:9261,fu:e02d83fb,gene_to_fu,
hsa:468,fu:e4d57228,gene_to_fu,
hsa:4208,fu:a418f206,gene_to_fu,
hsa:4149,fu:710fa26e,gene_to_fu,
hsa:1649,fu:d3a7cd16,gene_to_fu,
hsa:2005,fu:6e8358a6,gene_to_fu,
hsa:7157,fu:2765f866,gene_to_fu,
hsa:2002,fu:2829f3fa,gene_to_fu,
hsa:1386,fu:b8daabb1,gene_to_fu,
hsa:1432,fu:0e6de9c1,gene_to_fu,
hsa:5600,fu:0e6de9c1,gene_to_fu,
hsa:5603,fu:0e6de9c1,gene_to_fu,
hsa:6300,fu:0e6de9c1,gene_to_fu,
hsa:5536,fu:bcd1b474,gene_to_fu,
hsa:5608,fu:9b79cc66,gene_to_fu,
hsa:5606,fu:8e7a48d2,gene_to_fu,
hsa:11221,fu:c7805fb1,gene_to_fu,
hsa:1844,fu:c7805fb1,gene_to_fu,
hsa:1846,fu:c7805fb1,gene_to_fu,
hsa:1847,fu:c7805fb1,gene_to_fu,
hsa:1849,fu:c7805fb1,gene_to_fu,
hsa:1850,fu:c7805fb1,gene_to_fu,
hsa:1852,fu:c7805fb1,gene_to_fu,
hsa:80824,fu:c7805fb1,gene_to_fu,
hsa:1845,fu:18dd62ea,gene_to_fu,
hsa:5778,fu:18dd62ea,gene_to_fu,
hsa:5801,fu:18dd62ea,gene_to_fu,
hsa:84867,fu:18dd62ea,gene_to_fu,
hsa:5494,fu:6a59bd52,gene_to_fu,
hsa:10000,fu:f16704ad,gene_to_fu,
hsa:207,fu:f16704ad,gene_to_fu,
hsa:208,fu:f16704ad,gene_to_fu,
hsa:51347,fu:1f4f74f7,gene_to_fu,
hsa:57551,fu:1f4f74f7,gene_to_fu,
hsa:9344,fu:1f4f74f7,gene_to_fu,
hsa:4216,fu:d786dc07,gene_to_fu,
hsa:3315,fu:994a391a,gene_to_fu,
hsa:6885,fu:97879d88,gene_to_fu,
hsa:4217,fu:4d24e602,gene_to_fu,
hsa:9064,fu:c15cfcb3,gene_to_fu,
hsa:51776,fu:6d639c82,gene_to_fu,
hsa:7786,fu:cde1c9cd,gene_to_fu,
hsa:9175,fu:cde1c9cd,gene_to_fu,
hsa:4293,fu:92bbe20c,gene_to_fu,
hsa:4294,fu:92bbe20c,gene_to_fu,
hsa:84451,fu:92bbe20c,gene_to_fu,
hsa:5871,fu:a1ac21ac,gene_to_fu,
hsa:6788,fu:3c523d6a,gene_to_fu,
hsa:6789,fu:3c523d6a,gene_to_fu,
hsa:51295,fu:89daa831,gene_to_fu,
hsa:23118,fu:8c87313f,gene_to_fu,
hsa:10454,fu:99e19c6f,gene_to_fu,
hsa:10912,fu:75ce83fa,gene_to_fu,
hsa:1647,fu:75ce83fa,gene_to_fu,
hsa:4616,fu:75ce83fa,gene_to_fu,
hsa:7189,fu:b320d8be,gene_to_fu,
hsa:1616,fu:1aacd641,gene_to_fu,
hsa:7186,fu:65853de6,gene_to_fu,
hsa:836,fu:6a0ffa28,gene_to_fu,
hsa:929,fu:51004d5d,gene_to_fu,
hsa:7046,fu:0c93fcbb,gene_to_fu,
hsa:7048,fu:0c93fcbb,gene_to_fu,
hsa:355,fu:9f986306,gene_to_fu,
hsa:3554,fu:db5e9fba,gene_to_fu,
hsa:3556,fu:db5e9fba,gene_to_fu,
hsa:7132,fu:db5fcc02,gene_to_fu,
hsa:7040,fu:928e628f,gene_to_fu,
hsa:7042,fu:928e628f,gene_to_fu,
hsa:7043,fu:928e628f,gene_to_fu,
hsa:3552,fu:1eb26222,gene_to_fu,
hsa:3553,fu:1eb26222,gene_to_fu,
hsa:7124,fu:501044c1,gene_to_fu,
hsa:8550,fu:cdd3532a,gene_to_fu,
hsa:5879,fu:6b7b17da,gene_to_fu,
hsa:5880,fu:6b7b17da,gene_to_fu,
hsa:5881,fu:6b7b17da,gene_to_fu,
hsa:998,fu:6b7b17da,gene_to_fu,
hsa:5058,fu:3c4681be,gene_to_fu,
hsa:5062,fu:3c4681be,gene_to_fu,
hsa:10746,fu:132d5437,gene_to_fu,
hsa:4215,fu:132d5437,gene_to_fu,
hsa:23542,fu:f909436b,gene_to_fu,
hsa:9479,fu:f909436b,gene_to_fu,
hsa:4296,fu:b3c329bb,gene_to_fu,
hsa:5609,fu:e91d5dca,gene_to_fu,
hsa:5599,fu:6d644b92,gene_to_fu,
hsa:5601,fu:6d644b92,gene_to_fu,
hsa:5602,fu:6d644b92,gene_to_fu,
hsa:6416,fu:570182ed,gene_to_fu,
hsa:1398,fu:bb600ec1,gene_to_fu,
hsa:1399,fu:bb600ec1,gene_to_fu,
hsa:408,fu:feae114b,gene_to_fu,
hsa:409,fu:feae114b,gene_to_fu,
hsa:2122,fu:276852e1,gene_to_fu,
hsa:3303,fu:0b6ac087,gene_to_fu,
hsa:3304,fu:0b6ac087,gene_to_fu,
hsa:3305,fu:0b6ac087,gene_to_fu,
hsa:3310,fu:0b6ac087,gene_to_fu,
hsa:3312,fu:0b6ac087,gene_to_fu,
hsa:3727,fu:df6e49cb,gene_to_fu,
hsa:2353,fu:b00b8bb9,gene_to_fu,
hsa:3725,fu:b00b8bb9,gene_to_fu,
hsa:4775,fu:dc32a5ad,gene_to_fu,
hsa:4772,fu:c3c044c2,gene_to_fu,
hsa:5530,fu:b7c942f2,gene_to_fu,
hsa:5532,fu:b7c942f2,gene_to_fu,
hsa:5533,fu:b7c942f2,gene_to_fu,
hsa:5534,fu:b7c942f2,gene_to_fu,
hsa:5535,fu:b7c942f2,gene_to_fu,
hsa:23162,fu:70e28caf,gene_to_fu,
hsa:2316,fu:eafed3d4,gene_to_fu,
hsa:4214,fu:51a2cf1c,gene_to_fu,
hsa:1326,fu:c677775a,gene_to_fu,
hsa:11184,fu:67c2c532,gene_to_fu,
hsa:8491,fu:d5da61b1,gene_to_fu,
hsa:2353,fu:4a93f607,gene_to_fu,
hsa:6722,fu:64350fe1,gene_to_fu,
hsa:4609,fu:660a73fe,gene_to_fu,
hsa:2005,fu:43f29145,gene_to_fu,
hsa:2002,fu:d5e2f306,gene_to_fu,
hsa:468,fu:43e2fdc4,gene_to_fu,
hsa:27330,fu:b87822b1,gene_to_fu,
hsa:6195,fu:b87822b1,gene_to_fu,
hsa:6196,fu:b87822b1,gene_to_fu,
hsa:6197,fu:b87822b1,gene_to_fu,
hsa:2872,fu:5a1f69b8,gene_to_fu,
hsa:8569,fu:5a1f69b8,gene_to_fu,
hsa:125467750,fu:346ae89a,gene_to_fu,
hsa:1435,fu:346ae89a,gene_to_fu,
hsa:1942,fu:346ae89a,gene_to_fu,
hsa:1943,fu:346ae89a,gene_to_fu,
hsa:1944,fu:346ae89a,gene_to_fu,
hsa:1945,fu:346ae89a,gene_to_fu,
hsa:1946,fu:346ae89a,gene_to_fu,
hsa:1950,fu:346ae89a,gene_to_fu,
hsa:2069,fu:346ae89a,gene_to_fu,
hsa:2246,fu:346ae89a,gene_to_fu,
hsa:2247,fu:346ae89a,gene_to_fu,
hsa:2248,fu:346ae89a,gene_to_fu,
hsa:2249,fu:346ae89a,gene_to_fu,
hsa:2250,fu:346ae89a,gene_to_fu,
hsa:2251,fu:346ae89a,gene_to_fu,
hsa:2252,fu:346ae89a,gene_to_fu,
hsa:2253,fu:346ae89a,gene_to_fu,
hsa:2254,fu:346ae89a,gene_to_fu,
hsa:2255,fu:346ae89a,gene_to_fu,
hsa:2277,fu:346ae89a,gene_to_fu,
hsa:2323,fu:346ae89a,gene_to_fu,
hsa:26281,fu:346ae89a,gene_to_fu,
hsa:26291,fu:346ae89a,gene_to_fu,
hsa:2668,fu:346ae89a,gene_to_fu,
hsa:27006,fu:346ae89a,gene_to_fu,
hsa:284,fu:346ae89a,gene_to_fu,
hsa:285,fu:346ae89a,gene_to_fu,
hsa:3082,fu:346ae89a,gene_to_fu,
hsa:3479,fu:346ae89a,gene_to_fu,
hsa:3481,fu:346ae89a,gene_to_fu,
hsa:3630,fu:346ae89a,gene_to_fu,
hsa:374,fu:346ae89a,gene_to_fu,
hsa:4254,fu:346ae89a,gene_to_fu,
hsa:4803,fu:346ae89a,gene_to_fu,
hsa:4902,fu:346ae89a,gene_to_fu,
hsa:4908,fu:346ae89a,gene_to_fu,
hsa:4909,fu:346ae89a,gene_to_fu,
hsa:51378,fu:346ae89a,gene_to_fu,
hsa:5154,fu:346ae89a,gene_to_fu,
hsa:5155,fu:346ae89a,gene_to_fu,
hsa:5228,fu:346ae89a,gene_to_fu,
hsa:56034,fu:346ae89a,gene_to_fu,
hsa:5623,fu:346ae89a,gene_to_fu,
hsa:627,fu:346ae89a,gene_to_fu,
hsa:7039,fu:346ae89a,gene_to_fu,
hsa:7422,fu:346ae89a,gene_to_fu,
hsa:7423,fu:346ae89a,gene_to_fu,
hsa:7424,fu:346ae89a,gene_to_fu,
hsa:80310,fu:346ae89a,gene_to_fu,
hsa:8074,fu:346ae89a,gene_to_fu,
hsa:8817,fu:346ae89a,gene_to_fu,
hsa:8822,fu:346ae89a,gene_to_fu,
hsa:8823,fu:346ae89a,gene_to_fu,
hsa:9048,fu:346ae89a,gene_to_fu,
hsa:9965,fu:346ae89a,gene_to_fu,
hsa:8717,fu:cf10c0cc,gene_to_fu,
hsa:4615,fu:b660a1ba,gene_to_fu,
hsa:3654,fu:dd221e0c,gene_to_fu,
hsa:51135,fu:dd221e0c,gene_to_fu,
hsa:369,fu:b4078acf,gene_to_fu,
hsa:4149,fu:f4ddeb79,gene_to_fu,
hsa:4609,fu:307a059d,gene_to_fu,
hsa:4149,fu:307a059d,gene_to_fu,
hsa:6722,fu:c6833f6c,gene_to_fu,
hsa:2005,fu:c6833f6c,gene_to_fu,
hsa:2002,fu:c6833f6c,gene_to_fu,
fu:3f98ef0f,fu:16973f90,protein_protein_interaction,activation
fu:cc70a016,fu:8268d012,protein_protein_interaction,activation
fu:7462a4ff,fu:8268d012,protein_protein_interaction,activation
fu:fcafd86b,fu:8268d012,protein_protein_interaction,activation
fu:88783e79,fu:6ebd9c99,protein_protein_interaction,activation
fu:501044c1,fu:db5fcc02,protein_protein_interaction,activation
fu:1eb26222,fu:db5e9fba,protein_protein_interaction,activation
fu:3a120078,fu:9f986306,protein_protein_interaction,activation
fu:928e628f,fu:0c93fcbb,protein_protein_interaction,activation
fu:9f986306,fu:1aacd641,protein_protein_interaction,activation
fu:0c93fcbb,fu:1aacd641,protein_protein_interaction,activation
fu:15e947ef,fu:f49ca807,protein_protein_interaction,binding/association
fu:44d36263,fu:15e947ef,protein_protein_interaction,binding/association
fu:8c87313f,fu:b320d8be,protein_protein_interaction,binding/association
fu:89daa831,fu:b320d8be,protein_protein_interaction,binding/association
fu:64350fe1,fu:d5e2f306,protein_protein_interaction,binding/association
fu:64350fe1,fu:43f29145,protein_protein_interaction,binding/association
fu:119b4c82,fu:9e600bb6,protein_protein_interaction,binding/association
fu:119b4c82,fu:dd3c84d0,protein_protein_interaction,binding/association
fu:5407a9ad,fu:119b4c82,protein_protein_interaction,binding/association
fu:f909436b,fu:6d644b92,protein_protein_interaction,binding/association
fu:f909436b,fu:e91d5dca,protein_protein_interaction,binding/association
fu:f909436b,fu:b3c329bb,protein_protein_interaction,binding/association
fu:f909436b,fu:67c2c532,protein_protein_interaction,binding/association
fu:6d644b92,fu:70e28caf,protein_protein_interaction,binding/association
fu:570182ed,fu:70e28caf,protein_protein_interaction,binding/association
fu:e91d5dca,fu:70e28caf,protein_protein_interaction,binding/association
fu:70e28caf,fu:51a2cf1c,protein_protein_interaction,binding/association
fu:b3c329bb,fu:70e28caf,protein_protein_interaction,binding/association
fu:6d644b92,fu:bb600ec1,protein_protein_interaction,binding/association
fu:570182ed,fu:bb600ec1,protein_protein_interaction,binding/association
fu:570182ed,fu:eafed3d4,protein_protein_interaction,binding/association
fu:570182ed,fu:feae114b,protein_protein_interaction,binding/association
fu:912ae783,fu:88783e79,protein_protein_interaction,phosphorylation
fu:d9d0e44c,fu:8268d012,protein_protein_interaction,phosphorylation
fu:d9d0e44c,fu:72601542,protein_protein_interaction,phosphorylation
fu:44d36263,fu:8268d012,protein_protein_interaction,activation
fu:8268d012,fu:6ebd9c99,protein_protein_interaction,activation
fu:8268d012,fu:72601542,protein_protein_interaction,activation
fu:6ebd9c99,fu:9e600bb6,protein_protein_interaction,phosphorylation
fu:6ebd9c99,fu:dd3c84d0,protein_protein_interaction,phosphorylation
fu:72601542,fu:9e600bb6,protein_protein_interaction,phosphorylation
fu:72601542,fu:dd3c84d0,protein_protein_interaction,phosphorylation
fu:9e600bb6,fu:5407a9ad,protein_protein_interaction,phosphorylation
fu:dd3c84d0,fu:5407a9ad,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:a04ac493,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:5d3cbbaa,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:60ce16db,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:5a1f69b8,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:b87822b1,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:d5e2f306,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:43f29145,protein_protein_interaction,phosphorylation
fu:5a1f69b8,fu:43e2fdc4,protein_protein_interaction,phosphorylation
fu:b87822b1,fu:43e2fdc4,protein_protein_interaction,phosphorylation
fu:5407a9ad,fu:307a059d,protein_protein_interaction,phosphorylation
fu:6b7b17da,fu:51a2cf1c,protein_protein_interaction,activation
fu:6b7b17da,fu:3c4681be,protein_protein_interaction,activation
fu:6a0ffa28,fu:3c523d6a,protein_protein_interaction,activation
fu:65853de6,fu:a1ac21ac,protein_protein_interaction,activation
fu:65853de6,fu:4d24e602,protein_protein_interaction,activation
fu:65853de6,fu:51a2cf1c,protein_protein_interaction,activation
fu:1aacd641,fu:4d24e602,protein_protein_interaction,activation
fu:75ce83fa,fu:d786dc07,protein_protein_interaction,activation
fu:3c4681be,fu:132d5437,protein_protein_interaction,phosphorylation
fu:67c2c532,fu:b3c329bb,protein_protein_interaction,phosphorylation
fu:aa79d693,fu:51a2cf1c,protein_protein_interaction,phosphorylation
fu:d5da61b1,fu:51a2cf1c,protein_protein_interaction,phosphorylation
fu:cde1c9cd,fu:e91d5dca,protein_protein_interaction,phosphorylation
fu:92bbe20c,fu:e91d5dca,protein_protein_interaction,phosphorylation
fu:6d639c82,fu:e91d5dca,protein_protein_interaction,phosphorylation
fu:4d24e602,fu:8e7a48d2,protein_protein_interaction,phosphorylation
fu:4d24e602,fu:9b79cc66,protein_protein_interaction,phosphorylation
fu:97879d88,fu:09d2f54b,protein_protein_interaction,phosphorylation
fu:97879d88,fu:bed1be9d,protein_protein_interaction,phosphorylation
fu:97879d88,fu:8e7a48d2,protein_protein_interaction,phosphorylation
fu:97879d88,fu:9b79cc66,protein_protein_interaction,phosphorylation
fu:97879d88,fu:d4eaeabe,protein_protein_interaction,phosphorylation
fu:c15cfcb3,fu:8e7a48d2,protein_protein_interaction,phosphorylation
fu:c15cfcb3,fu:9b79cc66,protein_protein_interaction,phosphorylation
fu:8e7a48d2,fu:0e6de9c1,protein_protein_interaction,phosphorylation
fu:9b79cc66,fu:0e6de9c1,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:b8daabb1,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:2829f3fa,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:2765f866,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:6e8358a6,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:d3a7cd16,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:710fa26e,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:a418f206,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:cdd3532a,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:e02d83fb,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:12c0edde,protein_protein_interaction,phosphorylation
fu:0e6de9c1,fu:6f5d1977,protein_protein_interaction,phosphorylation
fu:cdd3532a,fu:994a391a,protein_protein_interaction,phosphorylation
fu:e02d83fb,fu:994a391a,protein_protein_interaction,phosphorylation
fu:e02d83fb,fu:e4d57228,protein_protein_interaction,phosphorylation
fu:12c0edde,fu:e4d57228,protein_protein_interaction,phosphorylation
fu:7a9bcb8b,fu:7bae22aa,protein_protein_interaction,phosphorylation
fu:7bae22aa,fu:2bd73b60,protein_protein_interaction,phosphorylation
fu:c677775a,fu:09d2f54b,protein_protein_interaction,phosphorylation
fu:c677775a,fu:bed1be9d,protein_protein_interaction,phosphorylation
fu:c677775a,fu:9e600bb6,protein_protein_interaction,phosphorylation
fu:c677775a,fu:dd3c84d0,protein_protein_interaction,phosphorylation
fu:51a2cf1c,fu:bed1be9d,protein_protein_interaction,phosphorylation
fu:51a2cf1c,fu:570182ed,protein_protein_interaction,phosphorylation
fu:b3c329bb,fu:e91d5dca,protein_protein_interaction,phosphorylation
fu:51a2cf1c,fu:9e600bb6,protein_protein_interaction,phosphorylation
fu:51a2cf1c,fu:dd3c84d0,protein_protein_interaction,phosphorylation
fu:570182ed,fu:6d644b92,protein_protein_interaction,phosphorylation
fu:e91d5dca,fu:6d644b92,protein_protein_interaction,phosphorylation
fu:6d644b92,fu:b00b8bb9,protein_protein_interaction,phosphorylation
fu:6d644b92,fu:df6e49cb,protein_protein_interaction,phosphorylation
fu:6d644b92,fu:2829f3fa,protein_protein_interaction,phosphorylation
fu:6d644b92,fu:2765f866,protein_protein_interaction,phosphorylation
fu:6d644b92,fu:c3c044c2,protein_protein_interaction,inhibition|phosphorylation
fu:6d644b92,fu:dc32a5ad,protein_protein_interaction,inhibition|phosphorylation
fu:b7c942f2,fu:c3c044c2,protein_protein_interaction,dephosphorylation
fu:f16704ad,fu:4d24e602,protein_protein_interaction,inhibition|phosphorylation
fu:f16704ad,fu:570182ed,protein_protein_interaction,inhibition|phosphorylation
fu:b7c942f2,fu:dc32a5ad,protein_protein_interaction,dephosphorylation
fu:16973f90,fu:8268d012,protein_protein_interaction,inhibition
fu:0e48a824,fu:8268d012,protein_protein_interaction,inhibition
fu:eeadc956,fu:8268d012,protein_protein_interaction,inhibition
fu:8e98fd2a,fu:5407a9ad,protein_protein_interaction,inhibition|dephosphorylation
fu:a5c81f05,fu:5407a9ad,protein_protein_interaction,inhibition|dephosphorylation
fu:c7805fb1,fu:6d644b92,protein_protein_interaction,inhibition|dephosphorylation
fu:c7805fb1,fu:0e6de9c1,protein_protein_interaction,inhibition|dephosphorylation
fu:18dd62ea,fu:6d644b92,protein_protein_interaction,inhibition|dephosphorylation
fu:18dd62ea,fu:0e6de9c1,protein_protein_interaction,inhibition|dephosphorylation
fu:6a59bd52,fu:8e7a48d2,protein_protein_interaction,inhibition|dephosphorylation
fu:6a59bd52,fu:9b79cc66,protein_protein_interaction,inhibition|dephosphorylation
fu:6a59bd52,fu:e91d5dca,protein_protein_interaction,inhibition|dephosphorylation
fu:6a59bd52,fu:570182ed,protein_protein_interaction,inhibition|dephosphorylation
fu:bcd1b474,fu:4d24e602,protein_protein_interaction,inhibition|dephosphorylation
fu:9f0d4dae,fu:97879d88,protein_protein_interaction,inhibition|dephosphorylation
fu:276852e1,fu:6d644b92,protein_protein_interaction,inhibition
fu:0b6ac087,fu:6d644b92,protein_protein_interaction,inhibition
fu:c6833f6c,fu:4a93f607,gene_expression_regulation,expression
fu:51004d5d,fu:99e19c6f,protein_protein_interaction,indirect effect
fu:09d2f54b,fu:528fb5a2,protein_protein_interaction,indirect effect
fu:bed1be9d,fu:528fb5a2,protein_protein_interaction,indirect effect
fu:50b8d5ca,fu:7462a4ff,protein_protein_interaction,compound
fu:50b8d5ca,fu:fcafd86b,protein_protein_interaction,compound
fu:6a0ffa28,fu:3c4681be,protein_protein_interaction,activation
fu:6a0ffa28,fu:51a2cf1c,protein_protein_interaction,activation
fu:09d2f54b,fu:bed1be9d,protein_protein_interaction,phosphorylation
fu:99e19c6f,fu:97879d88,protein_protein_interaction,activation
fu:8c87313f,fu:97879d88,protein_protein_interaction,activation
fu:db5fcc02,fu:cf10c0cc,protein_protein_interaction,
fu:cf10c0cc,fu:65853de6,protein_protein_interaction,activation
fu:cf10c0cc,fu:6a0ffa28,protein_protein_interaction,activation|indirect effect
fu:db5e9fba,fu:b660a1ba,protein_protein_interaction,activation
fu:b660a1ba,fu:dd221e0c,protein_protein_interaction,activation
fu:65853de6,fu:99e19c6f,protein_protein_interaction,activation
fu:dd221e0c,fu:b320d8be,protein_protein_interaction,activation|indirect effect
fu:b320d8be,fu:99e19c6f,protein_protein_interaction,binding/association
fu:346ae89a,fu:f49ca807,protein_protein_interaction,activation
fu:8268d012,fu:b4078acf,protein_protein_interaction,activation
fu:b4078acf,fu:9e600bb6,protein_protein_interaction,activation|phosphorylation
fu:b4078acf,fu:dd3c84d0,protein_protein_interaction,activation|phosphorylation
fu:d786dc07,fu:8e7a48d2,protein_protein_interaction,activation|phosphorylation
fu:d786dc07,fu:9b79cc66,protein_protein_interaction,activation|phosphorylation
fu:1f4f74f7,fu:8e7a48d2,protein_protein_interaction,activation|phosphorylation
