mRNA,miR
TOR1AIP2,MIMAT0000434
KIAA0895,MIMAT0000433
CAPZA1,MIMAT0000433
PRKCB,MIMAT0000433
FNDC3A,MIMAT0000436
IRS1,MIMAT0000436
TEX9,MIMAT0000436
ADARB2,MIMAT0004600
SMAD4,MIMAT0004600
SOD2,MIMAT0004600
BLMH,MIMAT0004600
REL,MIMAT0004766
ATXN1,MIMAT0004766
TPM3,MIMAT0004766
KY,MIMAT0004766
SLC12A7,MIMAT0004766
KLHDC8B,MIMAT0004766
POLR3G,MIMAT0004766
BIVM,MIMAT0004766
PTGS1,MIMAT0004766
OLFML2A,MIMAT0004766
APOL6,MIMAT0004766
BLCAP,MIMAT0004766
RAB8A,MIMAT0004766
MAT2A,MIMAT0004766
LSM4,MIMAT0004766
LIMD1,MIMAT0004766
ZNF551,MIMAT0004766
CPEB4,MIMAT0004766
GANAB,MIMAT0004766
GK5,MIMAT0004766
USP48,MIMAT0002809
LIMD2,MIMAT0002809
TMEM167A,MIMAT0002809
RUFY2,MIMAT0002809
ZNRF3,MIMAT0002809
ARL8A,MIMAT0002809
TMPRSS5,MIMAT0002809
PMAIP1,MIMAT0002809
PPP1R11,MIMAT0002809
KCTD15,MIMAT0002809
CCDC6,MIMAT0002809
AKAP8,MIMAT0002809
NOVA1,MIMAT0002809
TRAF6,MIMAT0002809
GXYLT2,MIMAT0002809
ZNF629,MIMAT0002809
UMPS,MIMAT0002809
NR2F2,MIMAT0000451
SRCIN1,MIMAT0000451
AMOTL2,MIMAT0000451
RHOH,MIMAT0000451
SLC35F5,MIMAT0000451
KCNK5,MIMAT0000451
NKD1,MIMAT0000451
PIK3C2A,MIMAT0000451
ZNF786,MIMAT0000451
HMGB1,MIMAT0000451
RABGAP1L,MIMAT0000451
ATP2B1,MIMAT0000451
TRIM65,MIMAT0000451
GOSR1,MIMAT0000451
MBD1,MIMAT0000451
TLR10,MIMAT0000451
CDC14B,MIMAT0000451
ARRB2,MIMAT0000451
VPS53,MIMAT0000451
PRKCA,MIMAT0000451
DPP9,MIMAT0000451
NME6,MIMAT0000451
RNF165,MIMAT0000451
TMEM92,MIMAT0000451
DNAJB13,MIMAT0000451
CNKSR3,MIMAT0000451
KCTD20,MIMAT0000451
RAB3IP,MIMAT0000451
BCAS4,MIMAT0000451
CNNM2,MIMAT0000451
UBOX5,MIMAT0000451
A1CF,MIMAT0000451
ZHX3,MIMAT0000451
FAM13B,MIMAT0000451
CCDC30,MIMAT0000451
S1PR1,MIMAT0000451
RAB21,MIMAT0000451
RRP1B,MIMAT0000451
DSTYK,MIMAT0000451
TRUB2,MIMAT0000451
IRAK4,MIMAT0000451
GNB5,MIMAT0000451
EPHB2,MIMAT0000451
OCIAD1,MIMAT0000451
TMEM33,MIMAT0000451
RBM41,MIMAT0000451
FGD6,MIMAT0000451
SMUG1,MIMAT0000451
TP53,MIMAT0000451
MIXL1,MIMAT0000451
FKBP9,MIMAT0000451
SLC43A2,MIMAT0000451
CDK2,MIMAT0000451
CYCS,MIMAT0000451
PAIP2B,MIMAT0000451
GATAD2B,MIMAT0000451
ZFP14,MIMAT0000451
NFYA,MIMAT0000451
NMNAT1,MIMAT0000451
ADIPOR2,MIMAT0000451
WWC2,MIMAT0000451
TMEM134,MIMAT0000451
SAR1A,MIMAT0000451
FAM185A,MIMAT0000451
RAPGEF6,MIMAT0000451
TNFAIP8L1,MIMAT0000451
ENTPD4,MIMAT0000451
MMP14,MIMAT0000451
TNFSF15,MIMAT0000451
KIF3A,MIMAT0000451
TEP1,MIMAT0000451
GPR182,MIMAT0000451
ACOX1,MIMAT0000451
PHLDA1,MIMAT0000451
FRAT2,MIMAT0000451
CBX5,MIMAT0000451
CISH,MIMAT0000451
EIF2B2,MIMAT0000451
CAMK4,MIMAT0000451
PIGR,MIMAT0000451
PSMC1,MIMAT0000451
QSOX1,MIMAT0000451
REL,MIMAT0000451
SP1,MIMAT0000451
UBE2V2,MIMAT0000451
CORO2A,MIMAT0000451
FLT3,MIMAT0000451
PIAS2,MIMAT0000451
EGR2,MIMAT0000451
PLEKHM3,MIMAT0000451
ELK1,MIMAT0000451
SYNPO2,MIMAT0000451
DDI2,MIMAT0000451
XKR4,MIMAT0000451
WDFY2,MIMAT0000451
LRRC15,MIMAT0000451
SPPL3,MIMAT0000451
ANKS4B,MIMAT0000451
NANOG,MIMAT0000451
PAK3,MIMAT0000451
TCN2,MIMAT0000451
LTBP2,MIMAT0000451
TRIM72,MIMAT0000451
LPP,MIMAT0004518
BID,MIMAT0004518
NUCKS1,MIMAT0004518
RAB1A,MIMAT0004518
PTAR1,MIMAT0004518
ABCG2,MIMAT0004558
CDKL2,MIMAT0004558
UBN2,MIMAT0004558
IL17REL,MIMAT0004558
GRAMD1B,MIMAT0004558
NOS1AP,MIMAT0004558
SEC61A2,MIMAT0004558
SMU1,MIMAT0004558
BASP1,MIMAT0004558
TEAD1,MIMAT0004558
CAMK4,MIMAT0004558
YOD1,MIMAT0000256
PDIA6,MIMAT0000256
BDNF,MIMAT0000256
PLAG1,MIMAT0000256
ETS1,MIMAT0000256
TCF4,MIMAT0000256
ENAH,MIMAT0000256
CHD9,MIMAT0000256
CAPRIN2,MIMAT0000256
TBL1XR1,MIMAT0000256
ZNF268,MIMAT0000256
RLIM,MIMAT0000256
MGAT5,MIMAT0000256
ATXN7,MIMAT0000256
RNMT,MIMAT0000256
FAM13A,MIMAT0000256
ZNF562,MIMAT0000256
TGIF2,MIMAT0000256
CDKN1A,MIMAT0000256
RGS5,MIMAT0000256
DRAM1,MIMAT0000256
PHACTR4,MIMAT0000256
COPS2,MIMAT0000256
XIAP,MIMAT0000256
NMT2,MIMAT0000256
CCDC6,MIMAT0000256
HSPA13,MIMAT0000256
EGR1,MIMAT0000256
GOT1,MIMAT0000256
IPO5,MIMAT0000256
CDKN1B,MIMAT0000256
PCDHA5,MIMAT0000256
HOOK3,MIMAT0000256
MAPK1IP1L,MIMAT0000256
MTMR12,MIMAT0000256
PTEN,MIMAT0000256
ESR1,MIMAT0000256
CPOX,MIMAT0000256
PGR,MIMAT0000256
TNRC6B,MIMAT0000256
ASB1,MIMAT0000256
ZNF253,MIMAT0000257
CBX7,MIMAT0000257
ZBTB20,MIMAT0000257
ZNF487,MIMAT0000257
DDX3X,MIMAT0000257
CCNG1,MIMAT0000257
VSNL1,MIMAT0000257
CAPRIN2,MIMAT0000257
