ID	Gene Name	Species
604	BCL6 transcription repressor(BCL6)	Homo sapiens	
2355	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens	
999	cadherin 1(CDH1)	Homo sapiens	
1004	cadherin 6(CDH6)	Homo sapiens	
1007	cadherin 9(CDH9)	Homo sapiens	
1191	clusterin(CLU)	Homo sapiens	
