Gene.symbol
UBXN10
LEPROT
FCGR2A
CFH
HSPG2
DHCR24
SORT1
TSPAN2
CACNB2
SCD
KLRG1
SOCS2
MANSC1
ATP7B
HERC2P9
HERC2P4
HDC
MYL4
RAB27B
PIEZO2
EPAS1
KYNU
CASP10
PREPL
SCN9A
NCF4
THRB
STAP1
FAM47E-STBD1
RXFP1
MSMO1
TMEM154
CASP3
HMGCR
ARRDC3
GCNT2
ANGPT2
TEK
MAMDC2
NXF3
CYP51A1
