Gene.symbol
TMEM56-RWDD3
NEGR1
KCNA3
SELL
RGS16
BLNK
MPEG1
FOSL1
GLIPR1
RGCC
LOC388022
PLD4
IRF8
TMEM88
SDK2
CDH2
SMAD7
ZFP36
BCL3
ID2
SH3BP4
PIM3
LRRN1
SKIL
XIRP1
BCL6
PROM1
SULT1B1
CXCL10
LOC441081
CDH10
IRF1
TNFAIP3
F13A1
IER3
ABCB1
PREX2
KHDRBS3
SLCO5A1
KLF10
ANKRD18A
NINJ1
CHRDL1
IDS
