Gene.symbol
NEGR1
KCNA3
SELL
BLNK
MPEG1
GLIPR1
RGCC
PLD4
IRF8
TMEM88
SDK2
CDH2
SMAD7
ZFP36
BCL3
ID2
SH3BP4
LRRN1
SKIL
BCL6
PROM1
CXCL10
IRF1
TNFAIP3
F13A1
IER3
PREX2
KLF10
ANKRD18A
NINJ1
IDS
