symptom
abdominal cramping from gallstones
abdominal discomfort
abdominal distension
abdominal pain
abdominal tenderness
abnormality walking
ache
acute episodes
aggression
agitation
amnesia
anger
ankle pain
anxiety
arm discomfort
arm pain
asymmetry
back pain
belching
bleeding
bleeding from anus
blister
blood in stool
blood in urine
blotchy rash
blurred vision
bone loss
bowel obstruction
brief visual or sensory abnormality
bruising
burning sensation
calf pain
cavity
chest discomfort
chest pain worsened by breathing
chest pressure
chest tightness
chills
chronic back pain
chronic cough
cloudy urine
clumsiness
collapse
coma
confusion
confusion in the evening hours
constipation
cough with phlegm
coughing
coughing up blood
cramping
crying
cyst
dark stool from digested blood
dark urine
decreased range of motion
dehydration
delirium
delusion
depression
diarrhea
difficulty breathing
difficulty concentrating
difficulty raising the foot
difficulty speaking
difficulty swallowing
difficulty walking
difficulty with bodily movement
discharge from penis
discomfort
discomfort in upper abdomen
disorganized behavior
disorientation
dizziness
double vision
drooling
drooping of upper eyelid
dry cough
dry mouth
dry skin
dryness
dull pain
ear pain
elbow pain
elevated alkaline phosphatase
enlarged neck lymph nodes
episodes of no breathing
erectile dysfunction
excess thirst
excess urination
eye discharge
eye irritation
eye pain
eye redness
face rash
facial pain
facial paralysis
facial swelling
failure to thrive
fainting
falling
fast breathing
fast heart rate
fatigue
fear
fear of loud sounds
feeling cold
feeling tired
fever
finger pain
flank pain
flapping tremor
fluid in the abdomen
fluid in the lungs
flushing
foot numbness
foot pain
forgetfulness
foul smelling urine
frequent urge to urinate
frequent urination
gagging
groin pain
guilt
hallucination
hand numbness
hand pain
hand swelling
hand tremor
head congestion
headache
hearing voices
heartburn
heat therapy
heavy or prolonged periods
heel pain
high fever
hip pain
hoarseness
hopelessness
hunger
ice pack
impaired voice
impulsivity
inability to feel pleasure
incontinence
increased thirst
indigestion
infection
inflammation of ear
insomnia
intermittent abdominal pain
intermittent pain
iron deficiency
irregular menstruation
irritation of the tonsils
itching
itchy eyes
jaw pain
joint pain
kidney failure
knee pain
laryngitis
leaked fluid out of blood vessels or an organ
leaking of urine
leg numbness
leg pain
leg pain during exercise
lesion
lethargy
lightheadedness
limping
loss of appetite
loss of interest
low blood pressure
low body temperature
low oxygen in the body
lower abdominal pain
lower extremity pain
lump
lump on the skin or joint
malaise
malnutrition
manic episode
memory loss
mental confusion
mild cough
mild pain
mood swings
muscle pain
muscle spasms
muscle twitches
muscle weakness
nasal congestion
nausea
neck pain
neck swelling
nerve pain
night sweats
nightmares
noisy breathing
numbness
oral thrush
pain
pain during urination
pain in lower abdomen
pain in right lower abdomen
pain in upper abdomen
pain in upper-right abdomen
pain when coughing
pain worse at rest
painful swallowing
panic attack
paralysis
paranoia
partial loss of vision
peeling skin
pelvic pain
persistent cough
persistent headache
phlegm
physical deformity
pimple
pins and needles
plaque
poor appetite
problems with coordination
racing heartbeat
racing thoughts
radiating pain
raised area of skin
rapid involuntary eye movement
rash on the face
rectal pain
red rashes
red spots
redness
regurgitation
respiratory distress
restless legs syndrome
restlessness
rib pain
ringing in the ears
runny nose
sadness
scab
scar
scarring within the bile ducts
screaming
seeing spots
seizures
sensitivity to light
sensitivity to sound
severe anxiety
severe headache
severe pain
shakiness
sharp pain
shivering
shortness of breath
shortness of breath while lying down
shoulder pain
side pain
sinus pain
sinus pressure
skin irritation
skin lesion
skin rash
sleepiness
slow bodily movement
slow heart rate
slowness in activity and thought
slurred speech
sneezing
snoring
sore throat
spotting
stiff neck
stiffness
stinging sensation
stomach cramps
stuffy nose
substance abuse
sweating
swelling
swelling in extremities
swelling of the surface of the eye
swelling under the skin
swollen feet
swollen joint
swollen knee
swollen lymph nodes
swollen tonsils
swollen veins in the lower esophagus
tenderness
testicle pain
thirst
thoughts of suicide
throbbing headache
throbbing pain
toe pain
tongue numbness
tongue swelling
trembling
tremor
tremor at rest
unequal pupils
unsteadiness
unsteady gait
upper abdominal pain
urinary retention
vaginal bleeding
vaginal discharge
vaginal pain
vertigo
vision disorder
vision loss
visual hallucinations
vomiting
vomiting blood
wandering and getting lost
watery diarrhea
watery eyes
weakness
weakness of one side of the body
weight gain
weight loss
wheezing
wrist pain
yellow skin and eyes
