pathway_id,pathway_position_id,pathway_position_type,functional_unit_id,functional_unit_logic,gene_id,entry_id,evidence,notes
path:hsa05224,118,node,FU_f6a4f05a,OR,hsa:399694,118,KGML,isozyme group
path:hsa05224,118,node,FU_f6a4f05a,OR,hsa:53358,118,KGML,isozyme group
path:hsa05224,118,node,FU_f6a4f05a,OR,hsa:6464,118,KGML,isozyme group
path:hsa05224,119,node,FU_ae4e4bd1,SINGLE,hsa:2885,119,KGML,
path:hsa05224,120,node,FU_d8c84745,OR,hsa:6654,120,KGML,isozyme group
path:hsa05224,120,node,FU_d8c84745,OR,hsa:6655,120,KGML,isozyme group
path:hsa05224,125,node,FU_530a70ff,SINGLE,hsa:2475,125,KGML,
path:hsa05224,126,node,FU_5ea62512,OR,hsa:6198,126,KGML,isozyme group
path:hsa05224,126,node,FU_5ea62512,OR,hsa:6199,126,KGML,isozyme group
path:hsa05224,128,node,FU_1b169d15,SINGLE,hsa:3479,128,KGML,
path:hsa05224,129,node,FU_b9f28720,SINGLE,hsa:3480,129,KGML,
path:hsa05224,135,node,FU_1aff5a46,SINGLE,hsa:5728,135,KGML,
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:110117499,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:5290,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:5291,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:5293,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:5295,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:5296,138,KGML,isozyme group
path:hsa05224,138,node,FU_ed79dd83,OR,hsa:8503,138,KGML,isozyme group
path:hsa05224,139,node,FU_77182f44,OR,hsa:10000,139,KGML,isozyme group
path:hsa05224,139,node,FU_77182f44,OR,hsa:207,139,KGML,isozyme group
path:hsa05224,139,node,FU_77182f44,OR,hsa:208,139,KGML,isozyme group
path:hsa05224,143,node,FU_06d75e82,SINGLE,hsa:5728,143,KGML,
path:hsa05224,147,node,FU_db70bc67,OR,hsa:110117499,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:5290,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:5291,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:5293,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:5295,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:5296,147,KGML,isozyme group
path:hsa05224,147,node,FU_db70bc67,OR,hsa:8503,147,KGML,isozyme group
path:hsa05224,148,node,FU_8d222760,OR,hsa:10000,148,KGML,isozyme group
path:hsa05224,148,node,FU_8d222760,OR,hsa:207,148,KGML,isozyme group
path:hsa05224,148,node,FU_8d222760,OR,hsa:208,148,KGML,isozyme group
path:hsa05224,153,node,FU_a55a3563,SINGLE,hsa:5728,153,KGML,
path:hsa05224,157,node,FU_e4aa0abe,SINGLE,hsa:595,157,KGML,
path:hsa05224,158,node,FU_a5d4a670,SINGLE,hsa:4609,158,KGML,
path:hsa05224,159,node,FU_dfc9d3f2,OR,hsa:51176,159,KGML,isozyme group
path:hsa05224,159,node,FU_dfc9d3f2,OR,hsa:6932,159,KGML,isozyme group
path:hsa05224,159,node,FU_dfc9d3f2,OR,hsa:6934,159,KGML,isozyme group
path:hsa05224,159,node,FU_dfc9d3f2,OR,hsa:83439,159,KGML,isozyme group
path:hsa05224,160,node,FU_10aec8b4,OR,hsa:122011,160,KGML,isozyme group
path:hsa05224,160,node,FU_10aec8b4,OR,hsa:1452,160,KGML,isozyme group
path:hsa05224,161,node,FU_fba3da50,OR,hsa:8312,161,KGML,isozyme group
path:hsa05224,161,node,FU_fba3da50,OR,hsa:8313,161,KGML,isozyme group
path:hsa05224,162,node,FU_606e8b09,OR,hsa:10297,162,KGML,isozyme group
path:hsa05224,162,node,FU_606e8b09,OR,hsa:324,162,KGML,isozyme group
path:hsa05224,163,node,FU_05a17a77,SINGLE,hsa:1499,163,KGML,
path:hsa05224,164,node,FU_744f86a4,SINGLE,hsa:2932,164,KGML,
path:hsa05224,165,node,FU_b8288cb2,OR,hsa:10023,165,KGML,isozyme group
path:hsa05224,165,node,FU_b8288cb2,OR,hsa:23401,165,KGML,isozyme group
path:hsa05224,166,node,FU_05c63a34,OR,hsa:1855,166,KGML,isozyme group
path:hsa05224,166,node,FU_05c63a34,OR,hsa:1856,166,KGML,isozyme group
path:hsa05224,166,node,FU_05c63a34,OR,hsa:1857,166,KGML,isozyme group
path:hsa05224,167,node,FU_13b0af8c,OR,hsa:4040,167,KGML,isozyme group
path:hsa05224,167,node,FU_13b0af8c,OR,hsa:4041,167,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:11211,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:2535,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:7855,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:7976,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8321,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8322,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8323,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8324,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8325,168,KGML,isozyme group
path:hsa05224,168,node,FU_d2b9441a,OR,hsa:8326,168,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:51384,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:54361,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7471,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7472,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7473,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7474,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7475,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7476,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7477,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7478,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7479,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7480,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7481,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7482,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7483,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:7484,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:80326,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:81029,169,KGML,isozyme group
path:hsa05224,169,node,FU_8f9831f7,OR,hsa:89780,169,KGML,isozyme group
path:hsa05224,184,node,FU_cefe8149,OR,hsa:1019,184,KGML,isozyme group
path:hsa05224,184,node,FU_cefe8149,OR,hsa:1021,184,KGML,isozyme group
path:hsa05224,185,node,FU_27f26981,SINGLE,hsa:5925,185,KGML,
path:hsa05224,186,node,FU_8d2432f4,OR,hsa:1869,186,KGML,isozyme group
path:hsa05224,186,node,FU_8d2432f4,OR,hsa:1870,186,KGML,isozyme group
path:hsa05224,186,node,FU_8d2432f4,OR,hsa:1871,186,KGML,isozyme group
path:hsa05224,187,node,FU_55be9996,SINGLE,hsa:595,187,KGML,
path:hsa05224,195,node,FU_83458e69,SINGLE,hsa:3815,195,KGML,
path:hsa05224,198,node,FU_d1027c77,SINGLE,hsa:595,198,KGML,
path:hsa05224,199,node,FU_66eaf18e,SINGLE,hsa:1026,199,KGML,
path:hsa05224,200,node,FU_67ae444f,SINGLE,hsa:4791,200,KGML,
path:hsa05224,201,node,FU_4d47c735,SINGLE,hsa:4609,201,KGML,
path:hsa05224,202,node,FU_7f6e1224,SINGLE,hsa:2064,202,KGML,
path:hsa05224,205,node,FU_cda2298b,SINGLE,hsa:2260,205,KGML,
path:hsa05224,211,node,FU_c6a08511,SINGLE,hsa:595,211,KGML,
path:hsa05224,216,node,FU_f683b8e8,OR,hsa:54361,216,KGML,isozyme group
path:hsa05224,216,node,FU_f683b8e8,OR,hsa:7471,216,KGML,isozyme group
path:hsa05224,218,node,FU_2cc2b484,SINGLE,hsa:8600,218,KGML,
path:hsa05224,219,node,FU_c2fa1e98,SINGLE,hsa:4609,219,KGML,
path:hsa05224,220,node,FU_7bbddedd,SINGLE,hsa:1950,220,KGML,
path:hsa05224,221,node,FU_fe5a669a,SINGLE,hsa:1950,221,KGML,
path:hsa05224,222,node,FU_e0430c06,SINGLE,hsa:672,222,KGML,
path:hsa05224,223,node,FU_e54f2456,SINGLE,hsa:675,223,KGML,
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2246,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2247,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2248,226,KGML,isozyme group
path:hsa05224,226,node,FU_4412b94f,OR,hsa:2249,226,KGML,isozyme group
