node_id,node_type,label,extra
FU_8d9ab7c0,functional_unit,FU_8d9ab7c0,logic=OR
FU_8b1875f5,functional_unit,FU_8b1875f5,logic=OR
FU_5f8fc5be,functional_unit,FU_5f8fc5be,logic=SINGLE
FU_fe179051,functional_unit,FU_fe179051,logic=SINGLE
FU_1911fea7,functional_unit,FU_1911fea7,logic=SINGLE
hsa:4609,gene,hsa:4609,
FU_f3808d78,functional_unit,FU_f3808d78,logic=OR
hsa:51176,gene,hsa:51176,
hsa:6932,gene,hsa:6932,
hsa:6934,gene,hsa:6934,
hsa:83439,gene,hsa:83439,
FU_2c323696,functional_unit,FU_2c323696,logic=OR
hsa:122011,gene,hsa:122011,
hsa:1452,gene,hsa:1452,
FU_3894fca4,functional_unit,FU_3894fca4,logic=OR
hsa:8312,gene,hsa:8312,
hsa:8313,gene,hsa:8313,
FU_8e1368ce,functional_unit,FU_8e1368ce,logic=OR
hsa:10297,gene,hsa:10297,
hsa:324,gene,hsa:324,
FU_f7900825,functional_unit,FU_f7900825,logic=SINGLE
hsa:1499,gene,hsa:1499,
FU_49eb7a74,functional_unit,FU_49eb7a74,logic=SINGLE
hsa:2932,gene,hsa:2932,
FU_406f8ddb,functional_unit,FU_406f8ddb,logic=OR
hsa:10023,gene,hsa:10023,
hsa:23401,gene,hsa:23401,
FU_0b38048a,functional_unit,FU_0b38048a,logic=OR
hsa:1855,gene,hsa:1855,
hsa:1856,gene,hsa:1856,
hsa:1857,gene,hsa:1857,
FU_41eccfca,functional_unit,FU_41eccfca,logic=OR
FU_da8b81c3,functional_unit,FU_da8b81c3,logic=OR
FU_00ff16c6,functional_unit,FU_00ff16c6,logic=OR
hsa:51384,gene,hsa:51384,
hsa:54361,gene,hsa:54361,
hsa:7471,gene,hsa:7471,
hsa:7472,gene,hsa:7472,
hsa:7473,gene,hsa:7473,
hsa:7474,gene,hsa:7474,
hsa:7475,gene,hsa:7475,
hsa:7476,gene,hsa:7476,
hsa:7477,gene,hsa:7477,
hsa:7478,gene,hsa:7478,
hsa:7479,gene,hsa:7479,
hsa:7480,gene,hsa:7480,
hsa:7481,gene,hsa:7481,
hsa:7482,gene,hsa:7482,
hsa:7483,gene,hsa:7483,
hsa:7484,gene,hsa:7484,
hsa:80326,gene,hsa:80326,
hsa:81029,gene,hsa:81029,
hsa:89780,gene,hsa:89780,
FU_5cbf1add,functional_unit,FU_5cbf1add,logic=OR
FU_ed3d8316,functional_unit,FU_ed3d8316,logic=SINGLE
hsa:5925,gene,hsa:5925,
FU_feabeb17,functional_unit,FU_feabeb17,logic=OR
hsa:1869,gene,hsa:1869,
hsa:1870,gene,hsa:1870,
hsa:1871,gene,hsa:1871,
FU_80da2fb4,functional_unit,FU_80da2fb4,logic=SINGLE
FU_884483e1,functional_unit,FU_884483e1,logic=SINGLE
hsa:3815,gene,hsa:3815,
FU_d80d850a,functional_unit,FU_d80d850a,logic=SINGLE
FU_83fb9699,functional_unit,FU_83fb9699,logic=SINGLE
hsa:1026,gene,hsa:1026,
FU_7a0a22f7,functional_unit,FU_7a0a22f7,logic=SINGLE
hsa:4791,gene,hsa:4791,
FU_e181b744,functional_unit,FU_e181b744,logic=SINGLE
FU_e406e4cb,functional_unit,FU_e406e4cb,logic=SINGLE
FU_1de21de1,functional_unit,FU_1de21de1,logic=SINGLE
hsa:2260,gene,hsa:2260,
FU_e912eea2,functional_unit,FU_e912eea2,logic=SINGLE
FU_872accec,functional_unit,FU_872accec,logic=OR
FU_afb7c825,functional_unit,FU_afb7c825,logic=SINGLE
hsa:8600,gene,hsa:8600,
FU_9d4d7dc1,functional_unit,FU_9d4d7dc1,logic=SINGLE
FU_aebb10fd,functional_unit,FU_aebb10fd,logic=SINGLE
hsa:1950,gene,hsa:1950,
FU_0750e9b4,functional_unit,FU_0750e9b4,logic=SINGLE
FU_ddbb3bc4,functional_unit,FU_ddbb3bc4,logic=SINGLE
hsa:672,gene,hsa:672,
