ID,Gene.symbol,Gene.title,Gene.ID,adj.P.Val,P.Value,t,B,logFC
209911_x_at,HIST1H2BD,"histone cluster 1, H2bd",3017,1.19e-07,1.48e-08,7.05,9.28922,3.90987
201340_s_at,ENC1,ectodermal-neural cortex 1,8507,1.38e-07,1.76e-08,7,9.11898,3.02541
208546_x_at,HIST1H2BH,"histone cluster 1, H2bh",8345,1.68e-07,2.21e-08,6.93,8.89467,3.37635
243349_at,KIAA1324,KIAA1324,57535,1.72e-07,2.26e-08,6.92,8.87155,3.05269
1553622_a_at,FSIP1,fibrous sheath interacting protein 1,161835,1.91e-07,2.53e-08,6.88,8.75659,4.69815
204103_at,CCL4,C-C motif chemokine ligand 4,6351,1.95e-07,2.6e-08,6.88,8.73068,3.05852
243495_s_at,ZNF652,zinc finger protein 652,22834,2.34e-07,3.22e-08,6.81,8.51922,3.90467
223092_at,ANKH,ANKH inorganic pyrophosphate transport regulator,56172,2.41e-07,3.32e-08,6.8,8.48725,3.00075
203504_s_at,ABCA1,ATP binding cassette subfamily A member 1,19,2.49e-07,3.45e-08,6.79,8.45154,3.09874
201858_s_at,SRGN,serglycin,5552,2.75e-07,3.85e-08,6.76,8.34267,3.65203
201149_s_at,TIMP3,TIMP metallopeptidase inhibitor 3,7078,3.02e-07,4.29e-08,6.72,8.23413,3.98799
87100_at,ABHD2,abhydrolase domain containing 2,11057,3.04e-07,4.32e-08,6.72,8.2273,3.20864
202357_s_at,CFB,complement factor B,629,3.14e-07,4.48e-08,6.71,8.19066,3.0345
227722_at,RPS23,ribosomal protein S23,6228,3.2e-07,4.58e-08,6.7,8.169,3.06053
218398_at,MRPS30,mitochondrial ribosomal protein S30,10884,3.55e-07,5.14e-08,6.67,8.05371,3.76477
218468_s_at,GREM1,"gremlin 1, DAN family BMP antagonist",26585,3.82e-07,5.57e-08,6.64,7.9745,3.73311
212671_s_at,LOC100509457,"HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 2///major histocompatibility complex, class II, DQ alpha 1",100509457,3.85e-07,5.62e-08,6.64,7.96551,3.73762
209823_x_at,LOC101060835,"HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1",101060835,4.01e-07,5.9e-08,6.62,7.91696,3.06749
205321_at,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma,1968,4.21e-07,6.24e-08,6.61,7.86263,3.54773
225116_at,HIPK2,homeodomain interacting protein kinase 2,28996,4.57e-07,6.86e-08,6.58,7.76819,3.3126
201123_s_at,EIF5A,eukaryotic translation initiation factor 5A,1984,4.6e-07,6.92e-08,6.57,7.75969,5.03808
204285_s_at,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,5366,4.61e-07,6.95e-08,6.57,7.75523,3.37425
227742_at,CLIC6,chloride intracellular channel 6,54102,5.04e-07,7.7e-08,6.54,7.65379,5.92183
208078_s_at,SIK1,salt inducible kinase 1,150094,5.43e-07,8.38e-08,6.52,7.57017,3.63004
207414_s_at,LOC100507472,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6,100507472,5.47e-07,8.45e-08,6.51,7.56188,3.13079
204364_s_at,REEP1,receptor accessory protein 1,65055,6.03e-07,9.41e-08,6.48,7.45503,3.79196
228821_at,ST6GAL2,"ST6 beta-galactoside alpha-2,6-sialyltransferase 2",84620,6.33e-07,9.95e-08,6.46,7.39936,3.35582
209101_at,CTGF,connective tissue growth factor,1490,6.69e-07,1.06e-07,6.44,7.3372,3.55391
204533_at,CXCL10,C-X-C motif chemokine ligand 10,3627,6.85e-07,1.09e-07,6.44,7.31092,4.69862
219179_at,DACT1,dishevelled binding antagonist of beta catenin 1,51339,6.88e-07,1.09e-07,6.43,7.30538,3.15114
217889_s_at,CYBRD1,cytochrome b reductase 1,79901,7.03e-07,1.12e-07,6.43,7.28203,3.17316
210764_s_at,CYR61,cysteine rich angiogenic inducer 61,3491,8.9e-07,1.47e-07,6.34,7.01428,3.77566
230748_at,SLC16A6,solute carrier family 16 member 6,9120,9.1e-07,1.5e-07,6.34,6.98979,3.6798
209189_at,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",2353,1.11e-06,1.88e-07,6.27,6.77022,4.92071
224856_at,FKBP5,FK506 binding protein 5,2289,1.18e-06,2.01e-07,6.25,6.70276,3.02781
204379_s_at,FGFR3,fibroblast growth factor receptor 3,2261,1.55e-06,2.75e-07,6.15,6.39136,3.77168
205991_s_at,PRRX1,paired related homeobox 1,5396,1.66e-06,2.97e-07,6.13,6.3176,3.05951
208527_x_at,HIST1H2BE,"histone cluster 1, H2be",8344,2.06e-06,3.77e-07,6.05,6.07954,3.01125
227081_at,DNALI1,dynein axonemal light intermediate chain 1,7802,2.36e-06,4.4e-07,6.01,5.92696,3.16035
209773_s_at,RRM2,ribonucleotide reductase regulatory subunit M2,6241,2.47e-06,4.65e-07,5.99,5.87169,3.42856
229975_at,BMPR1B,bone morphogenetic protein receptor type 1B,658,2.58e-06,4.88e-07,5.97,5.82429,5.89686
205696_s_at,GFRA1,GDNF family receptor alpha 1,2674,2.81e-06,5.36e-07,5.95,5.73262,4.40429
231240_at,DIO2,"deiodinase, iodothyronine, type II",1734,3.76e-06,7.43e-07,5.85,5.40895,3.90317
227803_at,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),59084,4.13e-06,8.28e-07,5.81,5.30171,3.33323
212551_at,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)",10486,4.15e-06,8.33e-07,5.81,5.29601,3.06919
220340_at,GREB1L,growth regulation by estrogen in breast cancer 1 like,80000,4.3e-06,8.67e-07,5.8,5.25722,3.17552
213664_at,SLC1A1,solute carrier family 1 member 1,6505,5.24e-06,1.08e-06,5.73,5.03823,4.45859
204006_s_at,FCGR3B,Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa,2215,5.34e-06,1.11e-06,5.72,5.01616,3.56399
229160_at,MUM1L1,MUM1 like 1,139221,5.77e-06,1.21e-06,5.7,4.92714,3.3257
1552477_a_at,IRF6,interferon regulatory factor 6,3664,5.91e-06,1.24e-06,5.69,4.90193,3.03864
228648_at,LRG1,leucine rich alpha-2-glycoprotein 1,116844,6.02e-06,1.27e-06,5.68,4.88087,3.10567
205552_s_at,OAS1,2'-5'-oligoadenylate synthetase 1,4938,6.67e-06,1.42e-06,5.65,4.76905,3.301
1555725_a_at,RGS5,regulator of G-protein signaling 5,8490,7.52e-06,1.63e-06,5.6,4.63419,3.18481
203354_s_at,PSD3,pleckstrin and Sec7 domain containing 3,23362,8.45e-06,1.87e-06,5.56,4.4993,4.24679
205828_at,MMP3,matrix metallopeptidase 3,4314,9.81e-06,2.21e-06,5.51,4.3357,3.59576
206227_at,CILP,cartilage intermediate layer protein,8483,1.26e-05,2.93e-06,5.42,4.05515,4.09753
236293_at,RHOH,ras homolog family member H,399,1.27e-05,2.96e-06,5.42,4.04589,3.33203
227450_at,ERP27,endoplasmic reticulum protein 27,121506,1.38e-05,3.24e-06,5.39,3.95643,3.98404
223864_at,ANKRD30A,ankyrin repeat domain 30A,91074,2.08e-05,5.09e-06,5.25,3.51187,4.72931
204624_at,ATP7B,ATPase copper transporting beta,540,2.6e-05,6.55e-06,5.17,3.26394,3.09395
219197_s_at,SCUBE2,"signal peptide, CUB domain and EGF like domain containing 2",57758,3.91e-05,1.04e-05,5.03,2.81525,3.25972
204351_at,S100P,S100 calcium binding protein P,6286,6.54e-05,1.84e-05,4.85,2.25402,3.82086
203915_at,CXCL9,C-X-C motif chemokine ligand 9,4283,7.93e-05,2.27e-05,4.79,2.04569,4.0775
1555989_at,DAAM1,dishevelled associated activator of morphogenesis 1,23002,8.96e-05,2.61e-05,4.74,1.90962,3.34569
1553434_at,CYP4Z2P,"cytochrome P450 family 4 subfamily Z member 2, pseudogene",163720,9.74e-05,2.86e-05,4.71,1.82084,3.79177
232164_s_at,EPPK1,epiplakin 1,83481,0.000103,3.03e-05,4.69,1.7628,3.12531
216491_x_at,IGHM,immunoglobulin heavy constant mu,3507,0.000103,3.06e-05,4.69,1.75462,3.41777
222379_at,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4,23704,0.000118,3.53e-05,4.65,1.61505,4.20682
228554_at,PGR,progesterone receptor,5241,0.000175,5.5e-05,4.51,1.18322,3.24504
229764_at,TPRG1,tumor protein p63 regulated 1,285386,0.000728,0.000268,3.99,-0.352351,3.21005
235004_at,RBM24,RNA binding motif protein 24,221662,0.000893,0.000337,3.92,-0.574166,3.64399
211421_s_at,RET,ret proto-oncogene,5979,0.000995,0.000381,3.88,-0.691091,3.29219
