#node1,node2,combined_score
CCN1,FOS,0.753
CCN1,FN1,0.691
CCN1,CCN2,0.816
CCN1,POSTN,0.437
CCN1,ESR1,0.599
CCN2,TGFB1,0.969
CCN2,SERPINE1,0.819
CCN2,COL1A1,0.876
CCN2,LOXL1,0.417
CCN2,VCAN,0.407
CCN2,TIMP3,0.735
CCN2,CDH11,0.453
CCN2,THY1,0.646
CCN2,COL1A2,0.835
CCN2,MMP3,0.834
CCN2,FOS,0.72
CCN2,COL12A1,0.476
CCN2,CTHRC1,0.563
CCN2,COL6A1,0.554
CCN2,PON2,0.455
CCN2,PGK1,0.465
CCN2,PLAU,0.48
CCN2,RUNX2,0.503
CCN2,COL5A2,0.51
CCN2,MFAP2,0.523
CCN2,RHOA,0.59
CCN2,SPP1,0.605
CCN2,COL5A1,0.658
CCN2,CXCR4,0.669
CCN2,POSTN,0.716
CCN2,ITGB1,0.794
CCN4,COL1A1,0.477
CCN4,COL11A1,0.408
CCN4,RUNX2,0.417
CCN4,FN1,0.427
CCN4,COL10A1,0.521
CCN4,POSTN,0.584
CCT2,EIF2S3,0.712
CCT2,RPS23,0.561
CCT2,SRSF3,0.42
CCT2,UBE2N,0.449
CCT2,TPM4,0.454
CCT2,TOP2A,0.482
CCT2,HSPD1,0.668
CD164,SCARB2,0.521
CD164,WASHC4,0.434
CD164,FN1,0.451
CD24,TGFB1,0.484
CD24,NOTCH2,0.45
CD24,THY1,0.71
CD24,PGR,0.585
CD24,FN1,0.52
CD24,HSP90AB1,0.745
CD24,SPP1,0.409
CD24,CLDN3,0.415
CD24,ITGB1,0.709
CD24,CXCR4,0.64
CD24,ESR1,0.614
CD24,FCGR3B,0.623
CD24,MUC1,0.552
CD74,TWF1,0.405
CD74,TOP2A,0.427
CD74,RET,0.441
CD74,FCGR3B,0.464
CD74,EZR,0.5
CD74,CXCL9,0.54
CD74,CXCL10,0.551
CDC42SE1,TMED2,0.427
CDH11,FAP,0.432
CDH11,SULF1,0.464
