Entrez ID,Gene Symbol,Oncogene Score,LogFC,p-value,Adj p-value,Pathway Matrix Organization,Pathway Degradation Matrix,Pathway Collagen Formation
4534,MTM1,0.00422964,0.0517832,0.554162,0.627595,0,0,0
6351,CCL4,0.0760704,3.05852,2.67934e-08,2.05887e-07,0,0,0
6618,SNAPC2,0,0.0711349,0.62278,0.689398,0,0,0
4897,NRCAM,0.0190412,0.486439,0.341999,0.422339,0,0,0
7016,TESK1,0,-0.569311,5.12349e-05,0.000164498,0,0,0
4800,NFYA,0.087807,1.18679,8.33793e-09,7.53274e-08,0,0,0
3176,HNMT,0.085988,0.443139,0.0370524,0.0610386,0,0,0
22795,NID2,0.0253596,3.18816,2.21129e-09,2.44705e-08,1,0,0
2791,GNG11,0.0148404,-1.68754,9.44955e-09,8.40354e-08,0,0,0
3561,IL2RG,0.018582,1.35638,0.0133691,0.0245049,0,0,0
5550,PREP,0.0199586,1.73237,1.40965e-07,8.71531e-07,0,0,0
962,CD48,0.0514695,1.59436,0.00472617,0.00964913,0,0,0
132,ADK,0.0786034,0.961834,4.95961e-05,0.000159813,0,0,0
10912,GADD45G,0.0645755,0.808087,0.0257267,0.0440127,0,0,0
7305,TYROBP,0.0230656,1.53915,1.16754e-05,4.35075e-05,0,0,0
10568,SLC34A2,0.490107,-0.687519,2.91766e-05,9.91614e-05,0,0,0
51103,NDUFAF1,0.351127,1.07865,2.10419e-06,9.4093e-06,0,0,0
8318,CDC45,0.0773133,0.278414,0.129385,0.183508,0,0,0
5983,RFC3,0.167054,1.39988,2.03495e-05,7.15378e-05,0,0,0
607,BCL9,0.529737,0.317915,0.0089182,0.0170797,0,0,0
3291,HSD11B2,0.0201548,0.207495,0.322981,0.403088,0,0,0
2309,FOXO3,0.54276,-0.996253,4.51936e-06,1.85792e-05,0,0,0
9136,RRP9,0.0752506,-0.055231,0.581371,0.652648,0,0,0
5138,PDE2A,0.104887,-2.96033,3.27859e-17,8.79652e-15,0,0,0
1294,COL7A1,0.116923,-1.51859,1.25982e-05,4.65677e-05,1,1,1
7107,GPR137B,0.00922637,2.38605,3.07365e-12,1.00477e-10,0,0,0
7593,MZF1,0.101457,0.255564,0.0999808,0.146492,0,0,0
8460,TPST1,0.0143804,0.634134,0.0605723,0.0945279,0,0,0
7280,TUBB2A,0.618031,-0.891834,0.00112207,0.00263994,0,0,0
55556,ENOSF1,0.00147832,0.174079,0.366443,0.447819,0,0,0
9091,PIGQ,0,-0.0363768,0.856639,0.887987,0,0,0
