gene1_symbol,gene2_symbol,combined_score
SDC1,PECAM1,0.356
SDC1,ITGA6,0.499
SDC1,CD9,0.292
SDC1,CASK,0.292
GYG2,OSTC,0.19
SGCB,SGCE,0.965
SGCB,DAG1,0.927
SGCB,PGM5,0.72
SGCB,SNTB1,0.54
OCIAD1,BLVRA,0.186
OCIAD1,RHOA,0.181
ASAH1,BLVRA,0.198
ASAH1,CERS6,0.9
RAD1,CDCA7L,0.56
C1QTNF3,KLHL13,0.206
CD9,ITGB1,0.923
CD9,DAG1,0.292
CD9,CD36,0.686
CD9,ITGA6,0.457
CD9,PRKCA,0.614
CD9,SERPINH1,0.697
CD9,CD44,0.946
CD9,MME,0.681
CIDEC,PRSS2,0.198
TSN,DICER1,0.54
LAMB3,DAG1,0.499
LAMB3,ITGB1,0.65
LAMB3,ITGA6,0.65
LAMB3,LAMA2,0.638
CAPN10,CAPNS1,0.506
CAPN10,CAST,0.245
CERS6,FZD4,0.165
ECT2,RHOA,0.317
ECT2,GNAI1,0.292
ECT2,DOP1B,0.292
ECT2,FOLR1,0.292
ECT2,HNRNPF,0.292
ECT2,ALDOC,0.292
ECT2,ALYREF,0.292
ECT2,CFL1,0.315
ECT2,MME,0.292
ECT2,MATR3,0.292
ECT2,ERLIN2,0.292
ECT2,NOLC1,0.292
ECT2,PHGDH,0.3
ECT2,CD44,0.292
ECT2,SEPTIN2,0.292
SRPK2,TPD52,0.292
SRPK2,NSG1,0.42
SRPK2,CASK,0.292
FOLR1,SAR1B,0.499
KRT15,FAM107A,0.193
EFEMP1,MFAP4,0.677
EFEMP1,FBLN2,0.432
EFEMP1,LTBP1,0.196
EFEMP1,SERPINH1,0.292
MATR3,FOXC1,0.292
MATR3,HNRNPF,0.493
MATR3,AGR2,0.292
MATR3,CDK1,0.183
COL4A6,COL4A4,0.54
COL4A6,COL8A2,0.198
COL4A6,SERPINH1,0.532
COL4A6,COL4A3,0.563
SPOCK1,AGR2,0.292
SPP1,CD44,0.998
SPP1,ITGA4,0.802
SPP1,ITGB1,0.956
CDK1,ERLIN2,0.292
CDK1,CREB1,0.292
CDK1,SAR1B,0.19
ALDOC,SOD2,0.183
ALDOC,AGR2,0.165
ALDOC,SAR1B,0.197
HLA-DRA,ACAN,0.422
HLA-DRA,PACC1,0.163
HLA-DRA,ANGPT1,0.158
HLA-DRA,MFAP4,0.158
HLA-DRA,SAR1B,0.499
MFAP4,RNF115,0.229
MFAP4,FBLN2,0.499
SNTB1,SGCE,0.54
SNTB1,DTNB,0.702
SNTB1,CASK,0.163
SNTB1,DTNA,0.74
SNTB1,PGM5,0.54
SNTB1,DAG1,0.581
NCALD,CASK,0.252
YWHAZ,CFL1,0.756
YWHAZ,ITGA4,0.631
YWHAZ,RABEP1,0.239
YWHAZ,PPP2R5C,0.183
YWHAZ,IGF1R,0.376
YWHAZ,PRKCA,0.292
YWHAZ,ITGB2,0.743
YWHAZ,AGR2,0.457
ITGB1,RHOA,0.358
ITGB1,DAG1,0.321
ITGB1,ITGAM,0.905
ITGB1,COL4A3,0.518
ITGB1,ITGA7,0.983
ITGB1,IGF1R,0.746
ITGB1,PRKCA,0.837
ITGB1,ITGB2,0.983
ITGB1,JAM2,0.904
ITGB1,ITGA6,0.999
ITGB1,LAMA2,0.65
ITGB1,ITGAX,0.906
ITGB1,COL13A1,0.499
ITGB1,LTBP1,0.499
ITGB1,COL9A3,0.499
ITGB1,DSPP,0.499
ITGB1,ITGA4,0.999
ITGB1,CD36,0.76
ITGB1,CD44,0.623
PGM5,SGCE,0.72
PGM5,DAG1,0.72
COL4A3,COL4A4,0.942
COL4A3,SERPINH1,0.526
COL4A3,AGR2,0.292
SLC30A5,RAB1A,0.329
SLC30A5,RHOA,0.163
COL4A4,SERPINH1,0.505
ITGA4,JAM2,0.937
ITGA4,ITGA6,0.718
ITGA4,ITGAX,0.774
ITGA4,PRSS2,0.161
ITGA4,CD44,0.762
ITGA4,ITGAM,0.656
ITGA4,ITGA7,0.54
ITGA4,ITGB2,0.95
CAPN3,CAPNS1,0.52
CAPN3,CAST,0.284
CAPN3,CRYAB,0.189
MYCBP,P4HA3,0.154
COL8A2,COL28A1,0.4
COL8A2,SERPINH1,0.526
COL8A2,COL9A3,0.4
ROBO3,PRKCA,0.499
ITGB2,ICAM2,0.998
ITGB2,ITGA6,0.825
ITGB2,LCP1,0.292
ITGB2,ITGAX,0.999
ITGB2,ITGAM,0.999
ITGB2,ITGA7,0.575
ITGB2,PRKCA,0.308
PLPP4,PLPP5,0.9
COL13A1,AGR2,0.165
COL13A1,SERPINH1,0.505
COL28A1,SERPINH1,0.499
COL28A1,COL9A3,0.4
CLDN8,CLDN5,0.65
MATN3,TF,0.358
MATN3,DNAJC3,0.292
DTNB,DAG1,0.767
DTNB,CASK,0.4
DTNB,DTNA,0.329
FBLN2,LTBP1,0.355
FBLN2,ACAN,0.798
C1S,C4A,0.563
NOLC1,DDR1,0.292
SAR1B,AGR2,0.165
SAR1B,CALU,0.199
SAR1B,BZW1,0.191
BLVRA,RHOA,0.161
LTBP1,FBN2,0.502
ITGA6,ITGA7,0.54
ITGA6,RHOA,0.161
ITGA6,CD36,0.292
ITGA6,ITGAM,0.54
ITGA6,LAMA2,0.724
ITGA6,ITGAX,0.54
KDELR3,RAB1A,0.499
RAB1A,AGR2,0.457
RAB1A,RABEP1,0.292
RAB1A,RAB31,0.229
RAB1A,RHOA,0.161
CREB1,FOXC1,0.194
AGR2,SEPTIN2,0.165
AGR2,PC,0.292
AGR2,PHGDH,0.165
AGR2,ERLIN2,0.292
AGR2,SERPINH1,0.292
AGR2,RAB31,0.165
AGR2,CAPNS1,0.165
AGR2,CFL1,0.292
AGR2,ALYREF,0.165
AGR2,FBP1,0.165
AGR2,BZW1,0.165
AGR2,HNRNPF,0.165
AGR2,XPNPEP1,0.165
AGR2,DAG1,0.468
AGR2,CAPN1,0.165
TMX1,DNAJC3,0.237
TMX1,RHOA,0.165
BZW1,PACC1,0.224
C4A,CFB,0.681
C4A,FOXC1,0.292
C4A,TLE3,0.363
GSPT1,EIF4E,0.191
CD44,RHOA,0.443
RHOA,XPNPEP1,0.163
RHOA,DAG1,0.161
RHOA,PTPRS,0.161
RHOA,SLC33A1,0.161
RHOA,SLC38A1,0.161
RHOA,ARHGEF28,0.523
RHOA,JAK1,0.161
LAMA2,DAG1,0.994
LAMA2,ITGA7,0.499
HNRNPF,ESRP1,0.499
RANGAP1,DDR1,0.292
RANGAP1,UBE2T,0.229
RANGAP1,GNAI1,0.161
TBL1XR1,FOXC1,0.292
PBX1,FOXC1,0.758
PRKCA,JAK1,0.292
PPP2R5C,PRR14,0.595
PPP2R5C,PECAM1,0.499
LRRC15,ADGRL3,0.349
LRRC15,B3GALNT1,0.224
MID1,PDLIM5,0.292
ICAM2,ITGAM,0.993
CFB,CFD,0.997
KLHL13,ENC1,0.917
ALYREF,TLE3,0.218
FNIP1,SOD2,0.183
CAST,CAPN1,0.938
CAST,CAPNS1,0.743
ADGRL3,GNAI1,0.38
EIF4E,DICER1,0.9
OSTC,SLC38A1,0.221
ERLIN2,PSENEN,0.292
ERLIN2,SLC38A1,0.221
TPD52,PDLIM5,0.159
TPD52,CALU,0.42
CAPN1,CAPNS1,0.999
CFL1,SERPINH1,0.224
CFL1,SOD2,0.161
CKAP5,PACC1,0.222
CRYAB,TK1,0.163
SERPINH1,COL9A3,0.505
DICER1,MRPL42,0.167
DICER1,SOD2,0.411
CALU,DNAJC3,0.443
DAG1,SGCE,0.959
SOD2,AIFM2,0.245
SOD2,DNAJC3,0.152
C12orf75,PTP4A1,0.165
ITGA7,ITGAM,0.54
ITGA7,ITGAX,0.54
TLE3,FOXC1,0.292
ITGAX,ITGAM,0.54
RAB31,VPS8,0.194
DTNA,CASK,0.163
GHR,JAK1,0.852
GHR,IGF1R,0.292
PHGDH,SLC33A1,0.186
IGF1R,JAK1,0.565
IGF1R,GNAI1,0.292
