Entrez ID,Gene Symbol,Matrix Differential,LogFC,p-value
440387,CTRB2,M,-0.0735451,0.0689734
?,NAT1,H,6.4477,0.000104138
9509,ADAMTS2,M,0.150759,0.644473
27236,ARFIP1,H,3.04057,1.44571e-05
1295,COL8A1,M,1.57953,0.0414386
9073,CLDN8,H,-2.90606,6.84741e-08
3672,ITGA1,M,-0.512381,0.0068733
6641,SNTB1,M,-0.048343,0.212202
891,CCNB1,H,3.09462,4.4399e-05
5380,PMS2L2,H,2.63281,1.72528e-08
9508,ADAMTS3,M,-0.260606,0.0708218
349152,DPY19L2P2,H,-3.17125,0.000472031
63923,TNN,M,0.510185,0.524639
2747,GLUD2,H,2.79208,7.01261e-05
23117,NPIPA5,H,3.27062,1.07049e-07
3913,LAMB2,M,-0.92647,2.45543e-05
79184,BRCC3,H,2.51936,9.83924e-05
1302,COL11A2,M,-0.0880037,0.310024
1758,DMP1,M,-0.86361,6.74191e-11
4499,MT1M,H,-2.66858,2.19137e-05
51155,HN1,H,2.34914,0.00065985
?,A2M,M,-1.03823,1.32655e-10
11031,RAB31,H,2.73877,0.000232775
51280,GOLM1,H,2.64792,2.58823e-07
51495,PTPLAD1,H,4.9128,5.46457e-08
5832,ALDH18A1,H,3.00961,3.71687e-11
7328,UBE2H,H,4.04792,5.12665e-08
51714,SELT,H,2.78953,2.37192e-07
10927,SPIN1,H,2.46112,3.35547e-07
51133,KCTD3,H,2.74302,1.04862e-06
28977,MRPL42,H,3.4344,3.20236e-11
51164,DCTN4,H,3.33281,5.92265e-10
55706,NDC1,H,2.5254,4.0777e-06
55198,APPL2,H,2.39944,2.45219e-10
57645,POGK,H,2.58255,1.69599e-08
81539,SLC38A1,H,2.67391,1.54607e-05
79016,DDA1,H,3.04498,2.76585e-06
55851,PSENEN,H,4.13138,2.11335e-08
79956,ERMP1,H,3.26651,7.5607e-11
55055,ZWILCH,H,2.96443,3.27483e-05
27005,USP21,H,2.31862,8.67345e-06
51330,TNFRSF12A,H,2.9909,2.7472e-05
23528,ZNF281,H,3.05,3.50017e-06
51397,COMMD10,H,2.7271,8.08361e-09
26585,GREM1,H,3.83779,0.00028909
79709,COLGALT1,M,0.502734,0.00354687
54442,KCTD5,H,2.6053,6.81905e-10
79666,PLEKHF2,H,2.98404,8.75768e-10
55323,LARP6,H,-2.35416,1.61489e-05
8322,FZD4,H,-2.63513,1.33354e-05
10763,NES,H,-2.94666,1.80528e-09
55214,LEPREL1,H,-2.44329,1.2233e-05
54873,PALMD,H,-2.75175,0.000499859
29028,ATAD2,H,4.48503,0.000361471
10451,VAV3,H,4.33772,5.41233e-07
51162,EGFL7,H,-2.36793,2.36825e-08
64757,MARC1,H,-2.88856,2.19192e-05
51728,POLR3K,H,3.56771,1.82044e-09
54997,TESC,H,-4.44958,1.02129e-07
79682,CENPU,H,3.16921,6.36434e-06
9317,PTER,H,3.13465,3.25749e-08
50509,COL5A3,M,-0.57456,0.0942089
56521,DNAJC12,H,3.42379,0.000925011
55500,ETNK1,H,3.55113,0.000166483
55435,AP1AR,H,2.56699,1.18319e-06
10894,LYVE1,H,-4.03838,2.36329e-05
54829,ASPN,B,4.31156,1.22234e-06
55022,PID1,H,-2.72192,1.15023e-08
57103,C12orf5,H,2.69832,2.29981e-06
54845,ESRP1,H,4.57252,1.43603e-09
5950,RBP4,H,-7.52572,0.000150911
58494,JAM2,M,-1.78391,4.44025e-08
55273,TMEM100,H,-4.39841,4.71976e-05
26577,PCOLCE2,B,-6.02577,4.71635e-05
10678,B3GNT2,H,2.96205,8.70946e-07
11132,CAPN10,M,-0.181708,0.0845651
55033,FKBP14,H,2.62823,8.33074e-08
63924,CIDEC,H,-6.70992,0.000142917
65987,KCTD14,H,-2.71372,5.93262e-07
64221,ROBO3,H,-2.85037,1.78405e-10
757,TMEM50B,H,2.46288,1.66884e-09
2266,FGG,M,-0.839919,0.0474705
79183,TTPAL,H,2.41608,1.59025e-06
80223,RAB11FIP1,H,2.68725,0.000523244
56920,SEMA3G,H,-3.69761,5.25751e-08
54847,SIDT1,H,2.57573,1.92933e-06
1894,ECT2,H,2.90254,6.56956e-09
11254,SLC6A14,H,-3.53564,7.24838e-06
4054,LTBP3,M,0.0911939,0.632675
11096,ADAMTS5,B,-3.43258,6.05361e-18
54922,RASIP1,H,-2.99144,2.01418e-16
80127,CCDC176,H,3.07624,4.24187e-05
79966,SCD5,H,-3.91938,1.11315e-14
55791,LRIF1,H,2.91422,2.91306e-07
27190,IL17B,H,-2.54095,0.000110192
79785,RERGL,H,-3.15769,5.75991e-05
80267,EDEM3,H,2.50499,0.000451957
63970,TP53AIP1,H,-2.44964,3.38014e-08
152015,ROPN1B,H,-4.1255,2.80315e-07
29058,TMEM230,H,2.96239,2.44042e-08
55567,DNAH3,H,-3.054,1.69673e-11
55679,LIMS2,H,-2.80544,6.07578e-11
80215,RUNX1-IT1,H,2.82021,8.57907e-05
114899,C1QTNF3,H,2.62456,0.000193742
81671,MIR21,H,2.59962,0.00074989
51129,ANGPTL4,H,-4.08632,2.38157e-11
81031,SLC2A10,H,3.19189,1.69814e-05
50807,ASAP1,H,2.44242,4.43156e-07
26503,SLC17A5,H,2.8124,3.78142e-05
55798,METTL2A,H,2.37156,3.05483e-10
51085,MLXIPL,H,-3.83573,2.14004e-05
54964,C1orf56,H,2.33556,6.34874e-06
81537,SGPP1,H,2.67659,0.000691554
1149,CIDEA,H,-5.40571,0.000147028
81555,YIPF5,H,2.8781,4.06928e-10
79718,TBL1XR1,H,2.93586,2.17503e-05
58528,RRAGD,H,-2.34724,1.49179e-07
11160,ERLIN2,H,2.35716,4.12237e-05
6646,SOAT1,H,2.69666,4.54756e-05
50848,F11R,B,2.44784,3.53155e-07
1834,DSPP,M,-2.03777,4.60759e-05
1290,COL5A2,B,3.66041,1.49297e-07
54431,DNAJC10,H,2.87094,5.93234e-06
5317,PKP1,H,-2.95592,3.3006e-08
1296,COL8A2,B,3.16874,2.52835e-05
?,ACACB,H,-4.15947,1.48459e-07
90362,FAM110B,H,2.62255,0.000507475
1285,COL4A3,M,-0.105495,0.00200281
9510,ADAMTS1,M,-0.813873,0.0866615
29956,CERS2,H,2.63289,5.73219e-06
55248,TMEM206,H,2.75852,0.000175316
252839,TMEM9,H,2.44702,7.01398e-07
58505,OSTC,H,2.59743,2.18004e-11
23731,TMEM245,H,3.34693,5.07772e-08
54940,OCIAD1,H,2.42123,1.53849e-08
51534,VTA1,H,2.54109,3.82028e-10
56172,ANKH,H,2.31473,3.47378e-05
10809,STARD10,H,2.40043,1.29535e-05
6423,SFRP2,H,2.84453,2.95189e-07
83666,PARP9,H,2.79187,3.05338e-05
29089,UBE2T,H,3.20658,6.76757e-05
84520,C14orf142,H,2.79423,2.25629e-07
55170,PRMT6,H,2.64213,4.70989e-06
2706,GJB2,H,6.73202,0.000194895
59277,NTN4,M,1.01696,0.0427836
83643,CCDC3,H,-3.41985,0.000125885
60592,SCOC,H,3.01368,4.43392e-08
58475,MS4A7,H,3.75951,0.000486384
26996,GPR160,H,4.38485,0.000107936
56963,RGMA,H,-2.71918,3.23526e-09
84513,PPAPDC1B,H,2.47011,4.53178e-06
114904,C1QTNF6,H,2.33408,1.24277e-05
84417,C2orf40,H,-3.41939,5.41204e-14
54742,LY6K,H,-2.33044,2.54287e-08
79937,CNTNAP3,H,-3.96482,1.00183e-06
85329,LGALS12,H,-5.09319,0.000724914
56477,CCL28,H,-2.63664,1.98441e-05
11185,INMT,H,-2.94558,5.52394e-09
54763,ROPN1,H,-3.75389,7.54963e-05
23671,TMEFF2,H,-4.10824,3.14489e-10
84034,EMILIN2,M,-2.14979,0.00119339
84883,AIFM2,H,-2.99222,3.12229e-05
55897,MESP1,H,-2.47153,1.11637e-09
84803,AGPAT9,H,-2.79931,0.000144635
199692,ZNF627,H,2.88621,1.58395e-09
55959,SULF2,H,2.57674,1.40083e-05
80315,CPEB4,H,2.3002,0.000375925
57580,PREX1,H,3.25895,7.87516e-08
147495,APCDD1,H,-2.7159,1.55132e-07
55536,CDCA7L,H,-2.66208,4.02857e-09
387882,C12orf75,H,2.47827,0.000274844
85301,COL27A1,M,-0.0321006,0.945924
56204,FAM214A,H,3.00309,4.25748e-07
286144,TRIQK,H,2.68665,0.000638323
1303,COL12A1,B,3.71128,7.18128e-07
115908,CTHRC1,H,4.4779,2.39231e-09
171024,SYNPO2,H,-2.58607,3.48045e-06
57182,ANKRD50,H,2.32573,5.64058e-07
54538,ROBO4,H,-2.72816,1.26963e-11
5284,PIGR,H,-4.6245,2.19251e-08
5239,PGM5,H,-2.30116,3.82557e-08
10189,ALYREF,H,3.89668,0.000416824
85007,PHYKPL,M,-0.14277,0.29419
5802,PTPRS,B,-2.82235,8.53848e-12
260425,MAGI3,H,2.6172,0.000220052
56999,ADAMTS9,B,-2.52334,5.09917e-10
81706,PPP1R14C,H,-2.44287,1.39392e-06
84624,FNDC1,H,4.69667,7.00913e-06
222171,PRR15,H,3.81536,5.35434e-05
94274,PPP1R14A,H,-4.63444,6.74212e-12
84171,LOXL4,B,-3.70168,4.77408e-05
114134,SLC2A13,H,2.43075,0.000466951
203328,SUSD3,H,5.22956,0.000155763
222962,SLC29A4,H,-2.87661,0.000987227
219348,PLAC9,H,-3.823,1.24356e-08
1879,EBF1,H,-3.11607,5.15941e-08
57484,RNF150,H,-3.78559,0.000850791
27151,CPAMD8,H,-2.57834,8.23157e-12
286827,TRIM59,H,3.63116,4.09446e-06
55504,TNFRSF19,H,3.57822,2.10937e-05
59352,LGR6,H,-3.53457,2.55646e-09
148170,CDC42EP5,H,-2.49773,8.21103e-09
90293,KLHL13,H,-4.87089,5.89271e-09
5212,VIT,H,-2.58231,1.28335e-05
399668,LINC00086,H,-4.05742,5.26114e-11
152687,ZNF595,H,-5.31194,3.85944e-10
57221,KIAA1244,H,2.45269,0.000335024
84870,RSPO3,H,-3.94144,0.000689384
155465,AGR3,H,4.34316,0.000117571
96459,FNIP1,H,3.20937,0.000489517
?,CTB-50L17.7,H,2.61534,5.2088e-05
84695,LOXL3,M,0.030707,0.843642
90187,EMILIN3,M,-0.199565,0.258409
222663,SCUBE3,M,1.83923,0.292347
729359,PLIN4,H,-6.08451,3.58003e-05
153579,BTNL9,H,-4.03992,1.02888e-05
80309,SPHKAP,H,-2.52906,0.000185017
375295,LINC01116,H,2.52575,0.000727568
100820829,MYZAP,H,-3.77244,0.000890025
375033,PEAR1,H,-3.10306,6.89617e-12
101927027,LOC101927027,H,2.49974,3.40231e-05
389432,SAMD5,H,-3.84281,6.66865e-08
283208,P4HA3,M,1.41127,0.000465864
147968,CAPN12,M,0.0259104,0.908216
115330,GPR146,H,-3.99306,1.07329e-06
348093,RBPMS2,H,-3.17338,0.000110909
283927,NUDT7,H,-2.36936,5.94635e-07
169044,COL22A1,M,1.96722,0.551067
221303,FAM162B,H,-2.50433,3.30697e-05
339983,NAT8L,H,-2.84049,1.99218e-06
256691,MAMDC2,H,-2.41062,2.19888e-08
342667,STAC2,H,-3.01562,1.07027e-05
84913,ATOH8,H,-3.70976,0.000212519
388743,CAPN8,M,2.51032,0.0100624
148898,C1orf213,H,-2.74862,0.000827166
148808,MFSD4,H,-3.04132,2.66012e-07
147463,ANKRD29,H,-2.33771,1.42617e-06
114818,KLHL29,H,-2.75417,3.03487e-07
348094,ANKDD1A,H,-2.31742,0.000119954
?,RP1-193H18.2,H,-3.69791,4.70052e-05
1286,COL4A4,M,-0.217599,0.0603291
286133,SCARA5,H,-6.30262,3.63537e-06
170692,ADAMTS18,M,-1.01287,0.0288187
145270,PRIMA1,H,-2.59241,2.03566e-06
2151,F2RL2,H,2.85014,8.42234e-05
140766,ADAMTS14,M,0.246768,0.182605
92304,SCGB3A1,H,-5.54389,8.03118e-05
79192,IRX1,H,-4.20945,2.85214e-11
572558,PGM5-AS1,H,-3.78551,4.72047e-05
131873,COL6A6,B,-4.30661,1.69069e-06
28999,KLF15,H,-2.42261,4.15419e-05
654466,KGFLP2,H,-2.82796,1.39288e-10
148741,ANKRD35,H,-3.02297,1.42118e-13
140706,CCM2L,H,-2.73154,5.53225e-05
100628315,DNM3OS,H,3.02035,4.42617e-05
860,RUNX2,H,2.8357,3.40849e-07
92293,TMEM132C,H,-4.09595,0.00034345
401052,LOC401052,H,-3.11551,1.36486e-06
140849,LINC00266-1,H,-2.58118,5.62589e-06
100271840,LOC100271840,H,-2.36023,0.000494554
136227,COL26A1,M,-0.70794,0.00269652
80274,SCUBE1,M,-0.757106,1.91603e-06
55902,ACSS2,H,-2.46131,8.83529e-09
100190986,LOC100190986,H,4.52196,0.000874753
123169,LEO1,H,2.50917,2.2712e-07
10350,ABCA9,H,-3.16263,5.47235e-07
727936,GXYLT2,H,4.68477,5.76275e-05
646962,HRCT1,H,-2.85477,6.79448e-05
8516,ITGA8,M,0.578822,0.182846
196051,PPAPDC1A,H,4.93594,0.000316853
?,RP11-2E11.9,H,-4.36421,1.4086e-06
6330,SCN4B,H,-3.8447,2.60094e-13
123099,DEGS2,H,3.08247,0.000127207
100288911,LOC100288911,H,-3.04234,4.71008e-12
?,AX747132,H,-3.39042,3.39235e-08
101929520,LINC00993,H,2.50416,0.000350544
100874392,ANKRD20A12P,H,-3.43165,2.82346e-12
338328,GPIHBP1,H,-4.95228,4.78559e-07
116362,RBP7,H,-4.0387,1.28502e-07
170690,ADAMTS16,M,1.30434,0.0080615
?,RP3-428L16.2,H,3.19776,3.16531e-05
55137,FIGN,H,-3.43269,1.45127e-11
286753,TUSC5,H,-5.9023,3.86102e-06
9058,SLC13A2,H,-2.96477,1.63375e-07
84467,FBN3,M,-0.100547,0.0486521
340267,COL28A1,M,-0.057177,0.326002
63827,BCAN,M,-0.0412832,0.268418
285512,FAM13A-AS1,H,-2.56222,1.66464e-08
349136,WDR86,H,-2.79727,3.11967e-05
?,CR936796,H,-3.07396,1.4692e-05
100507311,LOC100507311,H,-3.71131,6.49782e-13
9620,CELSR1,H,3.96578,1.00855e-05
