Entrez ID,Gene Symbol,Matrix Differential,LogFC,p-value
4313,MMP2,M,1.07276,0.00128418
378,ARF4,H,3.26056,3.88031e-12
7057,THBS1,M,1.48262,0.150773
10857,PGRMC1,H,2.66991,1.91487e-07
3693,ITGB5,M,1.35305,0.000151891
999,CDH1,M,3.04036,0.0274623
7078,TIMP3,H,2.41831,0.000283859
2773,GNAI3,H,2.76638,8.68728e-10
5654,HTRA1,M,0.930377,0.00225566
481,ATP1B1,H,2.48585,0.000140155
6856,SYPL1,H,2.64103,3.08607e-07
633,BGN,B,2.34501,1.63811e-07
6382,SDC1,M,1.45434,0.000677173
9315,NREP,H,4.88999,8.78629e-07
6451,SH3BGRL,H,3.7439,1.16059e-05
8507,ENC1,H,2.90614,5.70803e-05
2878,GPX3,H,-3.34515,0.00084851
4947,OAZ2,H,2.39336,2.18866e-11
678,ZFP36L2,H,3.05228,0.000203983
5339,PLEC,M,0.522379,0.00342555
3185,HNRNPF,H,2.62783,2.59308e-12
3678,ITGA5,M,0.14586,0.512457
3482,IGF2R,H,2.4681,6.88409e-08
26227,PHGDH,H,-2.79226,9.60124e-18
1977,EIF4E,H,2.49871,1.27623e-08
1293,COL6A3,M,1.83856,7.91137e-09
1266,CNN3,H,3.105,6.47291e-06
9184,BUB3,H,2.68183,7.42571e-07
3675,ITGA3,M,-0.463754,0.0376872
6240,RRM1,H,3.13357,4.21558e-09
7247,TSN,H,3.42672,1.11204e-09
3912,LAMB1,M,0.142556,0.526163
7334,UBE2N,H,3.86911,3.35881e-11
10765,KDM5B,H,2.57128,9.11381e-08
3916,LAMP1,H,3.82446,4.17677e-05
25932,CLIC4,H,2.8469,5.26209e-05
1635,DCTD,H,2.44856,2.16432e-07
3371,TNC,M,1.8125,0.0105103
950,SCARB2,H,3.57825,6.06499e-07
3339,HSPG2,M,1.05967,0.0280285
3655,ITGA6,M,-0.968599,0.000778504
10051,SMC4,H,4.8944,1.39809e-06
7076,TIMP1,M,1.14473,3.79312e-06
7163,TPD52,H,5.96187,2.12664e-06
4860,PNP,H,3.96198,0.000338395
8508,NIPSNAP1,H,2.30817,1.84342e-07
7805,LAPTM5,H,2.96609,0.0002934
4060,LUM,M,0.77609,0.00014519
2192,FBLN1,M,0.912298,0.0607269
3852,KRT5,H,-3.30336,3.76664e-10
51097,SCCPDH,H,2.39526,1.16297e-05
2202,EFEMP1,M,-1.00189,0.00260228
1281,COL3A1,B,2.68077,8.9836e-11
1634,DCN,M,0.32023,0.141178
2935,GSPT1,H,2.99698,4.37709e-11
1362,CPD,H,2.3375,0.000263671
5045,FURIN,M,-0.376296,0.355183
10576,CCT2,H,3.21673,4.20923e-09
523,ATP6V1A,H,5.06501,2.3819e-07
4811,NID1,M,0.793998,0.0142896
230,ALDOC,H,-3.44735,0.000156819
6422,SFRP1,H,-4.70357,5.52993e-07
6385,SDC4,M,0.0270172,0.914446
1514,CTSL,M,0.367774,0.12038
7450,VWF,B,-2.60649,4.17216e-13
9870,AREL1,H,2.49365,1.39086e-06
8780,RIOK3,H,2.88059,1.37273e-08
8985,PLOD3,M,0.311152,0.0902171
3910,LAMA4,M,-1.2511,4.39235e-05
3918,LAMC2,M,-1.923,5.45137e-07
?,ACTG2,M,-2.17475,1.20651e-05
10277,UBE4B,H,2.39559,4.36548e-06
4147,LOC100506558,H,-3.45351,2.51173e-14
3685,ITGAV,M,1.00348,2.10131e-06
629,CFB,H,3.29936,0.000702928
6695,SPOCK1,H,2.62878,0.000522154
1278,COL1A2,M,1.94419,3.88689e-10
26121,PRPF31,H,2.35674,6.18138e-09
1513,CTSK,M,1.79993,9.40937e-05
11098,PRSS23,H,3.03968,0.000635062
5118,PCOLCE,M,0.535974,0.0321941
9768,KIAA0101,H,4.77583,6.19338e-05
23650,TRIM29,H,-2.52542,3.89111e-11
2764,GMFB,H,3.95456,1.2443e-08
51573,GDE1,H,4.03059,4.16654e-06
102,ADAM10,M,0.678613,0.000459779
5352,PLOD2,M,2.18952,0.00314051
3383,ICAM1,M,1.7739,0.00351708
4893,NRAS,H,2.67379,2.35825e-05
649,BMP1,M,0.177154,0.542702
2331,FMOD,M,-1.1267,0.00411855
2673,GFPT1,H,2.43871,6.89477e-05
4052,LTBP1,M,0.15425,0.661401
25804,LSM4,H,2.93797,3.56962e-09
836,CASP3,M,1.15313,5.11565e-11
2200,FBN1,B,4.61619,1.56983e-05
27338,UBE2S,H,2.52398,4.25835e-06
9672,SDC3,M,-0.49039,0.110826
6428,SRSF3,H,2.31654,5.28149e-10
1520,CTSS,M,0.663322,0.0640736
133,ADM,H,-3.4569,0.00017369
274,BIN1,H,-2.35101,4.06471e-11
8038,ADAM12,B,4.00876,0.000235455
10565,ARFGEF1,H,3.47395,2.192e-06
827,CAPN6,B,-3.60513,6.15259e-05
4017,LOXL2,M,0.566324,0.0496036
10434,LYPLA1,H,3.50417,4.12622e-06
6590,SLPI,H,-3.04063,1.66149e-11
7040,TGFB1,B,2.77534,2.77643e-07
10516,FBLN5,M,0.00462278,0.990611
9052,GPRC5A,H,4.82996,9.96851e-06
9040,UBE2M,H,2.53363,2.28952e-07
7077,TIMP2,M,0.0458568,0.853737
2201,FBN2,M,2.41252,0.0660905
4928,NUP98,H,2.42279,1.15272e-12
983,CDK1,H,2.41756,0.000817507
9135,RABEP1,H,2.77832,9.06482e-05
6302,TSPAN31,H,2.3217,1.09752e-08
10611,PDLIM5,H,3.37242,0.000837175
477,ATP1A2,H,-5.55532,0.00055357
1289,COL5A1,B,2.6015,0.000134312
23473,CAPN7,M,0.824242,4.20765e-06
2146,EZH2,H,2.636,5.78033e-05
26292,GJA9,H,2.32972,8.97826e-08
4324,MMP15,M,-0.379508,0.101314
7018,TF,H,-4.73989,1.87808e-05
4237,MFAP2,B,4.44998,3.06548e-07
9743,ARHGAP32,H,3.33148,0.000102488
4311,MME,H,-3.57591,4.2408e-08
5663,PSEN1,M,1.30396,0.00203273
1306,COL15A1,M,0.132629,0.612605
6640,SNTA1,M,-0.671491,0.0103218
4016,LOXL1,B,3.10499,4.43255e-06
3480,IGF1R,H,2.8366,8.21496e-07
4281,MID1,H,-2.37908,2.93642e-12
6376,CX3CL1,H,-3.63335,7.18318e-09
3909,LAMA3,M,-0.465124,0.594469
4680,CEACAM6,M,6.36861,0.0685349
25802,LMOD1,H,-2.92459,4.37367e-15
644,BLVRA,H,2.49486,0.000136972
6586,SLIT3,H,-2.61634,2.83346e-07
3489,IGFBP6,H,-2.95236,9.86922e-09
7412,VCAM1,M,-0.048746,0.905599
?,ACTA1,M,0.634247,0.328141
4320,MMP11,M,5.7728,0.00185115
1756,DMD,B,-3.10522,1.05412e-12
2199,FBLN2,M,-0.146296,0.670164
4137,MAPT,H,2.40641,0.000140519
3791,KDR,M,-0.393642,0.276464
4318,MMP9,M,3.61728,0.20042
1264,CNN1,H,-2.54024,3.54764e-09
771,CA12,H,2.36204,9.76066e-05
2167,FABP4,H,-4.15702,2.23145e-10
8987,FAM47E,H,-2.97288,0.000202748
11015,KDELR3,H,2.99189,5.6377e-09
3039,HBA1,H,-2.99628,2.07484e-06
11130,ZWINT,H,3.33437,0.000417514
4199,ME1,H,-3.02669,1.76241e-05
5025,P2RX4,H,2.60104,1.11781e-07
22795,NID2,B,2.55249,1.13645e-05
5138,PDE2A,H,-3.04954,1.90498e-11
1294,COL7A1,M,-1.61293,7.97301e-06
1031,CDKN2C,H,-3.16531,0.000351041
11117,EMILIN1,M,1.03484,0.00981197
1164,CKS2,H,3.21872,0.000198746
241,ALOX5AP,H,3.28442,3.10493e-06
5155,PDGFB,M,-0.0320861,0.847844
4316,MMP7,M,-1.45011,0.00444479
1910,EDNRB,H,-3.06102,1.03353e-10
6650,CAPN15,M,1.60487,7.5714e-07
4015,LOX,M,2.34701,0.00107875
8842,PROM1,H,-2.4218,9.03162e-06
