#node1,node2,node1_string_id,node2_string_id,source,combined_score
ADCY3,GNAI2,9606.ENSP00000384484,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.753
ADCY3,CALML3,9606.ENSP00000384484,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.943
ADCY3,PRKCD,9606.ENSP00000384484,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.905
ADCY3,GNAI3,9606.ENSP00000384484,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.76
ADCY3,PRKACB,9606.ENSP00000384484,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.947
ADCY3,GNAS,9606.ENSP00000384484,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.948
ADCY3,PRKACG,9606.ENSP00000384484,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.946
ADCY3,CALML5,9606.ENSP00000384484,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.942
ADCY3,AKT2,9606.ENSP00000384484,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.671
ADCY3,ADCY7,9606.ENSP00000384484,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.58
ADCY3,ADCY5,9606.ENSP00000384484,9606.ENSP00000419361,estrogen-signaling-pathway-string,0.585
ADCY3,AKT3,9606.ENSP00000384484,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.693
ADCY3,AKT1,9606.ENSP00000384484,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.723
ADCY3,GNAI1,9606.ENSP00000384484,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.768
ADCY3,CALML4,9606.ENSP00000384484,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.944
ADCY4,ADCY8,9606.ENSP00000312126,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.945
ADCY4,CALM3,9606.ENSP00000312126,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.773
ADCY4,ADCY9,9606.ENSP00000312126,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.717
ADCY4,CALML6,9606.ENSP00000312126,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.756
ADCY4,PRKACA,9606.ENSP00000312126,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.796
ADCY4,ADCY6,9606.ENSP00000312126,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.949
ADCY4,AKT3,9606.ENSP00000312126,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.671
ADCY4,AKT2,9606.ENSP00000312126,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.676
ADCY4,AKT1,9606.ENSP00000312126,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.7
ADCY4,GNAI3,9606.ENSP00000312126,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.734
ADCY4,GNAI1,9606.ENSP00000312126,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.749
ADCY4,GNAI2,9606.ENSP00000312126,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.755
ADCY4,CALML3,9606.ENSP00000312126,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.772
ADCY4,CALML5,9606.ENSP00000312126,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.772
ADCY4,CALML4,9606.ENSP00000312126,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.779
ADCY4,ADCY7,9606.ENSP00000312126,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.78
ADCY4,PRKACG,9606.ENSP00000312126,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.792
ADCY4,PRKACB,9606.ENSP00000312126,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.794
ADCY4,ADCY5,9606.ENSP00000312126,9606.ENSP00000419361,estrogen-signaling-pathway-string,0.835
ADCY4,PRKCD,9606.ENSP00000312126,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.908
ADCY4,GNAS,9606.ENSP00000312126,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.953
ADCY5,MAPK3,9606.ENSP00000419361,9606.ENSP00000263025,estrogen-signaling-pathway-string,0.442
ADCY5,ADCY8,9606.ENSP00000419361,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.719
ADCY5,CALM3,9606.ENSP00000419361,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.838
ADCY5,ADCY9,9606.ENSP00000419361,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.827
ADCY5,CALML6,9606.ENSP00000419361,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.818
ADCY5,PRKACA,9606.ENSP00000419361,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.983
ADCY5,ADCY6,9606.ENSP00000419361,9606.ENSP00000311405,estrogen-signaling-pathway-string,0.96
ADCY5,GNAI2,9606.ENSP00000419361,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.933
ADCY5,CALML3,9606.ENSP00000419361,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.825
ADCY5,PRKCD,9606.ENSP00000419361,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.913
ADCY5,GNAI3,9606.ENSP00000419361,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.933
ADCY5,PRKACB,9606.ENSP00000419361,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.974
ADCY5,GNAS,9606.ENSP00000419361,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.981
ADCY5,PRKACG,9606.ENSP00000419361,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.973
ADCY5,CALML5,9606.ENSP00000419361,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.825
ADCY5,AKT2,9606.ENSP00000419361,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.755
ADCY5,CALML4,9606.ENSP00000419361,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.827
ADCY5,AKT3,9606.ENSP00000419361,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.709
ADCY5,AKT1,9606.ENSP00000419361,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.737
ADCY5,ADCY7,9606.ENSP00000419361,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.808
ADCY5,GNAI1,9606.ENSP00000419361,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.955
ADCY6,ADCY8,9606.ENSP00000311405,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.912
ADCY6,CALM3,9606.ENSP00000311405,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.825
ADCY6,ADCY9,9606.ENSP00000311405,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.958
ADCY6,CALML6,9606.ENSP00000311405,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.818
ADCY6,PRKACA,9606.ENSP00000311405,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.861
ADCY6,AKT2,9606.ENSP00000311405,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.678
ADCY6,AKT3,9606.ENSP00000311405,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.685
ADCY6,ITPR2,9606.ENSP00000311405,9606.ENSP00000370744,estrogen-signaling-pathway-string,0.74
ADCY6,ADCY7,9606.ENSP00000311405,9606.ENSP00000501053,estrogen-signaling-pathway-string,0.747
ADCY6,AKT1,9606.ENSP00000311405,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.748
ADCY6,CALML3,9606.ENSP00000311405,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.825
ADCY6,CALML5,9606.ENSP00000311405,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.825
ADCY6,CALML4,9606.ENSP00000311405,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.827
ADCY6,PRKACG,9606.ENSP00000311405,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.861
ADCY6,PRKACB,9606.ENSP00000311405,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.861
ADCY6,PRKCD,9606.ENSP00000311405,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.904
ADCY6,GNAI3,9606.ENSP00000311405,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.929
ADCY6,GNAI2,9606.ENSP00000311405,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.931
ADCY6,GNAI1,9606.ENSP00000311405,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.936
ADCY6,GNAS,9606.ENSP00000311405,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.97
ADCY7,ADCY8,9606.ENSP00000501053,9606.ENSP00000286355,estrogen-signaling-pathway-string,0.584
ADCY7,CALM3,9606.ENSP00000501053,9606.ENSP00000291295,estrogen-signaling-pathway-string,0.767
ADCY7,ADCY9,9606.ENSP00000501053,9606.ENSP00000294016,estrogen-signaling-pathway-string,0.749
ADCY7,CALML6,9606.ENSP00000501053,9606.ENSP00000304643,estrogen-signaling-pathway-string,0.756
ADCY7,PRKACA,9606.ENSP00000501053,9606.ENSP00000309591,estrogen-signaling-pathway-string,0.798
ADCY7,GNAI2,9606.ENSP00000501053,9606.ENSP00000312999,estrogen-signaling-pathway-string,0.757
ADCY7,CALML3,9606.ENSP00000501053,9606.ENSP00000315299,estrogen-signaling-pathway-string,0.765
ADCY7,PRKCD,9606.ENSP00000501053,9606.ENSP00000331602,estrogen-signaling-pathway-string,0.918
ADCY7,GNAI3,9606.ENSP00000501053,9606.ENSP00000358867,estrogen-signaling-pathway-string,0.739
ADCY7,PRKACB,9606.ENSP00000501053,9606.ENSP00000359719,estrogen-signaling-pathway-string,0.8
ADCY7,GNAS,9606.ENSP00000501053,9606.ENSP00000360141,estrogen-signaling-pathway-string,0.951
ADCY7,PRKACG,9606.ENSP00000501053,9606.ENSP00000366488,estrogen-signaling-pathway-string,0.796
ADCY7,CALML5,9606.ENSP00000501053,9606.ENSP00000369689,estrogen-signaling-pathway-string,0.83
ADCY7,AKT2,9606.ENSP00000501053,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.681
ADCY7,CALML4,9606.ENSP00000501053,9606.ENSP00000419081,estrogen-signaling-pathway-string,0.781
ADCY7,AKT1,9606.ENSP00000501053,9606.ENSP00000451828,estrogen-signaling-pathway-string,0.712
ADCY7,GNAI1,9606.ENSP00000501053,9606.ENSP00000497260,estrogen-signaling-pathway-string,0.824
ADCY7,AKT3,9606.ENSP00000501053,9606.ENSP00000500582,estrogen-signaling-pathway-string,0.688
ADCY8,AKT2,9606.ENSP00000286355,9606.ENSP00000375892,estrogen-signaling-pathway-string,0.671
