#node1,node2,node1_string_id,node2_string_id,combined_score
ADCY4,AKT2,9606.ENSP00000312126,9606.ENSP00000375892,0.676
ADCY4,AKT1,9606.ENSP00000312126,9606.ENSP00000451828,0.7
ADCY4,GNAI3,9606.ENSP00000312126,9606.ENSP00000358867,0.734
ADCY4,GNAI1,9606.ENSP00000312126,9606.ENSP00000497260,0.749
ADCY4,GNAI2,9606.ENSP00000312126,9606.ENSP00000312999,0.755
ADCY4,CALML3,9606.ENSP00000312126,9606.ENSP00000315299,0.772
ADCY4,CALML5,9606.ENSP00000312126,9606.ENSP00000369689,0.772
ADCY4,CALML4,9606.ENSP00000312126,9606.ENSP00000419081,0.779
ADCY4,ADCY7,9606.ENSP00000312126,9606.ENSP00000501053,0.78
ADCY4,PRKACG,9606.ENSP00000312126,9606.ENSP00000366488,0.792
ADCY4,PRKACB,9606.ENSP00000312126,9606.ENSP00000359719,0.794
ADCY4,ADCY5,9606.ENSP00000312126,9606.ENSP00000419361,0.835
ADCY4,PRKCD,9606.ENSP00000312126,9606.ENSP00000331602,0.908
ADCY4,GNAS,9606.ENSP00000312126,9606.ENSP00000360141,0.953
ADCY5,MAPK3,9606.ENSP00000419361,9606.ENSP00000263025,0.442
ADCY5,ADCY8,9606.ENSP00000419361,9606.ENSP00000286355,0.719
ADCY5,CALM3,9606.ENSP00000419361,9606.ENSP00000291295,0.838
ADCY5,ADCY9,9606.ENSP00000419361,9606.ENSP00000294016,0.827
ADCY5,CALML6,9606.ENSP00000419361,9606.ENSP00000304643,0.818
ADCY5,PRKACA,9606.ENSP00000419361,9606.ENSP00000309591,0.983
ADCY5,ADCY6,9606.ENSP00000419361,9606.ENSP00000311405,0.96
ADCY5,GNAI2,9606.ENSP00000419361,9606.ENSP00000312999,0.933
ADCY5,CALML3,9606.ENSP00000419361,9606.ENSP00000315299,0.825
ADCY5,PRKCD,9606.ENSP00000419361,9606.ENSP00000331602,0.913
ADCY5,GNAI3,9606.ENSP00000419361,9606.ENSP00000358867,0.933
ADCY5,PRKACB,9606.ENSP00000419361,9606.ENSP00000359719,0.974
ADCY5,GNAS,9606.ENSP00000419361,9606.ENSP00000360141,0.981
ADCY5,PRKACG,9606.ENSP00000419361,9606.ENSP00000366488,0.973
ADCY5,CALML5,9606.ENSP00000419361,9606.ENSP00000369689,0.825
ADCY5,AKT2,9606.ENSP00000419361,9606.ENSP00000375892,0.755
ADCY5,CALML4,9606.ENSP00000419361,9606.ENSP00000419081,0.827
ADCY5,AKT3,9606.ENSP00000419361,9606.ENSP00000500582,0.709
ADCY5,AKT1,9606.ENSP00000419361,9606.ENSP00000451828,0.737
ADCY5,ADCY7,9606.ENSP00000419361,9606.ENSP00000501053,0.808
ADCY5,GNAI1,9606.ENSP00000419361,9606.ENSP00000497260,0.955
ADCY6,ADCY8,9606.ENSP00000311405,9606.ENSP00000286355,0.912
ADCY6,CALM3,9606.ENSP00000311405,9606.ENSP00000291295,0.825
ADCY6,ADCY9,9606.ENSP00000311405,9606.ENSP00000294016,0.958
ADCY6,CALML6,9606.ENSP00000311405,9606.ENSP00000304643,0.818
