Node ID,Node Description,Node Type
MESH:D005910,Glioma,disease
MESH:C536987,Mosaic variegated aneuploidy syndrome,disease
MESH:D055728,Primary Myelofibrosis,disease
MESH:D013922,Thrombocytosis,disease
MESH:C563985,Melanoma-Pancreatic Cancer Syndrome,disease
MESH:C536149,Melanoma astrocytoma syndrome,disease
MESH:D015470,"Leukemia, Myeloid, Acute",disease
MESH:C563755,Li-Fraumeni Syndrome 2,disease
MESH:D012516,Osteosarcoma,disease
MESH:D012415,Rubinstein-Taybi Syndrome,disease
MESH:D019871,Dyskeratosis Congenita,disease
MESH:D000081003,Shwachman-Diamond Syndrome,disease
MESH:D000080984,Congenital Bone Marrow Failure Syndromes,disease
MESH:D012779,Short Rib-Polydactyly Syndrome,disease
MESH:C536227,Cyclic neutropenia,disease
MESH:C565969,"Neutropenia, Severe Congenital, Autosomal Dominant 1",disease
MESH:C537394,Neuronal intestinal pseudoobstruction,disease
MESH:C564369,Lethal Congenital Contracture Syndrome 2,disease
MESH:C536695,Weyers acrofacial dysostosis,disease
MESH:D004613,Ellis-Van Creveld Syndrome,disease
MESH:C567691,"Factor Xiii, A Subunit, Deficiency Of",disease
MESH:D019851,Thrombophilia,disease
MESH:C567688,"Factor XIII, B Subunit, Deficiency Of",disease
MESH:D005199,Fanconi Anemia,disease
MESH:C563551,"Myeloproliferative Syndrome, Transient",disease
MESH:C564050,"Thrombocytopenia, Platelet Dysfunction, Hemolysis, and Imbalanced Globin Synthesis",disease
MESH:C567748,"Neutropenia, Severe Congenital, Autosomal Dominant 2",disease
MESH:C564320,"Neutropenia, Nonimmune Chronic Idiopathic, Adult",disease
MESH:C537592,"Neutropenia, Severe Congenital, Autosomal Recessive 3",disease
MESH:C537343,Singleton Merten syndrome,disease
MESH:D017074,Common Variable Immunodeficiency,disease
MESH:C536842,"Polycythemia, primary familial and congenital",disease
MESH:D006502,Budd-Chiari Syndrome,disease
MESH:D011087,Polycythemia Vera,disease
MESH:C563236,Testicular Germ Cell Tumor,disease
MESH:D008415,Mastocytosis,disease
MESH:D016116,Piebaldism,disease
MESH:D046152,Gastrointestinal Stromal Tumors,disease
MESH:D001749,Urinary Bladder Neoplasms,disease
MESH:C537847,Noonan syndrome 3,disease
MESH:D002538,Intracranial Arteriovenous Malformations,disease
MESH:D054000,"Nevus, Sebaceous of Jadassohn",disease
MESH:C564694,LIG4 Syndrome,disease
MESH:D009101,Multiple Myeloma,disease
MESH:C536641,Schwannomatosis,disease
MESH:C548081,Noonan Syndrome 2,disease
MESH:D008557,Melorheostosis,disease
MESH:C536494,Uveal melanoma,disease
MESH:D010505,Familial Mediterranean Fever,disease
MESH:D055653,Muir-Torre Syndrome,disease
MESH:C536928,Turcot syndrome,disease
MESH:D055847,Lynch Syndrome II,disease
MESH:C535982,Congenital amegakaryocytic thrombocytopenia,disease
MESH:C537261,Lynch syndrome I (site-specific colonic cancer),disease
MESH:D008258,Waldenstrom Macroglobulinemia,disease
MESH:C567379,MYD88 Deficiency,disease
MESH:D049932,Nijmegen Breakage Syndrome,disease
MESH:D000741,"Anemia, Aplastic",disease
MESH:C537393,Neurofibromatosis-Noonan syndrome,disease
