Gene.ID,Gene.symbol,logFC
7109,TMEM1,0.279566
794,CALB2,0.662694
114907,FBXO32,0.265919
9729,KIAA0408,0.777194
89885,FATE1,0.226547
10116,FEM1B,0.211492
7442,TRPV1,0.260839
5365,PLXNB3,0.574735
84959,UBASH3B,0.35576
3684,ITGAM,0.30444
9600,PITPNM1,0.250501
283209,PGM2L1,0.289666
123355,LRRC28,0.232915
167681,PRSS35,0.56623
143630,UBQLNL,0.266404
9557,CHD1L,0.206363
5581,PRKCE,0.30727
55728,N4BP2,0.430826
667,DST,0.709533
11131,CAPN11,0.39391
7461,CLIP2,0.467294
11136,SLC7A9,0.596208
24145,PANX1,0.203394
27163,NAAA,0.195435
8934,RAB7L1,0.223118
57217,TTC7A,0.290887
29904,EEF2K,0.24773
2828,GPR4,0.250583
6967,TRGC2,0.328633
55107,TMEM16A,0.531612
55785,FGD6,0.449829
6854,SYN2,0.252573
11228,RASSF8,0.362702
55779,WDR52,0.185771
4012,LNPEP,0.212903
55300,PI4K2B,0.257184
10550,ARL6IP5,0.222345
10397,NDRG1,0.269083
8334,HIST1H2AC,0.246138
389834,LOC389834,0.20054
1734,DIO2,0.241003
22861,NLRP1,0.202715
7139,TNNT2,0.188002
54831,BEST2,0.432945
26270,FBXO6,0.1916
56252,YLPM1,0.219466
4193,MDM2,0.242444
81792,ADAMTS12,0.464361
5151,PDE8A,0.237202
84332,DYDC2,0.596277
5897,RAG2,0.392414
917,CD3G,0.277416
55299,BXDC2,0.18969
2037,EPB41L2,0.192236
7728,ZNF175,0.554526
116828,CG030,0.227287
3710,ITPR3,0.250458
143381,LOC143381,0.302835
5199,CFP,0.271467
100130428,LOC100130428,0.453466
91522,COL23A1,0.470364
100,ADA,0.199708
1901,S1PR1,0.352409
4107,MAGEA8,0.184885
10320,IKZF1,0.282793
3002,GZMB,0.42572
10090,UST,0.252992
57237,KIAA0500,0.346691
3824,KLRD1,0.327044
84645,C22orf23,0.484656
79875,THSD4,0.435724
79800,ALS2CR8,0.410329
93661,CAPZA3,0.600484
148808,MFSD4,0.524566
7077,TIMP2,0.196659
1122,CHML,0.477372
22914,KLRK1,0.289105
7535,ZAP70,0.277147
5350,PLN,0.649859
8239,USP9X,0.18035
57599,WDR48,0.229982
100129973,LOC100129973,0.445695
83894,TTC29,0.810468
7430,EZR,0.222498
26097,C1orf77,0.224307
114130,MGC16384,0.245359
84628,NTNG2,0.222014
80018,C12orf30,0.23721
375,ARF1,0.303402
10672,GNA13,0.205327
149111,CNIH3,0.710583
8292,COLQ,0.313161
201595,STT3B,0.413544
930,CD19,0.658515
81563,C1orf21,0.639804
100132234,LOC100132234,0.448885
2318,FLNC,0.643733
92241,RCSD1,0.262332
10287,RGS19,0.204553
4287,ATXN3,0.38487
155435,RBM33,0.223038
80821,DDHD1,0.369937
23705,CADM1,0.512868
51363,GALNAC4S-6ST,0.601914
324,APC,0.251227
10663,CXCR6,0.508915
3958,LGALS3,0.3776
254531,AGPAT7,0.274806
57612,KIAA1466,0.340244
401067,IQCF3,0.276563
869,CBLN1,0.696051
4214,MAP3K1,0.188821
200609,LOC200609,0.477033
1800,DPEP1,0.190197
5290,PIK3CA,0.271021
92249,LOC92249,0.282647
55904,MLL5,0.232526
167838,TXLNB,0.48387
3596,IL13,0.445466
4190,MDH1,0.184832
92703,TMEM183A,0.213121
284273,ZADH2,0.191422
118429,ANTXR2,0.21276
8793,TNFRSF10D,0.234739
254251,LCORL,0.402683
7324,UBE2E1,0.245255
55137,FIGN,0.755029
140612,ZFP28,0.590388
146456,TMED6,0.422239
23158,TBC1D9,0.370981
3003,GZMK,0.484237
11259,FILIP1L,0.277021
11076,TPPP,0.395957
80745,THUMPD2,0.203493
8193,DPF1,0.499894
3732,CD82,0.600213
3091,HIF1A,0.256829
80822,KIAA1702,0.285756
55701,FLJ10357,0.330941
27035,NOX1,0.621274
84162,KIAA1109,0.215015
3280,HES1,0.458469
23177,CEP68,0.21675
56171,DNAH7,0.234333
57224,NHSL1,0.248053
100132455,LOC100132455,0.576421
51305,KCNK9,0.496174
26999,CYFIP2,0.189508
7782,SLC30A4,0.218713
9474,ATG5,0.192974
54762,GRAMD1C,0.382388
27328,PCDH11X,0.682377
51348,KLRF1,0.240498
284361,C19orf63,0.246019
9693,RAPGEF2,0.247096
822,CAPG,0.215292
23281,KIAA0774,0.678765
89797,NAV2,0.477905
23348,DOCK9,0.45216
5746,PTH2R,0.27847
80342,TRAF3IP3,0.189182
4542,MYO1F,0.204698
2045,EPHA7,0.71634
53833,IL20RB,0.273865
4763,NF1,0.526644
55124,PIWIL2,0.415172
54739,XAF1,0.204967
114795,TMEM132B,0.302882
54440,SASH3,0.198275
146225,CMTM2,0.237039
4035,LRP1,0.345881
54865,GPATCH4,0.5658
340843,FAM23B,0.512723
55036,CCDC40,0.203855
56479,KCNQ5,0.321923
201243,C17orf74,0.576551
10290,SPEG,0.533002
241,ALOX5AP,0.228486
57534,MIB1,0.536067
3683,ITGAL,0.205699
84896,ATAD1,0.182468
9963,SLC23A1,0.42543
9575,CLOCK,0.393108
85236,HIST1H2BK,0.21328
7915,ALDH5A1,0.555119
148898,C1orf213,0.227563
54800,KLHL24,0.227152
960,CD44,0.218277
51523,CXXC5,0.241115
11181,TREH,0.700052
3142,HLX,0.345114
79572,ATP13A3,0.231485
5169,ENPP3,0.23573
5244,ABCB4,0.448501
55083,KIF26B,0.511685
1553,CYP2A13,0.621892
394,ARHGAP5,0.21417
55815,TSNAXIP1,0.387882
19,ABCA1,0.303129
9976,CLEC2B,0.258585
5583,PRKCH,0.215034
92211,PCDH21,0.218596
54873,PALMD,0.655209
9774,BCLAF1,0.297224
8543,LMO4,0.470166
389932,tAKR,0.430477
55423,SIRPG,0.342491
6910,TBX5,0.1991
79651,RHBDF2,0.219813
10218,ANGPTL7,0.427577
348801,LNP1,0.20853
1589,CYP21A2,0.186991
51747,CROP,0.240712
3482,IGF2R,0.301153
3938,LCT,0.441493
3662,IRF4,0.530977
116984,CENTD1,0.292174
253982,ASPHD1,0.400897
10962,MLLT11,0.248033
23224,SYNE2,0.303885
3891,KRT85,0.390729
934,CD24,0.684826
7273,TTN,0.527239
4948,OCA2,0.234561
81849,ST6GALNAC5,0.343055
58475,MS4A7,0.29266
90987,ZNF251,0.241871
57620,STIM2,0.205509
85464,SSH2,0.248364
92558,CCDC64,0.200139
8748,ADAM20,0.57896
91947,ARRDC4,0.303838
60468,BACH2,0.360702
54753,DKFZp434J1015,0.326689
942,CD86,0.375313
5343,PLGLB1,0.23975
79817,MOBKL2B,0.45327
54331,GNG2,0.209126
84830,C6orf105,0.344276
23312,DMXL2,0.283724
283358,B4GALNT3,0.535171
786,CACNG1,0.53465
79692,ZNF322A,0.630213
374470,C12orf42,0.427218
140545,RNF32,0.530899
11099,PTPN21,0.51087
8630,HSD17B6,0.348717
23612,PHLDA3,0.193982
3429,IFI27,0.595683
154796,AMOT,0.315559
130814,PQLC3,0.21997
4112,MAGEB1,0.286608
112,ADCY6,0.29727
90506,LRRC46,0.241555
11155,LDB3,0.392016
64145,ZFYVE20,0.398091
27232,GNMT,0.211402
100131506,LOC100131506,0.5324
4753,NELL2,0.218886
10203,CALCRL,0.46315
357,SHROOM2,0.544382
29896,TRA2A,0.213866
83641,FAM107B,0.26543
84168,ANTXR1,0.271204
126969,SLC44A3,0.555208
494470,RNF165,0.34276
23392,KIAA0368,0.185153
9258,MFHAS1,0.285954
5122,PCSK1,0.202881
6954,TCP11,0.356283
10753,CAPN9,0.773192
9576,SPAG6,0.384565
8828,NRP2,0.414441
3446,IFNA10,0.650149
64094,SMOC2,0.518756
5451,POU2F1,0.246731
149175,MANEAL,0.468959
22829,NLGN4Y,0.339729
7102,TSPAN7,0.350687
80006,FLJ13611,0.231697
205860,TRIML2,0.69703
84230,LRRC8C,0.296088
8792,TNFRSF11A,0.196703
54959,ODAM,0.180308
84689,MS4A14,0.492801
2793,GNGT2,0.21966
64856,VWA1,0.210476
8738,CRADD,0.201398
9742,IFT140,0.268613
399879,C11orf55,0.433248
57134,MAN1C1,0.234118
246175,CNOT6L,0.183543
129530,LYG1,0.183308
2056,EPO,0.28856
11126,CD160,0.363405
940,CD28,0.302963
962,CD48,0.295198
23166,STAB1,0.31093
10219,KLRG1,0.22857
219699,UNC5B,0.181115
10216,PRG4,0.214673
1593,CYP27A1,0.355993
9282,MED14,0.551394
10319,LAMC3,0.220002
348174,LOC348174,0.29048
283174,LOC283174,0.213761
929,CD14,0.313458
640,BLK,0.307749
84691,FAM71F1,0.719873
387066,SNHG5,0.229721
7942,TFEB,0.218296
8153,RND2,0.426379
6526,SLC5A3,0.209311
80298,MTERFD3,0.211869
55328,C10orf59,0.577563
1258,CNGB1,0.381984
644753,LOC644753,0.549141
54583,EGLN1,0.227927
4920,ROR2,0.617844
6531,SLC6A3,0.567439
4256,MGP,0.235796
2893,GRIA4,0.266577
7694,ZNF135,0.541858
1743,DLST,0.261356
3912,LAMB1,0.378212
10794,ZNF460,0.488571
153218,SPINK5L3,0.553909
51074,APIP,0.274171
8701,DNAH11,0.351825
2181,ACSL3,0.220136
57758,SCUBE2,0.38595
4100,MAGEA1,0.551414
10948,STARD3,0.213108
27122,DKK3,0.510987
2219,FCN1,0.283858
5521,PPP2R2B,0.22083
387750,DNHD1L,0.213311
4359,MPZ,0.516699
152007,C9orf19,0.189182
57094,CPA6,0.266255
4826,NNAT,0.745217
150350,ENTHD1,0.477406
9751,SNPH,0.423306
9464,HAND2,0.313207
776,CACNA1D,0.354691
5136,PDE1A,0.465367
100130797,LOC100130797,0.425341
78990,OTUB2,0.387784
80169,C17orf68,0.234851
100130232,LOC100130232,0.570661
3821,KLRC1,0.415408
55824,PAG1,0.338129
54756,IL17RD,0.370302
1117,CHI3L2,0.414057
2013,EMP2,0.381468
29841,GRHL1,0.409474
115352,FCRL3,0.297935
5081,PAX7,0.346622
90288,C3orf25,0.259699
8736,MYOM1,0.183912
54887,UHRF1BP1,0.219012
51050,PI15,0.359636
51088,KLHL5,0.342991
80095,ZNF606,0.348361
23119,HIC2,0.275392
3119,HLA-DQB1,0.241651
60682,SMAP1,0.625669
105,ADARB2,0.452877
1235,CCR6,0.376441
10350,ABCA9,0.272222
8120,AP3B2,0.262471
65268,WNK2,0.553954
339829,CCDC39,0.232198
29767,TMOD2,0.187094
79092,CARD14,0.528189
3918,LAMC2,0.485799
2239,GPC4,0.406086
60677,BRUNOL6,0.276236
5616,PRKY,0.275413
9083,BPY2,0.353177
83953,FCAMR,0.472642
148,ADRA1A,0.393297
138948,LOC138948,0.234808
8857,FCGBP,0.284503
55729,ATF7IP,0.251552
56964,WDR93,0.23713
1828,DSG1,0.730429
340481,ZDHHC21,0.300179
23137,SMC5,0.20632
