MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Aging, Premature	Vitamin D Deficiency	1	3,46455148953797
Aging, Premature	Obesity	2	6,92910297907594
Aging, Premature	Adrenal Cortex Diseases	1	3,46455148953797
Aging, Premature	Autoimmune Diseases	2	6,92910297907594
Aging, Premature	Combat Disorders	1	3,46455148953797
Aging, Premature	Stress Disorders, Post-Traumatic	2	6,92910297907594
Aging, Premature	Cognition Disorders	2	6,92910297907594
Aging, Premature	Developmental Disabilities	1	3,46455148953797
Aging, Premature	Hernia	1	3,46455148953797
Aging, Premature	Death, Sudden	1	3,46455148953797
Aging, Premature	Genetic Predisposition to Disease	3	10,3936544686139
Aging, Premature	Genomic Instability	2	6,92910297907594
Aging, Premature	Gliosis	1	3,46455148953797
Aging, Premature	Growth Disorders	3	10,3936544686139
Aging, Premature	Inflammation	1	3,46455148953797
Aging, Premature	Ischemia	1	3,46455148953797
Aging, Premature	Neovascularization, Pathologic	1	3,46455148953797
Aging, Premature	Nerve Degeneration	4	13,8582059581519
Aging, Premature	Alcohol-Related Disorders	1	3,46455148953797
Aging, Premature	Alcoholism	3	10,3936544686139
Aging, Premature	Athletic Injuries	1	3,46455148953797
Aging, Premature	Radiation Injuries	2	6,92910297907594
Aging, Premature	Radiation Injuries, Experimental	4	13,8582059581519
Asthenia	Bacteremia	1	2,06321925105354
Asthenia	Meningitis, Meningococcal	2	4,12643850210707
Asthenia	Waterhouse-Friderichsen Syndrome	1	2,06321925105354
Asthenia	Anaplasmosis	1	2,06321925105354
Asthenia	Brucellosis	2	4,12643850210707
Asthenia	Psittacosis	1	2,06321925105354
Asthenia	Typhoid Fever	1	2,06321925105354
Asthenia	Helicobacter Infections	1	2,06321925105354
Asthenia	Meningococcal Infections	3	6,18965775316061
Asthenia	Tularemia	1	2,06321925105354
Asthenia	Syphilis	1	2,06321925105354
Asthenia	Diphtheria	1	2,06321925105354
Asthenia	Leprosy	1	2,06321925105354
Asthenia	Tuberculosis	2	4,12643850210707
Asthenia	Tuberculosis, Endocrine	1	2,06321925105354
Asthenia	Tuberculosis, Spinal	1	2,06321925105354
Asthenia	Tuberculosis, Pulmonary	11	22,6954117615889
Asthenia	Botulism	2	4,12643850210707
Asthenia	Enterocolitis, Pseudomembranous	1	2,06321925105354
Asthenia	Tetanus	1	2,06321925105354
Asthenia	Staphylococcal Infections	2	4,12643850210707
Asthenia	Rheumatic Fever	3	6,18965775316061
Asthenia	Rheumatic Heart Disease	1	2,06321925105354
Asthenia	Infection	3	6,18965775316061
Asthenia	Discitis	1	2,06321925105354
Asthenia	Cross Infection	1	2,06321925105354
Asthenia	Pregnancy Complications, Infectious	1	2,06321925105354
Asthenia	Respiratory Tract Infections	2	4,12643850210707
Asthenia	Sepsis	1	2,06321925105354
Asthenia	Dermatomycoses	1	2,06321925105354
Asthenia	Paracoccidioidomycosis	1	2,06321925105354
Asthenia	Mycoses	2	4,12643850210707
Asthenia	Histoplasmosis	1	2,06321925105354
Asthenia	Lung Diseases, Fungal	3	6,18965775316061
Asthenia	Encephalitis	2	4,12643850210707
Asthenia	Meningitis, Viral	2	4,12643850210707
Asthenia	Poliomyelitis	1	2,06321925105354
Asthenia	Hepatitis B	1	2,06321925105354
Asthenia	Cytomegalovirus Infections	1	2,06321925105354
Asthenia	Infectious Mononucleosis	1	2,06321925105354
Asthenia	Sarcoma, Kaposi	1	2,06321925105354
Asthenia	Fatigue Syndrome, Chronic	8	16,5057540084283
Asthenia	Hepatitis A	3	6,18965775316061
Asthenia	Hepatitis C	3	6,18965775316061
Asthenia	Hepatitis C, Chronic	6	12,3793155063212
Asthenia	Hepatitis D	1	2,06321925105354
Asthenia	Hemorrhagic Fever with Renal Syndrome	1	2,06321925105354
Asthenia	Common Cold	2	4,12643850210707
Asthenia	HIV Infections	4	8,25287700421415
Asthenia	Acquired Immunodeficiency Syndrome	1	2,06321925105354
Asthenia	AIDS-Related Complex	1	2,06321925105354
Asthenia	Cestode Infections	1	2,06321925105354
Asthenia	Echinococcosis	1	2,06321925105354
Asthenia	Echinococcosis, Hepatic	1	2,06321925105354
Asthenia	Trematode Infections	2	4,12643850210707
Asthenia	Fascioliasis	4	8,25287700421415
Asthenia	Opisthorchiasis	2	4,12643850210707
Asthenia	Schistosomiasis	2	4,12643850210707
Asthenia	Intestinal Diseases, Parasitic	1	2,06321925105354
Asthenia	Liver Diseases, Parasitic	1	2,06321925105354
Asthenia	Lung Diseases, Parasitic	1	2,06321925105354
Asthenia	Amebiasis	1	2,06321925105354
Asthenia	Toxoplasmosis	2	4,12643850210707
Asthenia	Leishmaniasis, Visceral	1	2,06321925105354
Asthenia	Trypanosomiasis, African	1	2,06321925105354
Asthenia	Malaria	1	2,06321925105354
Asthenia	Malaria, Falciparum	1	2,06321925105354
Asthenia	Trichomonas Infections	1	2,06321925105354
Asthenia	Cysts	3	6,18965775316061
Asthenia	Arachnoid Cysts	1	2,06321925105354
Asthenia	Dermoid Cyst	2	4,12643850210707
Asthenia	Leukemia	2	4,12643850210707
Asthenia	Leukemia, Hairy Cell	1	2,06321925105354
Asthenia	Leukemia, Lymphoid	1	2,06321925105354
Asthenia	Leukemia, Myeloid	3	6,18965775316061
Asthenia	Leukemia, Myeloid, Acute	3	6,18965775316061
Asthenia	Leukemia, Promyelocytic, Acute	1	2,06321925105354
Asthenia	Lymphoma	1	2,06321925105354
Asthenia	Hodgkin Disease	2	4,12643850210707
Asthenia	Lymphoma, Non-Hodgkin	1	2,06321925105354
Asthenia	Lymphoma, Large-Cell, Immunoblastic	1	2,06321925105354
Asthenia	Lymphoma, T-Cell, Cutaneous	1	2,06321925105354
Asthenia	Lipoma	2	4,12643850210707
Asthenia	Myxoma	1	2,06321925105354
Asthenia	Leiomyoma	2	4,12643850210707
Asthenia	Leiomyosarcoma	1	2,06321925105354
Asthenia	Myosarcoma	1	2,06321925105354
Asthenia	Germinoma	1	2,06321925105354
Asthenia	Craniopharyngioma	2	4,12643850210707
Asthenia	Glioma	1	2,06321925105354
Asthenia	Adenoma, Chromophobe	1	2,06321925105354
Asthenia	Melanoma	2	4,12643850210707
Asthenia	Neurilemmoma	1	2,06321925105354
Asthenia	Teratoma	1	2,06321925105354
Asthenia	Choriocarcinoma	1	2,06321925105354
Asthenia	Gestational Trophoblastic Neoplasms	1	2,06321925105354
Asthenia	Adenoma	4	8,25287700421415
Asthenia	Carcinoma	3	6,18965775316061
Asthenia	Adenocarcinoma	6	12,3793155063212
Asthenia	Carcinoma, Hepatocellular	1	2,06321925105354
Asthenia	Carcinoma, Renal Cell	5	10,3160962552677
Asthenia	Carcinoma, Papillary	1	2,06321925105354
Asthenia	Carcinoma, Squamous Cell	3	6,18965775316061
Asthenia	Meningioma	1	2,06321925105354
Asthenia	Multiple Myeloma	10	20,6321925105354
Asthenia	Plasmacytoma	1	2,06321925105354
Asthenia	Waldenstrom Macroglobulinemia	2	4,12643850210707
Asthenia	Peritoneal Neoplasms	2	4,12643850210707
Asthenia	Retroperitoneal Neoplasms	1	2,06321925105354
Asthenia	Breast Neoplasms	10	20,6321925105354
Asthenia	Gastrointestinal Neoplasms	1	2,06321925105354
Asthenia	Esophageal Neoplasms	1	2,06321925105354
Asthenia	Intestinal Neoplasms	1	2,06321925105354
