Source1,Source2,Shared_Targets_Count
CEP97,SPCS1,1
CEP97,EIF2B2,1
CEP97,DLST,1
CEP97,MYH9,1
CEP97,NPAT,1
CEP97,RORA,1
CEP97,SP2,1
CEP97,TXK,1
CEP97,BNIP2,1
CEP97,DUSP2,1
CEP97,QKI,1
CEP97,MFN1,1
CEP97,TRAPPC2,1
CEP97,ZNF578,1
CEP97,VPS53,1
CEP97,ATXN1,1
CEP97,TP53INP1,1
CEP97,MFSD2A,1
CEP97,LLPH,1
CEP97,DCTN5,1
CEP97,PPP1R15B,1
CEP97,PURB,1
CEP97,DCBLD2,1
CEP97,MAPKAPK5,1
CEP97,STAT3,1
CEP97,CXorf38,1
CEP97,SGMS1,1
CEP97,SON,1
CEP97,RRN3,1
CEP97,HMGB3,1
CEP97,ZYG11A,1
CEP97,HMGB1,1
CEP97,RUNX3,1
CEP97,SOD2,1
CEP97,SNAP47,1
CEP97,CYP19A1,1
CEP97,NR3C1,1
CEP97,TGFB1,1
CEP97,KATNAL1,1
CEP97,TNRC6B,1
CEP97,COX19,1
ENTPD4,ITGA2,1
ENTPD4,F2RL3,1
ENTPD4,WIPF2,1
ENTPD4,MAPK9,1
ENTPD4,CNKSR3,2
ENTPD4,APP,1
ENTPD4,EIF3M,1
ENTPD4,DNAJC10,1
ENTPD4,ZNF7,1
ENTPD4,WDR53,1
ENTPD4,KIF6,1
ENTPD4,CUL4A,1
ENTPD4,MFSD8,1
ENTPD4,RGMB,1
ENTPD4,PRKAR1A,1
ENTPD4,ZC3H12C,1
ENTPD4,SOCS7,1
ENTPD4,PDPK1,1
ENTPD4,WAC,1
ENTPD4,WEE1,1
ENTPD4,ZNF665,1
ENTPD4,TBL1XR1,1
ENTPD4,GPRIN3,1
ENTPD4,MTMR3,1
ENTPD4,CADM2,1
ENTPD4,ZDHHC20,1
ENTPD4,RAB3IP,2
ENTPD4,CYB561D1,1
ENTPD4,PRNP,1
ENTPD4,ABHD15,1
ENTPD4,QRFPR,1
ENTPD4,CCDC137,1
ENTPD4,DSTYK,2
ENTPD4,RTN3,1
ENTPD4,ZBTB37,1
ENTPD4,A1CF,2
ENTPD4,FHDC1,1
ENTPD4,MAP3K2,1
ENTPD4,RBM12B,1
ENTPD4,XIAP,1
ENTPD4,HIP1,1
ENTPD4,SLC7A11,1
ENTPD4,TMOD3,1
ENTPD4,PLEKHM1,1
ENTPD4,ZNF652,1
ENTPD4,ZFYVE26,1
ENTPD4,TTC9,1
ENTPD4,MTMR9,1
ENTPD4,WSB1,1
ENTPD4,RLIM,1
ENTPD4,IRAK4,2
ENTPD4,ARID4B,1
ENTPD4,KLF3,1
ENTPD4,TLR7,1
ENTPD4,OCIAD1,2
ENTPD4,FKBP14,1
ENTPD4,RAB42,1
ENTPD4,C18orf32,1
ENTPD4,BCL2L2,1
ENTPD4,CDKN1A,1
ENTPD4,PRKACB,1
ENTPD4,SPIB,1
ENTPD4,RAB5B,1
ENTPD4,RND3,1
ENTPD4,ARHGAP12,1
ENTPD4,GTF2H3,1
ENTPD4,YOD1,1
ENTPD4,HIPK3,1
ENTPD4,POLM,1
ENTPD4,PKNOX1,1
ENTPD4,ZNF385A,1
ENTPD4,ENPP5,1
ENTPD4,NRIP3,1
ENTPD4,NUFIP2,1
ENTPD4,WNK3,1
ENTPD4,ZNFX1,1
ENTPD4,LY6G5B,1
ENTPD4,CFL2,1
ENTPD4,SERF1A,1
ENTPD4,EGLN3,1
ENTPD4,ABCG8,1
ENTPD4,ZMAT3,1
ENTPD4,GPR157,1
ENTPD4,SLC35F5,2
ENTPD4,TNKS2,1
ENTPD4,ZNF805,1
ENTPD4,KCNB1,1
ENTPD4,MECP2,1
ENTPD4,CCDC6,1
ENTPD4,MTF1,1
ENTPD4,DYRK2,1
ENTPD4,NUDT3,1
ENTPD4,MAPRE3,1
ENTPD4,SF3B3,1
ENTPD4,OSTM1,1
ENTPD4,SPCS1,1
ENTPD4,EIF2B2,2
ENTPD4,DLST,1
ENTPD4,MYH9,1
ENTPD4,NPAT,1
ENTPD4,RORA,1
ENTPD4,SP2,1
ENTPD4,TXK,1
ENTPD4,BNIP2,1
ENTPD4,DUSP2,1
ENTPD4,QKI,1
ENTPD4,MFN1,1
ENTPD4,TRAPPC2,1
ENTPD4,ZNF578,1
ENTPD4,VPS53,2
ENTPD4,ATXN1,1
ENTPD4,TP53INP1,1
ENTPD4,MFSD2A,1
ENTPD4,LLPH,1
ENTPD4,DCTN5,1
ENTPD4,PPP1R15B,1
ENTPD4,PURB,1
ENTPD4,DCBLD2,1
ENTPD4,MAPKAPK5,1
ENTPD4,STAT3,1
ENTPD4,CXorf38,1
ENTPD4,SGMS1,1
ENTPD4,SON,1
ENTPD4,RRN3,1
ENTPD4,HMGB3,1
ENTPD4,ZYG11A,1
ENTPD4,HMGB1,2
ENTPD4,RUNX3,1
ENTPD4,SOD2,1
ENTPD4,SNAP47,1
ENTPD4,CYP19A1,1
ENTPD4,NR3C1,1
ENTPD4,TGFB1,1
ENTPD4,KATNAL1,1
ENTPD4,TNRC6B,1
ENTPD4,COX19,1
ENTPD4,PRKCA,1
ENTPD4,REL,1
ENTPD4,NR2F2,1
ENTPD4,SRCIN1,1
ENTPD4,AMOTL2,1
ENTPD4,RHOH,1
ENTPD4,KCNK5,1
ENTPD4,NKD1,1
ENTPD4,PIK3C2A,1
ENTPD4,ZNF786,1
ENTPD4,RABGAP1L,1
ENTPD4,ATP2B1,1
ENTPD4,TRIM65,1
ENTPD4,GOSR1,1
ENTPD4,MBD1,1
ENTPD4,TLR10,1
ENTPD4,CDC14B,1
ENTPD4,ARRB2,1
ENTPD4,DPP9,1
ENTPD4,NME6,1
ENTPD4,RNF165,1
ENTPD4,TMEM92,1
ENTPD4,DNAJB13,1
ENTPD4,KCTD20,1
ENTPD4,BCAS4,1
ENTPD4,CNNM2,1
ENTPD4,UBOX5,1
ENTPD4,ZHX3,1
ENTPD4,FAM13B,1
ENTPD4,CCDC30,1
ENTPD4,S1PR1,1
ENTPD4,RAB21,1
ENTPD4,RRP1B,1
ENTPD4,TRUB2,1
ENTPD4,GNB5,1
ENTPD4,EPHB2,1
ENTPD4,TMEM33,1
ENTPD4,RBM41,1
ENTPD4,FGD6,1
ENTPD4,SMUG1,1
ENTPD4,TP53,1
ENTPD4,MIXL1,1
ENTPD4,FKBP9,1
ENTPD4,SLC43A2,1
ENTPD4,CDK2,1
ENTPD4,CYCS,1
ENTPD4,PAIP2B,1
ENTPD4,GATAD2B,1
ENTPD4,ZFP14,1
ENTPD4,NFYA,1
ENTPD4,NMNAT1,1
ENTPD4,ADIPOR2,1
ENTPD4,WWC2,1
ENTPD4,TMEM134,1
ENTPD4,SAR1A,1
ENTPD4,FAM185A,1
ENTPD4,RAPGEF6,1
ENTPD4,TNFAIP8L1,1
ENTPD4,MMP14,1
ENTPD4,TNFSF15,1
ENTPD4,KIF3A,1
ENTPD4,TEP1,1
ENTPD4,GPR182,1
ENTPD4,ACOX1,1
ENTPD4,PHLDA1,1
ENTPD4,FRAT2,1
ENTPD4,CBX5,1
ENTPD4,CISH,1
ENTPD4,CAMK4,1
ENTPD4,PIGR,1
ENTPD4,PSMC1,1
ENTPD4,QSOX1,1
ENTPD4,SP1,1
ENTPD4,UBE2V2,1
ENTPD4,CORO2A,1
ENTPD4,FLT3,1
ENTPD4,PIAS2,1
ENTPD4,EGR2,1
ENTPD4,PLEKHM3,1
ENTPD4,ELK1,1
ENTPD4,SYNPO2,1
ENTPD4,DDI2,1
ENTPD4,XKR4,1
ENTPD4,WDFY2,1
ENTPD4,LRRC15,1
ENTPD4,SPPL3,1
ENTPD4,ANKS4B,1
ENTPD4,NANOG,1
ENTPD4,PAK3,1
ENTPD4,TCN2,1
ENTPD4,LTBP2,1
ENTPD4,TRIM72,1
ITGA2,F2RL3,1
ITGA2,WIPF2,1
ITGA2,MAPK9,1
ITGA2,CNKSR3,1
ITGA2,APP,1
ITGA2,EIF3M,1
ITGA2,DNAJC10,1
ITGA2,ZNF7,1
ITGA2,WDR53,1
ITGA2,KIF6,1
ITGA2,CUL4A,1
ITGA2,MFSD8,1
ITGA2,RGMB,1
ITGA2,PRKAR1A,1
ITGA2,ZC3H12C,1
ITGA2,SOCS7,1
ITGA2,PDPK1,1
ITGA2,WAC,1
ITGA2,WEE1,1
ITGA2,ZNF665,1
ITGA2,TBL1XR1,1
ITGA2,GPRIN3,1
ITGA2,MTMR3,1
