mRNA,miR
KIT,MIMAT0000263
CCNL1,MIMAT0000263
OXSR1,MIMAT0000263
HES1,MIMAT0000263
POLA2,MIMAT0000263
PDE11A,MIMAT0000263
ZNF846,MIMAT0000263
CHCHD4,MIMAT0000263
DDI2,MIMAT0000263
ZNF584,MIMAT0000263
SLC26A2,MIMAT0000263
PODXL,MIMAT0000263
ADAT2,MIMAT0000265
ANKFY1,MIMAT0000265
CHCHD3,MIMAT0000265
CD44,MIMAT0000265
MTA3,MIMAT0000265
TLK2,MIMAT0000265
HOXA10,MIMAT0000265
ZBTB20,MIMAT0000265
CTSC,MIMAT0000265
CLNK,MIMAT0000265
NR3C1,MIMAT0000265
ENAH,MIMAT0000265
LRRC55,MIMAT0000265
CDH11,MIMAT0000265
TCF4,MIMAT0000265
SRGAP1,MIMAT0000265
POU2F1,MIMAT0000265
TRPM3,MIMAT0000265
SYT6,MIMAT0000265
ATP2B1,MIMAT0000265
CAMK2G,MIMAT0000265
PRKAR1A,MIMAT0000265
RUNX2,MIMAT0000265
NTRK2,MIMAT0000265
WNK3,MIMAT0000265
CDH8,MIMAT0000265
POU2F2,MIMAT0000265
AGAP1,MIMAT0000265
IKZF2,MIMAT0000265
ZNF385D,MIMAT0000265
ZNF362,MIMAT0000265
PHF13,MIMAT0000265
ALDH1A2,MIMAT0000265
ST3GAL1,MIMAT0000265
B4GALNT3,MIMAT0000265
OPN5,MIMAT0000265
ZSCAN22,MIMAT0000265
BCL9L,MIMAT0000265
GALNT10,MIMAT0000265
SFT2D2,MIMAT0000265
CREB1,MIMAT0000265
MBNL1,MIMAT0000265
SEMA4G,MIMAT0000265
PTPRT,MIMAT0000265
CCR5,MIMAT0000265
MAPRE2,MIMAT0000265
SERP1,MIMAT0000265
USP47,MIMAT0000265
ZWILCH,MIMAT0000265
PRLR,MIMAT0000265
ZNF48,MIMAT0000265
CCNT2,MIMAT0000265
AKAP1,MIMAT0000265
SPIB,MIMAT0000265
CDX2,MIMAT0000265
IL11,MIMAT0000265
AKAP13,MIMAT0000265
DPF3,MIMAT0000265
ETF1,MIMAT0000265
AP1S1,MIMAT0000265
GTDC1,MIMAT0000265
FARP1,MIMAT0000265
SYNJ2BP,MIMAT0000265
VN1R1,MIMAT0000265
BCL7A,MIMAT0000265
BACH2,MIMAT0000265
MCL1,MIMAT0000265
LRRC4,MIMAT0000265
WWC2,MIMAT0000265
SOST,MIMAT0000265
BDNF,MIMAT0000265
C21orf62,MIMAT0000265
USP14,MIMAT0000265
SMAD4,MIMAT0000265
MDFI,MIMAT0000265
IPO7,MIMAT0000265
TXNIP,MIMAT0000265
ERF,MIMAT0000265
WDR3,MIMAT0000265
SERINC3,MIMAT0000265
TPPP,MIMAT0000265
PADI2,MIMAT0000265
ANGPTL2,MIMAT0000265
G3BP2,MIMAT0000265
ASGR1,MIMAT0000265
GLP1R,MIMAT0000265
SOX4,MIMAT0000265
SP1,MIMAT0000265
SPARC,MIMAT0000265
HMGA2,MIMAT0000265
STC2,MIMAT0000265
SGPL1,MIMAT0000265
EFNB2,MIMAT0000265
BMPR1A,MIMAT0000265
CDH1,MIMAT0000265
CPT1B,MIMAT0000265
ATF6B,MIMAT0000265
EFNB1,MIMAT0000265
MUC4,MIMAT0000265
SYNGR1,MIMAT0000265
CHCHD5,MIMAT0000265
SORCS2,MIMAT0000265
TGFBR1,MIMAT0000265
SLC39A11,MIMAT0000265
PLAG1,MIMAT0000265
ELOVL6,MIMAT0000265
CACNG8,MIMAT0000265
RAB11FIP4,MIMAT0000265
CDC42,MIMAT0000265
MYO18A,MIMAT0000265
TSC22D2,MIMAT0000265
IGFBP2,MIMAT0000265
CYBB,MIMAT0000265
IGFBP5,MIMAT0000265
PPP3R1,MIMAT0000265
PLCXD3,MIMAT0000265
SAMD5,MIMAT0000265
SMOC1,MIMAT0000265
WDR89,MIMAT0001413
ZNF264,MIMAT0001413
ACBD5,MIMAT0001413
GPRIN3,MIMAT0001413
FMNL3,MIMAT0001413
TRAPPC2,MIMAT0001413
DCAF8,MIMAT0001413
SH3GLB1,MIMAT0001413
GNPTAB,MIMAT0001413
F2RL3,MIMAT0001413
VPS53,MIMAT0001413
ITGB1,MIMAT0001413
NHLRC3,MIMAT0001413
SEC16A,MIMAT0001413
QSOX1,MIMAT0001413
CCND1,MIMAT0001413
CNKSR3,MIMAT0001413
POFUT1,MIMAT0001413
F2RL1,MIMAT0001413
SERF1A,MIMAT0001413
IQSEC1,MIMAT0001413
RABGAP1L,MIMAT0001413
WDR53,MIMAT0001413
USP28,MIMAT0001413
CAMTA1,MIMAT0001413
SAMD12,MIMAT0001413
KLRD1,MIMAT0001413
KIF6,MIMAT0001413
ATXN1,MIMAT0001413
PSD3,MIMAT0001413
REST,MIMAT0001413
MFSD8,MIMAT0001413
SLC12A6,MIMAT0001413
RGMB,MIMAT0001413
ATP2B1,MIMAT0001413
SOCS7,MIMAT0001413
OCIAD1,MIMAT0001413
AGFG2,MIMAT0001413
TMEM67,MIMAT0001413
INPP5F,MIMAT0001413
WAC,MIMAT0001413
WEE1,MIMAT0001413
PAFAH1B1,MIMAT0001413
GRK7,MIMAT0001413
NR2C2,MIMAT0001413
GAB1,MIMAT0001413
DUSP18,MIMAT0001413
ABHD2,MIMAT0001413
N4BP1,MIMAT0001413
MTMR3,MIMAT0001413
ZDHHC20,MIMAT0001413
PGM2L1,MIMAT0001413
TMEM167A,MIMAT0001413
RAB3IP,MIMAT0001413
NCOA3,MIMAT0001413
UBXN2A,MIMAT0001413
PRNP,MIMAT0001413
BTN3A1,MIMAT0001413
ABHD15,MIMAT0001413
STAC2,MIMAT0001413
POLQ,MIMAT0001413
DSTYK,MIMAT0001413
ZBTB37,MIMAT0001413
A1CF,MIMAT0001413
POLR3G,MIMAT0001413
FHDC1,MIMAT0001413
AAK1,MIMAT0001413
MAP3K2,MIMAT0001413
RBM12B,MIMAT0001413
HIP1,MIMAT0001413
CAPRIN2,MIMAT0001413
ELAVL2,MIMAT0001413
DPYSL2,MIMAT0001413
SLC7A11,MIMAT0001413
RNF115,MIMAT0001413
SLK,MIMAT0001413
PLEKHM1,MIMAT0001413
MLXIP,MIMAT0001413
FBXO21,MIMAT0001413
TNRC6B,MIMAT0001413
WSB1,MIMAT0001413
IRAK4,MIMAT0001413
GNB5,MIMAT0001413
TLR7,MIMAT0001413
ERGIC2,MIMAT0001413
WDR1,MIMAT0001413
HIF1AN,MIMAT0001413
FKBP14,MIMAT0001413
RAB42,MIMAT0001413
LDLR,MIMAT0001413
BTN3A2,MIMAT0001413
C18orf32,MIMAT0001413
DCTN5,MIMAT0001413
DNAL1,MIMAT0001413
BCL2L11,MIMAT0001413
TCF4,MIMAT0001413
CFL2,MIMAT0001413
BTF3L4,MIMAT0001413
RAB5B,MIMAT0001413
SLC4A7,MIMAT0001413
CDK6,MIMAT0001413
TTPAL,MIMAT0001413
DNAJC10,MIMAT0001413
GTF2H3,MIMAT0001413
ISCA2,MIMAT0001413
YOD1,MIMAT0001413
MIXL1,MIMAT0001413
PTGES3,MIMAT0001413
FBXO31,MIMAT0001413
MFSD2A,MIMAT0001413
ICA1L,MIMAT0001413
ENPP5,MIMAT0001413
CYCS,MIMAT0001413
UBFD1,MIMAT0001413
ENTPD7,MIMAT0001413
NRIP3,MIMAT0001413
ZNFX1,MIMAT0001413
GATAD1,MIMAT0001413
SLC30A1,MIMAT0001413
C17orf75,MIMAT0001413
ABCG8,MIMAT0001413
PANK3,MIMAT0001413
GPR157,MIMAT0001413
SLC35F5,MIMAT0001413
KLHL15,MIMAT0001413
DDHD1,MIMAT0001413
TRIM8,MIMAT0001413
SLCO5A1,MIMAT0001413
ZNF805,MIMAT0001413
SLC1A5,MIMAT0001413
TRAF3IP2,MIMAT0001413
ZBED1,MIMAT0001413
ZNF347,MIMAT0001413
SAMD8,MIMAT0001413
ARL1,MIMAT0001413
KCNK6,MIMAT0001413
SPTLC2,MIMAT0001413
VPS26A,MIMAT0001413
FEZ2,MIMAT0001413
HMGB3,MIMAT0001413
CHAF1A,MIMAT0001413
MTF1,MIMAT0001413
MXI1,MIMAT0001413
LASP1,MIMAT0001413
PVR,MIMAT0001413
NFAT5,MIMAT0001413
ZBTB6,MIMAT0001413
NUDT3,MIMAT0001413
GLO1,MIMAT0001413
ZBTB25,MIMAT0001413
BRCA1,MIMAT0001413
CBX5,MIMAT0001413
SF3B3,MIMAT0001413
RACGAP1,MIMAT0001413
SOCS5,MIMAT0001413
WDR37,MIMAT0001413
OSTM1,MIMAT0001413
SPCS1,MIMAT0001413
E2F5,MIMAT0001413
HMGB1,MIMAT0001413
ITGA2,MIMAT0001413
JAK1,MIMAT0001413
MSH3,MIMAT0001413
PPP1R12B,MIMAT0001413
PPP6C,MIMAT0001413
RNASEH1,MIMAT0001413
RORA,MIMAT0001413
CCL5,MIMAT0001413
E2F2,MIMAT0001413
EFNB2,MIMAT0001413
EIF2S1,MIMAT0001413
KCNMB1,MIMAT0001413
BNIP2,MIMAT0001413
DUSP2,MIMAT0001413
PKNOX1,MIMAT0001413
WIPF2,MIMAT0001413
ANKRD13C,MIMAT0001413
MAPRE3,MIMAT0001413
MFN1,MIMAT0001413
KCND3,MIMAT0001413
ESR1,MIMAT0001413
ORAI2,MIMAT0001413
KATNAL1,MIMAT0001413
YIPF4,MIMAT0001413
GINS4,MIMAT0001413
DDI2,MIMAT0001413
PURB,MIMAT0001413
ZNF280B,MIMAT0001413
C15orf40,MIMAT0001413
CXorf38,MIMAT0001413
VTI1A,MIMAT0001413
ANKS4B,MIMAT0001413
RRN3,MIMAT0001413
ZYG11A,MIMAT0001413
MAPK9,MIMAT0001413
NME6,MIMAT0001413
RUNX3,MIMAT0001413
RPS6KA5,MIMAT0001413
SOD2,MIMAT0001413
USP48,MIMAT0001413
ALDH9A1,MIMAT0001413
REEP3,MIMAT0001413
AKTIP,MIMAT0001413
FBXO48,MIMAT0001413
COX19,MIMAT0001413
GPR155,MIMAT0001413
MUC17,MIMAT0001413
CRCP,MIMAT0001413
MGAT4A,MIMAT0000076
ZNF292,MIMAT0000076
PBX1,MIMAT0000076
DDAH1,MIMAT0000076
LMBR1,MIMAT0000076
NT5C2,MIMAT0000076
PHF20L1,MIMAT0000076
RSF1,MIMAT0000076
SOX5,MIMAT0000076
LONRF2,MIMAT0000076
RALGPS2,MIMAT0000076
HOXA9,MIMAT0000076
FAM126B,MIMAT0000076
ANKRD46,MIMAT0000076
CKAP5,MIMAT0000076
LPGAT1,MIMAT0000076
ERP44,MIMAT0000076
DDHD2,MIMAT0000076
SATB1,MIMAT0000076
PPP1R3B,MIMAT0000076
MDM4,MIMAT0000076
DNM1L,MIMAT0000076
NUFIP2,MIMAT0000076
NFIA,MIMAT0000076
FMR1,MIMAT0000076
ZNF217,MIMAT0000076
EXOC5,MIMAT0000076
ATF2,MIMAT0000076
THBS1,MIMAT0000076
EIF4EBP2,MIMAT0000076
B3GNT5,MIMAT0000076
SOCS4,MIMAT0000076
PLAT,MIMAT0000076
BNIP2,MIMAT0000076
OXTR,MIMAT0000076
ATP2B4,MIMAT0000076
ZNF207,MIMAT0000076
RLIM,MIMAT0000271
HIGD1A,MIMAT0000271
AP2B1,MIMAT0000271
RASSF4,MIMAT0000271
TPM3,MIMAT0000271
AP3M1,MIMAT0000271
ABLIM3,MIMAT0000271
GDPD5,MIMAT0000271
FGFR1,MIMAT0000271
BCL2L13,MIMAT0000271
KIF1B,MIMAT0000271
ZNRF1,MIMAT0000271
CTNNB1,MIMAT0000271
MAPK8,MIMAT0000271
UBE2I,MIMAT0000271
SLC39A11,MIMAT0000271
GMEB2,MIMAT0000271
SH3BP4,MIMAT0000271
PSMD10,MIMAT0000271
SCN4B,MIMAT0000271
ERC1,MIMAT0000271
CNNM2,MIMAT0000271
MEF2C,MIMAT0000271
GSR,MIMAT0000271
CLEC2D,MIMAT0000271
CALU,MIMAT0000271
CPD,MIMAT0000271
NFIC,MIMAT0000271
RAB5B,MIMAT0000271
TBPL1,MIMAT0000271
UBE2V1,MIMAT0000271
CDK6,MIMAT0000271
TRPS1,MIMAT0000271
PHLPP2,MIMAT0000271
NUFIP2,MIMAT0000271
RASA1,MIMAT0000271
KCTD15,MIMAT0000271
ZBTB8B,MIMAT0000271
PPARGC1B,MIMAT0000271
ZBTB33,MIMAT0000271
CD180,MIMAT0000271
SUGT1,MIMAT0000271
WASF2,MIMAT0000271
AHSA1,MIMAT0000271
CD274,MIMAT0000271
NRAS,MIMAT0000271
PLXNB1,MIMAT0000271
FLOT2,MIMAT0000271
POU4F2,MIMAT0000271
ASH1L,MIMAT0000271
SRD5A3,MIMAT0000271
ALPK2,MIMAT0000271
BAX,MIMAT0000271
MAPK14,MIMAT0000271
PGAM4,MIMAT0000271
LRTM2,MIMAT0000271
YOD1,MIMAT0000278
SSX2IP,MIMAT0000278
ERBB4,MIMAT0000278
POU3F2,MIMAT0000278
AMMECR1L,MIMAT0000278
CXorf38,MIMAT0000278
TIAM1,MIMAT0000278
ATXN1,MIMAT0000278
MAPK10,MIMAT0000278
VPS53,MIMAT0000278
ZNF275,MIMAT0000278
ERC1,MIMAT0000278
ZNF652,MIMAT0000278
IQCE,MIMAT0000278
PTPRF,MIMAT0000278
DYRK3,MIMAT0000278
STAMBP,MIMAT0000278
AGAP1,MIMAT0000278
SLC19A3,MIMAT0000278
CABYR,MIMAT0000278
CAMKK1,MIMAT0000278
UBN2,MIMAT0000278
MIDN,MIMAT0000278
AKT3,MIMAT0000278
PRDM16,MIMAT0000278
LIMS1,MIMAT0000278
MAP3K2,MIMAT0000278
KIT,MIMAT0000278
BRD1,MIMAT0000278
EEF1A1,MIMAT0000278
DKK2,MIMAT0000278
POGZ,MIMAT0000278
ANKRD28,MIMAT0000278
PHF21A,MIMAT0000278
NDUFS1,MIMAT0000278
BCL2L11,MIMAT0000278
CROT,MIMAT0000278
C19orf12,MIMAT0000278
TRPS1,MIMAT0000278
GPR107,MIMAT0000278
PANK3,MIMAT0000278
TNKS2,MIMAT0000278
NDFIP1,MIMAT0000278
SIRT1,MIMAT0000278
SLC30A7,MIMAT0000278
STMN1,MIMAT0000278
VANGL1,MIMAT0000278
PEG10,MIMAT0000278
FMR1,MIMAT0000278
TNFSF10,MIMAT0000278
ARID1A,MIMAT0000278
ZNF236,MIMAT0000278
KPNA6,MIMAT0000278
RHOA,MIMAT0000278
HNRNPD,MIMAT0000278
ABLIM1,MIMAT0000278
PPP6C,MIMAT0000278
DENR,MIMAT0000278
SNX4,MIMAT0000278
DDX6,MIMAT0000278
TCEAL1,MIMAT0000278
LRP6,MIMAT0000278
SLC10A7,MIMAT0000278
ESR1,MIMAT0000278
PCDHA3,MIMAT0000278
PCDHAC1,MIMAT0000278
BMF,MIMAT0000278
BRWD1,MIMAT0000278
RBM33,MIMAT0000278
TMEM183A,MIMAT0000278
SELE,MIMAT0000278
HNRNPA1,MIMAT0004568
SDC4,MIMAT0004568
TMEM101,MIMAT0004568
CKAP2L,MIMAT0004568
VKORC1L1,MIMAT0004568
PGM2L1,MIMAT0004568
MYLK3,MIMAT0004568
PRNP,MIMAT0004568
TRAPPC2,MIMAT0004568
RCOR1,MIMAT0004568
RRP15,MIMAT0004568
MRPS16,MIMAT0004568
RPL15,MIMAT0004568
SLC39A10,MIMAT0004568
DSC3,MIMAT0004568
ZBTB8B,MIMAT0004568
CARD8,MIMAT0004568
ABL1,MIMAT0004568
PABPC1,MIMAT0004568
YIPF4,MIMAT0004568
CYP1A2,MIMAT0004568
RPL27A,MIMAT0004568
ZNF749,MIMAT0004568
TRAT1,MIMAT0000279
GPR107,MIMAT0000279
LGALS3BP,MIMAT0000279
SOD2,MIMAT0000279
GNAI3,MIMAT0000279
KPNA6,MIMAT0000279
TOP3A,MIMAT0000279
ZNF131,MIMAT0000279
TRMT5,MIMAT0000279
ABCG2,MIMAT0000279
TMCC1,MIMAT0000279
GRB10,MIMAT0000279
SPTBN2,MIMAT0000279
FBXO21,MIMAT0000279
SMAD5,MIMAT0000279
PPP2R2A,MIMAT0000279
AKT3,MIMAT0000279
ZNF652,MIMAT0000279
SMARCA4,MIMAT0000279
MGAT4B,MIMAT0000279
SLC19A3,MIMAT0000279
OSBPL10,MIMAT0000279
CABYR,MIMAT0000279
UBN2,MIMAT0000279
UBR7,MIMAT0000279
ZNF714,MIMAT0000279
APP,MIMAT0000279
ZMYND11,MIMAT0000279
EIF3I,MIMAT0000279
DICER1,MIMAT0000279
ZFYVE16,MIMAT0000279
LUC7L2,MIMAT0000279
TRIM44,MIMAT0000279
PGPEP1,MIMAT0000279
WDR6,MIMAT0000279
NLE1,MIMAT0000279
DDX21,MIMAT0000279
CDK6,MIMAT0000279
MDM2,MIMAT0000279
SLC35A2,MIMAT0000279
TRPS1,MIMAT0000279
TLE3,MIMAT0000279
SERTAD4,MIMAT0000279
STOX2,MIMAT0000279
NFS1,MIMAT0000279
RECK,MIMAT0000279
PELI2,MIMAT0000279
CSNK1G1,MIMAT0000279
HIPK2,MIMAT0000279
PHACTR4,MIMAT0000279
PANK3,MIMAT0000279
DOCK5,MIMAT0000279
FBXL18,MIMAT0000279
ZNF772,MIMAT0000279
ZNF805,MIMAT0000279
COG5,MIMAT0000279
KIF3B,MIMAT0000279
SART1,MIMAT0000279
SS18,MIMAT0000279
DCAF7,MIMAT0000279
CAPRIN1,MIMAT0000279
POLE,MIMAT0000279
RNPS1,MIMAT0000279
ABLIM1,MIMAT0000279
QKI,MIMAT0000279
CPSF6,MIMAT0000279
FICD,MIMAT0000279
VCP,MIMAT0000279
SF3B3,MIMAT0000279
LRP10,MIMAT0000279
ZNF770,MIMAT0000279
HNRNPD,MIMAT0000279
MGMT,MIMAT0000279
PBX2,MIMAT0000279
RBMS2,MIMAT0000279
SORT1,MIMAT0000279
EIF2S1,MIMAT0000279
SDHA,MIMAT0000279
ZW10,MIMAT0000279
PIWIL1,MIMAT0000279
TCEAL1,MIMAT0000279
BBC3,MIMAT0000279
TOM1,MIMAT0000279
FYTTD1,MIMAT0000279
ZBTB37,MIMAT0000279
CBX2,MIMAT0000279
C18orf25,MIMAT0000279
CDKL5,MIMAT0000279
ESR1,MIMAT0000279
UBIAD1,MIMAT0000279
TIMM50,MIMAT0000279
RNF215,MIMAT0000279
TP53BP2,MIMAT0000279
POLL,MIMAT0004501
ADD1,MIMAT0004501
SPIN3,MIMAT0004501
PPARA,MIMAT0004501
UFM1,MIMAT0004501
EGFR,MIMAT0004501
NPTX1,MIMAT0004501
STX7,MIMAT0004501
CLEC4E,MIMAT0004501
UBXN2B,MIMAT0004501
NLGN1,MIMAT0004504
CBX3,MIMAT0004504
FRS2,MIMAT0004504
SLC38A1,MIMAT0004504
INHBA,MIMAT0004504
E2F2,MIMAT0004504
RHOA,MIMAT0004504
DCK,MIMAT0004504
OTUD4,MIMAT0000089
PHLDA1,MIMAT0000089
BAHD1,MIMAT0000089
NPM1,MIMAT0000089
RPL7L1,MIMAT0000089
ZNF275,MIMAT0000089
SLC1A2,MIMAT0000089
SRC,MIMAT0000089
MYO1D,MIMAT0000089
ZNF331,MIMAT0000089
RPS4Y1,MIMAT0000089
SATB2,MIMAT0000089
SPRED1,MIMAT0000089
IL5RA,MIMAT0000089
NF2,MIMAT0000089
RAB27A,MIMAT0000089
CXCL12,MIMAT0000089
NDFIP2,MIMAT0000089
SRPX2,MIMAT0000089
SERTAD2,MIMAT0000089
KLHDC10,MIMAT0000089
XPO6,MIMAT0000089
INTU,MIMAT0000089
HIF1AN,MIMAT0000089
UBA6,MIMAT0000089
CCNT1,MIMAT0000089
RDX,MIMAT0000089
JARID2,MIMAT0000089
ARPC5,MIMAT0000089
STK40,MIMAT0000089
RASA1,MIMAT0000089
SFXN1,MIMAT0000089
EDC3,MIMAT0000089
ETS1,MIMAT0000089
ZNF805,MIMAT0000089
CDK1,MIMAT0000089
SP7,MIMAT0000089
PPP2R2A,MIMAT0000089
CASR,MIMAT0000089
SMAD4,MIMAT0000089
MMP16,MIMAT0000089
GNA13,MIMAT0000089
NFAT5,MIMAT0000089
NUDT3,MIMAT0000089
FRK,MIMAT0000089
SDC4,MIMAT0000089
SOX4,MIMAT0000089
E2F2,MIMAT0000089
ABCB9,MIMAT0000089
QSER1,MIMAT0000089
NFATC2IP,MIMAT0000089
PPM1L,MIMAT0000089
PPIL2,MIMAT0000089
RHOA,MIMAT0000089
NFE2L1,MIMAT0000089
AR,MIMAT0000089
RPL37A,MIMAT0000089
MXRA7,MIMAT0000089
TNRC6B,MIMAT0000089
CAPRIN1,MIMAT0000255
VAV3,MIMAT0000255
SUGT1,MIMAT0000255
HDLBP,MIMAT0000255
GNPDA1,MIMAT0000255
PLA2G2D,MIMAT0000255
CDC23,MIMAT0000255
NLRC5,MIMAT0000255
CPT2,MIMAT0000255
ADARB1,MIMAT0000255
CAMTA1,MIMAT0000255
CFLAR,MIMAT0000255
GAPVD1,MIMAT0000255
OPA1,MIMAT0000255
CD40,MIMAT0000255
ERLIN2,MIMAT0000255
HMGB1,MIMAT0000255
SYNGR2,MIMAT0000255
