mRNA,miR
AXIN2,MIMAT0000255
CLTB,MIMAT0000255
NUP98,MIMAT0000255
ITGA6,MIMAT0000255
TPM1,MIMAT0000255
POU2F1,MIMAT0000255
LARP1,MIMAT0000255
CDON,MIMAT0000255
ANKS1A,MIMAT0000255
CASP6,MIMAT0000255
G3BP2,MIMAT0000255
CDC25C,MIMAT0000255
KCNH1,MIMAT0000255
MKLN1,MIMAT0000255
AKT1,MIMAT0000255
ADNP,MIMAT0000255
PPARA,MIMAT0000255
CCNL1,MIMAT0000255
RBM12,MIMAT0000255
TMEM167A,MIMAT0000255
FUT8,MIMAT0000255
SPTBN1,MIMAT0000255
APAF1,MIMAT0000255
SYNE2,MIMAT0000255
BIRC3,MIMAT0000255
ZDHHC16,MIMAT0000255
DIABLO,MIMAT0000255
NDRG1,MIMAT0000255
TRAF3,MIMAT0000255
IRGQ,MIMAT0000255
EXT2,MIMAT0000255
MTAP,MIMAT0000255
TMOD2,MIMAT0000255
BCLAF1,MIMAT0000255
RNF40,MIMAT0000255
MTMR9,MIMAT0000255
GIGYF2,MIMAT0000255
GDE1,MIMAT0000255
FIGN,MIMAT0000255
POLR3E,MIMAT0000255
TGIF2,MIMAT0000255
CD44,MIMAT0000255
VEGFA,MIMAT0000255
CASP10,MIMAT0000255
KIF2A,MIMAT0000255
CDK6,MIMAT0000255
TFAM,MIMAT0000255
YOD1,MIMAT0000255
GANAB,MIMAT0000255
FAM104A,MIMAT0000255
CYCS,MIMAT0000255
PPP1R11,MIMAT0000255
NUCKS1,MIMAT0000255
ACSL4,MIMAT0000255
WDR77,MIMAT0000255
MAP4,MIMAT0000255
SIRT1,MIMAT0000255
PLIN3,MIMAT0000255
RRM2,MIMAT0000255
LEF1,MIMAT0000255
XIAP,MIMAT0000255
PEG10,MIMAT0000255
GYG1,MIMAT0000255
FOSL1,MIMAT0000255
DNAJB6,MIMAT0000255
UST,MIMAT0000255
CCT3,MIMAT0000255
PDGFRA,MIMAT0000255
RRAS,MIMAT0000255
ERLIN1,MIMAT0000255
SNTB2,MIMAT0000255
BRCA1,MIMAT0000255
RAB3GAP2,MIMAT0000255
SF3B3,MIMAT0000255
AKR1B1,MIMAT0000255
GATA4,MIMAT0000255
CXCL9,MIMAT0000255
CCL22,MIMAT0000255
YY1,MIMAT0000255
PDXK,MIMAT0000255
PEA15,MIMAT0000255
HRK,MIMAT0000255
TNFRSF10A,MIMAT0000255
BCL10,MIMAT0000255
CDKN1B,MIMAT0000255
BNIP2,MIMAT0000255
EFNB1,MIMAT0000255
PKP2,MIMAT0000255
STX1A,MIMAT0000255
TSN,MIMAT0000255
TOMM40,MIMAT0000255
RBCK1,MIMAT0000255
EDEM3,MIMAT0000255
ZSWIM7,MIMAT0000255
UBXN2B,MIMAT0000255
E2F5,MIMAT0000255
RNF169,MIMAT0000255
BCL2A1,MIMAT0000255
AIFM1,MIMAT0000255
DDAH1,MIMAT0000255
ALS2,MIMAT0000255
LLPH,MIMAT0000255
MBD6,MIMAT0000255
FKBP1B,MIMAT0000255
TPCN2,MIMAT0000255
GDF5,MIMAT0000255
MOV10,MIMAT0000255
CD70,MIMAT0000255
TNF,MIMAT0000255
POLR2A,MIMAT0000255
RPL37,MIMAT0000255
REEP3,MIMAT0000255
BIRC5,MIMAT0000255
PODXL,MIMAT0000255
TGFBR2,MIMAT0000255
C18orf32,MIMAT0000255
SHE,MIMAT0000707
ZNF460,MIMAT0000707
FNIP1,MIMAT0000707
MDM2,MIMAT0000707
FBXW2,MIMAT0000707
GGCX,MIMAT0000707
ZNF417,MIMAT0000707
IL6ST,MIMAT0000707
CYP20A1,MIMAT0000707
AURKA,MIMAT0000707
NUP43,MIMAT0000707
TXLNA,MIMAT0000707
KCNC4,MIMAT0000707
ZBTB34,MIMAT0000707
SUPT7L,MIMAT0000707
PHLPP2,MIMAT0000707
ZDHHC5,MIMAT0000707
CYTH2,MIMAT0000707
ESRP1,MIMAT0000707
UHRF1BP1,MIMAT0000707
G2E3,MIMAT0000707
TMEM33,MIMAT0000707
SLC25A36,MIMAT0000707
ORAI2,MIMAT0000707
RRN3,MIMAT0000707
NUFIP2,MIMAT0000707
NUCKS1,MIMAT0000707
TEF,MIMAT0000707
LHFPL2,MIMAT0000707
AKAP10,MIMAT0000707
SOX11,MIMAT0000707
ZNF157,MIMAT0000707
KIF5B,MIMAT0000707
GCNT3,MIMAT0000707
SPRYD4,MIMAT0000707
HOXA13,MIMAT0000707
CNOT4,MIMAT0000707
LNPEP,MIMAT0000733
RBM12B,MIMAT0000733
TSC22D2,MIMAT0000733
DNAL1,MIMAT0000733
MDM4,MIMAT0000733
TRIM13,MIMAT0000733
MTRF1L,MIMAT0000733
TM2D2,MIMAT0000733
IL6R,MIMAT0001631
FOXP1,MIMAT0002177
CD40,MIMAT0002177
SMAD2,MIMAT0002177
G3BP2,MIMAT0002177
PIK3R1,MIMAT0002177
CADM1,MIMAT0002177
UBE2S,MIMAT0002177
RCOR3,MIMAT0002177
HPGD,MIMAT0002177
CENPN,MIMAT0002177
MBD4,MIMAT0002177
SEC23IP,MIMAT0002177
IGSF3,MIMAT0002177
UBASH3B,MIMAT0002177
MACROD2,MIMAT0002177
PDE4C,MIMAT0003233
ANKRD50,MIMAT0003233
RPS16,MIMAT0003322
NFAT5,MIMAT0003322
AP1G1,MIMAT0003322
ANKRD9,MIMAT0003322
STK4,MIMAT0003322
UBE2I,MIMAT0003322
KIF1A,MIMAT0003322
YIPF6,MIMAT0003322
GEN1,MIMAT0003322
BSG,MIMAT0003322
FAM120AOS,MIMAT0003322
ZBTB44,MIMAT0003322
ATP11B,MIMAT0003322
RAP1GAP2,MIMAT0003322
MRAS,MIMAT0003322
AGAP3,MIMAT0003322
ACTN4,MIMAT0003322
SMAD2,MIMAT0003322
CEBPG,MIMAT0003322
SLC31A1,MIMAT0003322
QSOX1,MIMAT0003322
SRPK1,MIMAT0003322
GCM1,MIMAT0003322
ARCN1,MIMAT0003322
MORF4L2,MIMAT0003322
ZNF431,MIMAT0003322
RPS19,MIMAT0003322
RPS29,MIMAT0003322
TK1,MIMAT0006790
AZIN1,MIMAT0006790
LHFPL5,MIMAT0006790
ZNF107,MIMAT0006790
GPR173,MIMAT0006790
NUCKS1,MIMAT0006790
LCOR,MIMAT0006790
KCNK6,MIMAT0006790
ZNF268,MIMAT0006790
EEF2K,MIMAT0004554
PAK3,MIMAT0004554
VGLL4,MIMAT0004554
ZBTB37,MIMAT0004554
TOR1AIP1,MIMAT0004554
COPS7B,MIMAT0004554
KLF6,MIMAT0004554
KCNB1,MIMAT0004554
NCBP2,MIMAT0004554
LIMD1,MIMAT0004554
MATN1,MIMAT0004554
COIL,MIMAT0004554
ANKRD40,MIMAT0004554
OTUD7A,MIMAT0004554
ZNF740,MIMAT0004554
TMEM97,MIMAT0000252
TMEM106B,MIMAT0000252
IDE,MIMAT0000252
TFRC,MIMAT0000252
PPIP5K2,MIMAT0000252
EGFR,MIMAT0000252
ST3GAL5,MIMAT0000252
FXR1,MIMAT0000252
GLDN,MIMAT0000252
SCARB2,MIMAT0000252
SRGAP2,MIMAT0000252
ABCC1,MIMAT0000252
MICALL1,MIMAT0000252
UBE2A,MIMAT0000252
PAK1,MIMAT0000252
SLC25A15,MIMAT0000252
SULT1B1,MIMAT0000252
EHD3,MIMAT0000252
SERTAD2,MIMAT0000252
ZNF385A,MIMAT0000252
KIF16B,MIMAT0000252
BMPR2,MIMAT0000252
GLS,MIMAT0000252
GNA12,MIMAT0000252
RCC2,MIMAT0000252
CRLS1,MIMAT0000252
CNNM4,MIMAT0000252
ALG9,MIMAT0000252
ROR1,MIMAT0000252
LANCL1,MIMAT0000252
GLO1,MIMAT0000252
SLC5A3,MIMAT0000252
CNTNAP2,MIMAT0000252
LRP6,MIMAT0000252
SERPINB5,MIMAT0000252
RYK,MIMAT0000252
SLIT3,MIMAT0000252
ZNF264,MIMAT0000252
PIGH,MIMAT0000252
GJC1,MIMAT0000252
COMMD7,MIMAT0000252
ADCY9,MIMAT0000252
DAZAP2,MIMAT0000252
TM2D2,MIMAT0000252
LLPH,MIMAT0000252
RSPRY1,MIMAT0000252
CACNG5,MIMAT0000252
PIK3R3,MIMAT0000252
DUSP18,MIMAT0000252
FAM136A,MIMAT0000252
TIMM50,MIMAT0000252
ZNF805,MIMAT0000252
MTHFD2,MIMAT0000441
BCL2L11,MIMAT0000441
APBB2,MIMAT0000441
KIF1A,MIMAT0000441
HOXC12,MIMAT0000441
PPP4R2,MIMAT0000441
NTRK3,MIMAT0000441
TNFAIP8,MIMAT0000441
KIF1B,MIMAT0000441
FRMD4B,MIMAT0000441
FOXP1,MIMAT0000441
TBPL1,MIMAT0000441
CDX2,MIMAT0000441
MDM4,MIMAT0000441
NR6A1,MIMAT0000441
TAOK1,MIMAT0000441
PRRX1,MIMAT0000441
SOX7,MIMAT0000441
SIRT1,MIMAT0000441
SERINC5,MIMAT0000441
ONECUT2,MIMAT0000441
REST,MIMAT0000441
NFAT5,MIMAT0000441
SLC30A4,MIMAT0000441
JAK1,MIMAT0000441
MYLK,MIMAT0000441
TTC7B,MIMAT0000441
ZNF704,MIMAT0000441
