layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,TP53,FU_TP53,association,gene_to_fu,0.33334746956825256,0.33333688974380493,0.3333445191383362,0.33334699273109436,0.33336150646209717
1,MDM2,FU_MDM2,association,gene_to_fu,0.5000016689300537,0.4999890625476837,0.49998316168785095,0.5000003576278687,0.5000340342521667
1,CDKN1A,FU_CDKN1A,association,gene_to_fu,0.33334583044052124,0.3333323001861572,0.3333372473716736,0.333346962928772,0.33336690068244934
1,BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
1,MYC,FU_MYC,association,gene_to_fu,0.33333685994148254,0.33333176374435425,0.3333130180835724,0.33337295055389404,0.3333297073841095
1,PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
1,FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.4999983608722687,0.5000109672546387,0.5000168085098267,0.49999967217445374,0.49996599555015564
1,FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.3333262801170349,0.3333315849304199,0.3333277106285095,0.3333264887332916,0.3333192467689514
1,FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.3333270847797394,0.3333338499069214,0.3333313465118408,0.3333265483379364,0.33331653475761414
1,FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33333155512809753,0.3333340883255005,0.333343505859375,0.333313524723053,0.33333513140678406
1,FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.3333262801170349,0.3333315849304199,0.3333277106285095,0.3333264887332916,0.3333192467689514
1,FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.33333155512809753,0.3333340883255005,0.333343505859375,0.333313524723053,0.33333513140678406
1,FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.3333270847797394,0.3333338499069214,0.3333313465118408,0.3333265483379364,0.33331653475761414
1,miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
1,miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,TP53,FU_TP53,association,gene_to_fu,0.33337828516960144,0.33337345719337463,0.3334609866142273,0.3333485722541809,0.3333300054073334
2,MDM2,FU_MDM2,association,gene_to_fu,0.4999186098575592,0.4997507631778717,0.49981388449668884,0.5000396966934204,0.5000700950622559
2,CDKN1A,FU_CDKN1A,association,gene_to_fu,0.3332921862602234,0.3332540988922119,0.3332858383655548,0.3332989811897278,0.33332982659339905
2,BRCA1,FU_BRCA1,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
2,MYC,FU_MYC,association,gene_to_fu,0.33325743675231934,0.33310094475746155,0.3331725001335144,0.3333621025085449,0.3333941400051117
2,PTEN,FU_PTEN,association,gene_to_fu,1.0,1.0,1.0,1.0,1.0
2,FU_TP53,FU_MDM2,interaction,protein_protein_interaction,0.5000814199447632,0.5002492070198059,0.5001860857009888,0.499960333108902,0.49992990493774414
2,FU_MDM2,FU_TP53,interaction,protein_protein_interaction,0.33330878615379333,0.33330297470092773,0.33326956629753113,0.3333272337913513,0.33333536982536316
2,FU_TP53,FU_CDKN1A,regulation,gene_expression_regulation,0.33335864543914795,0.33339378237724304,0.33335694670677185,0.33335018157958984,0.33333367109298706
2,FU_TP53,FU_MYC,regulation,gene_expression_regulation,0.33336859941482544,0.33344948291778564,0.3334128260612488,0.33330920338630676,0.3333028554916382
2,FU_BRCA1,FU_TP53,interaction,protein_protein_interaction,0.33331298828125,0.33332359790802,0.33326947689056396,0.3333241939544678,0.33333462476730347
2,FU_PTEN,FU_MYC,regulation,gene_expression_regulation,0.3333739638328552,0.3334496021270752,0.3334146738052368,0.33332863450050354,0.3333030343055725
2,FU_MDM2,FU_CDKN1A,regulation,gene_expression_regulation,0.3333491384983063,0.33335208892822266,0.3333572447299957,0.3333508372306824,0.3333365023136139
2,miR-34a,TP53,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-21,PTEN,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-155,BRCA1,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
2,miR-21,CDKN1A,regulation,mir_regulates_mrna,1.0,1.0,1.0,1.0,1.0
