Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
6240,RRM1,3.13357,4.21558e-09,0.594822
7247,TSN,3.42672,1.11204e-09,0.0396049
7334,UBE2N,3.86911,3.35881e-11,0.0846993
10765,KDM5B,2.57128,9.11381e-08,0.112335
3916,LAMP1,3.82446,4.17677e-05,0.0930146
25932,CLIC4,2.8469,5.26209e-05,0.0893987
1635,DCTD,2.44856,2.16432e-07,0.011212
950,SCARB2,3.57825,6.06499e-07,0.0267664
10051,SMC4,4.8944,1.39809e-06,0.0462414
7163,TPD52,5.96187,2.12664e-06,0.110839
4860,PNP,3.96198,0.000338395,0.0158742
8508,NIPSNAP1,2.30817,1.84342e-07,
7805,LAPTM5,2.96609,0.0002934,0.0964245
3852,KRT5,-3.30336,3.76664e-10,0.128437
51097,SCCPDH,2.39526,1.16297e-05,0.00387221
1281,COL3A1,2.68077,8.9836e-11,0.303553
2935,GSPT1,2.99698,4.37709e-11,0.0132998
1362,CPD,2.3375,0.000263671,0.28894
10576,CCT2,3.21673,4.20923e-09,0.0992708
523,ATP6V1A,5.06501,2.3819e-07,0.0223508
230,ALDOC,-3.44735,0.000156819,0.0818527
6422,SFRP1,-4.70357,5.52993e-07,0.125747
7450,VWF,-2.60649,4.17216e-13,0.102132
9870,AREL1,2.49365,1.39086e-06,
8780,RIOK3,2.88059,1.37273e-08,0.00587221
10277,UBE4B,2.39559,4.36548e-06,0.0667225
4147,LOC100506558,-3.45351,2.51173e-14,
629,CFB,3.29936,0.000702928,0.0217584
6695,SPOCK1,2.62878,0.000522154,0.100643
26121,PRPF31,2.35674,6.18138e-09,0.0266182
11098,PRSS23,3.03968,0.000635062,0.0820303
9768,KIAA0101,4.77583,6.19338e-05,
23650,TRIM29,-2.52542,3.89111e-11,0.0931645
2764,GMFB,3.95456,1.2443e-08,0.00624446
51573,GDE1,4.03059,4.16654e-06,
4893,NRAS,2.67379,2.35825e-05,0.411182
2673,GFPT1,2.43871,6.89477e-05,0.102054
25804,LSM4,2.93797,3.56962e-09,0.0565789
2200,FBN1,4.61619,1.56983e-05,0.0216043
27338,UBE2S,2.52398,4.25835e-06,0.0812579
6428,SRSF3,2.31654,5.28149e-10,0.389414
133,ADM,-3.4569,0.00017369,0.0797743
274,BIN1,-2.35101,4.06471e-11,0.0320264
8038,ADAM12,4.00876,0.000235455,0.103647
10565,ARFGEF1,3.47395,2.192e-06,0.019486
827,CAPN6,-3.60513,6.15259e-05,0.0464578
10434,LYPLA1,3.50417,4.12622e-06,0.0127452
6590,SLPI,-3.04063,1.66149e-11,0.0974702
7040,TGFB1,2.77534,2.77643e-07,0.143847
9052,GPRC5A,4.82996,9.96851e-06,0.0977698
9040,UBE2M,2.53363,2.28952e-07,0.0896684
4928,NUP98,2.42279,1.15272e-12,0.523857
983,CDK1,2.41756,0.000817507,0.131965
9135,RABEP1,2.77832,9.06482e-05,0.277088
6302,TSPAN31,2.3217,1.09752e-08,0.0219592
10611,PDLIM5,3.37242,0.000837175,0.0251541
477,ATP1A2,-5.55532,0.00055357,0.106868
1289,COL5A1,2.6015,0.000134312,0.0888841
2146,EZH2,2.636,5.78033e-05,0.548597
7018,TF,-4.73989,1.87808e-05,0.125651
4237,MFAP2,4.44998,3.06548e-07,0.0930261
9743,ARHGAP32,3.33148,0.000102488,0.00504519
4311,MME,-3.57591,4.2408e-08,0.148877
4016,LOXL1,3.10499,4.43255e-06,0.0965481
3480,IGF1R,2.8366,8.21496e-07,0.148654
4281,MID1,-2.37908,2.93642e-12,0.102699
6376,CX3CL1,-3.63335,7.18318e-09,0.07017
25802,LMOD1,-2.92459,4.37367e-15,0.0342546
644,BLVRA,2.49486,0.000136972,0.00535891
6586,SLIT3,-2.61634,2.83346e-07,0.0239686
3489,IGFBP6,-2.95236,9.86922e-09,0.112222
1756,DMD,-3.10522,1.05412e-12,0.0910191
4137,MAPT,2.40641,0.000140519,0.356772
1264,CNN1,-2.54024,3.54764e-09,0.104384
771,CA12,2.36204,9.76066e-05,0.0800576
2167,FABP4,-4.15702,2.23145e-10,0.127207
8987,FAM47E,-2.97288,0.000202748,0.00795778
11015,KDELR3,2.99189,5.6377e-09,0.00611479
3039,HBA1,-2.99628,2.07484e-06,0.262858
11130,ZWINT,3.33437,0.000417514,0.113308
4199,ME1,-3.02669,1.76241e-05,0.0993735
5025,P2RX4,2.60104,1.11781e-07,0.0396075
22795,NID2,2.55249,1.13645e-05,0.0253596
5138,PDE2A,-3.04954,1.90498e-11,0.104887
1031,CDKN2C,-3.16531,0.000351041,0.408338
1164,CKS2,3.21872,0.000198746,0.0996817
241,ALOX5AP,3.28442,3.10493e-06,0.010344
1910,EDNRB,-3.06102,1.03353e-10,0.102193
8842,PROM1,-2.4218,9.03162e-06,0.121234
1385,CREB1,3.57886,3.09182e-06,0.527064
3783,KCNN4,-3.20738,4.73784e-09,0.410677
2247,FGF2,-2.48609,1.1141e-11,0.114068
2348,FOLR1,-4.30905,2.80418e-09,0.107139
667,DST,-2.44339,1.97886e-05,0.033242
5810,RAD1,2.82484,4.53691e-10,0.00468134
5803,PTPRZ1,-2.43462,1.01912e-05,0.117619
5091,PC,-2.39463,1.3983e-07,0.0202513
7122,CLDN5,-2.87716,2.09128e-09,0.0852363
1346,COX7A1,-2.67273,5.23233e-09,0.0173124
1462,VCAN,3.88419,1.47707e-06,0.110585
4881,NPR1,-2.30425,5.42916e-08,0.0314509
3169,FOXA1,3.65337,4.51943e-09,0.720848
