genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
string,string,string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
meta,meta,meta,batch=1 class=1|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=1 class=1|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=2 class=2|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=3 class=3|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=4 class=4|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|1|Luminal\ A diagnosis=Breast\ cancer hybridation=1 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|2|Luminal\ A diagnosis=Breast\ cancer hybridation=2 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A,batch=5 class=5|Breast\ cancer|3|Luminal\ A diagnosis=Breast\ cancer hybridation=3 tumor_subtype=Luminal\ A
1007_s_at,780,DDR1,9.25581,9.65648,9.67101,10.2789,9.26293,9.79335,9.68111,9.23725,10.9918,10.7909,10.7544,10.4059,10.2163,10.088,9.83567,10.097,10.7279,11.1014,9.67831,10.7017,10.5528,10.3353,10.2945,11.0944,10.2281,10.0329,9.84599,10.5547,9.4529
1053_at,5982,RFC2,7.42271,7.03281,6.70343,7.39894,7.22615,6.79832,6.84965,7.29869,6.8832,6.40945,7.12197,7.15877,7.06667,6.99632,6.67889,6.99333,6.84023,7.25026,6.91589,5.68589,6.0882,7.35386,7.20402,7.31024,6.96242,7.41607,5.83454,6.88277,6.837
117_at,3310,HSPA6,5.90116,5.01108,4.26019,4.94541,5.41029,5.41365,5.70363,4.10106,5.63173,5.61878,6.28205,5.57738,4.66778,4.5139,6.13449,5.75165,6.29517,4.81102,5.47914,4.42508,6.8979,5.32343,5.91998,5.48543,6.46595,4.50611,4.78051,4.14597,6.10766
1294_at,7318,MIR5193,6.39339,7.75967,6.79128,7.72522,7.92009,5.79406,7.59827,7.23315,8.54789,7.72629,8.06425,7.3886,7.66124,6.32999,7.39462,6.85385,7.78182,7.12204,6.74362,7.21228,8.56077,7.24038,8.17657,7.31011,7.5239,7.44448,7.03001,6.37882,6.99674
1316_at,7067,THRA,3.31515,3.34,3.14845,3.09989,3.42857,3.55201,3.25987,3.21713,3.56032,3.5493,3.53381,3.42532,3.45824,3.40397,3.2068,3.27224,3.26699,3.22369,3.53458,3.64618,3.3479,3.39311,3.88391,3.62851,3.39838,3.31572,3.70289,3.55309,3.23899
1405_i_at,6352,CCL5,8.82882,10.1577,7.2341,7.28429,10.3067,8.30816,8.25211,8.6942,7.43344,8.93008,9.05865,9.05033,8.42317,6.75887,8.75712,5.543,5.68833,7.36957,5.93992,6.99717,10.9298,8.09043,9.85975,4.42757,9.40301,7.32929,7.18265,6.36287,9.56499
1438_at,2049,EPHB3,4.89195,2.55596,3.75623,4.12133,4.78485,3.54494,4.53491,3.48512,5.12557,2.04451,1.92351,4.92741,2.31724,4.60967,4.73809,4.57641,4.40045,6.60912,4.58068,6.21276,2.09133,2.35065,2.16074,2.07259,3.87368,4.29189,4.27692,3.58838,5.11154
1487_at,2101,ESRRA,5.87079,5.66254,5.5687,5.97959,5.76388,5.8533,5.9864,6.01533,6.2752,5.67647,6.0265,6.29119,6.16206,5.76807,6.07703,6.35496,5.6315,5.68627,6.09857,6.15301,6.60274,6.48914,6.16903,6.64642,5.22549,5.89958,5.45788,6.44435,5.82317
1552256_a_at,949,SCARB1,8.49467,9.0696,7.81932,7.95176,7.66341,8.44961,8.27346,7.83098,9.6071,8.01717,9.90847,9.02271,8.18156,7.88494,8.89607,6.453,8.92644,8.59748,8.27865,8.04033,10.4713,9.06126,7.74282,8.5182,7.72452,7.42995,7.89776,8.1581,7.34009
1552257_a_at,23170,TTLL12,7.81089,8.70648,8.21484,9.05989,7.33348,11.7873,8.56493,8.39558,7.1462,7.86928,7.20808,8.11865,7.25263,8.48111,9.44552,8.55938,8.52273,10.4914,9.23967,8.62764,8.46664,8.7056,8.58894,8.00787,8.11795,8.38496,8.01448,6.76867,8.50502
1552258_at,112597,LINC00152,3.44721,3.55621,3.11442,3.42061,3.43528,3.73106,3.97581,2.9179,3.3386,3.38933,3.50915,3.50411,3.47671,3.71477,3.3525,3.41163,3.55607,3.50148,3.53868,3.47551,3.59566,3.44932,3.454,3.45073,3.63363,3.56818,3.61165,3.56286,4.07881
1552263_at,5594,MAPK1,3.75313,4.1381,4.02169,4.06353,4.91499,3.99718,4.22595,4.13828,3.71145,3.95099,3.65223,4.16004,3.62897,3.94222,4.13483,3.75815,3.77494,4.18323,3.28205,3.93798,4.17191,4.10493,3.90441,3.71752,4.05028,3.96689,3.62069,3.74152,3.83003
1552264_a_at,5594,MAPK1,5.67066,6.30693,6.88921,6.18407,6.75141,6.7441,6.48099,7.04962,5.8178,6.03,5.41497,6.7556,5.79482,6.63634,6.38114,5.68962,6.83608,6.46184,5.52738,5.43751,6.76687,6.06195,5.12979,5.79633,6.61061,6.33897,5.96508,5.96314,6.17975
1552266_at,203102,ADAM32,3.51332,3.54199,3.45064,3.41689,3.40905,3.52565,3.41349,3.39108,3.37581,3.46932,3.62699,3.54869,3.36169,4.10997,3.37862,3.46807,3.25511,3.57258,4.03818,3.52686,3.33966,3.39945,3.44515,3.31962,3.36077,3.52658,3.54122,3.43038,3.41648
1552274_at,54899,PXK,7.25721,7.25287,7.31142,7.16025,7.709,7.32896,7.23388,7.22695,7.07543,7.4999,6.87282,6.53919,7.07576,7.23402,7.5847,7.25965,8.04884,7.10418,6.67921,7.01344,6.4423,5.70599,6.17478,7.91298,7.31774,7.63495,7.43213,8.11429,7.79856
1552275_s_at,54899,PXK,3.94482,3.40604,4.04287,4.59978,5.32907,3.82463,3.8256,4.37619,4.76186,4.65357,3.05639,4.00248,3.34725,3.2282,4.36358,3.82544,4.71587,3.99038,3.36276,3.30316,3.3165,3.57633,3.03098,3.75248,4.82506,4.17293,3.26504,5.17766,5.02765
1552277_a_at,91283,MSANTD3,5.54646,5.94702,6.08165,6.8088,6.73033,6.30719,6.46967,6.17146,6.68009,5.91036,4.70173,7.08829,6.05335,6.77667,6.63336,5.70359,6.19379,6.64605,5.78416,5.54356,6.8452,7.09019,6.61951,4.67628,6.15856,6.23727,5.14853,5.94237,6.10104
1552279_a_at,113235,SLC46A1,3.29652,3.31948,3.1029,3.16557,3.44032,4.56011,3.29486,3.27149,4.50001,3.87411,3.77234,3.29082,3.5144,3.12124,3.09356,3.66202,3.43211,3.40689,3.27258,3.29444,3.25691,3.29366,3.32172,3.66837,3.1327,3.25369,3.26772,3.30624,3.57424
1552283_s_at,79844,ZDHHC11,4.11798,4.82492,5.95619,5.63973,3.65668,4.89058,4.40498,4.36894,7.11727,4.52045,6.42608,5.12296,5.3274,5.39449,4.26653,7.39018,8.05483,4.26823,5.15498,4.73734,5.60076,5.13234,5.49035,6.02701,4.73942,4.99369,2.86958,6.82884,8.06624
1552286_at,90423,ATP6V1E2,3.9181,3.72917,3.82696,3.61419,3.77181,4.03128,4.08019,3.59813,4.9728,3.8391,3.62324,3.7928,3.72175,3.91431,3.84655,3.75131,3.5802,4.19252,4.85407,3.54892,3.40111,3.87427,4.12777,3.59189,3.51723,3.63576,3.63043,3.64496,3.63097
1552287_s_at,172,AFG3L1P,6.48698,6.89186,6.73077,6.66403,7.41281,6.6161,6.77777,6.47351,6.80106,6.71552,7.18587,7.01084,7.64293,6.43177,7.15084,6.5051,6.34398,6.625,6.87837,6.89217,6.90703,7.60653,7.01891,6.70075,7.09066,6.33908,6.94069,5.33271,7.18897
1552288_at,148113,CILP2,5.44368,5.1838,6.13314,5.10085,7.82684,4.5622,5.67962,4.14592,4.91846,3.57311,4.35733,4.66614,3.31629,5.33842,6.40209,6.37604,3.26246,4.24013,8.57495,3.92528,5.65784,6.52532,5.45685,3.36715,6.83432,6.08814,6.08359,3.3165,4.43782
1552289_a_at,148113,CILP2,4.61129,4.52623,3.64577,3.86847,6.23228,2.69201,5.43426,3.87986,4.3205,2.08213,2.81409,3.74635,2.91058,4.32732,6.30018,6.31816,2.13375,2.719,7.78829,3.95619,4.17091,6.58936,4.76341,2.15133,6.17938,6.26293,6.1806,1.91461,2.60087
1552291_at,54965,PIGX,8.34412,8.40163,8.06073,8.63289,7.09214,7.38476,7.99507,7.64744,8.09806,7.54481,9.16144,7.92145,8.90372,8.38294,7.67868,7.33184,7.61651,7.58068,7.54748,7.51509,8.92828,8.06394,8.03768,10.0217,7.6665,8.47062,7.19038,9.14542,7.42157
1552295_a_at,91252,SLC39A13,5.71483,5.75604,5.64522,6.01095,7.38514,6.60363,7.12029,5.77765,6.16386,5.62807,5.76514,5.95922,5.8858,6.04265,6.11005,5.55722,6.51816,5.74381,6.19769,5.64236,6.14521,5.6926,5.6886,5.68949,6.82449,6.17581,5.54106,5.58676,5.81767
1552301_a_at,84940,CORO6,1.99376,3.87728,4.81332,10.5075,2.21779,2.07473,4.73659,7.57677,11.5654,2.07543,2.56267,5.22565,3.03535,10.1364,2.82746,2.12519,2.24378,2.15565,3.34345,2.17185,2.17435,3.1672,5.0986,2.1832,9.00865,2.12592,2.1048,4.05164,3.3471
1552302_at,113277,TMEM106A,6.7887,7.68263,6.74614,7.03918,6.85988,5.94071,7.17853,6.54707,6.57785,6.78484,7.56999,7.27621,6.64648,7.40339,6.5823,6.68866,5.32541,5.73022,6.16479,6.72119,6.42887,5.34271,6.78696,7.64787,6.7119,4.86436,7.13378,5.83687,5.78065
1552303_a_at,113277,TMEM106A,4.78074,5.88992,5.1995,4.72261,5.47718,4.53994,5.87774,4.44727,5.25647,4.55633,5.14933,5.10068,4.8359,5.01866,4.94716,4.8476,4.69549,5.25906,4.35233,4.72922,4.69495,4.481,4.76574,5.84207,5.99693,3.99615,5.39059,4.43799,4.47593
1552306_at,84920,ALG10,3.61013,3.49043,3.27835,3.53005,3.60885,3.62566,3.57525,3.41051,3.76303,3.82925,3.78048,3.65596,3.90328,3.66553,3.6569,3.85197,3.67099,3.81762,3.77406,3.78209,3.94437,3.89259,3.95087,4.01703,3.43834,3.51997,3.4502,3.77248,3.6482
1552307_a_at,125488,TTC39C,2.79364,3.51641,2.75069,6.52499,2.97969,2.96537,2.94733,2.95574,4.60173,3.14364,5.5065,2.95162,3.74716,3.24333,3.16476,3.68172,3.28858,4.02508,3.59173,3.24032,6.38414,3.37471,3.69516,7.19085,3.67993,3.53111,3.31047,3.70574,3.15549
1552309_a_at,91624,NEXN,6.93127,5.24153,5.52505,6.47874,7.16922,5.02042,7.0493,6.56377,4.6855,4.80478,5.27343,6.75144,3.53829,6.93212,7.26893,5.52991,5.98994,5.17264,5.82364,5.17448,5.33144,6.76414,5.01681,3.14767,7.39544,6.97006,3.46377,3.50375,5.17056
1552310_at,123207,C15orf40,6.1798,6.99843,6.2859,6.63646,7.06784,5.37917,6.82392,7.25116,7.6647,7.22986,6.08341,6.40335,7.02999,5.70892,6.45541,6.44357,7.21206,7.2554,5.99396,6.75247,6.45511,6.17112,6.83716,6.29404,6.43826,5.69336,7.29557,5.27815,6.22233
1552311_a_at,84839,RAX2,5.60729,5.64563,5.43771,5.77176,5.22017,5.73306,5.29201,5.36603,5.33039,5.53598,6.10878,5.5417,5.56532,5.59829,5.43469,5.47511,5.32031,5.32276,5.57681,5.89051,5.55067,5.18046,5.95654,5.80778,5.33477,5.70394,5.5658,5.70008,5.42724
1552312_a_at,4238,MFAP3,3.77705,3.80581,3.64994,3.74472,3.73458,3.90433,3.74558,4.21555,3.8409,3.93968,4.03017,4.03292,4.0068,4.01619,3.96976,4.05843,3.62507,3.58197,3.67536,3.60485,3.90359,3.68402,3.61757,3.68865,3.73586,3.59446,3.8002,5.86082,3.63326
1552315_at,170575,GIMAP1,3.14782,3.15031,3.18514,2.96688,5.03913,2.84479,3.57961,3.71907,3.32599,2.67546,2.99455,3.14304,3.00333,3.04827,3.04516,2.82998,2.89524,2.9006,2.96646,2.93858,4.76019,3.27797,2.7353,2.73399,3.73638,3.07975,3.07496,2.86262,3.45518
1552316_a_at,170575,GIMAP1,6.15435,7.06469,5.8727,5.1216,8.60027,5.86137,7.58896,7.10097,5.97077,6.61702,7.48371,6.98384,6.39437,4.22602,6.96119,4.93038,5.24287,6.1702,5.74162,5.97587,8.09779,7.45764,6.95764,5.77682,7.85921,6.04952,5.51979,4.72401,6.29993
1552318_at,170575,GIMAP1,5.61223,5.69133,5.55071,4.98384,7.81854,5.47404,7.13282,5.25732,5.32188,5.91414,6.65812,6.40199,5.85991,5.21722,6.54007,6.26922,5.02885,5.0221,5.37931,5.87662,7.94804,6.48072,6.56381,5.41331,5.95942,5.39423,6.01518,4.89994,5.28616
1552319_a_at,11202,KLK8,3.36284,3.39154,3.4862,3.49692,2.88864,3.0755,3.16269,3.1694,3.17004,3.26494,3.40627,3.49688,3.41926,3.67191,3.57537,3.61246,3.10398,3.13472,3.62048,3.42706,3.40708,3.39337,3.48031,3.40673,3.28095,3.69844,3.72221,3.664,3.63189
1552325_at,220136,CCDC11,3.45223,3.60661,3.16183,3.16999,3.18467,3.6275,3.09169,3.11137,3.19915,3.63413,3.44191,3.41127,3.35322,3.45125,3.18423,3.28558,3.21648,3.16825,3.78511,3.5858,3.29789,3.19831,3.72606,3.22974,3.02547,3.43808,3.50986,3.3361,3.21104
1552327_at,100131755,ARMCX4,4.53562,2.45805,2.44737,2.38007,5.40494,2.40262,5.49515,6.71762,2.32483,4.87398,7.059,3.33987,4.50064,2.46003,2.32669,6.57417,3.56461,5.7686,2.6159,7.66992,2.31885,3.67347,3.66053,2.65309,2.34524,2.45606,2.41955,2.45752,2.35268
1552329_at,5930,RBBP6,7.66921,7.40171,7.78215,5.90487,5.42084,7.76735,5.8277,6.06077,6.47061,6.72619,5.17579,6.9936,6.43536,6.40355,6.25086,5.72197,5.94835,6.52884,4.23496,6.7707,3.91827,6.14633,6.87342,6.61998,7.07415,6.35498,7.42114,8.13538,6.78256
1552330_at,92806,CENPBD1,3.55721,4.41786,4.0527,4.39818,4.57597,3.70744,4.31487,4.46242,4.40487,4.59741,5.3732,4.46626,5.8998,3.70792,4.09781,4.22312,4.01422,4.46049,2.51749,2.90043,4.19727,4.84365,4.73842,4.63098,4.15401,3.08505,4.3486,3.57998,3.48661
1552332_at,11078,TRIOBP,4.87402,4.92917,4.74844,4.65874,4.67056,5.45317,4.83849,4.84803,4.69182,4.65207,4.09143,4.80903,4.77978,4.73695,4.65004,4.40172,4.87144,4.90606,4.93796,4.87197,4.81661,4.60967,4.70813,4.71182,4.43006,4.98808,4.92463,4.74439,4.73555
1552334_at,11078,TRIOBP,6.32622,6.34145,6.66623,6.45652,6.87751,6.82271,6.85167,7.45559,4.62607,6.03769,5.54136,6.24846,6.25386,6.66304,6.24476,6.00652,6.12659,6.84236,5.56773,6.23704,5.56071,5.58876,6.27632,5.9114,6.55752,5.67312,6.50608,5.46449,5.26085
1552343_s_at,5150,PDE7A,7.96044,8.74085,8.19596,7.81464,7.89004,8.80824,7.80072,7.68128,6.12283,7.48344,6.45805,7.34575,7.61929,7.04645,8.35386,7.63021,7.24732,7.7513,7.44002,7.72708,7.7936,8.46608,7.75583,6.44589,8.16636,7.06877,9.31728,7.14497,7.59379
1552344_s_at,29883,CNOT7,4.25716,3.30368,3.70604,4.28701,4.62991,3.65861,4.08657,5.539,3.9735,4.12515,3.74752,4.38737,4.38663,4.86088,4.11045,3.62767,4.67703,5.39839,3.61544,4.1694,4.32539,4.2943,3.34304,4.35677,4.96142,3.18391,5.43451,4.03421,4.45505
1552347_at,9946,CRYZL1,8.49948,8.88222,9.11431,9.15379,9.25412,7.80052,9.2806,9.16599,8.96276,9.32763,9.28447,8.78131,9.36478,8.57098,8.48253,9.11208,8.91965,8.97351,7.95503,9.72137,8.60668,8.80986,9.14217,9.38141,8.90131,8.37319,9.7475,9.33381,8.11316
1552348_at,260429,PRSS33,3.86902,3.89244,3.36714,3.6209,3.69345,3.87245,3.33789,3.3148,3.59439,3.69484,3.71879,3.73551,3.7258,3.38689,3.29118,3.53959,3.26825,3.26475,3.14767,2.93484,2.94684,3.174,3.21567,3.18669,3.62118,3.40186,3.35564,3.59103,3.53709
1552349_a_at,260429,PRSS33,2.29136,2.3036,1.81135,2.07666,2.35019,2.38869,1.90502,1.89627,2.14732,2.18546,2.26276,2.26969,2.26897,1.82207,1.79172,2.07133,2.50723,2.53621,2.68334,2.08769,2.08588,2.3513,2.35221,2.35623,2.34709,1.96571,1.94791,2.20321,2.18688
1552360_a_at,114609,TIRAP,3.3899,3.6122,3.56863,3.3875,3.44815,3.3529,3.53202,3.82122,3.25065,3.82383,3.55256,3.71866,3.55821,3.36496,3.46882,4.22057,4.00939,3.46284,3.11456,4.11042,3.41076,3.39632,3.30182,3.42235,3.25414,3.20757,3.32189,3.92772,3.26829
1552362_a_at,116842,LEAP2,6.22381,5.02121,4.89667,5.04964,4.66518,5.0217,4.50911,5.24171,5.08264,5.46824,5.94458,4.29294,6.20243,4.32555,5.15589,4.35459,6.00256,5.63977,5.28613,5.94341,4.14927,4.88025,5.522,4.62218,4.47557,4.63276,6.29633,4.7136,4.93599
1552364_s_at,124540,MSI2,2.63814,2.56424,2.39636,5.19507,2.38968,2.55212,2.37774,2.37008,2.44535,2.51654,2.31674,2.3226,2.31285,2.24785,2.25629,2.36708,2.51687,3.61565,2.52024,2.49316,3.85524,2.61397,3.02586,2.63049,2.53087,4.19761,2.39716,4.34638,2.6279
1552365_at,85477,SCIN,2.91167,5.18918,7.97229,4.50694,7.93927,2.95458,7.19608,7.40802,3.36052,3.06839,2.93457,2.99358,2.95677,3.48739,6.24783,3.07896,5.3149,2.82477,3.08675,3.05121,3.05143,3.08315,6.3983,3.09427,4.95409,2.99869,2.99373,2.99626,2.98036
1552367_a_at,85477,SCIN,3.01741,5.54391,7.19698,3.69598,8.72222,3.71099,7.05088,7.96426,4.61821,3.40632,3.08525,3.21363,3.08433,3.40264,6.16686,3.34879,5.27355,2.73162,2.92006,2.79082,2.85304,3.10703,5.94737,3.29041,4.65198,2.83723,2.71227,3.09996,3.13427
1552370_at,132321,C4orf33,5.24955,5.90509,6.0379,6.72304,5.3922,4.00867,6.3055,6.1971,5.48108,6.18294,6.79107,6.34473,6.36491,5.72499,4.96648,3.19174,6.46967,6.10775,5.91304,5.52494,7.02954,5.42271,5.74708,6.1211,6.36091,5.90601,4.62019,7.24489,5.81194
1552378_s_at,157506,RDH10,2.70509,2.70622,2.7328,2.59651,2.04546,2.55904,2.16548,2.131,2.07164,2.27067,2.81615,2.82515,2.58118,3.0356,2.8624,2.15337,2.78104,4.22259,2.34153,3.46083,2.86268,2.86332,2.67334,2.72516,2.83282,2.79847,2.22462,2.81408,2.62387
1552383_at,149647,FAM71A,4.01431,4.71443,4.53468,4.67901,4.46166,4.82549,4.19181,4.61093,4.46424,4.72412,4.56786,4.78173,4.40062,4.25612,4.34688,4.18275,4.00631,4.17382,6.0613,4.87025,4.47796,3.8713,4.38414,4.48669,4.31333,4.78374,4.74007,4.47222,3.83162
1552389_at,203111,ERICH5,3.19952,3.28358,3.04213,3.0185,2.90719,3.15291,2.91727,2.86721,2.84941,3.06134,2.87838,2.87981,2.86486,2.89387,2.72694,2.7555,2.92465,2.91085,3.21888,3.00072,2.9363,2.87492,2.94863,2.88468,2.90907,3.05594,3.06586,6.10058,2.88525
1552390_a_at,203111,ERICH5,2.90052,2.9165,2.653,2.93988,2.56747,2.69,2.40118,2.39159,2.66506,2.759,2.64333,2.65637,2.64154,2.50624,2.43633,2.72216,2.63476,2.63997,2.65165,2.53714,2.528,2.78422,2.79803,2.7941,2.59642,2.54091,2.54498,8.35006,2.75469
1552398_a_at,160364,CLEC12A,3.74675,3.75117,3.55608,3.71851,3.79586,3.80092,3.61728,3.53052,3.72581,4.54167,3.64166,3.62511,3.54664,3.60573,3.56292,3.64298,3.46062,3.50119,3.63773,3.63298,3.51979,3.58057,3.81313,3.58522,3.56915,3.58028,3.69231,3.66903,4.07534
1552399_a_at,2972,BRF1,2.75057,2.7418,2.79275,2.68176,3.15176,2.8049,2.95153,2.76311,3.82811,2.51112,2.60421,2.61857,3.06392,2.90391,2.84754,2.87819,3.16397,2.97115,2.7926,2.72091,2.72991,2.54931,2.59131,3.0164,2.88732,2.7762,3.49654,2.61441,4.00612
1552417_a_at,121441,NEDD1,5.26195,4.86851,4.98097,4.73437,4.26853,4.62695,4.37356,4.47969,4.40175,5.30637,3.93268,4.91384,4.88902,4.81107,4.54994,4.5351,5.03298,4.90443,4.60467,5.01884,4.83894,4.30671,4.44315,3.70649,5.76607,4.86377,5.20713,5.7159,4.62259
1552423_at,2117,ETV3,3.21531,3.24876,3.40413,3.2985,3.92053,2.75425,3.03998,3.73163,3.18632,4.04653,3.06764,3.17535,3.75846,3.64402,3.41078,3.49805,4.03885,3.28761,3.34957,3.90343,4.35028,3.00736,3.11742,3.0867,3.25378,3.59527,4.30644,3.44473,3.45102
1552426_a_at,80213,TM2D3,10.3522,10.3104,10.2215,10.1639,9.95444,9.93613,10.1145,10.0255,10.5717,10.4484,9.63273,10.4091,10.3923,10.0845,10.1926,10.6547,9.9734,9.86009,9.97654,9.91143,9.64924,10.3091,9.82199,10.2484,10.0872,10.4311,10.1441,9.63201,9.55775
1552427_at,220992,ZNF485,3.98697,4.10497,3.78496,3.7263,3.57146,4.18279,3.91204,4.01348,3.90084,4.39741,4.23051,4.08443,4.00013,4.05301,4.19533,4.20723,3.8081,3.63882,3.95735,4.00384,3.71694,3.71468,4.18248,4.44428,3.46058,4.17211,3.89083,4.79591,3.65643
1552467_at,259234,DSCR10,6.09283,6.11019,5.99839,5.91458,5.59116,6.12516,5.9963,5.97707,6.32156,6.23076,5.9523,5.98963,5.98166,5.99077,5.91875,6.16653,5.93245,5.92997,6.11648,6.01074,5.99753,5.8905,6.15786,5.90643,5.91419,6.06539,6.06426,5.92927,6.02744
1552472_a_at,23527,ACAP2,4.33746,4.56058,4.28941,4.65969,4.30653,4.34259,4.45153,5.031,4.42057,4.46022,4.53404,4.47858,4.84179,4.61612,4.59702,4.97362,4.67481,4.33603,4.54532,4.49077,6.20229,4.16832,4.86934,4.48435,4.76033,4.69025,5.07975,4.47055,5.00408
1552473_at,2593,GAMT,5.70214,5.70403,5.53527,5.59046,5.20448,5.72328,5.55687,5.52759,5.67428,5.62656,5.47409,5.48396,5.97225,5.32248,5.31506,5.47087,5.63751,5.62296,4.74284,5.48426,5.77162,5.53781,5.54123,5.80988,3.30095,5.47163,6.12858,5.52319,5.50813
1552474_a_at,2593,GAMT,5.12773,4.62187,6.03637,4.18593,4.83439,5.32088,4.94918,4.69126,6.63737,5.44183,5.56599,5.39246,4.98876,5.02919,4.7866,5.7669,6.59032,6.11954,4.34462,5.09949,4.58173,4.92543,5.49634,6.67151,4.46277,5.32171,5.27366,5.80948,5.49263
1552477_a_at,3664,IRF6,9.4094,4.44012,6.61739,5.44818,6.98796,7.49782,7.49305,8.25529,8.29771,8.2683,5.39774,7.5652,9.44995,7.14098,6.28905,9.11747,10.1207,8.7177,6.61393,7.84852,8.62565,6.62714,6.41601,6.47195,6.75609,8.90136,8.77932,8.53267,11.1698
1552478_a_at,3664,IRF6,4.0809,3.68403,3.97318,3.62561,3.8166,3.85642,4.11611,4.11451,4.17407,4.43081,3.43287,3.82263,3.85678,4.18191,3.97089,6.11546,7.78157,4.5057,4.42115,4.90172,4.7079,3.63466,4.03985,4.03297,3.41609,5.19049,4.71119,5.27553,8.74278
1552482_at,65059,RAPH1,6.85655,6.56655,7.12178,6.21087,6.75233,6.63479,6.83142,7.22419,4.64982,6.99949,7.79441,5.35105,7.50592,7.60343,7.7667,8.62497,7.03764,7.02904,7.38491,7.9371,7.44027,5.24819,8.38064,7.24863,6.46548,6.92868,6.70811,7.71937,6.6997
1552485_at,114294,LACTB,5.03745,5.32028,5.87514,5.60495,5.33766,7.66137,5.706,6.59732,5.4889,4.79983,5.54859,5.46415,6.21002,6.37671,5.1266,5.77138,5.49804,5.37281,2.62252,3.8019,6.89286,5.12583,4.81141,5.59346,7.25898,5.44671,4.88041,5.6213,5.31525
