genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
228612_at,100506233,RAB30-AS1,6.55005,7.49599,8.01609,8.15072,8.20824,7.74727,7.7167,8.19976,7.34174,8.09228,7.10194,8.00788,7.53061,7.63589,7.40337,7.64077,7.10979,8.11411,7.32739,7.93642,8.11092,7.09444,8.11054,8.37246,7.75509,8.18876,7.79719,8.39433,7.29754
228613_at,9727,RAB11FIP3,10.6816,10.3035,9.86265,9.48031,9.3892,9.79446,9.28959,9.06962,10.7315,9.57168,10.9147,9.66471,10.1689,9.73912,9.20842,10.89,9.44217,9.97771,9.04275,10.8522,9.35791,8.97505,10.3644,11.2039,9.37765,9.12001,10.7572,9.83784,9.66935
228614_at,205251,LINC00116,6.55007,6.06769,5.11112,6.21496,6.34401,6.1414,6.2699,6.4845,6.30811,5.88449,5.35959,6.18413,6.53648,4.96943,6.43321,5.91149,5.74548,5.31111,5.96317,5.04626,6.21156,6.47628,6.24828,6.04938,6.32932,5.68508,5.19892,5.52252,4.99337
228615_at,286161,LOC286161,6.28629,6.00524,6.24391,6.32955,6.15776,6.04768,6.08574,5.83948,6.77677,6.73958,7.36815,6.24861,6.2359,6.34013,6.41709,5.94587,5.87022,6.15636,6.41811,6.46941,6.01033,6.86128,5.93939,5.88138,6.32765,5.97157,7.28144,5.62164,6.53743
228617_at,54739,XAF1,10.0539,12.0355,9.59281,10.3789,10.2749,10.2042,9.90964,9.63664,10.8364,9.4256,11.9318,9.76808,11.0884,9.9675,9.65549,8.79307,8.20289,9.64501,9.17963,9.18091,12.8798,10.2125,10.2621,10.3937,10.3692,9.81929,8.77985,9.41521,9.16533
228618_at,375033,PEAR1,3.28368,3.28726,4.08223,3.45969,5.83302,2.88696,3.91169,4.48095,4.1693,3.23789,3.52642,5.35761,3.71025,2.97035,4.61037,3.13387,3.49584,4.82835,4.38404,3.23982,3.35129,3.4082,3.54086,3.26005,2.98211,3.22064,3.13549,3.26033,3.42806
228619_x_at,261726,TIPRL,6.24917,6.00189,6.06795,5.94796,6.83641,6.75675,5.83374,5.80545,6.00653,6.13723,7.16643,6.75422,5.936,7.79825,6.12063,5.90682,5.79572,5.78899,5.67841,7.75797,6.39049,6.27194,5.83093,6.11299,6.00377,6.84935,5.98903,5.56586,6.07257
228620_at,101927027,LOC101927027,9.75218,8.81485,9.23909,8.21257,8.06761,8.37067,8.6168,8.40913,9.64778,8.97531,6.47553,7.7798,9.08402,8.22722,7.54483,8.95831,7.71027,8.46115,6.40099,8.30494,8.70227,6.39766,6.31702,7.61742,9.52073,9.00675,8.7425,7.51144,8.11731
228622_s_at,3338,DNAJC4,7.25147,7.19263,7.1912,7.22064,7.68312,6.60247,7.65096,7.91848,8.49666,7.34012,7.48108,7.64049,7.41571,7.32671,7.73921,7.30889,7.80584,8.0116,7.43213,7.73897,7.39765,7.08068,7.83085,8.19341,7.06775,7.2901,6.85528,7.99697,7.25673
228623_at,,,10.0031,9.98689,9.77543,9.64308,9.77007,9.47112,10.3688,10.2294,10.1303,10.1314,9.71674,10.1296,10.024,10.2659,10.3769,10.0666,9.49263,9.37739,9.91369,10.2943,9.95622,10.1681,10.2684,9.29053,9.87962,9.64559,10.0704,10.015,10.1448
228624_at,55314,TMEM144,8.1802,8.79177,7.87112,7.04224,7.12057,7.24954,8.01107,8.30479,8.4598,7.31944,8.64906,7.78058,9.38418,7.77566,7.63849,9.34446,9.42235,9.69725,7.76478,9.36383,9.09045,7.78288,8.44615,9.64657,7.44924,7.99183,8.22556,9.36539,8.55791
