Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
COL5A1,COL5A2,0.945,1.31294e-14,2.87259e-09
COL3A1,COL5A2,0.94,3.63002e-14,3.97108e-09
KRT14,KRT5,0.933,1.85159e-13,1.35037e-08
FAP,FBN1,0.931,2.69862e-13,1.47608e-08
COL5A2,CTHRC1,0.927,5.08419e-13,2.22475e-08
COL5A2,POSTN,0.924,8.54078e-13,3.11441e-08
COL5A1,SERPINH1,0.921,1.40558e-12,4.39326e-08
CTHRC1,FAP,0.92,1.65238e-12,4.51907e-08
COL5A1,POSTN,0.918,2.454e-12,5.80251e-08
COL5A1,FAP,0.917,2.65208e-12,5.80251e-08
COL5A2,VCAN,0.916,3.09306e-12,6.08598e-08
DST,KRT5,0.916,3.33797e-12,6.08598e-08
ADAM12,COL5A1,0.915,3.88214e-12,6.53367e-08
FUS,LOC100190986,0.914,4.50688e-12,7.04332e-08
COL12A1,COL8A2,0.912,5.61888e-12,8.03583e-08
CENPU,KIAA0101,0.912,6.04228e-12,8.03583e-08
COL5A1,FBN1,0.911,6.49484e-12,8.03583e-08
CRYAB,IRX1,0.911,6.97839e-12,8.03583e-08
COL8A2,LRRC15,0.911,6.97839e-12,8.03583e-08
SEPT2,TSN,0.909,9.2625e-12,1.01328e-07
FBN1,PRRX1,0.908,9.93203e-12,1.03478e-07
KRT5,MIA,0.907,1.14064e-11,1.13437e-07
KRT5,TRIM29,0.906,1.30797e-11,1.24422e-07
COL5A1,CTHRC1,0.903,1.95473e-11,1.78199e-07
COL3A1,FAP,0.902,2.22848e-11,1.95029e-07
ABCA8,EBF1,0.902,2.37818e-11,2.00125e-07
FBN1,SERPINH1,0.901,2.53707e-11,2.05588e-07
ADH1B,FABP4,0.9,3.27513e-11,2.47093e-07
COL5A2,FAP,0.9,3.27513e-11,2.47093e-07
ADAM12,FBN1,0.897,4.47385e-11,3.26279e-07
COL5A2,SERPINH1,0.895,5.70971e-11,4.02978e-07
ANKRD35,PLAC9,0.894,6.83438e-11,4.66686e-07
DST,TRIM29,0.893,7.25227e-11,4.66686e-07
CTHRC1,SERPINH1,0.893,7.25227e-11,4.66686e-07
CHRDL1,EBF1,0.892,8.65077e-11,5.40774e-07
C2orf40,MIA,0.891,9.71626e-11,5.74549e-07
FAP,SERPINH1,0.891,9.71626e-11,5.74549e-07
ADH1B,CHRDL1,0.889,1.15418e-10,6.64539e-07
ACVR1C,C1orf213,0.888,1.29283e-10,7.0715e-07
ABCA8,ENPP2,0.888,1.29283e-10,7.0715e-07
BGN,COL5A1,0.887,1.52965e-10,8.16275e-07
DST,MIA,0.886,1.70896e-10,8.90251e-07
C2orf40,CRYAB,0.885,1.90738e-10,9.48449e-07
COL8A2,COMP,0.885,1.90738e-10,9.48449e-07
ALOX5AP,LAPTM5,0.884,2.01432e-10,9.58076e-07
DST,KRT14,0.884,2.01432e-10,9.58076e-07
CDH11,FBN1,0.884,2.12673e-10,9.90021e-07
COL3A1,COL5A1,0.883,2.24487e-10,1.02325e-06
KRT14,MIA,0.882,2.4994e-10,1.11601e-06
CTHRC1,POSTN,0.882,2.63635e-10,1.15362e-06
KRT5,SYNM,0.88,3.25582e-10,1.39676e-06
RAB5A,RAD1,0.875,5.16639e-10,2.13276e-06
LRRC15,PPAPDC1A,0.875,5.16639e-10,2.13276e-06
KIT,NDRG2,0.875,5.43249e-10,2.20107e-06
INMT,RASIP1,0.874,5.71109e-10,2.27188e-06
KRT14,TRIM29,0.874,6.00273e-10,2.34526e-06
ADH1B,GPX3,0.872,6.96149e-10,2.67212e-06
CTHRC1,PPAPDC1A,0.872,7.311e-10,2.7579e-06
ADAM12,SERPINH1,0.871,7.67652e-10,2.8467e-06
G0S2,PLIN4,0.871,8.05872e-10,2.93863e-06
COL10A1,COL12A1,0.87,8.45827e-10,2.98483e-06
COL5A1,PPAPDC1A,0.87,8.45827e-10,2.98483e-06
ADIPOQ,G0S2,0.87,8.8759e-10,3.03432e-06
CALU,SERPINH1,0.87,8.8759e-10,3.03432e-06
CREB1,RAB5A,0.869,9.76834e-10,3.23822e-06
ARPC5,CREB1,0.869,9.76834e-10,3.23822e-06
AKR1C2,FABP4,0.867,1.23708e-09,4.03973e-06
FKBP14,GXYLT2,0.866,1.2962e-09,4.11009e-06
COMP,LRRC15,0.866,1.2962e-09,4.11009e-06
INMT,SOD3,0.866,1.35789e-09,4.18441e-06
CDH11,COL8A2,0.866,1.35789e-09,4.18441e-06
COL3A1,POSTN,0.865,1.42226e-09,4.3219e-06
MATR3,PIK3C2A,0.864,1.55945e-09,4.67388e-06
IRX1,KRT5,0.864,1.63249e-09,4.69967e-06
ABCA8,CHRDL1,0.864,1.63249e-09,4.69967e-06
CDH11,COL12A1,0.864,1.63249e-09,4.69967e-06
COL5A2,FBN1,0.863,1.78807e-09,5.05336e-06
HLA-DRA,LAPTM5,0.862,1.87083e-09,5.05336e-06
COL12A1,LRRC15,0.862,1.87083e-09,5.05336e-06
COL12A1,COL5A1,0.862,1.87083e-09,5.05336e-06
PPAPDC1A,SPOCK1,0.862,1.87083e-09,5.05336e-06
SERPINH1,THY1,0.861,2.04699e-09,5.39593e-06
POSTN,VCAN,0.861,2.04699e-09,5.39593e-06
COL10A1,COL8A2,0.861,2.14064e-09,5.57562e-06
FABP4,G0S2,0.86,2.33981e-09,5.95266e-06
FBN1,LOXL1,0.86,2.33981e-09,5.95266e-06
COL5A1,COL8A2,0.859,2.44562e-09,6.08046e-06
COL5A1,VCAN,0.859,2.44562e-09,6.08046e-06
ADAM12,FAP,0.859,2.5558e-09,6.28299e-06
POSTN,SERPINH1,0.858,2.6705e-09,6.49202e-06
COL3A1,CTHRC1,0.858,2.7899e-09,6.64157e-06
ANKRD35,CDC42EP5,0.857,2.91415e-09,6.64157e-06
COL12A1,INHBA,0.857,2.91415e-09,6.64157e-06
RAB5A,RHOA,0.857,2.91415e-09,6.64157e-06
ASPN,LRRC15,0.857,2.91415e-09,6.64157e-06
ADAM12,FKBP14,0.857,2.91415e-09,6.64157e-06
IRX1,MIA,0.856,3.17799e-09,6.8843e-06
ARFIP1,UBE2N,0.856,3.17799e-09,6.8843e-06
COL5A1,COL6A1,0.856,3.17799e-09,6.8843e-06
COL3A1,VCAN,0.856,3.17799e-09,6.8843e-06
COL3A1,FBN1,0.856,3.17799e-09,6.8843e-06
COL5A2,PPAPDC1A,0.855,3.4635e-09,7.35711e-06
COL5A2,LRRC15,0.855,3.4635e-09,7.35711e-06
CDH11,FAP,0.855,3.61488e-09,7.60484e-06
NDRG2,SYNM,0.854,3.7723e-09,7.7135e-06
COL8A2,FNDC1,0.854,3.7723e-09,7.7135e-06
COL5A1,LRRC15,0.854,3.7723e-09,7.7135e-06
CALU,THY1,0.854,3.93595e-09,7.97362e-06
COL10A1,TIMP3,0.853,4.28291e-09,8.51874e-06
CCL14,MEOX1,0.853,4.28291e-09,8.51874e-06
EBF1,MEOX1,0.852,4.46667e-09,8.7256e-06
CTHRC1,VCAN,0.852,4.46667e-09,8.7256e-06
CHRDL1,FABP4,0.851,5.06208e-09,9.46613e-06
PRRX1,SERPINH1,0.851,5.06208e-09,9.46613e-06
ARPC5,CCT2,0.851,5.06208e-09,9.46613e-06
CDC42EP5,PLAC9,0.851,5.06208e-09,9.46613e-06
COL5A2,COL8A2,0.851,5.06208e-09,9.46613e-06
ITGA7,SCN4B,0.849,5.72923e-09,1.03595e-05
AKR1C2,CHRDL1,0.849,5.72923e-09,1.03595e-05
COL5A1,GJB2,0.849,5.72923e-09,1.03595e-05
CTHRC1,FBN1,0.849,5.72923e-09,1.03595e-05
ADAM12,PRRX1,0.849,5.96887e-09,1.06174e-05
DMD,MAMDC2,0.849,5.96887e-09,1.06174e-05
EIF4A2,RIOK3,0.848,6.21764e-09,1.09707e-05
M6PR,UBE2N,0.847,6.74383e-09,1.17102e-05
CDH11,COL5A1,0.847,6.74383e-09,1.17102e-05
EBF1,ENPP2,0.846,7.31043e-09,1.24957e-05
COL12A1,FBN1,0.846,7.31043e-09,1.24957e-05
RUNX1-IT1,TRIM59,0.846,7.60974e-09,1.29065e-05
ASPN,COMP,0.845,7.9202e-09,1.3228e-05
ADAM12,THY1,0.845,7.9202e-09,1.3228e-05
ARFIP1,PIK3C2A,0.845,8.24221e-09,1.36615e-05
COL10A1,PPAPDC1A,0.844,8.57612e-09,1.38991e-05
ADAM12,COL5A2,0.844,8.57612e-09,1.38991e-05
FAP,POSTN,0.844,8.57612e-09,1.38991e-05
CD36,FABP4,0.844,8.92236e-09,1.41459e-05
COL8A2,FBN1,0.844,8.92236e-09,1.41459e-05
BGN,FBN1,0.844,8.92236e-09,1.41459e-05
CDK1,ZWINT,0.843,9.28132e-09,1.44019e-05
CHRDL1,ENPP2,0.843,9.28132e-09,1.44019e-05
GJB2,PPAPDC1A,0.843,9.28132e-09,1.44019e-05
CTHRC1,LRRC15,0.841,1.0853e-08,1.66052e-05
CALU,FBN1,0.841,1.0853e-08,1.66052e-05
LMOD1,MAMDC2,0.841,1.12822e-08,1.71419e-05
IRX1,KRT14,0.84,1.17268e-08,1.75734e-05
CDH11,LRRC15,0.84,1.17268e-08,1.75734e-05
CALU,INHBA,0.839,1.26643e-08,1.87219e-05
ASPN,COL3A1,0.839,1.26643e-08,1.87219e-05
ABCA8,ADH1B,0.839,1.31583e-08,1.91928e-05
BIN1,RRAGD,0.839,1.31583e-08,1.91928e-05
CREB1,TSN,0.838,1.36698e-08,1.95479e-05
COL12A1,GJB2,0.838,1.36698e-08,1.95479e-05
COL10A1,LRRC15,0.838,1.36698e-08,1.95479e-05
IRX1,TRIM29,0.838,1.41994e-08,2.01734e-05
ADH1B,EBF1,0.837,1.47477e-08,2.0552e-05
ADH1B,AKR1C2,0.837,1.47477e-08,2.0552e-05
ADIPOQ,FABP4,0.837,1.47477e-08,2.0552e-05
CCT2,CREB1,0.837,1.53153e-08,2.09427e-05
IGF1R,SERINC3,0.837,1.53153e-08,2.09427e-05
ADAM12,POSTN,0.837,1.53153e-08,2.09427e-05
RASIP1,TNXA,0.836,1.59027e-08,2.12156e-05
CCL14,TNXA,0.836,1.59027e-08,2.12156e-05
GDI2,NREP,0.836,1.59027e-08,2.12156e-05
FBN1,POSTN,0.836,1.59027e-08,2.12156e-05
LINC00408,SH3GL3,0.836,1.60774e-08,2.13187e-05
CRYAB,LMOD1,0.836,1.65106e-08,2.16309e-05
CENPU,ZWINT,0.836,1.65106e-08,2.16309e-05
ITGA7,RASIP1,0.835,1.77905e-08,2.30319e-05
CDH11,CTHRC1,0.835,1.77905e-08,2.30319e-05
CALU,FAP,0.834,1.91603e-08,2.46595e-05
CRYAB,MIA,0.833,1.98807e-08,2.49984e-05
MRPL42,SEPT2,0.833,1.98807e-08,2.49984e-05
COL12A1,PPAPDC1A,0.833,1.98807e-08,2.49984e-05
LOXL1,SERPINH1,0.833,1.98807e-08,2.49984e-05
CHRDL1,MEOX1,0.833,2.06258e-08,2.56405e-05
COL6A1,SERPINH1,0.833,2.06258e-08,2.56405e-05
BGN,COL5A2,0.833,2.13962e-08,2.6448e-05
CCL14,INMT,0.832,2.21928e-08,2.71262e-05
COL12A1,COL5A2,0.832,2.21928e-08,2.71262e-05
DST,SYNM,0.832,2.30164e-08,2.7822e-05
BGN,FAP,0.832,2.30164e-08,2.7822e-05
FAP,PRRX1,0.831,2.38678e-08,2.86926e-05
COL12A1,SERPINH1,0.831,2.47478e-08,2.9268e-05
CDH11,COL5A2,0.831,2.47478e-08,2.9268e-05
ASPN,CDH11,0.831,2.47478e-08,2.9268e-05
CLDN5,TNXA,0.829,2.75684e-08,3.20835e-05
CTHRC1,GJB2,0.829,2.75684e-08,3.20835e-05
ASPN,COL8A2,0.829,2.75684e-08,3.20835e-05
INMT,TNXA,0.829,2.85718e-08,3.25586e-05
CREB1,SEPT2,0.829,2.85718e-08,3.25586e-05
CCNB1,CDK1,0.829,2.85718e-08,3.25586e-05
BAG2,FAP,0.829,2.85718e-08,3.25586e-05
RASIP1,ROBO4,0.828,2.96084e-08,3.3392e-05
BGN,SERPINH1,0.828,2.96084e-08,3.3392e-05
CRYAB,DMD,0.828,3.06792e-08,3.40728e-05
CDC5L,OCIAD1,0.828,3.06792e-08,3.40728e-05
BAG2,COL3A1,0.828,3.06792e-08,3.40728e-05
DMD,LMOD1,0.827,3.17853e-08,3.47716e-05
IGFBP6,PID1,0.827,3.17853e-08,3.47716e-05
CALU,COL12A1,0.827,3.17853e-08,3.47716e-05
BGN,PPAPDC1A,0.827,3.29275e-08,3.5842e-05
HSP90AB1,STIP1,0.826,3.41071e-08,3.67602e-05
FAP,PPAPDC1A,0.826,3.41071e-08,3.67602e-05
DNAH3,OPHN1,0.826,3.53251e-08,3.77015e-05
LOXL1,THY1,0.826,3.53251e-08,3.77015e-05
COL8A2,TIMP3,0.825,3.65826e-08,3.82964e-05
PSMD10,RAB1A,0.825,3.65826e-08,3.82964e-05
ABCA8,PLAC9,0.825,3.65826e-08,3.82964e-05
PPAPDC1A,SERPINH1,0.825,3.65826e-08,3.82964e-05
CRYAB,TRIM29,0.825,3.78808e-08,3.92795e-05
FBN1,THY1,0.825,3.78808e-08,3.92795e-05
COL3A1,SERPINH1,0.824,3.92208e-08,4.02871e-05
ADAM12,COL3A1,0.824,3.92208e-08,4.02871e-05
NDRG2,PIGR,0.824,4.06039e-08,4.11286e-05
COL5A1,NID2,0.824,4.06039e-08,4.11286e-05
CDH11,COL3A1,0.824,4.06039e-08,4.11286e-05
GJB2,LRRC15,0.823,4.20314e-08,4.23783e-05
RBPMS2,VIT,0.823,4.35044e-08,4.30696e-05
C2orf40,IRX1,0.823,4.35044e-08,4.30696e-05
CAPRIN1,UBE2N,0.823,4.35044e-08,4.30696e-05
FBN1,SPOCK1,0.823,4.35044e-08,4.30696e-05
ADH1B,ENPP2,0.822,4.50243e-08,4.35881e-05
SFRP1,SOX10,0.822,4.50243e-08,4.35881e-05
LRRC15,TIMP3,0.822,4.50243e-08,4.35881e-05
PRRX1,THY1,0.822,4.50243e-08,4.35881e-05
DCTN4,PSMD10,0.822,4.50243e-08,4.35881e-05
DDX42,HSP90AB1,0.822,4.65925e-08,4.47106e-05
COL12A1,CTHRC1,0.822,4.65925e-08,4.47106e-05
BZW1,GFPT1,0.821,4.82103e-08,4.58608e-05
GNB1,UBE4B,0.821,4.82103e-08,4.58608e-05
CFD,TNXA,0.821,4.98791e-08,4.64387e-05
GDE1,RAB1A,0.821,4.98791e-08,4.64387e-05
RELN,SAMD5,0.821,4.98791e-08,4.64387e-05
GLUL,IGF1R,0.821,4.98791e-08,4.64387e-05
CALU,COL5A1,0.821,4.98791e-08,4.64387e-05
LRRC15,SERPINH1,0.82,5.16004e-08,4.78377e-05
ENPP2,FMO2,0.82,5.33757e-08,4.92747e-05
SOD3,TNXA,0.819,5.52064e-08,5.03277e-05
COL8A2,PPAPDC1A,0.819,5.52064e-08,5.03277e-05
ASPN,COL5A2,0.819,5.52064e-08,5.03277e-05
COL5A1,PRRX1,0.819,5.70941e-08,5.16185e-05
DICER1,EDEM3,0.819,5.70941e-08,5.16185e-05
ATP6V1A,TMEM245,0.818,5.90405e-08,5.29407e-05
PSMD10,RAB5A,0.818,5.90405e-08,5.29407e-05
RASIP1,SEMA3G,0.818,6.10471e-08,5.38571e-05
EDNRB,SCN4B,0.818,6.10471e-08,5.38571e-05
MEOX1,TNXA,0.818,6.10471e-08,5.38571e-05
COL8A2,LOXL1,0.818,6.10471e-08,5.38571e-05
ARFIP1,SCARB2,0.817,6.31157e-08,5.54584e-05
GLUD2,PIK3C2A,0.817,6.52478e-08,5.62033e-05
CALU,TIMP3,0.817,6.52478e-08,5.62033e-05
ARPC5,SRSF3,0.817,6.52478e-08,5.62033e-05
PIK3C2A,RIOK3,0.817,6.52478e-08,5.62033e-05
SYNM,TRIM29,0.817,6.52478e-08,5.62033e-05
EBF1,FMO2,0.816,6.74454e-08,5.78685e-05
MIER3,NREP,0.816,6.97102e-08,5.88879e-05
KLHL29,PLAC9,0.816,6.97102e-08,5.88879e-05
NID2,SERPINH1,0.816,6.97102e-08,5.88879e-05
BGN,COL8A2,0.816,6.97102e-08,5.88879e-05
BAG2,CTGF,0.815,7.20441e-08,6.06254e-05
CCL14,RASIP1,0.815,7.44489e-08,6.16998e-05
ARPC5,RAB5A,0.815,7.44489e-08,6.16998e-05
ARFIP1,UEVLD,0.815,7.44489e-08,6.16998e-05
ASPN,COL12A1,0.815,7.44489e-08,6.16998e-05
BRCC3,EZR,0.814,7.69265e-08,6.35126e-05
CDC42EP5,LARP6,0.814,7.9479e-08,6.44048e-05
GNB1,JAK1,0.814,7.9479e-08,6.44048e-05
ASCC1,CFL1,0.814,7.9479e-08,6.44048e-05
GDI2,MIER3,0.814,7.9479e-08,6.44048e-05
CDH11,COL10A1,0.814,7.9479e-08,6.44048e-05
RAB5A,SRSF3,0.813,8.21084e-08,6.60462e-05
FXYD1,INMT,0.813,8.21084e-08,6.60462e-05
DST,IRX1,0.813,8.48167e-08,6.77268e-05
NID2,POSTN,0.813,8.48167e-08,6.77268e-05
ENPP2,RGMA,0.812,8.76061e-08,6.82115e-05
ABCA8,TNXA,0.812,8.76061e-08,6.82115e-05
MRPL42,TSN,0.812,8.76061e-08,6.82115e-05
ARFIP1,HSP90AB1,0.812,8.76061e-08,6.82115e-05
SEPT2,UBE2N,0.812,8.76061e-08,6.82115e-05
CCL14,CHRDL1,0.812,8.76061e-08,6.82115e-05
ADAM12,CTHRC1,0.812,8.76061e-08,6.82115e-05
DMD,TRIM29,0.812,9.04788e-08,6.89754e-05
C1S,CYB5R3,0.812,9.04788e-08,6.89754e-05
CREB1,GDI2,0.812,9.04788e-08,6.89754e-05
EBF1,PLAC9,0.812,9.04788e-08,6.89754e-05
GREM1,MFAP2,0.812,9.04788e-08,6.89754e-05
FBN1,LRRC15,0.812,9.04788e-08,6.89754e-05
ENPP2,GPX3,0.811,9.34369e-08,7.07376e-05
COL6A1,POSTN,0.811,9.34369e-08,7.07376e-05
MIA,TRIM29,0.811,9.64829e-08,7.20464e-05
LAPTM4B,PSMD10,0.811,9.64829e-08,7.20464e-05
DST,LAMB3,0.811,9.64829e-08,7.20464e-05
FBN1,NID2,0.811,9.64829e-08,7.20464e-05
FNDC1,LRRC15,0.81,9.96189e-08,7.41351e-05
ADIPOQ,PLIN4,0.81,1.02847e-07,7.57646e-05
MEOX1,SOD3,0.81,1.02847e-07,7.57646e-05
FN1,PPAPDC1A,0.81,1.02847e-07,7.57646e-05
BZW1,DDX42,0.809,1.09592e-07,8.01929e-05
BGN,LOXL1,0.809,1.09592e-07,8.01929e-05
ARFIP1,MATR3,0.808,1.13113e-07,8.16766e-05
SRSF3,SYPL1,0.808,1.13113e-07,8.16766e-05
KRT14,SYNM,0.808,1.13113e-07,8.16766e-05
CRYAB,KRT14,0.808,1.13113e-07,8.16766e-05
CRYAB,MAMDC2,0.808,1.16736e-07,8.26563e-05
COL12A1,TIMP3,0.808,1.16736e-07,8.26563e-05
MIER3,SRSF3,0.808,1.16736e-07,8.26563e-05
HLA-DRA,LCP1,0.808,1.16736e-07,8.26563e-05
CD46,EDEM3,0.808,1.16736e-07,8.26563e-05
CALU,PPAPDC1A,0.808,1.16736e-07,8.26563e-05
CALU,PRRX1,0.807,1.20465e-07,8.50214e-05
DCTN4,SYPL1,0.807,1.24302e-07,8.66117e-05
CAPRIN1,SEPT2,0.807,1.24302e-07,8.66117e-05
CHRDL1,CLDN5,0.807,1.24302e-07,8.66117e-05
BGN,LRRC15,0.807,1.24302e-07,8.66117e-05
COL6A1,FBN1,0.806,1.28249e-07,8.90787e-05
CREB1,PSMD10,0.806,1.32311e-07,9.07473e-05
CREB1,MIER3,0.806,1.32311e-07,9.07473e-05
HSPD1,STIP1,0.806,1.32311e-07,9.07473e-05
COL5A2,NID2,0.806,1.32311e-07,9.07473e-05
EBF1,TNXA,0.805,1.36489e-07,9.27407e-05
CALU,PLAUR,0.805,1.36489e-07,9.27407e-05
GOLGA7,MIER3,0.805,1.36489e-07,9.27407e-05
AKR1C2,CCL14,0.805,1.40786e-07,9.41981e-05
RELN,WIF1,0.805,1.40786e-07,9.41981e-05
COL12A1,FAP,0.805,1.40786e-07,9.41981e-05
COL10A1,SPOCK1,0.805,1.40786e-07,9.41981e-05
COL10A1,FN1,0.805,1.40786e-07,9.41981e-05
ASPN,VCAN,0.804,1.45207e-07,9.68595e-05
CIDEC,PLIN4,0.804,1.49753e-07,9.92867e-05
LRRC15,RUNX2,0.804,1.49753e-07,9.92867e-05
C2orf40,SFRP1,0.803,1.54428e-07,0.000100858
COL6A1,PRRX1,0.803,1.54428e-07,0.000100858
RAB5A,UEVLD,0.803,1.54428e-07,0.000100858
GJB2,SERPINH1,0.803,1.54428e-07,0.000100858
COL8A2,SERPINH1,0.803,1.54428e-07,0.000100858
CFD,CHRDL1,0.803,1.59236e-07,0.000102469
SCD5,TCTN2,0.803,1.59236e-07,0.000102469
CTNNA1,UBE2N,0.803,1.59236e-07,0.000102469
EIF4A2,MATR3,0.803,1.59236e-07,0.000102469
LOXL1,SFRP2,0.803,1.59236e-07,0.000102469
ASPN,BAG2,0.802,1.64179e-07,0.00010534
NAPA,UBE2M,0.802,1.69262e-07,0.000106417
ABCA8,RGMA,0.802,1.69262e-07,0.000106417
ATP6V1A,UEVLD,0.802,1.69262e-07,0.000106417
CRYAB,KRT5,0.802,1.69262e-07,0.000106417
ROBO4,VWF,0.802,1.69262e-07,0.000106417
ADAM12,PPAPDC1A,0.802,1.69262e-07,0.000106417
FAP,SPOCK1,0.802,1.69262e-07,0.000106417
CDH11,LOXL1,0.801,1.74487e-07,0.000109075
MFAP2,THY1,0.801,1.74487e-07,0.000109075
DDX42,PSMD10,0.801,1.79858e-07,0.000112112
DNAJB1,HSP90AB1,0.8,1.85379e-07,0.000113294
KRT14,LAMB3,0.8,1.85379e-07,0.000113294
ADH1B,G0S2,0.8,1.85379e-07,0.000113294
ENPP2,MEOX1,0.8,1.85379e-07,0.000113294
COMP,FNDC1,0.8,1.85379e-07,0.000113294
COL8A2,SPOCK1,0.8,1.85379e-07,0.000113294
ADAM12,CALU,0.8,1.85379e-07,0.000113294
RAB5A,TMEM230,0.8,1.91054e-07,0.000115154
MRPL42,UBE2N,0.8,1.91054e-07,0.000115154
PID1,SFRP1,0.8,1.91054e-07,0.000115154
ESRP1,KCTD5,0.8,1.91054e-07,0.000115154
FBN1,PPAPDC1A,0.8,1.91054e-07,0.000115154
MAPRE1,STIP1,0.8,1.96886e-07,0.000118019
C16orf72,GOLGA7,0.8,1.96886e-07,0.000118019
FMO2,KLHL29,0.799,2.0288e-07,0.000120294
DMD,ID4,0.799,2.0288e-07,0.000120294
ADIPOQ,CIDEC,0.799,2.0288e-07,0.000120294
DNAJC3,IGF2R,0.799,2.0288e-07,0.000120294
LOC100506558,NDRG2,0.799,2.09039e-07,0.000123277
IRX1,SYNM,0.799,2.09039e-07,0.000123277
IGF1R,TMEM9,0.798,2.15367e-07,0.000125655
GDE1,PSMD10,0.798,2.15367e-07,0.000125655
DNAH3,SCD5,0.798,2.15367e-07,0.000125655
ASPN,COL5A1,0.798,2.15367e-07,0.000125655
LAMB3,TRIM29,0.798,2.21869e-07,0.000127745
CD36,G0S2,0.798,2.21869e-07,0.000127745
COL5A2,RUNX2,0.798,2.21869e-07,0.000127745
BGN,CTHRC1,0.798,2.21869e-07,0.000127745
GJB2,POSTN,0.798,2.21869e-07,0.000127745
ADAMTS9-AS2,PID1,0.797,2.28549e-07,0.00013022
PIK3C2A,RAB5A,0.797,2.28549e-07,0.00013022
C2orf40,KRT5,0.797,2.28549e-07,0.00013022
FN1,THY1,0.797,2.28549e-07,0.00013022
INMT,ITGA7,0.797,2.35411e-07,0.000132747
IRX1,LMOD1,0.797,2.35411e-07,0.000132747
ABCA8,CLDN5,0.797,2.35411e-07,0.000132747
FAP,LRRC15,0.797,2.35411e-07,0.000132747
TMX1,UBE2N,0.796,2.4246e-07,0.000135673
MATR3,TMX1,0.796,2.4246e-07,0.000135673
C2orf40,TRIM29,0.796,2.4246e-07,0.000135673
ABI1,CSNK1A1,0.796,2.497e-07,0.00013796
C1S,PRRX1,0.796,2.497e-07,0.00013796
LMOD1,PID1,0.796,2.497e-07,0.00013796
COL8A2,GJB2,0.796,2.497e-07,0.00013796
CALU,GJB2,0.796,2.497e-07,0.00013796
COL10A1,GJB2,0.795,2.57136e-07,0.00014171
PLAC9,RGMA,0.795,2.64772e-07,0.000143746
CD36,CFD,0.795,2.64772e-07,0.000143746
LAMP1,STIP1,0.795,2.64772e-07,0.000143746
RHOB,ZFP36L2,0.795,2.64772e-07,0.000143746
ADAM12,COL6A1,0.795,2.64772e-07,0.000143746
BAG2,FBN1,0.795,2.64772e-07,0.000143746
MIA3,POGK,0.794,2.72614e-07,0.000145477
IGFBP6,LRRN4CL,0.794,2.72614e-07,0.000145477
ARFIP1,RAB5A,0.794,2.72614e-07,0.000145477
PSMD10,SYPL1,0.794,2.72614e-07,0.000145477
FXYD1,PEAR1,0.794,2.72614e-07,0.000145477
COL5A2,GJB2,0.794,2.72614e-07,0.000145477
MFAP2,PPAPDC1A,0.794,2.72614e-07,0.000145477
MAMDC2,SYNM,0.794,2.80666e-07,0.000148327
COL10A1,INHBA,0.794,2.80666e-07,0.000148327
ARFIP1,TSN,0.794,2.80666e-07,0.000148327
PAMR1,SYNM,0.794,2.80666e-07,0.000148327
DNAJB1,PTPLAD1,0.793,2.88934e-07,0.000150874
LAMP1,PRPF31,0.793,2.88934e-07,0.000150874
RHOA,TMEM230,0.793,2.88934e-07,0.000150874
PIK3C2A,UEVLD,0.793,2.88934e-07,0.000150874
CDK1,CENPU,0.793,2.88934e-07,0.000150874
ITGA7,SEMA3G,0.793,2.97422e-07,0.000151686
ABCA8,FMO2,0.793,2.97422e-07,0.000151686
BTNL9,RBP7,0.793,2.97422e-07,0.000151686
INMT,ROBO4,0.793,2.97422e-07,0.000151686
EZR,PSMD10,0.793,2.97422e-07,0.000151686
SEPT2,WAPAL,0.793,2.97422e-07,0.000151686
KIAA0101,ZWINT,0.793,2.97422e-07,0.000151686
ABCA8,MEOX1,0.793,2.97422e-07,0.000151686
FNDC1,PPAPDC1A,0.793,2.97422e-07,0.000151686
CTHRC1,NID2,0.793,2.97422e-07,0.000151686
DNAJB1,LAPTM4B,0.792,3.06136e-07,0.000154331
MATR3,NIPBL,0.792,3.06136e-07,0.000154331
EIF4E,PGRMC1,0.792,3.06136e-07,0.000154331
PPAPDC1A,RUNX2,0.792,3.06136e-07,0.000154331
FKBP14,THY1,0.792,3.06136e-07,0.000154331
MATR3,RAB5A,0.792,3.15081e-07,0.000156675
EBF1,SEMA3G,0.792,3.15081e-07,0.000156675
CCL14,EBF1,0.792,3.15081e-07,0.000156675
GJB2,VCAN,0.792,3.15081e-07,0.000156675
LOXL1,SPOCK1,0.792,3.15081e-07,0.000156675
COL3A1,LRRC15,0.792,3.15081e-07,0.000156675
ITGA7,ROBO4,0.791,3.24263e-07,0.000158716
DMD,KLHL29,0.791,3.24263e-07,0.000158716
PEAR1,TNXA,0.791,3.24263e-07,0.000158716
CREB1,EZR,0.791,3.24263e-07,0.000158716
CRYAB,DST,0.791,3.24263e-07,0.000158716
BAG2,COL5A2,0.791,3.24263e-07,0.000158716
CALU,POSTN,0.791,3.24263e-07,0.000158716
RASIP1,SOD3,0.791,3.33687e-07,0.000162239
C16orf13,OCIAD1,0.791,3.33687e-07,0.000162239
INHBA,TIMP3,0.791,3.33687e-07,0.000162239
EDNRB,RBP7,0.79,3.43359e-07,0.000165107
BC032415,KDM4B,0.79,3.43359e-07,0.000165107
