source,target,correlation,uncorrected p,FDR
3119,972,0.977,9.65216e-20,1.00572e-14
3119,3123,0.958,4.00502e-16,2.08654e-11
10376,84790,0.955,9.78128e-16,3.39723e-11
3105,3106,0.946,1.03551e-14,2.69739e-10
1281,1290,0.94,3.63002e-14,7.56468e-10
25878,7058,0.936,8.41458e-14,1.46128e-09
2200,7058,0.934,1.25587e-13,1.76806e-09
3106,3135,0.934,1.38541e-13,1.76806e-09
3119,3122,0.933,1.52717e-13,1.76806e-09
1291,1293,0.932,2.03658e-13,2.12036e-09
1295,54829,0.932,2.23847e-13,2.12036e-09
115908,1290,0.927,5.08419e-13,4.4146e-09
3956,7058,0.927,5.55159e-13,4.44964e-09
3956,7077,0.926,6.60721e-13,4.91746e-09
10631,1290,0.924,8.54078e-13,5.93276e-09
1281,6678,0.919,1.93851e-12,1.26241e-08
1290,1293,0.919,2.09806e-12,1.28594e-08
2200,25878,0.917,2.65208e-12,1.5352e-08
3105,3133,0.917,2.86477e-12,1.57104e-08
1290,6678,0.916,3.09306e-12,1.61142e-08
7058,7077,0.915,3.60061e-12,1.78652e-08
3123,972,0.913,5.22292e-12,2.47367e-08
10410,10581,0.911,6.97839e-12,3.16139e-08
1009,6678,0.909,8.6347e-12,3.74875e-08
6201,9045,0.909,9.2625e-12,3.86046e-08
10169,5411,0.908,9.93203e-12,3.9803e-08
3105,3135,0.907,1.22167e-11,4.71458e-08
1290,2200,0.906,1.39983e-11,5.20917e-08
2335,3956,0.903,1.95473e-11,7.02327e-08
11167,2200,0.902,2.22848e-11,7.73996e-08
1293,6678,0.899,3.48815e-11,1.17243e-07
3122,972,0.899,3.71384e-11,1.20927e-07
3122,3123,0.898,3.95287e-11,1.2481e-07
1009,1290,0.897,4.47385e-11,1.33188e-07
1293,25878,0.897,4.47385e-11,1.33188e-07
1281,1293,0.896,5.37438e-11,1.55552e-07
1293,7058,0.895,5.70971e-11,1.60792e-07
51386,6122,0.895,6.06416e-11,1.66279e-07
1278,1281,0.893,7.69351e-11,2.05547e-07
1278,1293,0.891,9.16932e-11,2.38852e-07
1293,4267,0.89,1.0901e-10,2.77035e-07
1462,7058,0.888,1.29283e-10,3.20733e-07
1937,6204,0.886,1.61702e-10,3.82926e-07
2335,7058,0.886,1.61702e-10,3.82926e-07
1278,6678,0.885,1.80567e-10,4.18097e-07
1009,1281,0.884,2.12673e-10,4.81732e-07
25873,6227,0.883,2.27892e-10,5.05221e-07
170960,8621,0.883,2.369e-10,5.14251e-07
1293,800,0.882,2.63635e-10,5.49395e-07
10631,115908,0.882,2.63635e-10,5.49395e-07
3106,3107,0.881,2.78015e-10,5.68002e-07
54829,6678,0.879,3.43025e-10,6.87344e-07
1290,800,0.879,3.61321e-10,7.10344e-07
2200,23022,0.878,4.00625e-10,7.73028e-07
3151,57570,0.875,5.16639e-10,9.61281e-07
115908,7077,0.875,5.16639e-10,9.61281e-07
115908,1293,0.875,5.43249e-10,9.93059e-07
1293,1462,0.874,5.71109e-10,1.02599e-06
10399,6159,0.874,6.00273e-10,1.04243e-06
1290,7058,0.874,6.00273e-10,1.04243e-06
3107,3135,0.873,6.30796e-10,1.0601e-06
6678,7058,0.873,6.30796e-10,1.0601e-06
1009,1303,0.872,6.96149e-10,1.15136e-06
1278,1290,0.872,7.311e-10,1.19028e-06
6135,6146,0.871,7.67652e-10,1.19383e-06
1290,25878,0.871,7.67652e-10,1.19383e-06
115908,6678,0.871,7.67652e-10,1.19383e-06
6146,6160,0.871,8.05872e-10,1.19955e-06
170960,9208,0.871,8.05872e-10,1.19955e-06
11167,1293,0.871,8.05872e-10,1.19955e-06
1843,1958,0.87,8.45827e-10,1.22405e-06
1300,1303,0.87,8.45827e-10,1.22405e-06
8621,9208,0.87,8.8759e-10,1.26689e-06
6160,6173,0.869,9.31233e-10,1.29374e-06
1009,54829,0.869,9.31233e-10,1.29374e-06
6135,6201,0.869,9.76834e-10,1.33924e-06
3492,3512,0.868,1.02447e-09,1.38631e-06
2200,7077,0.868,1.07423e-09,1.435e-06
1293,2200,0.867,1.18044e-09,1.55693e-06
6135,6173,0.867,1.23708e-09,1.57194e-06
1293,7077,0.867,1.23708e-09,1.57194e-06
1462,6678,0.867,1.23708e-09,1.57194e-06
1303,2335,0.866,1.2962e-09,1.62721e-06
11167,1290,0.865,1.42226e-09,1.74345e-06
10631,1281,0.865,1.42226e-09,1.74345e-06
10399,11224,0.864,1.55945e-09,1.86768e-06
1634,2200,0.864,1.55945e-09,1.86768e-06
6194,6208,0.864,1.63249e-09,1.91123e-06
6135,6203,0.864,1.63249e-09,1.91123e-06
3106,3133,0.863,1.70866e-09,1.95643e-06
7058,800,0.863,1.70866e-09,1.95643e-06
23521,6203,0.863,1.78807e-09,2.0251e-06
6130,6173,0.862,1.9571e-09,2.14654e-06
1009,2200,0.862,1.9571e-09,2.14654e-06
1293,3956,0.862,1.9571e-09,2.14654e-06
23521,6146,0.861,2.04699e-09,2.22175e-06
23521,6223,0.861,2.14064e-09,2.25299e-06
11167,1462,0.861,2.14064e-09,2.25299e-06
115908,7058,0.861,2.14064e-09,2.25299e-06
6130,6160,0.86,2.2382e-09,2.33211e-06
1009,1293,0.86,2.33981e-09,2.41385e-06
1295,1303,0.859,2.5558e-09,2.61083e-06
1937,6173,0.858,2.7899e-09,2.76853e-06
115908,1281,0.858,2.7899e-09,2.76853e-06
2200,3956,0.858,2.7899e-09,2.76853e-06
7077,800,0.857,2.91415e-09,2.86456e-06
1009,115908,0.857,3.04346e-09,2.9637e-06
115908,800,0.856,3.31793e-09,3.1717e-06
1009,1462,0.856,3.31793e-09,3.1717e-06
6193,6223,0.855,3.4635e-09,3.2512e-06
6130,6234,0.855,3.4635e-09,3.2512e-06
6173,6222,0.855,3.61488e-09,3.33324e-06
10631,6678,0.855,3.61488e-09,3.33324e-06
6135,6160,0.854,3.7723e-09,3.4179e-06
11167,800,0.854,3.7723e-09,3.4179e-06
6146,6173,0.853,4.10608e-09,3.68825e-06
6130,6218,0.852,4.46667e-09,3.87841e-06
6201,6203,0.852,4.46667e-09,3.87841e-06
11167,25878,0.852,4.46667e-09,3.87841e-06
1281,2200,0.852,4.46667e-09,3.87841e-06
115908,3956,0.851,4.856e-09,4.18162e-06
6160,6164,0.851,5.06208e-09,4.32334e-06
3514,3537,0.849,5.72923e-09,4.81421e-06
25878,6678,0.849,5.72923e-09,4.81421e-06
6173,6194,0.848,6.47585e-09,5.35522e-06
1462,2200,0.848,6.47585e-09,5.35522e-06
1634,7058,0.847,6.74383e-09,5.53292e-06
4736,6139,0.847,7.02191e-09,5.71605e-06
6159,9045,0.845,7.9202e-09,6.39732e-06
3122,5552,0.845,8.24221e-09,6.40899e-06
1933,23521,0.845,8.24221e-09,6.40899e-06
6130,6161,0.845,8.24221e-09,6.40899e-06
115908,2200,0.845,8.24221e-09,6.40899e-06
2200,6678,0.845,8.24221e-09,6.40899e-06
23521,6124,0.844,8.57612e-09,6.61924e-06
1937,6223,0.844,8.92236e-09,6.83584e-06
10410,8519,0.843,9.28132e-09,6.95738e-06
25878,800,0.843,9.28132e-09,6.95738e-06
1278,25878,0.843,9.28132e-09,6.95738e-06
6135,6194,0.843,9.65342e-09,7.18463e-06
2200,800,0.842,1.00391e-08,7.41869e-06
25878,4267,0.842,1.04388e-08,7.65974e-06
4582,50848,0.841,1.0853e-08,7.7989e-06
1300,2335,0.841,1.0853e-08,7.7989e-06
1281,800,0.841,1.0853e-08,7.7989e-06
1290,1291,0.84,1.17268e-08,8.36905e-06
6193,6203,0.84,1.21873e-08,8.58019e-06
1303,6678,0.84,1.21873e-08,8.58019e-06
1933,4736,0.839,1.26643e-08,8.68138e-06
1009,1278,0.839,1.26643e-08,8.68138e-06
1281,54829,0.839,1.26643e-08,8.68138e-06
11167,1281,0.839,1.26643e-08,8.68138e-06
6159,6173,0.839,1.31583e-08,8.84543e-06
2200,54829,0.839,1.31583e-08,8.84543e-06
1295,6678,0.839,1.31583e-08,8.84543e-06
4513,4538,0.838,1.36698e-08,9.13038e-06
6194,6201,0.838,1.41994e-08,9.42372e-06
6124,6181,0.838,1.43568e-08,9.46784e-06
11167,7058,0.837,1.47477e-08,9.66448e-06
6128,6188,0.836,1.59027e-08,1.02919e-05
1303,7078,0.836,1.59027e-08,1.02919e-05
6128,6202,0.836,1.65106e-08,1.06194e-05
6144,6164,0.835,1.71396e-08,1.08235e-05
1290,7077,0.835,1.71396e-08,1.08235e-05
1009,1295,0.835,1.71396e-08,1.08235e-05
3105,3107,0.835,1.77905e-08,1.11668e-05
11224,6159,0.834,1.91603e-08,1.19547e-05
4736,6189,0.833,1.98807e-08,1.22574e-05
4267,7077,0.833,1.98807e-08,1.22574e-05
10399,1937,0.833,2.06258e-08,1.24949e-05
4736,6203,0.833,2.06258e-08,1.24949e-05
115908,1462,0.833,2.06258e-08,1.24949e-05
6203,6223,0.833,2.13962e-08,1.28867e-05
3133,972,0.832,2.21928e-08,1.31387e-05
1290,1303,0.832,2.21928e-08,1.31387e-05
1278,54829,0.832,2.21928e-08,1.31387e-05
1293,165,0.832,2.30164e-08,1.35492e-05
1278,7058,0.831,2.38678e-08,1.39715e-05
6130,6146,0.831,2.47478e-08,1.42465e-05
1933,6144,0.831,2.47478e-08,1.42465e-05
11167,1634,0.831,2.47478e-08,1.42465e-05
23521,6204,0.83,2.56573e-08,1.44507e-05
1290,1462,0.83,2.56573e-08,1.44507e-05
1303,7058,0.83,2.56573e-08,1.44507e-05
1009,10631,0.83,2.56573e-08,1.44507e-05
1462,3956,0.83,2.65972e-08,1.48199e-05
10631,2200,0.83,2.65972e-08,1.48199e-05
1462,7077,0.829,2.75684e-08,1.51985e-05
2200,4267,0.829,2.75684e-08,1.51985e-05
6128,6217,0.828,2.96084e-08,1.61522e-05
165,3956,0.828,2.96084e-08,1.61522e-05
3119,3133,0.828,3.06792e-08,1.64776e-05
10399,6173,0.828,3.06792e-08,1.64776e-05
11224,6201,0.828,3.06792e-08,1.64776e-05
115908,2335,0.827,3.17853e-08,1.67268e-05
54829,7058,0.827,3.17853e-08,1.67268e-05
1009,7058,0.827,3.17853e-08,1.67268e-05
25878,3956,0.827,3.17853e-08,1.67268e-05
3113,3123,0.826,3.41071e-08,1.75065e-05
25878,54829,0.826,3.41071e-08,1.75065e-05
1462,25878,0.826,3.41071e-08,1.75065e-05
1303,2200,0.826,3.41071e-08,1.75065e-05
1300,7078,0.826,3.41071e-08,1.75065e-05
1937,6146,0.826,3.53251e-08,1.77813e-05
1933,1937,0.826,3.53251e-08,1.77813e-05
1281,25878,0.826,3.53251e-08,1.77813e-05
23022,7058,0.826,3.53251e-08,1.77813e-05
23521,6193,0.825,3.65826e-08,1.80652e-05
6168,6234,0.825,3.65826e-08,1.80652e-05
1291,1462,0.825,3.65826e-08,1.80652e-05
1290,4267,0.825,3.65826e-08,1.80652e-05
3119,5552,0.824,4.06039e-08,1.98628e-05
25878,7077,0.824,4.06039e-08,1.98628e-05
26986,5042,0.823,4.35044e-08,2.10836e-05
6678,7077,0.823,4.35044e-08,2.10836e-05
5552,972,0.822,4.50243e-08,2.14217e-05
10581,8519,0.822,4.50243e-08,2.14217e-05
1009,11167,0.822,4.50243e-08,2.14217e-05
10631,1293,0.822,4.50243e-08,2.14217e-05
115908,1303,0.822,4.65925e-08,2.19672e-05
1295,7078,0.822,4.65925e-08,2.19672e-05
10457,2512,0.821,4.82103e-08,2.25261e-05
1634,25878,0.821,4.82103e-08,2.25261e-05
1937,6135,0.821,4.98791e-08,2.29965e-05
1290,2335,0.821,4.98791e-08,2.29965e-05
10631,2335,0.821,4.98791e-08,2.29965e-05
3646,6132,0.82,5.16004e-08,2.35814e-05
1278,2200,0.82,5.16004e-08,2.35814e-05
6130,6222,0.82,5.33757e-08,2.40759e-05
11167,1291,0.82,5.33757e-08,2.40759e-05
3956,6678,0.82,5.33757e-08,2.40759e-05
1933,6203,0.819,5.52064e-08,2.44778e-05
1290,54829,0.819,5.52064e-08,2.44778e-05
115908,1291,0.819,5.52064e-08,2.44778e-05
1290,3956,0.819,5.52064e-08,2.44778e-05
1281,1291,0.819,5.70941e-08,2.52075e-05
1462,800,0.817,6.31157e-08,2.75163e-05
2200,2335,0.817,6.31157e-08,2.75163e-05
1281,7058,0.817,6.31157e-08,2.75163e-05
23521,6194,0.817,6.52478e-08,2.83274e-05
10899,25912,0.816,6.74454e-08,2.91599e-05
6124,6218,0.816,6.97102e-08,3.00146e-05
3105,972,0.815,7.20441e-08,3.06396e-05
1281,4267,0.815,7.20441e-08,3.06396e-05
6678,800,0.815,7.20441e-08,3.06396e-05
1933,6204,0.815,7.44489e-08,3.11537e-05
11224,9045,0.815,7.44489e-08,3.11537e-05
1303,54829,0.815,7.44489e-08,3.11537e-05
10631,1291,0.815,7.44489e-08,3.11537e-05
6136,6159,0.814,7.76753e-08,3.23738e-05
23521,6135,0.814,7.9479e-08,3.24761e-05
6160,6218,0.814,7.9479e-08,3.24761e-05
6173,9045,0.814,7.9479e-08,3.24761e-05
10399,6141,0.814,7.9479e-08,3.24761e-05
1295,2200,0.814,7.9479e-08,3.24761e-05
6146,6194,0.813,8.21084e-08,3.30323e-05
11224,6173,0.813,8.21084e-08,3.30323e-05
1291,6678,0.813,8.21084e-08,3.30323e-05
1915,293,0.813,8.48167e-08,3.36029e-05
6142,6217,0.813,8.48167e-08,3.36029e-05
6083,6201,0.813,8.48167e-08,3.36029e-05
6194,6203,0.813,8.48167e-08,3.36029e-05
11224,1937,0.812,8.76061e-08,3.45765e-05
6146,6181,0.812,8.84504e-08,3.46473e-05
6136,6173,0.812,8.84504e-08,3.46473e-05
1513,4267,0.812,9.04788e-08,3.53091e-05
3133,3135,0.811,9.34369e-08,3.63274e-05
1937,6160,0.811,9.64829e-08,3.70964e-05
1937,23521,0.811,9.64829e-08,3.70964e-05
25878,7078,0.811,9.64829e-08,3.70964e-05
6122,6146,0.81,9.96189e-08,3.7745e-05
3492,3537,0.81,9.96189e-08,3.7745e-05
1634,7077,0.81,9.96189e-08,3.7745e-05
4267,7058,0.81,9.96189e-08,3.7745e-05
11224,6208,0.81,1.02847e-07,3.8687e-05
2335,25878,0.81,1.02847e-07,3.8687e-05
115908,23022,0.809,1.06171e-07,3.97934e-05
23521,6130,0.809,1.09592e-07,4.06371e-05
1937,6130,0.809,1.09592e-07,4.06371e-05
1281,1462,0.809,1.09592e-07,4.06371e-05
6135,6202,0.808,1.13113e-07,4.1354e-05
1937,6203,0.808,1.13113e-07,4.1354e-05
1295,25878,0.808,1.13113e-07,4.1354e-05
1291,3956,0.808,1.13113e-07,4.1354e-05
6181,6218,0.808,1.14181e-07,4.15987e-05
1937,6122,0.808,1.16736e-07,4.2088e-05
6135,6188,0.808,1.16736e-07,4.2088e-05
11224,6083,0.808,1.16736e-07,4.2088e-05
6146,6193,0.807,1.20465e-07,4.31339e-05
1937,6222,0.807,1.20465e-07,4.31339e-05
11224,25873,0.807,1.23519e-07,4.36085e-05
6160,6222,0.807,1.24302e-07,4.36085e-05
6159,6208,0.807,1.24302e-07,4.36085e-05
10399,6208,0.807,1.24302e-07,4.36085e-05
11167,7077,0.807,1.24302e-07,4.36085e-05
2335,6678,0.807,1.24302e-07,4.36085e-05
1490,3491,0.806,1.28249e-07,4.48425e-05
1634,7431,0.806,1.32311e-07,4.61078e-05
7058,7078,0.805,1.36489e-07,4.74053e-05
1937,6188,0.805,1.40786e-07,4.82545e-05
6130,6194,0.805,1.40786e-07,4.82545e-05
10399,6194,0.805,1.40786e-07,4.82545e-05
165,7058,0.805,1.40786e-07,4.82545e-05
1933,6139,0.804,1.45207e-07,4.92833e-05
6161,6209,0.804,1.45207e-07,4.92833e-05
1278,4267,0.804,1.45207e-07,4.92833e-05
3956,6281,0.804,1.46552e-07,4.95785e-05
6128,6135,0.804,1.49753e-07,5.00117e-05
4736,6173,0.804,1.49753e-07,5.00117e-05
6152,6173,0.804,1.49753e-07,5.00117e-05
11167,23022,0.804,1.49753e-07,5.00117e-05
6146,6203,0.803,1.54428e-07,5.12446e-05
3113,3119,0.803,1.54428e-07,5.12446e-05
1291,7077,0.803,1.59236e-07,5.25055e-05
1462,54829,0.803,1.59236e-07,5.25055e-05
6160,6188,0.802,1.64179e-07,5.36264e-05
11224,6141,0.802,1.64179e-07,5.36264e-05
6876,800,0.802,1.64179e-07,5.36264e-05
6188,6204,0.802,1.69262e-07,5.51137e-05
6135,6223,0.801,1.79858e-07,5.80201e-05
6217,6223,0.801,1.79858e-07,5.80201e-05
1278,2335,0.801,1.79858e-07,5.80201e-05
4736,6188,0.8,1.85379e-07,5.92509e-05
1009,7077,0.8,1.85379e-07,5.92509e-05
1303,3956,0.8,1.85379e-07,5.92509e-05
10631,3956,0.8,1.96886e-07,6.27363e-05
1937,6167,0.799,2.0288e-07,6.40585e-05
4736,6159,0.799,2.0288e-07,6.40585e-05
1290,4060,0.799,2.0288e-07,6.40585e-05
6146,6218,0.799,2.09039e-07,6.56055e-05
1634,3956,0.799,2.09039e-07,6.56055e-05
6164,6173,0.798,2.15367e-07,6.71869e-05
10631,7077,0.798,2.15367e-07,6.71869e-05
6202,6203,0.798,2.21869e-07,6.88033e-05
3113,972,0.798,2.21869e-07,6.88033e-05
23521,6234,0.797,2.28549e-07,7.0041e-05
6124,6235,0.797,2.28549e-07,7.0041e-05
5042,6156,0.797,2.28549e-07,7.0041e-05
1303,25878,0.797,2.28549e-07,7.0041e-05
6135,6193,0.797,2.35411e-07,7.1305e-05
6188,6194,0.797,2.35411e-07,7.1305e-05
6142,6193,0.797,2.35411e-07,7.1305e-05
115908,165,0.797,2.35411e-07,7.1305e-05
23471,5861,0.796,2.4246e-07,7.25959e-05
6201,6223,0.796,2.4246e-07,7.25959e-05
115908,1278,0.796,2.4246e-07,7.25959e-05
1281,7077,0.796,2.4246e-07,7.25959e-05
6122,6204,0.795,2.57136e-07,7.65501e-05
11167,4267,0.795,2.57136e-07,7.65501e-05
23521,6181,0.795,2.59415e-07,7.70086e-05
6128,6203,0.795,2.64772e-07,7.81536e-05
1293,54829,0.795,2.64772e-07,7.81536e-05
6160,6194,0.794,2.72614e-07,8.0241e-05
6130,6204,0.794,2.80666e-07,8.23784e-05
4736,6194,0.793,2.88934e-07,8.43299e-05
11167,6876,0.793,2.88934e-07,8.43299e-05
23521,6201,0.793,2.97422e-07,8.63237e-05
6188,6202,0.793,2.97422e-07,8.63237e-05
3490,7431,0.792,3.06136e-07,8.81164e-05
6135,6139,0.792,3.06136e-07,8.81164e-05
6130,6135,0.792,3.06136e-07,8.81164e-05
6227,6235,0.792,3.15081e-07,8.89707e-05
3105,3119,0.792,3.15081e-07,8.89707e-05
6130,6227,0.792,3.15081e-07,8.89707e-05
6161,6173,0.792,3.15081e-07,8.89707e-05
1009,800,0.792,3.15081e-07,8.89707e-05
1295,7058,0.792,3.15081e-07,8.89707e-05
23022,800,0.792,3.15081e-07,8.89707e-05
6173,6208,0.791,3.24263e-07,9.05815e-05
6083,6194,0.791,3.24263e-07,9.05815e-05
10399,6135,0.791,3.24263e-07,9.05815e-05
1278,1462,0.791,3.24263e-07,9.05815e-05
4736,6135,0.791,3.33687e-07,9.2717e-05
1634,23022,0.791,3.33687e-07,9.2717e-05
1937,6228,0.79,3.36585e-07,9.32735e-05
1291,4267,0.79,3.53285e-07,9.76416e-05
1937,6193,0.789,3.63471e-07,0.000100191
6133,6205,0.789,3.66606e-07,0.000100789
6146,6202,0.789,3.73922e-07,0.00010226
1293,2335,0.789,3.73922e-07,0.00010226
4536,5800,0.788,3.8251e-07,0.00010383
3921,6204,0.788,3.84646e-07,0.00010383
1933,6188,0.788,3.84646e-07,0.00010383
3646,6193,0.788,3.84646e-07,0.00010383
1295,1300,0.788,3.84646e-07,0.00010383
6181,6235,0.788,3.93458e-07,0.000105935
6160,6204,0.788,3.95647e-07,0.000105977
6161,6234,0.788,3.95647e-07,0.000105977
1933,6128,0.787,4.06934e-07,0.000108442
165,4267,0.787,4.06934e-07,0.000108442
2335,7077,0.787,4.18512e-07,0.00011096
11167,115908,0.787,4.18512e-07,0.00011096
25873,6209,0.786,4.2803e-07,0.000112675
1937,6175,0.786,4.30388e-07,0.000112675
6130,6159,0.786,4.30388e-07,0.000112675
1937,6194,0.786,4.30388e-07,0.000112675
1293,1634,0.786,4.30388e-07,0.000112675
1937,3646,0.786,4.42569e-07,0.000114711
51386,6146,0.786,4.42569e-07,0.000114711
6194,9045,0.786,4.42569e-07,0.000114711
11224,6227,0.785,4.55062e-07,0.000117657
1933,6194,0.785,4.67874e-07,0.000119195
6139,6144,0.785,4.67874e-07,0.000119195
29997,6164,0.785,4.67874e-07,0.000119195
1009,25878,0.785,4.67874e-07,0.000119195
10631,1303,0.785,4.67874e-07,0.000119195
10631,1278,0.785,4.67874e-07,0.000119195
6124,6167,0.784,4.81013e-07,0.000121355
2335,7078,0.784,4.81013e-07,0.000121355
1290,23022,0.784,4.81013e-07,0.000121355
6173,6218,0.784,4.94485e-07,0.000123557
6146,6188,0.784,4.94485e-07,0.000123557
6173,6201,0.784,4.94485e-07,0.000123557
1937,4736,0.784,4.94485e-07,0.000123557
6193,6217,0.783,5.08299e-07,0.000126705
6281,7077,0.783,5.1257e-07,0.000127465
1937,6164,0.783,5.22461e-07,0.000128696
6164,6167,0.783,5.22461e-07,0.000128696
1937,6128,0.783,5.22461e-07,0.000128696
1291,7058,0.783,5.22461e-07,0.000128696
6136,6194,0.782,5.34113e-07,0.000130727
6194,6202,0.782,5.36981e-07,0.000130727
10399,6201,0.782,5.36981e-07,0.000130727
11224,6194,0.782,5.36981e-07,0.000130727
1278,1291,0.782,5.36981e-07,0.000130727
6208,9045,0.782,5.51866e-07,0.000134038
6136,6208,0.782,5.56473e-07,0.000134842
6188,6203,0.781,5.67123e-07,0.000137104
25873,6173,0.781,5.71848e-07,0.000137927
6167,6204,0.781,5.82763e-07,0.000138951
10399,4736,0.781,5.82763e-07,0.000138951
7077,7431,0.781,5.82763e-07,0.000138951
3956,4267,0.781,5.82763e-07,0.000138951
10631,800,0.781,5.82763e-07,0.000138951
1278,1303,0.78,5.98792e-07,0.000141799
3956,800,0.78,5.98792e-07,0.000141799
4267,800,0.78,5.98792e-07,0.000141799
25873,6167,0.779,6.28742e-07,0.000148328
6083,6188,0.779,6.32055e-07,0.000148328
11167,6678,0.779,6.32055e-07,0.000148328
10631,7058,0.779,6.32055e-07,0.000148328
6137,6167,0.779,6.49307e-07,0.000152034
26986,6146,0.778,6.66985e-07,0.000154782
6146,6204,0.778,6.66985e-07,0.000154782
6122,6164,0.778,6.66985e-07,0.000154782
115908,4267,0.778,6.66985e-07,0.000154782
1915,6191,0.778,6.85098e-07,0.000158632
6139,6203,0.777,7.03656e-07,0.000162208
11167,8483,0.777,7.03656e-07,0.000162208
6181,6234,0.777,7.09419e-07,0.000163176
6135,6227,0.777,7.22667e-07,0.000165492
23022,25878,0.777,7.22667e-07,0.000165492
6181,6227,0.776,7.38326e-07,0.000168708
2665,6160,0.776,7.42144e-07,0.000168839
3688,800,0.776,7.42144e-07,0.000168839
170622,6206,0.776,7.62094e-07,0.000173
23521,6173,0.775,7.8253e-07,0.000176869
10983,901,0.775,7.8253e-07,0.000176869
1009,1291,0.775,8.0346e-07,0.000180815
1295,1462,0.775,8.0346e-07,0.000180815
6208,6228,0.775,8.09972e-07,0.000181496
4536,4538,0.775,8.09972e-07,0.000181496
10632,79901,0.774,8.24897e-07,0.000183264
4736,6144,0.774,8.24897e-07,0.000183264
4673,6223,0.774,8.24897e-07,0.000183264
2665,6144,0.774,8.24897e-07,0.000183264
1933,6083,0.774,8.4685e-07,0.000185765
6218,6227,0.774,8.4685e-07,0.000185765
6130,6168,0.774,8.4685e-07,0.000185765
115908,25878,0.774,8.4685e-07,0.000185765
1300,2200,0.774,8.4685e-07,0.000185765
1290,165,0.774,8.4685e-07,0.000185765
10399,6142,0.773,8.69331e-07,0.000187927
6188,6201,0.773,8.69331e-07,0.000187927
23521,9045,0.773,8.69331e-07,0.000187927
11224,1933,0.773,8.69331e-07,0.000187927
6146,6223,0.773,8.69331e-07,0.000187927
6124,6146,0.773,8.69331e-07,0.000187927
800,8404,0.773,8.69331e-07,0.000187927
6139,6193,0.773,8.92351e-07,0.00019171
6122,6130,0.773,8.92351e-07,0.00019171
6133,6217,0.773,8.92351e-07,0.00019171
6135,9045,0.772,9.15922e-07,0.000196369
11224,6136,0.772,9.35353e-07,0.000199898
1462,1634,0.772,9.40056e-07,0.000199898
1293,1303,0.772,9.40056e-07,0.000199898
3956,7078,0.772,9.40056e-07,0.000199898
4736,6136,0.772,9.59952e-07,0.000203713
29997,5204,0.771,9.64764e-07,0.000203904
677,800,0.771,9.64764e-07,0.000203904
10399,6193,0.771,9.90058e-07,0.000207984
6083,6128,0.771,9.90058e-07,0.000207984
1009,3956,0.771,9.90058e-07,0.000207984
1303,1462,0.77,1.01595e-06,0.000212994
6133,6188,0.77,1.04246e-06,0.00021724
10399,9045,0.77,1.04246e-06,0.00021724
2200,7078,0.77,1.04246e-06,0.00021724
1937,6206,0.769,1.06959e-06,0.000220686
6175,6204,0.769,1.06959e-06,0.000220686
6144,6188,0.769,1.06959e-06,0.000220686
1291,800,0.769,1.06959e-06,0.000220686
165,7077,0.769,1.06959e-06,0.000220686
1291,2200,0.769,1.09735e-06,0.000225522
11167,3956,0.769,1.09735e-06,0.000225522
6128,6201,0.768,1.12577e-06,0.000228657
4736,6128,0.768,1.12577e-06,0.000228657
4537,4538,0.768,1.12577e-06,0.000228657
6146,6175,0.768,1.12577e-06,0.000228657
11224,6135,0.768,1.12577e-06,0.000228657
3685,800,0.768,1.12577e-06,0.000228657
6175,6206,0.768,1.15485e-06,0.000233653
6139,6217,0.768,1.15485e-06,0.000233653
4666,6228,0.768,1.16395e-06,0.000235036
6164,6222,0.767,1.18462e-06,0.000238747
6206,6223,0.767,1.21507e-06,0.000244412
1933,6164,0.767,1.24623e-06,0.000246867
6139,6188,0.767,1.24623e-06,0.000246867
6144,6157,0.767,1.24623e-06,0.000246867
3500,3514,0.767,1.24623e-06,0.000246867
6173,6203,0.767,1.24623e-06,0.000246867
1937,6201,0.767,1.24623e-06,0.000246867
11224,4736,0.767,1.24623e-06,0.000246867
1303,3688,0.767,1.24623e-06,0.000246867
4666,6161,0.766,1.27811e-06,0.000251747
6203,9045,0.766,1.27811e-06,0.000251747
1281,1303,0.766,1.27811e-06,0.000251747
23521,6218,0.766,1.31073e-06,0.000256715
6167,6235,0.766,1.31073e-06,0.000256715
6083,9045,0.766,1.31073e-06,0.000256715
6204,6223,0.765,1.3441e-06,0.000261775
3123,3133,0.765,1.3441e-06,0.000261775
4736,6208,0.765,1.3441e-06,0.000261775
64710,6738,0.765,1.37823e-06,0.000266926
1278,800,0.765,1.37823e-06,0.000266926
165,2200,0.765,1.37823e-06,0.000266926
2665,6188,0.764,1.41315e-06,0.000272675
6141,6208,0.764,1.41315e-06,0.000272675
6130,6136,0.763,1.47836e-06,0.000284731
6156,9045,0.763,1.4854e-06,0.000285032
11224,6222,0.763,1.4854e-06,0.000285032
10631,11167,0.763,1.52276e-06,0.000291664
10109,1072,0.762,1.56097e-06,0.000295721
6129,6173,0.762,1.56097e-06,0.000295721
3921,6206,0.762,1.56097e-06,0.000295721
23521,4673,0.762,1.56097e-06,0.000295721
1300,7058,0.762,1.56097e-06,0.000295721
1303,165,0.762,1.56097e-06,0.000295721
6142,6223,0.762,1.60004e-06,0.000300935
4736,6083,0.762,1.60004e-06,0.000300935
165,25878,0.762,1.60004e-06,0.000300935
1300,3956,0.762,1.60004e-06,0.000300935
6128,6173,0.761,1.64e-06,0.000307341
1462,4267,0.761,1.64e-06,0.000307341
