source,target,type,subtype
MIMAT0000430,NFKB1,mir_to_gene,
MIMAT0002809,TRAF6,mir_to_gene,
MIMAT0000461,FGF2,mir_to_gene,
MIMAT0000461,TAOK1,mir_to_gene,
MIMAT0000461,VEGFA,mir_to_gene,
MIMAT0000461,MAP4K2,mir_to_gene,
MIMAT0000232,FGF2,mir_to_gene,
MIMAT0000232,MET,mir_to_gene,
MIMAT0000232,MAPK9,mir_to_gene,
MIMAT0000232,HGF,mir_to_gene,
MIMAT0004563,FGF2,mir_to_gene,
MIMAT0004563,MET,mir_to_gene,
MIMAT0000263,KIT,mir_to_gene,
MIMAT0000265,NTRK2,mir_to_gene,
MIMAT0000265,BDNF,mir_to_gene,
MIMAT0000265,TGFBR1,mir_to_gene,
MIMAT0000265,CACNG8,mir_to_gene,
MIMAT0000265,CDC42,mir_to_gene,
MIMAT0000265,PPP3R1,mir_to_gene,
MIMAT0001413,MAP3K2,mir_to_gene,
MIMAT0001413,IRAK4,mir_to_gene,
MIMAT0001413,DUSP2,mir_to_gene,
MIMAT0001413,MAPK9,mir_to_gene,
MIMAT0001413,RPS6KA5,mir_to_gene,
MIMAT0000076,ATF2,mir_to_gene,
MIMAT0000271,FGFR1,mir_to_gene,
MIMAT0000271,MAPK8,mir_to_gene,
MIMAT0000271,MEF2C,mir_to_gene,
MIMAT0000271,RASA1,mir_to_gene,
MIMAT0000271,NRAS,mir_to_gene,
MIMAT0000271,MAPK14,mir_to_gene,
MIMAT0000278,ERBB4,mir_to_gene,
MIMAT0000278,MAPK10,mir_to_gene,
MIMAT0000278,AKT3,mir_to_gene,
MIMAT0000278,MAP3K2,mir_to_gene,
MIMAT0000278,KIT,mir_to_gene,
MIMAT0000278,STMN1,mir_to_gene,
MIMAT0000279,AKT3,mir_to_gene,
MIMAT0004501,EGFR,mir_to_gene,
MIMAT0000089,RASA1,mir_to_gene,
MIMAT0000255,AKT1,mir_to_gene,
MIMAT0000255,VEGFA,mir_to_gene,
MIMAT0000255,PDGFRA,mir_to_gene,
MIMAT0000255,RRAS,mir_to_gene,
MIMAT0000255,TNF,mir_to_gene,
MIMAT0000255,TGFBR2,mir_to_gene,
MIMAT0003322,STK4,mir_to_gene,
MIMAT0003322,MRAS,mir_to_gene,
MIMAT0000252,EGFR,mir_to_gene,
MIMAT0000252,PAK1,mir_to_gene,
MIMAT0000252,GNA12,mir_to_gene,
MIMAT0000252,CACNG5,mir_to_gene,
MIMAT0000441,TAOK1,mir_to_gene,
RASGRF1,fu:7e2a8487,gene_to_fu,
RASGRF2,fu:7e2a8487,gene_to_fu,
DUSP10,fu:fd226da5,gene_to_fu,
DUSP1,fu:fd226da5,gene_to_fu,
DUSP2,fu:fd226da5,gene_to_fu,
DUSP4,fu:fd226da5,gene_to_fu,
DUSP5,fu:fd226da5,gene_to_fu,
DUSP6,fu:fd226da5,gene_to_fu,
DUSP7,fu:fd226da5,gene_to_fu,
DUSP8,fu:fd226da5,gene_to_fu,
DUSP9,fu:fd226da5,gene_to_fu,
DUSP16,fu:fd226da5,gene_to_fu,
DUSP3,fu:084a3d94,gene_to_fu,
PTPN7,fu:084a3d94,gene_to_fu,
PTPRR,fu:084a3d94,gene_to_fu,
PTPN5,fu:084a3d94,gene_to_fu,
PPM1B,fu:0047a61e,gene_to_fu,
FASLG,fu:c8457d96,gene_to_fu,
MAP4K4,fu:3687d0f8,gene_to_fu,
PLA2G4B,fu:770a684e,gene_to_fu,
PLA2G4E,fu:770a684e,gene_to_fu,
PLA2G4F,fu:770a684e,gene_to_fu,
PLA2G4D,fu:770a684e,gene_to_fu,
PLA2G4A,fu:770a684e,gene_to_fu,
PLA2G4C,fu:770a684e,gene_to_fu,
JMJD7-PLA2G4B,fu:770a684e,gene_to_fu,
STMN1,fu:8ef29752,gene_to_fu,
MAPT,fu:02b71dbc,gene_to_fu,
NFKB1,fu:6b254be8,gene_to_fu,
NFKB2,fu:6b254be8,gene_to_fu,
RELA,fu:6b254be8,gene_to_fu,
RELB,fu:6b254be8,gene_to_fu,
CHUK,fu:e96fee09,gene_to_fu,
IKBKB,fu:e96fee09,gene_to_fu,
IKBKG,fu:e96fee09,gene_to_fu,
MAP3K14,fu:f132c1b4,gene_to_fu,
MAPK1,fu:b1fed606,gene_to_fu,
MAPK3,fu:b1fed606,gene_to_fu,
LAMTOR3,fu:418e3a71,gene_to_fu,
MAP2K2,fu:e711f0a6,gene_to_fu,
MAP2K1,fu:74ae7efc,gene_to_fu,
RAF1,fu:21c326d4,gene_to_fu,
BRAF,fu:7ebcd056,gene_to_fu,
RASA1,fu:69624e88,gene_to_fu,
NF1,fu:368c2fa7,gene_to_fu,
PRKCA,fu:35131c42,gene_to_fu,
PRKCB,fu:35131c42,gene_to_fu,
PRKCG,fu:35131c42,gene_to_fu,
RAP1A,fu:9786b5ed,gene_to_fu,
RAP1B,fu:9786b5ed,gene_to_fu,
PRKACA,fu:bcdaeed1,gene_to_fu,
PRKACB,fu:bcdaeed1,gene_to_fu,
PRKACG,fu:bcdaeed1,gene_to_fu,
RAPGEF2,fu:bd2e123e,gene_to_fu,
RASA2,fu:fa467b33,gene_to_fu,
RRAS2,fu:35bcc57b,gene_to_fu,
MRAS,fu:35bcc57b,gene_to_fu,
HRAS,fu:35bcc57b,gene_to_fu,
KRAS,fu:35bcc57b,gene_to_fu,
NRAS,fu:35bcc57b,gene_to_fu,
RRAS,fu:35bcc57b,gene_to_fu,
RASGRP1,fu:82456880,gene_to_fu,
RASGRP2,fu:82456880,gene_to_fu,
RASGRP4,fu:82456880,gene_to_fu,
RASGRP3,fu:82456880,gene_to_fu,
SOS1,fu:def1099f,gene_to_fu,
SOS2,fu:def1099f,gene_to_fu,
GNA12,fu:f390c31d,gene_to_fu,
GNG12,fu:f390c31d,gene_to_fu,
GRB2,fu:c110bb17,gene_to_fu,
CSF1R,fu:7f7b2f5f,gene_to_fu,
EGFR,fu:7f7b2f5f,gene_to_fu,
EPHA2,fu:7f7b2f5f,gene_to_fu,
ERBB2,fu:7f7b2f5f,gene_to_fu,
ERBB3,fu:7f7b2f5f,gene_to_fu,
ERBB4,fu:7f7b2f5f,gene_to_fu,
FGFR1,fu:7f7b2f5f,gene_to_fu,
FGFR3,fu:7f7b2f5f,gene_to_fu,
FGFR2,fu:7f7b2f5f,gene_to_fu,
FGFR4,fu:7f7b2f5f,gene_to_fu,
FLT1,fu:7f7b2f5f,gene_to_fu,
FLT3,fu:7f7b2f5f,gene_to_fu,
FLT4,fu:7f7b2f5f,gene_to_fu,
IGF1R,fu:7f7b2f5f,gene_to_fu,
INSR,fu:7f7b2f5f,gene_to_fu,
KDR,fu:7f7b2f5f,gene_to_fu,
KIT,fu:7f7b2f5f,gene_to_fu,
MET,fu:7f7b2f5f,gene_to_fu,
NGFR,fu:7f7b2f5f,gene_to_fu,
NTRK1,fu:7f7b2f5f,gene_to_fu,
NTRK2,fu:7f7b2f5f,gene_to_fu,
PDGFRA,fu:7f7b2f5f,gene_to_fu,
PDGFRB,fu:7f7b2f5f,gene_to_fu,
RET,fu:7f7b2f5f,gene_to_fu,
TEK,fu:7f7b2f5f,gene_to_fu,
CACNG3,fu:dd374616,gene_to_fu,
CACNG2,fu:dd374616,gene_to_fu,
CACNG5,fu:dd374616,gene_to_fu,
CACNG4,fu:dd374616,gene_to_fu,
CACNA2D3,fu:dd374616,gene_to_fu,
CACNG8,fu:dd374616,gene_to_fu,
CACNG7,fu:dd374616,gene_to_fu,
CACNG6,fu:dd374616,gene_to_fu,
CACNA1A,fu:dd374616,gene_to_fu,
CACNA1B,fu:dd374616,gene_to_fu,
CACNA1C,fu:dd374616,gene_to_fu,
CACNA1D,fu:dd374616,gene_to_fu,
CACNA1E,fu:dd374616,gene_to_fu,
CACNA1F,fu:dd374616,gene_to_fu,
CACNA1S,fu:dd374616,gene_to_fu,
CACNA2D1,fu:dd374616,gene_to_fu,
CACNB1,fu:dd374616,gene_to_fu,
CACNB2,fu:dd374616,gene_to_fu,
CACNB3,fu:dd374616,gene_to_fu,
CACNB4,fu:dd374616,gene_to_fu,
CACNG1,fu:dd374616,gene_to_fu,
CACNA1I,fu:dd374616,gene_to_fu,
CACNA1H,fu:dd374616,gene_to_fu,
CACNA1G,fu:dd374616,gene_to_fu,
CACNA2D2,fu:dd374616,gene_to_fu,
CACNA2D4,fu:dd374616,gene_to_fu,
NR4A1,fu:aeb42500,gene_to_fu,
MAPK7,fu:4e3892e3,gene_to_fu,
MAP2K5,fu:9a13759c,gene_to_fu,
NLK,fu:ede2f5af,gene_to_fu,
CDC25B,fu:6463ffd1,gene_to_fu,
RPS6KA4,fu:3273328d,gene_to_fu,
RPS6KA5,fu:3273328d,gene_to_fu,
MAPKAPK3,fu:dd701a8d,gene_to_fu,
MAPKAPK2,fu:dd701a8d,gene_to_fu,
ATF4,fu:b5bf47cc,gene_to_fu,
MEF2C,fu:9217ec0a,gene_to_fu,
MAX,fu:83098143,gene_to_fu,
DDIT3,fu:2b9b82f8,gene_to_fu,
ELK4,fu:13ad26cc,gene_to_fu,
TP53,fu:7d38c72e,gene_to_fu,
ELK1,fu:2be3360b,gene_to_fu,
ATF2,fu:fa6497d0,gene_to_fu,
MAPK14,fu:828681e8,gene_to_fu,
MAPK11,fu:828681e8,gene_to_fu,
MAPK13,fu:828681e8,gene_to_fu,
MAPK12,fu:828681e8,gene_to_fu,
PPP5C,fu:c1b5761a,gene_to_fu,
MAP2K6,fu:57f73e22,gene_to_fu,
MAP2K3,fu:39b0ba80,gene_to_fu,
DUSP10,fu:377d6159,gene_to_fu,
DUSP2,fu:377d6159,gene_to_fu,
DUSP4,fu:377d6159,gene_to_fu,
DUSP5,fu:377d6159,gene_to_fu,
DUSP7,fu:377d6159,gene_to_fu,
DUSP8,fu:377d6159,gene_to_fu,
DUSP9,fu:377d6159,gene_to_fu,
DUSP16,fu:377d6159,gene_to_fu,
DUSP3,fu:86cdce68,gene_to_fu,
PTPN7,fu:86cdce68,gene_to_fu,
PTPRR,fu:86cdce68,gene_to_fu,
PTPN5,fu:86cdce68,gene_to_fu,
PPM1A,fu:628792dc,gene_to_fu,
AKT3,fu:2959a7f6,gene_to_fu,
AKT1,fu:2959a7f6,gene_to_fu,
AKT2,fu:2959a7f6,gene_to_fu,
TAOK3,fu:e2d583f5,gene_to_fu,
TAOK1,fu:e2d583f5,gene_to_fu,
TAOK2,fu:e2d583f5,gene_to_fu,
MAP3K4,fu:5e066f99,gene_to_fu,
HSPB1,fu:18b46668,gene_to_fu,
MAP3K7,fu:4dbb2d89,gene_to_fu,
MAP3K5,fu:127bf490,gene_to_fu,
MAP3K6,fu:fe378cbc,gene_to_fu,
MAP3K20,fu:3ce31490,gene_to_fu,
MAP3K12,fu:12e2c442,gene_to_fu,
MAP3K13,fu:12e2c442,gene_to_fu,
MAP3K9,fu:ef42bc35,gene_to_fu,
MAP3K10,fu:ef42bc35,gene_to_fu,
MAP3K21,fu:ef42bc35,gene_to_fu,
MAP4K2,fu:f6a34c03,gene_to_fu,
STK3,fu:20a3b14c,gene_to_fu,
STK4,fu:20a3b14c,gene_to_fu,
ECSIT,fu:12774d68,gene_to_fu,
TAB2,fu:1bdb6764,gene_to_fu,
TAB1,fu:cc0e0a55,gene_to_fu,
GADD45G,fu:fcc91474,gene_to_fu,
GADD45A,fu:fcc91474,gene_to_fu,
GADD45B,fu:fcc91474,gene_to_fu,
TRAF6,fu:d3570c60,gene_to_fu,
DAXX,fu:80de25d0,gene_to_fu,
TRAF2,fu:3f6a023b,gene_to_fu,
CASP3,fu:69217a4b,gene_to_fu,
CD14,fu:ac41e7b6,gene_to_fu,
TGFBR1,fu:7961a9c2,gene_to_fu,
TGFBR2,fu:7961a9c2,gene_to_fu,
FAS,fu:ac1b5dfa,gene_to_fu,
IL1R1,fu:f017c41c,gene_to_fu,
IL1RAP,fu:f017c41c,gene_to_fu,
TNFRSF1A,fu:0c8f29ae,gene_to_fu,
TGFB1,fu:c12b6dd3,gene_to_fu,
TGFB2,fu:c12b6dd3,gene_to_fu,
TGFB3,fu:c12b6dd3,gene_to_fu,
