ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
209351_at	KRT14	keratin 14	-4.581	5.435
209362_at	LOC101928625///MED21	uncharacterized LOC101928625///mediator complex subunit 21	3.468	11.478
209457_at	DUSP5	dual specificity phosphatase 5	3.987	9.168
209458_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.506	5.982
209460_at	ABAT	4-aminobutyrate aminotransferase	3.239	10.239
209465_x_at	PTN	pleiotrophin	-3.318	7.356
209466_x_at	PTN	pleiotrophin	-3.454	7.248
209526_s_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	3.587	15.941
209555_s_at	CD36	CD36 molecule	-5.257	7.607
209560_s_at	DLK1	delta like non-canonical Notch ligand 1	-4.406	4.537
209602_s_at	GATA3	GATA binding protein 3	3.103	12.111
209612_s_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	-4.898	4.924
209613_s_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	-4.911	5.109
209614_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	-3.358	9.758
209616_s_at	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1	-3.868	6.762
209623_at	MCCC2	methylcrotonoyl-CoA carboxylase 2	3.374	10.376
209624_s_at	MCCC2	methylcrotonoyl-CoA carboxylase 2	3.234	8.511
209686_at	S100B	S100 calcium binding protein B	-5.56	18.798
209696_at	FBP1	fructose-bisphosphatase 1	3.103	9.088
209699_x_at	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2	-4.994	10.734
209761_s_at	SP110	SP110 nuclear body protein	3.595	11.1
209763_at	CHRDL1	chordin like 1	-5.223	7.843
209772_s_at	CD24	CD24 molecule	3.278	7.938
209773_s_at	RRM2	ribonucleotide reductase regulatory subunit M2	3.429	6.332
209791_at	PADI2	peptidyl arginine deiminase 2	-3.436	8.415
209823_x_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	3.067	7.229
209842_at	SOX10	SRY-box 10	-5.178	14.583
209875_s_at	SPP1	secreted phosphoprotein 1	3.958	7.925
209882_at	RIT1	Ras like without CAAX 1	3.048	15.563
209911_x_at	HIST1H2BD	histone cluster 1, H2bd	3.91	7.829
209955_s_at	FAP	fibroblast activation protein alpha	4.941	14.661
210051_at	RAPGEF3	Rap guanine nucleotide exchange factor 3	-3.693	13.066
210084_x_at	TPSAB1	tryptase alpha/beta 1	4.724	9.371
210085_s_at	ANXA9	annexin A9	3.987	11.76
210108_at	CACNA1D	calcium voltage-gated channel subunit alpha1 D	4.963	14.428
210117_at	SPAG1	sperm associated antigen 1	3.079	10.232
210178_x_at	SRSF10	serine and arginine rich splicing factor 10	3.52	14.4
210186_s_at	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A	3.596	12.11
210284_s_at	TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2	3.25	13.663
210285_x_at	WTAP	Wilms tumor 1 associated protein	3.127	11.427
210317_s_at	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	3.907	12.271
210337_s_at	ACLY	ATP citrate lyase	4.123	15.534
210338_s_at	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	3.384	9.373
210387_at	HIST1H2BJ///HIST1H2BG	histone cluster 1, H2bj///histone cluster 1, H2bg	5.199	8.194
210432_s_at	SCN3A	sodium voltage-gated channel alpha subunit 3	-3.264	14.2
210480_s_at	MYO6	myosin VI	4.505	13.878
210495_x_at	FN1	fibronectin 1	3.625	17.955
210511_s_at	INHBA	inhibin beta A subunit	6.122	16.901
210543_s_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	3.413	12.8
210621_s_at	RASA1	RAS p21 protein activator 1	3.74	10.971
210639_s_at	ATG5	autophagy related 5	3.535	13.603
210652_s_at	TTC39A	tetratricopeptide repeat domain 39A	3.266	12.493
210655_s_at	FOXO3B///FOXO3	forkhead box O3B pseudogene///forkhead box O3	3.673	11.536
210735_s_at	CA12	carbonic anhydrase 12	6.139	18.04
210756_s_at	NOTCH2	notch 2	3.332	13.614
210764_s_at	CYR61	cysteine rich angiogenic inducer 61	3.776	6.833
210830_s_at	PON2	paraoxonase 2	3.472	9.566
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	3.889	12.909
210904_s_at	IL13RA1	interleukin 13 receptor subunit alpha 1	4.476	15.698
210935_s_at	WDR1	WD repeat domain 1	3.007	10.653
210964_s_at	GYG2	glycogenin 2	-4.008	9.747
210978_s_at	TAGLN2	transgelin 2	3.328	8.915
211000_s_at	IL6ST	interleukin 6 signal transducer	3.192	8.202
211074_at	FOLR1	folate receptor 1	3.778	9.504
211090_s_at	PRPF4B	pre-mRNA processing factor 4B	4.566	15.243
211110_s_at	AR	androgen receptor	4.25	11.722
211421_s_at	RET	ret proto-oncogene	3.292	3.419
211450_s_at	MSH6	mutS homolog 6	3.722	13.893
211494_s_at	SLC4A4	solute carrier family 4 member 4	-3.306	8.035
211537_x_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	3.011	12.084
211559_s_at	CCNG2	cyclin G2	5.529	15.908
211565_at	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	-6.343	26.396
211571_s_at	VCAN	versican	7.893	21.278
211574_s_at	CD46	CD46 molecule	4.777	14.505
211612_s_at	IL13RA1	interleukin 13 receptor subunit alpha 1	4.22	19.265
211637_x_at	IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus	3.28	4.435
211653_x_at	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2	-3.688	7.012
211668_s_at	PLAU	plasminogen activator, urokinase	4.613	10.079
211672_s_at	ARPC4-TTLL3///ARPC4	ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4	3.96	13.434
211681_s_at	PDLIM5	PDZ and LIM domain 5	3.009	9.033
211685_s_at	NCALD	neurocalcin delta	-3.542	9.713
211696_x_at	HBB	hemoglobin subunit beta	-3.343	6.142
211699_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.325	6.008
211703_s_at	TM2D1	TM2 domain containing 1	3.079	11.497
211712_s_at	ANXA9	annexin A9	3.582	9.241
211719_x_at	FN1	fibronectin 1	3.463	16.552
211726_s_at	FMO2	flavin containing monooxygenase 2	-3.68	7.114
211737_x_at	PTN	pleiotrophin	-3.651	7.434
211745_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.453	5.787
211749_s_at	VAMP3	vesicle associated membrane protein 3	3.125	8.625
211769_x_at	SERINC3	serine incorporator 3	3.394	8.398
211864_s_at	MYOF	myoferlin	3.747	8.888
211919_s_at	CXCR4	C-X-C motif chemokine receptor 4	4.689	11.848
212008_at	UBXN4	UBX domain protein 4	5.054	17.303
212009_s_at	STIP1	stress induced phosphoprotein 1	4.112	10.452
212016_s_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	3.32	14.278
212093_s_at	MTUS1	microtubule associated tumor suppressor 1	3.141	10.974
212236_x_at	KRT17///JUP	keratin 17///junction plakoglobin	-3.218	5.157
212271_at	MAPK1	mitogen-activated protein kinase 1	3.077	14.366
212322_at	SGPL1	sphingosine-1-phosphate lyase 1	3.098	13.144
212337_at	TUG1	taurine up-regulated 1 (non-protein coding)	3.124	10.254
212344_at	SULF1	sulfatase 1	5.944	19.631
212353_at	SULF1	sulfatase 1	4.658	17.495
212354_at	SULF1	sulfatase 1	3.4	15.081
212444_at	GPRC5A	G protein-coupled receptor class C group 5 member A	3.967	13.543
212464_s_at	FN1	fibronectin 1	3.77	17.538
212472_at	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	4.384	17.185
212481_s_at	TPM4	tropomyosin 4	3.029	12.04
212488_at	COL5A1	collagen type V alpha 1 chain	3.461	10.393
212489_at	COL5A1	collagen type V alpha 1 chain	3.348	11.314
212515_s_at	DDX3X	DEAD-box helicase 3, X-linked	3.414	8.958
212551_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	3.069	6.079
212595_s_at	DAZAP2	DAZ associated protein 2	4.774	16.276
212623_at	TMEM41B	transmembrane protein 41B	4.036	16.541
212671_s_at	LOC100509457///HLA-DQA2///HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 2///major histocompatibility complex, class II, DQ alpha 1	3.738	7.25
212730_at	SYNM	synemin	-5.411	10.975
212741_at	MAOA	monoamine oxidase A	-3.764	5.686
212768_s_at	OLFM4	olfactomedin 4	-3.282	7.909
212886_at	CCDC69	coiled-coil domain containing 69	-3.655	10.492
212937_s_at	COL6A1	collagen type VI alpha 1 chain	3.309	9.069
212956_at	TBC1D9	TBC1 domain family member 9	3.252	12.427
212960_at	TBC1D9	TBC1 domain family member 9	4.385	16.559
213029_at	NFIB	nuclear factor I B	-3.055	9.641
213135_at	TIAM1	T-cell lymphoma invasion and metastasis 1	3.109	8.014
213183_s_at			-3.592	18.352
213274_s_at	CTSB	cathepsin B	3.567	13.245
213315_x_at	CXorf40A	chromosome X open reading frame 40A	3.109	9.243
213451_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	-5.586	10.832
213486_at	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)	-4.301	17.017
213524_s_at	G0S2	G0/G1 switch 2	-4.748	8.656
213575_at	TRA2A	transformer 2 alpha homolog	3.009	9.644
213661_at	PAMR1	peptidase domain containing associated with muscle regeneration 1	-3.407	9.023
213664_at	SLC1A1	solute carrier family 1 member 1	4.459	5.966
213706_at	GPD1	glycerol-3-phosphate dehydrogenase 1	-5.613	14.289
213844_at	HOXA5	homeobox A5	-4.098	7.271
213872_at			6.997	15.636
213900_at	FAM189A2	family with sequence similarity 189 member A2	-3.819	9.475
213901_x_at	RBFOX2	RNA binding protein, fox-1 homolog 2	3.157	9.952
213909_at	LRRC15	leucine rich repeat containing 15	5.596	10.772
214007_s_at	TWF1	twinfilin actin binding protein 1	3.733	16.088
214063_s_at	TF	transferrin	-5.17	17.521
214119_s_at	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A	3.492	13.65
214290_s_at	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3	3.916	8.691
214414_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.769	7.196
214440_at	NAT1	N-acetyltransferase 1	6.85	11.979
214456_x_at	SAA2///SAA1	serum amyloid A2///serum amyloid A1	-4.423	10.918
214500_at	H2AFY	H2A histone family member Y	3.828	14.271
214544_s_at	SNAP23	synaptosome associated protein 23	3.178	10.193
214545_s_at	PROSC	proline synthetase cotranscribed homolog (bacterial)	3.117	11.507
214552_s_at	RABEP1	rabaptin, RAB GTPase binding effector protein 1	3.201	9.255
214598_at	CLDN8	claudin 8	-3.794	6.763
214845_s_at	CALU	calumenin	4.3	16.889
215236_s_at	PICALM	phosphatidylinositol binding clathrin assembly protein	3.716	9.375
215382_x_at	TPSAB1	tryptase alpha/beta 1	3.793	7.052
215397_x_at			3.076	7.465
215646_s_at	VCAN	versican	7.451	21.336
215695_s_at	GYG2	glycogenin 2	-5.183	15.01
215779_s_at	HIST1H2BJ///HIST1H2BG	histone cluster 1, H2bj///histone cluster 1, H2bg	3.719	4.645
215918_s_at	SPTBN1	spectrin beta, non-erythrocytic 1	-3.174	9.096
215921_at	NPIPA5///NPIPB6///NPIPB8///NPIPB3	nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member B3	3.617	14.842
215936_s_at	KIAA1033	KIAA1033	3.36	14.238
216202_s_at	SPTLC2	serine palmitoyltransferase long chain base subunit 2	3.192	9.842
216266_s_at	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	4.357	15.161
216331_at	ITGA7	integrin subunit alpha 7	-3.525	13.039
216333_x_at	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	-5.933	11.084
216392_s_at	SEC23IP	SEC23 interacting protein	3.128	10.376
216442_x_at	FN1	fibronectin 1	3.674	17.122
216474_x_at	TPSB2///TPSAB1	tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1	4.766	9.005
216491_x_at	IGHM	immunoglobulin heavy constant mu	3.418	4.514
216591_s_at	SDHC	succinate dehydrogenase complex subunit C	4.116	15.456
216593_s_at	PIGC	phosphatidylinositol glycan anchor biosynthesis class C	3.504	14.762
216594_x_at	AKR1C1	aldo-keto reductase family 1 member C1	-3.611	8.014
216693_x_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	4.17	14.534
216804_s_at	PDLIM5	PDZ and LIM domain 5	3.841	11.46
216834_at	RGS1	regulator of G-protein signaling 1	3.921	7.694
216915_s_at	PTPN12	protein tyrosine phosphatase, non-receptor type 12	3.162	11.325
216950_s_at	FCGR1CP///FCGR1B///FCGR1A	Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia	3.069	8.304
216971_s_at	PLEC	plectin	3.246	9.783
217023_x_at	TPSB2///TPSAB1	tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1	3.268	7.179
217140_s_at	VDAC1	voltage dependent anion channel 1	3.042	10.32
217188_s_at	C14orf1	chromosome 14 open reading frame 1	3.879	15.9
217202_s_at	GLUL	glutamate-ammonia ligase	3.774	12.176
217232_x_at	HBB	hemoglobin subunit beta	-3.336	6.424
217234_s_at	EZR	ezrin	4.377	14.312
217294_s_at	ENO1	enolase 1	4.934	10.145
217356_s_at	PGK1	phosphoglycerate kinase 1	3.591	10.132
217414_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.365	6.291
217428_s_at	COL10A1	collagen type X alpha 1 chain	7.375	15.59
217430_x_at	COL1A1	collagen type I alpha 1 chain	3.095	9.693
217763_s_at	RAB31	RAB31, member RAS oncogene family	3.603	15.271
217764_s_at	RAB31	RAB31, member RAS oncogene family	3.129	14.87
217777_s_at	HACD3	3-hydroxyacyl-CoA dehydratase 3	5.47	19.548
217791_s_at	ALDH18A1	aldehyde dehydrogenase 18 family member A1	3.286	16.686
217799_x_at	UBE2H	ubiquitin conjugating enzyme E2 H	4.155	17.258
217811_at	SELT	selenoprotein T	3.11	11.974
217889_s_at	CYBRD1	cytochrome b reductase 1	3.173	6.951
217919_s_at	MRPL42	mitochondrial ribosomal protein L42	3.81	16.288
218013_x_at	DCTN4	dynactin subunit 4	3.779	14.985
218039_at	NUSAP1	nucleolar and spindle associated protein 1	3.269	7.877
218209_s_at	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	3.283	15.142
218218_at	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	3.357	9.933
218229_s_at	POGK	pogo transposable element with KRAB domain	3.27	10.826
218237_s_at	SLC38A1	solute carrier family 38 member 1	4.017	8.709
218260_at	DDA1	DET1 and DDB1 associated 1	3.247	14.028
218280_x_at	HIST2H2AA4///HIST2H2AA3	histone cluster 2, H2aa4///histone cluster 2, H2aa3	3.07	7.034
218302_at	PSENEN	presenilin enhancer gamma-secretase subunit	4.507	16.255
218342_s_at	ERMP1	endoplasmic reticulum metallopeptidase 1	3.676	15.587
218368_s_at	TNFRSF12A	TNF receptor superfamily member 12A	3.354	12.534
218398_at	MRPS30	mitochondrial ribosomal protein S30	3.765	7.289
218401_s_at	ZNF281	zinc finger protein 281	3.269	13.72
218439_s_at	COMMD10	COMM domain containing 10	3.181	12.192
218468_s_at	GREM1	gremlin 1, DAN family BMP antagonist	3.733	7.254
218469_at	GREM1	gremlin 1, DAN family BMP antagonist	3.04	4.946
218640_s_at	PLEKHF2	pleckstrin homology and FYVE domain containing 2	3.125	16.72
218678_at	NES	nestin	-3.131	9.494
218782_s_at	ATAD2	ATPase family, AAA domain containing 2	4.105	14.546
218806_s_at	VAV3	vav guanine nucleotide exchange factor 3	4.972	14.646
218866_s_at	POLR3K	RNA polymerase III subunit K	4.01	16.027
218872_at	TESC	tescalcin	-3.779	14.005
218883_s_at	CENPU	centromere protein U	3.285	12.832
218967_s_at	PTER	phosphotriesterase related	3.921	12.447
218976_at	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	3.302	7.018
219015_s_at	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	3.366	16.496
219017_at	ETNK1	ethanolamine kinase 1	3.655	12.942
219059_s_at	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	-3.567	9.762
219064_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	-4.726	13.739
219087_at	ASPN	asporin	4.351	14.329
219121_s_at	ESRP1	epithelial splicing regulatory protein 1	4.716	20.699
219140_s_at	RBP4	retinol binding protein 4	-6.735	12.497
219179_at	DACT1	dishevelled binding antagonist of beta catenin 1	3.151	6.961
219197_s_at	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2	3.26	4.985
219230_at	TMEM100	transmembrane protein 100	-3.927	11.845
219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	-4.919	9.674
219326_s_at	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	3.185	12.383
219342_at	CASD1	CAS1 domain containing 1	3.221	8.106
219398_at	CIDEC	cell death inducing DFFA like effector c	-5.283	12.585
219463_at	LAMP5	lysosomal associated membrane protein family member 5	4.244	9.77
219679_s_at	WAC	WW domain containing adaptor with coiled-coil	4.222	12.888
219689_at	SEMA3G	semaphorin 3G	-3.741	10.889
219795_at	SLC6A14	solute carrier family 6 member 14	-3.592	8.13
219935_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	-3.773	11.375
220038_at	C8orf44-SGK3///SGK3	C8orf44-SGK3 readthrough///serum/glucocorticoid regulated kinase family member 3	3.332	8.195
220065_at	TNMD	tenomodulin	-3.035	7.12
220173_at	BBOF1	basal body orientation factor 1	3.055	11.536
220199_s_at	AIDA	axin interactor, dorsalization associated	3.165	10.578
220232_at	SCD5	stearoyl-CoA desaturase 5	-3.907	21.047
220235_s_at	LRIF1	ligand dependent nuclear receptor interacting factor 1	3.089	13.829
220340_at	GREB1L	growth regulation by estrogen in breast cancer 1 like	3.176	6.062
220386_s_at	EML4	echinoderm microtubule associated protein like 4	3.057	8.643
220425_x_at	ROPN1B	rhophilin associated tail protein 1B	-4.176	10.616
220477_s_at	TMEM230	transmembrane protein 230	4.044	11.009
220494_s_at			3.52	9.554
220625_s_at	ELF5	E74 like ETS transcription factor 5	-5.682	8.074
220898_at			3.101	10.117
221009_s_at	ANGPTL4	angiopoietin like 4	-4.128	16.781
221024_s_at	SLC2A10	solute carrier family 2 member 10	3.652	10.72
221163_s_at	MLXIPL	MLX interacting protein like	-3.009	10.089
221295_at	CIDEA	cell death-inducing DFFA-like effector a	-3.334	6.541
221423_s_at	YIPF5	Yip1 domain family member 5	3.923	12.085
221428_s_at	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	3.2	10.27
221487_s_at	ENSA	endosulfine alpha	3.731	13.739
221729_at	COL5A2	collagen type V alpha 2 chain	3.764	13.811
221730_at	COL5A2	collagen type V alpha 2 chain	4.411	12.935
221731_x_at	VCAN	versican	3.113	12.289
221781_s_at	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	3.27	11.749
221795_at	NTRK2	neurotrophic receptor tyrosine kinase 2	-4.41	7.139
221796_at	NTRK2	neurotrophic receptor tyrosine kinase 2	-4.018	6.353
221900_at	COL8A2	collagen type VIII alpha 2 chain	3.185	7.225
221928_at	ACACB	acetyl-CoA carboxylase beta	-3.966	13.068
221962_s_at	UBE2H	ubiquitin conjugating enzyme E2 H	3.06	12.935
222067_x_at	HIST1H2BD	histone cluster 1, H2bd	3.253	7.397
222155_s_at	SLC52A2	solute carrier family 52 member 2	3.203	8.795
222379_at	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	4.207	4.452
222385_x_at	SEC61A1	Sec61 translocon alpha 1 subunit	4.456	13.793
222393_s_at	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	3.292	13.65
222399_s_at	TM9SF3	transmembrane 9 superfamily member 3	3.234	14.985
222420_s_at	UBE2H	ubiquitin conjugating enzyme E2 H	4.274	12.248
222458_s_at	AKIRIN1	akirin 1	3.656	12.296
222496_s_at	RBM47	RNA binding motif protein 47	3.722	15.637
222507_s_at	TMEM9B	TMEM9 domain family member B	4.794	17.362
222518_at	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	3.591	13.018
222537_s_at	CDC42SE1	CDC42 small effector 1	3.302	12.375
222538_s_at	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1	3.52	13.398
222559_s_at	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A	3.048	9.254
222587_s_at	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	5.143	15.716
222699_s_at	PLEKHF2	pleckstrin homology and FYVE domain containing 2	4.984	21.349
222717_at	SDPR	serum deprivation response	-4.323	9.379
222804_x_at	DCAF10	DDB1 and CUL4 associated factor 10	3.826	13.274
222891_s_at	BCL11A	B-cell CLL/lymphoma 11A	-3.327	6.191
222904_s_at	TMC5	transmembrane channel like 5	4.043	8.175
223001_at	OSTC	oligosaccharyltransferase complex non-catalytic subunit	3.111	11.605
223005_s_at	TMEM245	transmembrane protein 245	3.781	12.49
223075_s_at	AIF1L	allograft inflammatory factor 1 like	-4.755	12.56
223092_at	ANKH	ANKH inorganic pyrophosphate transport regulator	3.001	7.478
223220_s_at	PARP9	poly(ADP-ribose) polymerase family member 9	3.173	10.019
223278_at	GJB2	gap junction protein beta 2	6.173	13.659
223289_s_at	USP38	ubiquitin specific peptidase 38	3.23	14.475
223341_s_at	SCOC	short coiled-coil protein	3.169	13.052
223343_at	MS4A7	membrane spanning 4-domains A7	4.064	10.221
223344_s_at	MS4A7	membrane spanning 4-domains A7	5.728	11.708
223423_at	GPR160	G protein-coupled receptor 160	4.98	14.685
223468_s_at	RGMA	repulsive guidance molecule family member a	-3.018	9.445
223551_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	4.203	7.908
223623_at	C2orf40	chromosome 2 open reading frame 40	-5.218	7.229
223721_s_at	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	4.592	10.229
223796_at	CNTNAP3B///CNTNAP3P2///CNTNAP3	contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3	-3.592	17.656
223828_s_at	LGALS12	galectin 12	-3.078	6.207
223864_at	ANKRD30A	ankyrin repeat domain 30A	4.729	5.293
223940_x_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	3.372	10.415
224012_at	ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1	ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1	-4.945	21.448
224027_at	CCL28	C-C motif chemokine ligand 28	-4.359	7.022
224061_at	INMT	indolethylamine N-methyltransferase	-3.505	9.462
224159_x_at	TRIM4	tripartite motif containing 4	-3.282	17.805
224191_x_at	ROPN1	rhophilin associated tail protein 1	-3.237	8.872
224218_s_at	TRPS1	transcriptional repressor GATA binding 1	4.519	12.532
224221_s_at	VAV3	vav guanine nucleotide exchange factor 3	4.489	12.224
224250_s_at	SECISBP2	SECIS binding protein 2	3.243	9.611
224321_at	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	-3.855	14.947
224327_s_at	DGAT2	diacylglycerol O-acyltransferase 2	-4.257	7.488
224358_s_at	MS4A7	membrane spanning 4-domains A7	4.596	10.394
224368_s_at	NDRG3	NDRG family member 3	3.063	13.015
224396_s_at	ASPN	asporin	7.477	14.875
224492_s_at	ZNF627	zinc finger protein 627	3.264	14.913
224568_x_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	4.89	9.486
224589_at	XIST	X inactive specific transcript (non-protein coding)	4.075	12.773
224600_at	CGGBP1	CGG triplet repeat binding protein 1	3.246	12.511
224642_at	FYTTD1	forty-two-three domain containing 1	3.735	15.767
224829_at	CPEB4	cytoplasmic polyadenylation element binding protein 4	4.478	15.457
224856_at	FKBP5	FK506 binding protein 5	3.028	6.697
224909_s_at	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	3.488	14.751
224917_at	MIR21///VMP1	microRNA 21///vacuole membrane protein 1	4.865	15.216
224989_at	SMIM14	small integral membrane protein 14	3.741	11.291
225116_at	HIPK2	homeodomain interacting protein kinase 2	3.313	7.164
225161_at	GFM1	G elongation factor mitochondrial 1	3.242	12.168
225165_at	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B	-3.54	5.061
225237_s_at	MSI2	musashi RNA binding protein 2	4.481	15.196
225327_at	FAM214A	family with sequence similarity 214 member A	3.624	11.214
225400_at	TSEN15	tRNA splicing endonuclease subunit 15	3.384	16.39
225424_at	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	-3.487	8.434
225436_at	ABHD17C	abhydrolase domain containing 17C	3.039	8.417
225468_at	PATL1	PAT1 homolog 1, processing body mRNA decay factor	3.324	13.436
225664_at	COL12A1	collagen type XII alpha 1 chain	4.011	12.026
225681_at	CTHRC1	collagen triple helix repeat containing 1	4.93	14.725
225827_at	AGO2	argonaute 2, RISC catalytic component	3.008	8.743
225911_at	NPNT	nephronectin	3.827	11.529
226050_at	TMCO3	transmembrane and coiled-coil domains 3	3.147	11.723
226064_s_at	DGAT2	diacylglycerol O-acyltransferase 2	-3.427	5.521
226094_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	4.024	14.303
226147_s_at	PIGR	polymeric immunoglobulin receptor	-7.878	9.666
226237_at	COL8A1	collagen type VIII alpha 1 chain	4.341	9.011
226302_at	ATP8B1	ATPase phospholipid transporting 8B1	3.4	11.812
226311_at	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	3.037	8.082
226319_s_at	ALYREF	Aly/REF export factor	4.42	14.321
226322_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	-3.262	6.136
226432_at	ETNK1	ethanolamine kinase 1	3.153	11.975
226524_at	C3orf38	chromosome 3 open reading frame 38	3.166	17.271
226777_at	ADAM12	ADAM metallopeptidase domain 12	3.482	7.668
226825_s_at	TMEM165	transmembrane protein 165	4.627	9.604
226930_at	FNDC1	fibronectin type III domain containing 1	5.117	14.18
226961_at	PRR15	proline rich 15	3.805	14.461
227006_at	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A	-4.757	18.596
227081_at	DNALI1	dynein axonemal light intermediate chain 1	3.16	6.356
227140_at	INHBA	inhibin beta A subunit	4.508	14.791
227182_at	SUSD3	sushi domain containing 3	4.799	12.42
227232_at	EVL	Enah/Vasp-like	3.067	11.435
