Gene.symbol
UBXN10
LEPROT
LEPR
FCGR2A
CFH
HSPG2
DHCR24
NEGR1
SORT1
KCNA3
TSPAN2
SELL
CACNB2
SCD
BLNK
MPEG1
KLRG1
GLIPR1
SOCS2
MANSC1
RGCC
ATP7B
PLD4
HERC2P9
HDC
IRF8
HERC2P4
HERC2P2
HERC2P3
HERC2
TMEM88
MYL4
SDK2
RAB27B
PIEZO2
CDH2
SMAD7
ZFP36
BCL3
ID2
EPAS1
KYNU
CASP10
SH3BP4
PREPL
SCN9A
NCF4
LRRN1
SKIL
THRB
BCL6
STAP1
FAM47E-STBD1
FAM47E
RXFP1
MSMO1
PROM1
CXCL10
TMEM154
CASP3
HMGCR
ARRDC3
IRF1
GCNT2
TNFAIP3
F13A1
PREX2
ANGPT2
KLF10
TEK
MAMDC2
ANKRD18A
NINJ1
NXF3
IDS
IER3
CYP51A1
