source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
MIMAT0005824,CREB5,mir_to_gene,,0.5001380443572998,0.5009227991104126
MIMAT0005824,SETD1B,mir_to_gene,,0.5002924203872681,0.5010685324668884
MIMAT0005824,RORA,mir_to_gene,,0.3334423899650574,0.33368656039237976
MIMAT0005824,GRIN2B,mir_to_gene,,0.5004090666770935,0.5010719895362854
MIMAT0005899,ATXN1,mir_to_gene,,0.2000475376844406,0.20009911060333252
MIMAT0005899,TCF20,mir_to_gene,,0.5001210570335388,0.5007539987564087
MIMAT0005899,EFHD2,mir_to_gene,,0.5001218318939209,0.5008338093757629
MIMAT0004607,TPM3,mir_to_gene,,0.2500302493572235,0.2502084970474243
MIMAT0004607,ERGIC1,mir_to_gene,,0.5000268220901489,0.5007274150848389
MIMAT0004607,ATP6V1A,mir_to_gene,,0.5002562999725342,0.5008916854858398
MIMAT0004607,CSNK2A1,mir_to_gene,,0.3333774209022522,0.3336957097053528
MIMAT0004607,PEX5L,mir_to_gene,,0.5002008676528931,0.5008633732795715
MIMAT0004607,SLC46A1,mir_to_gene,,0.5000727772712708,0.5010749101638794
MIMAT0004607,CYBRD1,mir_to_gene,,0.4998234212398529,0.5006798505783081
MIMAT0004607,GNA13,mir_to_gene,,0.33337855339050293,0.33364352583885193
MIMAT0004607,PAG1,mir_to_gene,,0.5002383589744568,0.5007563233375549
MIMAT0004607,MECP2,mir_to_gene,,0.33337104320526123,0.33373183012008667
MIMAT0004607,IGFBP4,mir_to_gene,,0.49991101026535034,0.5004039406776428
MIMAT0004607,YY1,mir_to_gene,,0.33336159586906433,0.33367985486984253
MIMAT0004607,RSBN1,mir_to_gene,,0.5001779198646545,0.5009766817092896
MIMAT0000430,EIF4EBP1,mir_to_gene,,0.5002524852752686,0.500920295715332
MIMAT0000430,RHOC,mir_to_gene,,0.5001512765884399,0.5007086992263794
MIMAT0000430,DMKN,mir_to_gene,,0.500084400177002,0.5009527802467346
MIMAT0000430,DNAJB6,mir_to_gene,,0.33336547017097473,0.3336485028266907
MIMAT0000430,NFKB1,mir_to_gene,,0.5002819299697876,0.5008299350738525
MIMAT0000430,LNPEP,mir_to_gene,,0.33343440294265747,0.33365073800086975
MIMAT0000430,TERT,mir_to_gene,,0.49998676776885986,0.5007216930389404
MIMAT0000430,ZMYND11,mir_to_gene,,0.3334314227104187,0.3337389826774597
MIMAT0000430,EID1,mir_to_gene,,0.5002129077911377,0.5007267594337463
MIMAT0000430,YAP1,mir_to_gene,,0.5001456141471863,0.500813364982605
MIMAT0000430,MXD1,mir_to_gene,,0.5000824332237244,0.5003730058670044
MIMAT0000430,MEAF6,mir_to_gene,,0.5000140070915222,0.5004370808601379
MIMAT0000430,IGF2BP1,mir_to_gene,,0.5001368522644043,0.5008081793785095
MIMAT0000430,BLCAP,mir_to_gene,,0.33340969681739807,0.3335717022418976
MIMAT0000430,CELF1,mir_to_gene,,0.5001254081726074,0.5008925199508667
MIMAT0000430,S100A1,mir_to_gene,,0.5001511573791504,0.50035560131073
MIMAT0000430,FOXC1,mir_to_gene,,0.500053346157074,0.5009118914604187
MIMAT0000430,CDH2,mir_to_gene,,0.5002016425132751,0.5008801221847534
MIMAT0000430,RPA1,mir_to_gene,,0.5002783536911011,0.5010340213775635
MIMAT0000430,IGLON5,mir_to_gene,,0.49974578619003296,0.5006844997406006
MIMAT0000430,CCND1,mir_to_gene,,0.333406925201416,0.333638459444046
MIMAT0000430,BCL11A,mir_to_gene,,0.5003135800361633,0.5011740922927856
MIMAT0000430,ZNF426,mir_to_gene,,0.500292181968689,0.5007084012031555
MIMAT0000430,PHKG2,mir_to_gene,,0.5001024007797241,0.5006967782974243
MIMAT0000436,FNDC3A,mir_to_gene,,0.5001975893974304,0.5009045004844666
MIMAT0000436,IRS1,mir_to_gene,,0.5001789331436157,0.5007790923118591
