layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,MIMAT0000265,CTSC,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CLNK,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,NR3C1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ENAH,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,LRRC55,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CDH11,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,TCF4,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,SRGAP1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,POU2F1,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,TRPM3,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,SYT6,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ATP2B1,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,CAMK2G,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,PRKAR1A,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,RUNX2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,NTRK2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,WNK3,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,CDH8,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,POU2F2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,AGAP1,mir_to_gene,,0.5,0.5,0.5,0.5,0.5
1,MIMAT0000265,IKZF2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ZNF385D,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ZNF362,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,PHF13,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ALDH1A2,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,ST3GAL1,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
1,MIMAT0000265,B4GALNT3,mir_to_gene,,1.0,1.0,1.0,1.0,1.0
