mirnaid
hsa-miR-106b-5p
hsa-miR-504-5p
hsa-miR-186-5p
hsa-miR-193b-3p
hsa-miR-4490
hsa-miR-20a-5p
hsa-miR-199b-5p
hsa-miR-221-3p
hsa-miR-199a-3p
hsa-miR-148a-3p
hsa-miR-199b-3p
hsa-miR-155-5p
hsa-miR-4506
hsa-miR-4701-3p
hsa-miR-19a-3p
hsa-miR-19b-3p
hsa-miR-370-3p
hsa-miR-329-3p
hsa-miR-410-3p
hsa-miR-557
hsa-miR-4304
hsa-miR-4307
hsa-miR-22-5p
hsa-miR-140-3p
hsa-miR-507
hsa-miR-92a-1-5p
hsa-miR-30d-5p
hsa-miR-150-5p
hsa-miR-324-5p
hsa-miR-1225-3p
hsa-miR-1285-3p
hsa-miR-1247-3p
hsa-miR-1249-5p
hsa-miR-4271
hsa-miR-4286
hsa-miR-4725-3p
hsa-miR-5196-3p
hsa-miR-5587-3p
hsa-miR-5703
hsa-miR-6130
hsa-miR-6751-5p
hsa-miR-6803-5p
hsa-miR-6780b-5p
hsa-miR-7110-5p
hsa-miR-8085
hsa-miR-92a-3p
hsa-miR-485-5p
hsa-miR-612
hsa-miR-937-5p
hsa-miR-1228-3p
hsa-miR-4736
hsa-miR-5193
hsa-miR-6778-5p
hsa-miR-6785-5p
hsa-miR-6883-5p
hsa-miR-7150
hsa-miR-8071
hsa-miR-149-3p
hsa-miR-4510
hsa-miR-6129
hsa-miR-6797-5p
hsa-miR-18a-5p
hsa-miR-125b-1-3p
hsa-miR-194-3p
hsa-miR-4728-5p
hsa-miR-6133
hsa-miR-505-5p
hsa-miR-3529-3p
hsa-miR-6825-5p
hsa-miR-151a-5p
hsa-miR-5003-5p
hsa-miR-24-3p
hsa-miR-17-5p
hsa-miR-34a-5p
hsa-miR-1224-3p
hsa-miR-320d
hsa-miR-3622a-3p
hsa-miR-6738-5p
hsa-miR-6790-3p
hsa-miR-6891-5p
hsa-miR-93-5p
hsa-miR-877-5p
hsa-miR-663b
hsa-miR-3162-3p
hsa-miR-3200-3p
hsa-miR-6862-3p
hsa-miR-125b-5p
hsa-miR-320b
hsa-miR-4428
hsa-let-7e-5p
hsa-miR-129-5p
hsa-miR-30c-2-3p
hsa-miR-30b-3p
hsa-miR-128-3p
hsa-miR-18b-5p
hsa-miR-505-3p
hsa-miR-887-5p
hsa-miR-3122
hsa-miR-3689a-3p
hsa-miR-3689b-3p
hsa-miR-3929
hsa-miR-4478
hsa-miR-3689c
hsa-miR-6086
hsa-miR-6134
hsa-miR-6514-3p
hsa-miR-6739-3p
hsa-miR-6771-3p
hsa-miR-6779-5p
hsa-miR-6780a-5p
hsa-miR-6788-5p
hsa-miR-6799-5p
hsa-miR-6880-5p
hsa-miR-6884-5p
hsa-miR-7106-5p
hsa-miR-1273h-5p
hsa-miR-6516-5p
hsa-miR-7847-3p
hsa-miR-665
hsa-miR-4273
hsa-miR-6513-5p
hsa-miR-6765-5p
hsa-miR-6840-3p
hsa-miR-6847-3p
hsa-miR-6867-5p
hsa-miR-603
hsa-miR-106a-5p
hsa-miR-4689
hsa-miR-133a-3p
hsa-miR-3150a-3p
hsa-miR-3175
hsa-miR-4300
hsa-miR-4270
hsa-miR-4425
hsa-miR-4489
hsa-miR-4755-5p
hsa-miR-6726-5p
hsa-miR-6754-5p
hsa-miR-6810-5p
hsa-miR-6780b-3p
hsa-miR-29a-3p
hsa-miR-4487
hsa-miR-5006-3p
hsa-miR-4731-5p
hsa-miR-30a-3p
hsa-miR-335-3p
hsa-miR-6840-5p
hsa-miR-605-5p
hsa-miR-892b
hsa-miR-4446-5p
hsa-miR-4799-3p
hsa-miR-4731-3p
hsa-miR-3202
hsa-miR-4747-5p
hsa-miR-5196-5p
hsa-miR-6795-3p
hsa-miR-6803-3p
hsa-miR-6887-3p
hsa-miR-19b-1-5p
hsa-miR-19b-2-5p
hsa-miR-378a-5p
hsa-miR-4450
hsa-miR-203b-3p
hsa-miR-5572
hsa-miR-6763-5p
hsa-miR-6857-5p
hsa-miR-6865-3p
hsa-miR-16-5p
hsa-miR-4260
hsa-miR-3934-5p
hsa-miR-6821-3p
hsa-miR-196b-5p
hsa-miR-26b-5p
hsa-miR-2113
hsa-miR-3976
hsa-miR-766-5p
hsa-miR-1207-5p
hsa-miR-5580-5p
hsa-miR-6894-5p
hsa-miR-184
hsa-miR-765
hsa-miR-124-3p
hsa-miR-326
hsa-miR-4513
hsa-miR-1295b-5p
hsa-miR-6728-3p
hsa-miR-6819-3p
hsa-miR-6877-3p
hsa-miR-7109-3p
hsa-miR-589-3p
hsa-miR-500b-3p
hsa-miR-4773
hsa-miR-6069
hsa-let-7a-2-3p
hsa-let-7c-5p
hsa-miR-96-5p
hsa-miR-214-5p
hsa-miR-141-3p
hsa-miR-185-5p
hsa-miR-363-5p
hsa-miR-376c-3p
hsa-miR-340-5p
hsa-miR-133b
hsa-miR-520a-5p
hsa-miR-520d-3p
hsa-miR-503-5p
hsa-miR-539-5p
hsa-miR-588
hsa-miR-625-5p
hsa-miR-629-3p
hsa-miR-885-3p
hsa-miR-1275
hsa-miR-1827
hsa-miR-1910-3p
hsa-miR-2682-5p
hsa-miR-3124-3p
hsa-miR-3125
hsa-miR-3148
hsa-miR-3662
hsa-miR-4458
hsa-miR-4639-3p
hsa-miR-4655-5p
hsa-miR-4710
hsa-miR-4723-5p
hsa-miR-4755-3p
hsa-miR-2467-3p
hsa-miR-4789-3p
hsa-miR-4800-5p
hsa-miR-5586-3p
hsa-miR-5698
hsa-miR-6124
hsa-miR-6731-5p
hsa-miR-6740-5p
hsa-miR-6745
hsa-miR-6764-3p
hsa-miR-6804-5p
hsa-miR-6817-3p
hsa-miR-6831-5p
hsa-miR-6870-5p
hsa-miR-6873-3p
hsa-miR-7110-3p
hsa-miR-7111-5p
hsa-miR-7151-5p
hsa-miR-7157-5p
hsa-miR-8485
hsa-miR-183-5p
hsa-let-7i-5p
hsa-miR-143-3p
hsa-miR-145-5p
hsa-miR-202-3p
hsa-miR-520a-3p
hsa-miR-525-5p
hsa-miR-551b-5p
hsa-miR-583
hsa-miR-630
hsa-miR-659-5p
hsa-miR-466
hsa-miR-4299
hsa-miR-4456
hsa-miR-4539
hsa-miR-4727-5p
hsa-miR-5010-5p
hsa-miR-5011-5p
