source,target,type,subtype
MIMAT0000265,GALNT10,mir_to_gene,
MIMAT0000265,SFT2D2,mir_to_gene,
MIMAT0000265,CREB1,mir_to_gene,
MIMAT0000265,MBNL1,mir_to_gene,
MIMAT0000265,SEMA4G,mir_to_gene,
MIMAT0000265,PTPRT,mir_to_gene,
MIMAT0000265,CCR5,mir_to_gene,
MIMAT0000265,MAPRE2,mir_to_gene,
MIMAT0000265,SERP1,mir_to_gene,
MIMAT0000265,USP47,mir_to_gene,
MIMAT0000265,ZWILCH,mir_to_gene,
MIMAT0000265,PRLR,mir_to_gene,
MIMAT0000265,ZNF48,mir_to_gene,
MIMAT0000265,CCNT2,mir_to_gene,
MIMAT0000265,AKAP1,mir_to_gene,
MIMAT0000265,SPIB,mir_to_gene,
MIMAT0000265,CDX2,mir_to_gene,
MIMAT0000265,IL11,mir_to_gene,
MIMAT0000265,AKAP13,mir_to_gene,
MIMAT0000265,DPF3,mir_to_gene,
MIMAT0000265,ETF1,mir_to_gene,
MIMAT0000265,AP1S1,mir_to_gene,
MIMAT0000265,GTDC1,mir_to_gene,
MIMAT0000265,FARP1,mir_to_gene,
MIMAT0000265,SYNJ2BP,mir_to_gene,
MIMAT0000265,VN1R1,mir_to_gene,
MIMAT0000265,BCL7A,mir_to_gene,
MIMAT0000265,BACH2,mir_to_gene,
MIMAT0000265,MCL1,mir_to_gene,
MIMAT0000265,LRRC4,mir_to_gene,
MIMAT0000265,WWC2,mir_to_gene,
MIMAT0000265,SOST,mir_to_gene,
MIMAT0000265,BDNF,mir_to_gene,
MIMAT0000265,C21orf62,mir_to_gene,
MIMAT0000265,USP14,mir_to_gene,
MIMAT0000265,SMAD4,mir_to_gene,
MIMAT0000265,MDFI,mir_to_gene,
MIMAT0000265,IPO7,mir_to_gene,
MIMAT0000265,TXNIP,mir_to_gene,
MIMAT0000265,ERF,mir_to_gene,
MIMAT0000265,WDR3,mir_to_gene,
MIMAT0000265,SERINC3,mir_to_gene,
MIMAT0000265,TPPP,mir_to_gene,
MIMAT0000265,PADI2,mir_to_gene,
MIMAT0000265,ANGPTL2,mir_to_gene,
MIMAT0000265,G3BP2,mir_to_gene,
MIMAT0000265,ASGR1,mir_to_gene,
MIMAT0000265,GLP1R,mir_to_gene,
MIMAT0000265,SOX4,mir_to_gene,
MIMAT0000265,SP1,mir_to_gene,
MIMAT0000265,SPARC,mir_to_gene,
