symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PRKACA	0.41677713980911735	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6490927786999079	No data	No data	No data	No data	No data	No data	No data	0.7294793821024564	No data	No data	0.25	0	0	1	1	1	0.9002850000000002	No data	-0.8567015995587424	-0.58899126926202	0	-1	-1	-0.757835	0.5	-1
YWHAE	0.41596196519230605	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6517524759394587	No data	No data	No data	No data	No data	No data	No data	0.6494674303930881	No data	No data	No data	0	0	0	0	0	1	No data	-0.9699944842801985	-0.9260141359133708	0	No data	No data	-0.19607750000000018	-1	-1
SCN1A	0.4152362225515577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6404024623233163	No data	No data	No data	0.6921198661728246	0.36106201309564295	No data	1	1	0	1	1	0	0.9079149999999998	1	-0.9952564809707667	-0.9660219998161018	0	-1	No data	-0.6876550000000001	0.5	0.5
CTNNA1	0.41520212728266226	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	0.45458529415667187	No data	No data	No data	No data	No data	No data	No data	0.4400796489450763	0.02030133587233439	No data	No data	1	0	0	0	0	0.9724049999999999	No data	-0.6992829564258136	-0.7538127056734852	0	No data	No data	-0.5419425	-1	-1
MRPS30	0.4150461050760693	0.6381232055523878	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8603716722013522	0.07098920772964733	No data	No data	0	0	0	0	0	0	No data	0.44589078874793153	No data	0	No data	No data	No data	-1	-1
APOBEC3B	0.4149426496654501	0.23075385929364836	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	No data	No data	No data	No data	No data	No data	No data	0.9518233514522559	No data	No data	No data	0	0	0	0	0	No data	No data	-0.197573083287369	0	0	No data	-1	-0.0052350000000000564	0.5	0
B2M	0.4148396843609042	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.8557184144499089	No data	No data	No data	1	1	0	0	1	0	No data	-0.6878102592388307	-0.8701538703898998	0	No data	-1	0	-1	-1
SCN5A	0.4147335499168966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6404024623233163	No data	No data	No data	0.8360547057026084	No data	No data	1	1	0	1	1	0	0.7196049999999999	No data	-0.8251516822945395	-0.9766558707171413	0	-1	No data	-0.09429250000000007	1	0.5
TRAF7	0.41470937690557425	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6758982534381345	No data	No data	No data	No data	No data	No data	No data	0.1160733058860574	0.02085822485621341	No data	No data	0	0	0	0	0	0.82836	No data	-0.47214561500275787	-0.6863167616394544	0	No data	-1	0	-1	-1
CDX2	0.4141890628541362	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.8343139549514234	No data	No data	No data	0	0	0	0	0	0.6485599999999998	No data	-0.556646442360728	0	0	No data	No data	0	1	0.5
PPP6C	0.4141783903434244	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6757741859284179	No data	No data	No data	No data	No data	No data	No data	0.11035632673310954	No data	No data	No data	0	0	0	1	0	0.9836050000000001	No data	-0.7695532266960838	-0.19813303277206457	0	No data	-1	-0.05737749999999995	-1	-1
EWSR1	0.41394396875602724	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	No data	No data	No data	No data	0.41420874629086424	No data	No data	No data	0	0	1	1	0	0.8856699999999996	No data	-0.9239933811362383	-0.8377728905136036	-1	No data	No data	0	-1	-1
ETV4	0.4136099622186877	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.634865509339136	No data	No data	No data	No data	No data	No data	No data	0.9098294364651218	No data	No data	No data	0	0	0	0	0	0.6280999999999999	No data	-0.2520683949255378	-0.3065880334514584	0	No data	No data	0	-1	0
INHBB	0.41342196757728306	0.663780783869855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2850594919588277	0.09062936030256558	No data	No data	0	1	0	0	0	0.8648650000000003	No data	-0.6223938223938223	-0.8964952985227426	0	No data	No data	0	0.5	0
NUTM1	0.41335765750907094	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6758982534381345	No data	No data	No data	No data	No data	No data	No data	0.08087411270434455	No data	No data	No data	0	0	0	0	0	0	No data	-0.6531715388858246	-0.06304192814743703	0	No data	No data	0	1	1
NR3C1	0.413299726571617	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6289995163308105	No data	No data	No data	0.9716092071169086	0.10200106770569335	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
