layer,source,target,edge_type,edge_subtype,mean_attention,head_1_attention,head_2_attention,head_3_attention,head_4_attention
1,fu:67e73720,fu:57055c4e,protein_protein_interaction,inhibition|dephosphorylation,0.19927385449409485,0.20070871710777283,0.195986807346344,0.2003384530544281,0.20006144046783447
1,fu:944102db,fu:d9ef3265,protein_protein_interaction,inhibition|dephosphorylation,0.16616490483283997,0.16720779240131378,0.16425587236881256,0.1664350926876068,0.1667608916759491
1,fu:8f4928df,fu:ae916742,protein_protein_interaction,inhibition|dephosphorylation,0.19942335784435272,0.20078212022781372,0.1969020813703537,0.19993489980697632,0.20007431507110596
1,fu:caaa3f23,fu:c58de1d0,protein_protein_interaction,inhibition,0.09052716195583344,0.09153365343809128,0.08860423415899277,0.09099045395851135,0.09098029136657715
1,fu:b00d576a,fu:c58de1d0,protein_protein_interaction,inhibition,0.09052716195583344,0.09153365343809128,0.08860423415899277,0.09099045395851135,0.09098029136657715
1,fu:19936281,fu:d0883595,gene_expression_regulation,expression,0.3309650719165802,0.3357456624507904,0.3200598657131195,0.3345194160938263,0.3335352838039398
1,fu:1984f1f8,fu:57402cbc,protein_protein_interaction,indirect effect,0.19917991757392883,0.20090006291866302,0.19610705971717834,0.19954976439476013,0.20016273856163025
1,fu:cd063ff0,fu:6a14651d,protein_protein_interaction,indirect effect,0.1414092481136322,0.14448601007461548,0.1360357105731964,0.1421276032924652,0.1429876834154129
1,fu:42758e63,fu:6a14651d,protein_protein_interaction,indirect effect,0.1414092481136322,0.14448601007461548,0.1360357105731964,0.1421276032924652,0.1429876834154129
1,fu:5010a05c,fu:94ced6e1,protein_protein_interaction,compound,0.24860936403274536,0.2520732879638672,0.24235329031944275,0.24943767488002777,0.25057321786880493
1,fu:5010a05c,fu:3306f113,protein_protein_interaction,compound,0.16478678584098816,0.16830648481845856,0.15816958248615265,0.1655140221118927,0.16715702414512634
1,fu:639267b9,fu:5d795275,protein_protein_interaction,activation,0.19940781593322754,0.20237693190574646,0.19474320113658905,0.20014601945877075,0.20036515593528748
1,fu:639267b9,fu:96f39533,protein_protein_interaction,activation,0.11082516610622406,0.1112896278500557,0.1097860112786293,0.11114639788866043,0.11107861250638962
1,fu:cd063ff0,fu:42758e63,protein_protein_interaction,phosphorylation,0.1243378147482872,0.12577320635318756,0.12155218422412872,0.12484559416770935,0.12518027424812317
1,fu:57402cbc,fu:ae916742,protein_protein_interaction,activation,0.19942335784435272,0.20078212022781372,0.1969020813703537,0.19993489980697632,0.20007431507110596
1,fu:04aa3206,fu:ae916742,protein_protein_interaction,activation,0.19942335784435272,0.20078212022781372,0.1969020813703537,0.19993489980697632,0.20007431507110596
1,fu:994f289b,fu:47df25a3,protein_protein_interaction,,0.32972002029418945,0.3340018689632416,0.3170759081840515,0.33413609862327576,0.3336661756038666
1,fu:47df25a3,fu:c888309f,protein_protein_interaction,activation,0.33108237385749817,0.3352164328098297,0.3228064477443695,0.3326789140701294,0.3336276710033417
1,fu:47df25a3,fu:639267b9,protein_protein_interaction,activation|indirect effect,0.33204925060272217,0.33499449491500854,0.32488805055618286,0.33421728014945984,0.33409711718559265
1,fu:c561a985,fu:c1f44866,protein_protein_interaction,activation,0.33053454756736755,0.33398324251174927,0.3200339376926422,0.33437657356262207,0.3337444067001343
1,fu:c1f44866,fu:76a1c54d,protein_protein_interaction,activation,0.24776220321655273,0.2525593638420105,0.2384781837463379,0.24966590106487274,0.2503453493118286
1,fu:c888309f,fu:57402cbc,protein_protein_interaction,activation,0.19917991757392883,0.20090006291866302,0.19610705971717834,0.19954976439476013,0.20016273856163025
1,fu:76a1c54d,fu:23393f96,protein_protein_interaction,activation|indirect effect,0.1994578093290329,0.20073138177394867,0.1973067671060562,0.1996610164642334,0.20013205707073212
