node_id,layer,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
RASGRF1,1,-0.10299462080001831,0.14616431295871735,0.10089374333620071,0.04675332456827164,-0.009578049182891846,-0.24225854873657227,0.06319420784711838,0.06485921889543533,0.05263650417327881,0.043599873781204224,0.20011918246746063,0.18739460408687592,0.17204372584819794,-0.023578107357025146,-0.3821014165878296,0.1352635771036148,-0.22368288040161133,0.07281755656003952,0.01654234528541565,0.172422856092453,0.04884961619973183,-0.04906278848648071,-0.0326421856880188,-0.05610382556915283,-0.09408384561538696,-0.21845197677612305,0.08305134624242783,-0.04110342264175415,-0.06046372652053833,-0.06987470388412476,0.2044442892074585,0.07025665789842606,-0.16729402542114258,-0.03530317544937134,-0.024018287658691406,-0.003392338752746582,0.1204131692647934,-0.016564011573791504,-0.10894596576690674,0.19445575773715973,0.16219478845596313,-0.014370977878570557,-0.162653386592865,-0.0458185076713562,-0.22412550449371338,-0.10019183158874512,0.018930770456790924,0.1772933453321457,0.07502848654985428,-0.0784415602684021,0.1815996766090393,0.0023620796855539083,-0.0856674313545227,-0.16375553607940674,-0.07868683338165283,-0.03100985288619995,-0.16579711437225342,-0.0035150647163391113,-0.010246872901916504,-0.06448584794998169,-0.0529559850692749,0.11455648392438889,0.0572366937994957,-0.02586531639099121
RASGRF2,1,-0.10968285799026489,0.15408405661582947,0.08670905977487564,0.038722582161426544,0.0090557262301445,-0.23217302560806274,0.04731186479330063,0.07381225377321243,0.05375702679157257,0.03896435350179672,0.19246624410152435,0.19568808376789093,0.17494440078735352,-0.01954585313796997,-0.37646234035491943,0.13133502006530762,-0.22121238708496094,0.07689675688743591,0.01258852332830429,0.15521477162837982,0.026012089103460312,-0.024585247039794922,-0.020023047924041748,-0.04953998327255249,-0.10842818021774292,-0.21682429313659668,0.07881776988506317,-0.03387552499771118,-0.07061082124710083,-0.07552534341812134,0.18448251485824585,0.08132461458444595,-0.1584821343421936,-0.03769606351852417,-0.016546785831451416,-0.0005181431770324707,0.12195627391338348,-0.022755324840545654,-0.10900706052780151,0.20336690545082092,0.15897811949253082,-0.013411521911621094,-0.16608941555023193,-0.044801950454711914,-0.22093713283538818,-0.09605634212493896,0.030372818931937218,0.16702236235141754,0.06845971941947937,-0.06818932294845581,0.1756223738193512,0.006607297342270613,-0.08032476902008057,-0.1557302474975586,-0.06706196069717407,-0.05010288953781128,-0.15919971466064453,-0.00286865234375,-0.009906768798828125,-0.07537758350372314,-0.03711622953414917,0.10576695203781128,0.05213310569524765,-0.029728055000305176
fu:f41186cd,1,0.009433041326701641,0.06264231353998184,0.0036241915076971054,-0.010639667510986328,-0.02346515655517578,-0.04916173219680786,0.047527626156806946,0.001488846610300243,-0.012748897075653076,0.021590739488601685,0.013115515001118183,-0.01649397611618042,-0.01545649766921997,-0.029840826988220215,-0.02368539571762085,0.016136888414621353,-0.02820497751235962,-0.026017844676971436,-0.0214998722076416,-0.011143386363983154,-0.009095251560211182,0.008919646963477135,-0.011701405048370361,0.02308550477027893,-0.012701630592346191,-0.028772413730621338,0.046844229102134705,0.08063729852437973,0.010104576125741005,-0.0003851652145385742,-0.017636477947235107,0.008777298964560032,-0.00015276670455932617,0.020170040428638458,-0.014335274696350098,-0.02477443218231201,0.020160119980573654,0.022565584629774094,0.004031667020171881,0.01226656325161457,0.027919413521885872,-0.03422313928604126,0.023699283599853516,-0.013817310333251953,-0.053923189640045166,0.054466988891363144,-0.007691860198974609,-0.018037736415863037,-0.010869204998016357,0.02995014563202858,-0.032700300216674805,0.006468385457992554,-0.012167215347290039,-0.039300382137298584,-0.0040953755378723145,-0.01490694284439087,0.06344468146562576,-0.033302128314971924,0.034752316772937775,-0.022784829139709473,0.0072830067947506905,0.02188154309988022,0.021698683500289917,0.006883662659674883
DUSP10,1,-0.09246206283569336,0.17708010971546173,0.1342982053756714,-0.00949782133102417,0.022532552480697632,-0.2266659140586853,0.059293631464242935,0.06388553977012634,0.04955250769853592,0.04962934926152229,0.22551168501377106,0.18606385588645935,0.18099360167980194,-0.005483269691467285,-0.3687084913253784,0.1471787542104721,-0.20812982320785522,0.06326829642057419,0.037252794951200485,0.1482505053281784,0.03965913876891136,-0.028166234493255615,-0.026176512241363525,-0.04623258113861084,-0.12065285444259644,-0.2170546054840088,0.04113421589136124,-0.055431485176086426,-0.08348608016967773,-0.07916891574859619,0.2089511901140213,0.08784698694944382,-0.18381857872009277,-0.056147217750549316,-0.047114789485931396,0.012635082937777042,0.07985418289899826,-0.020714402198791504,-0.13204097747802734,0.1800885647535324,0.17496326565742493,-0.03730654716491699,-0.19122087955474854,-0.05797237157821655,-0.23456454277038574,-0.11048048734664917,0.03559647873044014,0.20434023439884186,0.061023592948913574,-0.08470380306243896,0.18428011238574982,0.013184459879994392,-0.08878958225250244,-0.17675352096557617,-0.08443230390548706,-0.07134449481964111,-0.18912363052368164,-0.005360245704650879,-0.008048474788665771,-0.07080543041229248,-0.03163629770278931,0.12496328353881836,0.03521633520722389,-0.05023765563964844
DUSP1,1,-0.089397132396698,0.18055908381938934,0.14668554067611694,0.010097820311784744,0.090276800096035,-0.23162269592285156,0.08701054751873016,0.06612446904182434,0.08490350842475891,0.10099324584007263,0.23814980685710907,0.17413483560085297,0.18963772058486938,-0.004609465599060059,-0.3658532500267029,0.1664094179868698,-0.21539437770843506,0.07439330965280533,0.049701765179634094,0.14956645667552948,0.02271144464612007,-0.014085054397583008,0.007261311635375023,-0.00020748376846313477,-0.19305652379989624,-0.16574358940124512,0.05579996481537819,-0.1094866394996643,-0.07156038284301758,-0.12413203716278076,0.29770877957344055,0.13777855038642883,-0.20970141887664795,-0.0494840145111084,-0.10004067420959473,0.04372011125087738,0.01338564045727253,-0.014633774757385254,-0.097034752368927,0.15707647800445557,0.17671328783035278,-0.040415406227111816,-0.20430612564086914,-0.06377094984054565,-0.29846012592315674,-0.12425750494003296,0.03542312979698181,0.19700533151626587,0.043783411383628845,-0.08530020713806152,0.1332019567489624,0.028145069256424904,-0.07570934295654297,-0.18960177898406982,-0.09670031070709229,-0.03648674488067627,-0.25886452198028564,0.06316982209682465,-0.019682586193084717,-0.06137329339981079,-0.04688781499862671,0.07792249321937561,0.05058823898434639,-0.07506269216537476
DUSP2,1,-0.035301804542541504,0.1400463730096817,0.05786542594432831,0.015302841551601887,0.031983837485313416,-0.1514221429824829,0.07304322719573975,0.021257512271404266,0.03756292909383774,0.08559681475162506,0.11129219830036163,0.08271102607250214,0.09637217223644257,-0.03754627704620361,-0.2087579369544983,0.09402598440647125,-0.13688308000564575,0.03444730490446091,0.01345062255859375,0.05440865084528923,0.006429602392017841,0.03001181222498417,0.005030020140111446,0.04179743677377701,-0.11825203895568848,-0.10390239953994751,0.04369653761386871,-0.03790616989135742,-0.03897887468338013,-0.0866202712059021,0.16023384034633636,0.09405964612960815,-0.10258150100708008,0.02016269415616989,-0.07319414615631104,-0.0004191398620605469,0.03211560845375061,0.009435582906007767,-0.017877280712127686,0.07650154829025269,0.10251414775848389,-0.03342771530151367,-0.08145636320114136,-0.019195199012756348,-0.1911628246307373,-0.05553382635116577,0.013334201648831367,0.07682617008686066,0.007778302300721407,-0.01625359058380127,0.02645290084183216,0.004074875731021166,-0.03232145309448242,-0.1103140115737915,-0.0593450665473938,-0.015421152114868164,-0.1199796199798584,0.029615182429552078,0.018548211082816124,-0.027930140495300293,-0.019876718521118164,0.019136231392621994,0.04783938080072403,-0.02694094181060791
DUSP4,1,-0.09408104419708252,0.16703736782073975,0.13639892637729645,0.024469848722219467,0.0934625044465065,-0.22213095426559448,0.07957669347524643,0.07180067896842957,0.0609302744269371,0.07976306229829788,0.23088571429252625,0.1894364058971405,0.18510785698890686,-0.02174520492553711,-0.36039650440216064,0.15443933010101318,-0.20583027601242065,0.06564987450838089,0.04913387820124626,0.1308974325656891,-0.008553504943847656,0.0006194262532517314,-0.006179749965667725,-0.0343778133392334,-0.17765265703201294,-0.16684961318969727,0.06441004574298859,-0.09001201391220093,-0.08856886625289917,-0.11557650566101074,0.2612608075141907,0.12256235629320145,-0.18569523096084595,-0.05564308166503906,-0.08476412296295166,0.048868004232645035,0.04289742186665535,-0.029814422130584717,-0.08964025974273682,0.16610108315944672,0.18060165643692017,-0.043653011322021484,-0.2054436206817627,-0.05194658041000366,-0.26645469665527344,-0.11126542091369629,0.05978426709771156,0.21472769975662231,0.07229109853506088,-0.08570444583892822,0.16093230247497559,0.0027816046494990587,-0.06895112991333008,-0.18164783716201782,-0.07826626300811768,-0.031095027923583984,-0.2512192726135254,0.057512905448675156,-0.01535487174987793,-0.0781780481338501,-0.035867929458618164,0.09039617329835892,0.05078204721212387,-0.06819075345993042
DUSP5,1,-0.08537423610687256,0.14893528819084167,0.12858770787715912,0.026224184781312943,0.10436180979013443,-0.1972554326057434,0.05458628758788109,0.0787806287407875,0.07872983813285828,0.08161895722150803,0.23569358885288239,0.17701399326324463,0.16171927750110626,-0.006817281246185303,-0.3570936322212219,0.16047047078609467,-0.20340430736541748,0.08215454965829849,0.06582681834697723,0.14747005701065063,-0.01260286569595337,-0.00837939977645874,0.013294972479343414,-0.0006080269813537598,-0.18653810024261475,-0.14516711235046387,0.0496445931494236,-0.12478452920913696,-0.08045881986618042,-0.11985510587692261,0.28256189823150635,0.11345444619655609,-0.19421380758285522,-0.07892829179763794,-0.08779662847518921,0.05018182471394539,0.03802014887332916,-0.039204537868499756,-0.09619933366775513,0.18506161868572235,0.1643521785736084,-0.04450923204421997,-0.19379150867462158,-0.05614328384399414,-0.26754820346832275,-0.12128978967666626,0.05044788122177124,0.20896895229816437,0.04537191987037659,-0.08563262224197388,0.13235218822956085,0.031474605202674866,-0.06795454025268555,-0.17989450693130493,-0.08781665563583374,-0.044740498065948486,-0.24958103895187378,0.0766414999961853,-0.017346680164337158,-0.076751708984375,-0.03833508491516113,0.07080744951963425,0.054317936301231384,-0.08382493257522583
DUSP6,1,-0.07202154397964478,0.18986327946186066,0.161379873752594,-0.010728716850280762,0.04828527942299843,-0.24334299564361572,0.10906423628330231,0.05689241364598274,0.06601497530937195,0.0718984454870224,0.24323882162570953,0.1823698878288269,0.17568928003311157,-0.020117461681365967,-0.3596571087837219,0.15061762928962708,-0.2187042236328125,0.06128136068582535,0.019082391634583473,0.1529865264892578,0.036673977971076965,-0.028566420078277588,-0.022984802722930908,-0.03547853231430054,-0.15213161706924438,-0.21138250827789307,0.06391836702823639,-0.07683813571929932,-0.08033907413482666,-0.09710758924484253,0.23451603949069977,0.11600122600793839,-0.17993831634521484,-0.053993046283721924,-0.06937646865844727,-0.00915217399597168,0.05835172161459923,-0.016737043857574463,-0.1196821928024292,0.14156560599803925,0.1766713708639145,-0.04005622863769531,-0.2048007845878601,-0.03531605005264282,-0.2416098713874817,-0.1342976689338684,0.01709437556564808,0.2100856453180313,0.05466131493449211,-0.09171360731124878,0.15521088242530823,0.02826051227748394,-0.07616233825683594,-0.18667608499526978,-0.09237062931060791,-0.06076765060424805,-0.2335824966430664,0.021994687616825104,-0.029654264450073242,-0.0800713300704956,-0.05073493719100952,0.07435577362775803,0.04424144700169563,-0.052440524101257324
DUSP7,1,-0.09320396184921265,0.15815304219722748,0.14772649109363556,0.005787484813481569,0.07034407556056976,-0.23692810535430908,0.08056524395942688,0.05560038611292839,0.07220753282308578,0.05500626936554909,0.2428128868341446,0.17210468649864197,0.19318319857120514,-0.00847327709197998,-0.376168429851532,0.1529691517353058,-0.21423721313476562,0.050383374094963074,0.053620170801877975,0.1533295214176178,0.03130736202001572,-0.03350633382797241,-0.01714247465133667,-0.05355137586593628,-0.14869695901870728,-0.1861405372619629,0.0622662678360939,-0.07025688886642456,-0.07575851678848267,-0.0927780270576477,0.2470710575580597,0.11047400534152985,-0.20748060941696167,-0.052933692932128906,-0.079265296459198,0.038200341165065765,0.03466406837105751,-0.009485125541687012,-0.10260862112045288,0.1638626903295517,0.18530155718326569,-0.03923797607421875,-0.20896083116531372,-0.0556793212890625,-0.2686488628387451,-0.11989253759384155,0.048398207873106,0.21637171506881714,0.0575701966881752,-0.08559638261795044,0.15770743787288666,0.000755260291043669,-0.09250164031982422,-0.1829754114151001,-0.0952993631362915,-0.042885780334472656,-0.24067747592926025,0.02486429549753666,0.004142725374549627,-0.056039512157440186,-0.051139771938323975,0.11985087394714355,0.04705708101391792,-0.06249290704727173
