#node	identifier	node_degree
GPR174	9606.ENSP00000494310	0
GPRASP1	9606.ENSP00000498934	0
GRASP	9606.ENSP00000293662	0
GSTM3	9606.ENSP00000354357	1
GTF2A2	9606.ENSP00000379372	1
GTF3C6	9606.ENSP00000357863	1
H2AC14	9606.ENSP00000328484	6
H3C12	9606.ENSP00000352252	9
HACD3	9606.ENSP00000261875	3
HAS2	9606.ENSP00000306991	0
HAUS6	9606.ENSP00000369871	2
HAVCR2	9606.ENSP00000312002	1
HCST	9606.ENSP00000246551	0
HEATR6	9606.ENSP00000184956	0
HELLS	9606.ENSP00000377601	1
HIGD2A	9606.ENSP00000274787	0
HLF	9606.ENSP00000226067	1
HMGB2	9606.ENSP00000296503	0
HMGCR	9606.ENSP00000287936	0
HMGN3	9606.ENSP00000482613	0
HPGD	9606.ENSP00000296522	0
HPGDS	9606.ENSP00000295256	1
HSH2D	9606.ENSP00000482604	0
HSPE1	9606.ENSP00000233893	1
ICAM1	9606.ENSP00000264832	9
ICOS	9606.ENSP00000319476	2
ID1	9606.ENSP00000365280	0
ID2	9606.ENSP00000234091	0
IDH1	9606.ENSP00000390265	1
IDS	9606.ENSP00000339801	0
IFI44L	9606.ENSP00000359787	0
IFITM1	9606.ENSP00000330825	0
IGF1R	9606.ENSP00000497069	5
IGF2BP2	9606.ENSP00000410242	0
IL12RB2	9606.ENSP00000262345	0
IL1B	9606.ENSP00000263341	5
IL1R1	9606.ENSP00000386380	4
IL1RAP	9606.ENSP00000314807	4
IL1RL1	9606.ENSP00000233954	3
IL2RA	9606.ENSP00000369293	3
INTS7	9606.ENSP00000355961	1
IQGAP1	9606.ENSP00000268182	2
IRAK3	9606.ENSP00000261233	0
IRF1	9606.ENSP00000245414	1
ITGAL	9606.ENSP00000349252	2
ITGB3	9606.ENSP00000452786	6
JAG1	9606.ENSP00000254958	0
JAKMIP2	9606.ENSP00000479248	0
JCHAIN	9606.ENSP00000440066	0
KCNA3	9606.ENSP00000358784	0
KCNK5	9606.ENSP00000352527	0
KCNT2	9606.ENSP00000294725	0
KDM6B	9606.ENSP00000254846	1
KIF11	9606.ENSP00000260731	0
KLF10	9606.ENSP00000285407	0
KLF11	9606.ENSP00000307023	0
KLF2	9606.ENSP00000248071	0
KLF4	9606.ENSP00000363804	0
KLRG1	9606.ENSP00000266551	1
KNL1	9606.ENSP00000335463	6
KNSTRN	9606.ENSP00000249776	0
KNTC1	9606.ENSP00000328236	0
KYNU	9606.ENSP00000264170	0
L3MBTL3	9606.ENSP00000357118	0
LGALS1	9606.ENSP00000215909	1
LIMCH1	9606.ENSP00000425631	0
LIN7A	9606.ENSP00000447488	1
LMNA	9606.ENSP00000357283	2
LPXN	9606.ENSP00000431284	1
LRIF1	9606.ENSP00000358778	0
LRRFIP1	9606.ENSP00000375857	0
LRRN1	9606.ENSP00000314901	0
LSM3	9606.ENSP00000302160	0
LYPD6B	9606.ENSP00000387077	0
LYPLA1	9606.ENSP00000320043	0
LYZ	9606.ENSP00000261267	0
MAFF	9606.ENSP00000442060	0
MAGI2	9606.ENSP00000346151	1
MAMDC2	9606.ENSP00000366387	0
MAN1A1	9606.ENSP00000357453	0
MAPRE3	9606.ENSP00000233121	1
MBOAT2	9606.ENSP00000302177	0
MCL1	9606.ENSP00000358022	1
MCM10	9606.ENSP00000418268	15
MCM2	9606.ENSP00000265056	14
MCM3	9606.ENSP00000480987	17
MCM4	9606.ENSP00000262105	15
MCM5	9606.ENSP00000216122	13
MCM6	9606.ENSP00000264156	15
MCOLN3	9606.ENSP00000359621	0
MCUB	9606.ENSP00000378145	0
METTL24	9606.ENSP00000344071	0
MFAP3	9606.ENSP00000322956	1
MFAP4	9606.ENSP00000378957	2
MFAP5	9606.ENSP00000352455	2
MICAL2	9606.ENSP00000256194	0
MID2	9606.ENSP00000262843	1
MIDN	9606.ENSP00000300952	1
MINDY3	9606.ENSP00000277632	1
MINPP1	9606.ENSP00000361064	0
MIPOL1	9606.ENSP00000333539	0
MLF1	9606.ENSP00000376568	3
MLLT11	9606.ENSP00000357917	0
MND1	9606.ENSP00000240488	1
MORN2	9606.ENSP00000386563	0
MPDU1	9606.ENSP00000250124	0
MPDZ	9606.ENSP00000320006	1
MRPL18	9606.ENSP00000356001	0
MSMO1	9606.ENSP00000261507	0
MTERF3	9606.ENSP00000287025	1
MTHFD1	9606.ENSP00000498336	1
MYO1F	9606.ENSP00000494550	0
MYO1G	9606.ENSP00000258787	0
NAMPT	9606.ENSP00000222553	0
NCF4	9606.ENSP00000380334	0
NCKAP1	9606.ENSP00000354251	2
NDUFA2	9606.ENSP00000252102	2
NDUFAF1	9606.ENSP00000260361	1
NEGR1	9606.ENSP00000350364	0
NET1	9606.ENSP00000347134	0
NEU1	9606.ENSP00000364782	0
NFIA	9606.ENSP00000360231	0
NFIL3	9606.ENSP00000297689	2
NINJ1	9606.ENSP00000364595	0
NIPSNAP3A	9606.ENSP00000363899	0
NLGN1	9606.ENSP00000392500	4
NLN	9606.ENSP00000370372	0
NMI	9606.ENSP00000243346	1
NR3C2	9606.ENSP00000350815	1
NR4A1	9606.ENSP00000440864	1
NR4A2	9606.ENSP00000344479	0
NR4A3	9606.ENSP00000482027	0
NUDCD2	9606.ENSP00000304854	0
NUDT5	9606.ENSP00000419628	0
NUP210	9606.ENSP00000254508	1
NUP43	9606.ENSP00000342262	1
NUSAP1	9606.ENSP00000499238	0
ORC1	9606.ENSP00000360623	12
OTUD6B	9606.ENSP00000285420	0
PAICS	9606.ENSP00000382595	0
PAK1IP1	9606.ENSP00000368887	0
PAPSS1	9606.ENSP00000265174	1
PARPBP	9606.ENSP00000440850	0
PCDH17	9606.ENSP00000367151	0
PCDH9	9606.ENSP00000367096	0
PCLAF	9606.ENSP00000300035	4
PCMT1	9606.ENSP00000497225	0
PCNA	9606.ENSP00000368458	14
PCTP	9606.ENSP00000460437	0
PDCD1LG2	9606.ENSP00000380855	2
PDE1C	9606.ENSP00000379496	0
PDE7A	9606.ENSP00000385632	0
PDK1	9606.ENSP00000376352	1
PDLIM1	9606.ENSP00000360305	2
PDZK1IP1	9606.ENSP00000294338	0
PDZRN4	9606.ENSP00000384197	0
PER1	9606.ENSP00000314420	0
PEX12	9606.ENSP00000482609	2
PGM5	9606.ENSP00000379678	1
PHF6	9606.ENSP00000329097	0
PIEZO2	9606.ENSP00000421377	0
PIGX	9606.ENSP00000296333	0
PIK3R6	9606.ENSP00000480157	1
PLAG1	9606.ENSP00000325546	0
PLAU	9606.ENSP00000361850	4
PLCL1	9606.ENSP00000402861	0
PLEK	9606.ENSP00000234313	0
PLK3	9606.ENSP00000361275	0
PLK4	9606.ENSP00000270861	2
POGLUT2	9606.ENSP00000365172	0
POLE2	9606.ENSP00000216367	13
POLR2H	9606.ENSP00000415536	6
PPIF	9606.ENSP00000225174	0
PPP1R16B	9606.ENSP00000299824	0
PRDX3	9606.ENSP00000298510	0
PREPL	9606.ENSP00000386543	0
PREX2	9606.ENSP00000288368	0
PRKCH	9606.ENSP00000329127	0
PRKD1	9606.ENSP00000390535	0
PRKG2	9606.ENSP00000264399	0
PRMT3	9606.ENSP00000331879	1
PRNP	9606.ENSP00000399376	1
PRR5L	9606.ENSP00000368144	0
PSMA4	9606.ENSP00000044462	4
PSMA6	9606.ENSP00000261479	3
PSMB6	9606.ENSP00000270586	3
PTBP3	9606.ENSP00000414921	0
PTGER2	9606.ENSP00000245457	1
PTGER4	9606.ENSP00000302846	1
PTGS1	9606.ENSP00000354612	1
PTGS2	9606.ENSP00000356438	2
PTK2	9606.ENSP00000341189	6
PTPN14	9606.ENSP00000355923	0
PTPN9	9606.ENSP00000482732	0
PTPRD	9606.ENSP00000370593	1
PUM3	9606.ENSP00000380982	0
PUS7	9606.ENSP00000417402	0
PUS7L	9606.ENSP00000343081	0
RAB27B	9606.ENSP00000262094	0
RAB31	9606.ENSP00000461945	0
RAD17	9606.ENSP00000426191	7
RAD51	9606.ENSP00000493712	12
RAD51AP1	9606.ENSP00000228843	9
RAD51C	9606.ENSP00000336701	9
RALA	9606.ENSP00000005257	2
RALB	9606.ENSP00000272519	1
RANBP1	9606.ENSP00000401564	1
RASGEF1B	9606.ENSP00000264400	1
RASGRP3	9606.ENSP00000385886	0
RASGRP4	9606.ENSP00000479844	0
RASSF6	9606.ENSP00000340578	0
RBL1	9606.ENSP00000362768	0
REEP5	9606.ENSP00000368959	0
RFC4	9606.ENSP00000376272	9
RGCC	9606.ENSP00000368664	0
RMI1	9606.ENSP00000317039	10
RNF144A	9606.ENSP00000321330	0
RNF180	9606.ENSP00000373752	0
RORA	9606.ENSP00000261523	0
RPP40	9606.ENSP00000369391	0
RPS6KA6	9606.ENSP00000262752	0
RRM1	9606.ENSP00000300738	0
RRP12	9606.ENSP00000446184	1
RTL5	9606.ENSP00000476792	0
RXFP1	9606.ENSP00000405841	0
RYR3	9606.ENSP00000489262	0
S100A10	9606.ENSP00000357801	2
S100A11	9606.ENSP00000271638	1
S100A16	9606.ENSP00000357695	0
SAMHD1	9606.ENSP00000493536	0
SAMSN1	9606.ENSP00000285670	0
SCD	9606.ENSP00000359380	2
SCN9A	9606.ENSP00000386306	1
SDK2	9606.ENSP00000376421	0
SELENOP	9606.ENSP00000425915	0
SELP	9606.ENSP00000263686	2
SELPLG	9606.ENSP00000228463	3
SEPTIN1	9606.ENSP00000324511	0
SERPINE1	9606.ENSP00000223095	3
SERTAD1	9606.ENSP00000350633	0
SETBP1	9606.ENSP00000497406	0
SGMS2	9606.ENSP00000378176	0
SGO1	9606.ENSP00000263753	1
SH3BP4	9606.ENSP00000386862	0
SHMT2	9606.ENSP00000333667	1
SKIL	9606.ENSP00000415243	0
SKP2	9606.ENSP00000274255	4
SLC27A2	9606.ENSP00000267842	1
SLC4A4	9606.ENSP00000393557	0
SLF1	9606.ENSP00000265140	3
SMAD7	9606.ENSP00000262158	2
SMC2	9606.ENSP00000286398	2
SMC3	9606.ENSP00000354720	5
SMC6	9606.ENSP00000404092	2
SNUPN	9606.ENSP00000454852	1
SNX9	9606.ENSP00000376024	1
SOCS3	9606.ENSP00000330341	4
SORT1	9606.ENSP00000256637	1
SOS1	9606.ENSP00000384675	8
SPARC	9606.ENSP00000231061	2
SPDL1	9606.ENSP00000265295	0
SPP1	9606.ENSP00000378517	3
SQLE	9606.ENSP00000265896	0
SRPRB	9606.ENSP00000418401	0
ST6GAL2	9606.ENSP00000386942	0
STAP1	9606.ENSP00000265404	0
STEAP2	9606.ENSP00000378119	0
STON2	9606.ENSP00000450857	0
STRIP2	9606.ENSP00000249344	0
STX2	9606.ENSP00000376178	1
SYAP1	9606.ENSP00000369500	0
TAFA2	9606.ENSP00000393987	0
TAS2R60	9606.ENSP00000327724	0
TBCE	9606.ENSP00000439170	0
TCTEX1D1	9606.ENSP00000282670	0
TEC	9606.ENSP00000370912	2
TEX15	9606.ENSP00000493555	0
TEX30	9606.ENSP00000365200	0
THSD7A	9606.ENSP00000406482	0
TICRR	9606.ENSP00000268138	2
TIMM21	9606.ENSP00000169551	0
TIMM8B	9606.ENSP00000438455	0
TIMP1	9606.ENSP00000218388	5
TLE4	9606.ENSP00000365720	0
TMEM164	9606.ENSP00000361138	0
TMEM97	9606.ENSP00000226230	0
TMTC1	9606.ENSP00000442046	0
TNFAIP3	9606.ENSP00000481570	0
TNFRSF10D	9606.ENSP00000310263	0
TNFSF13B	9606.ENSP00000365048	1
TOB1	9606.ENSP00000427695	0
TPM4	9606.ENSP00000494125	1
TRIM16	9606.ENSP00000497185	1
TSC22D2	9606.ENSP00000354543	2
TSC22D3	9606.ENSP00000361458	1
TSEN15	9606.ENSP00000355299	0
TSPAN2	9606.ENSP00000358529	0
TTC28	9606.ENSP00000381003	2
TTK	9606.ENSP00000358813	1
TYMS	9606.ENSP00000315644	2
UCHL1	9606.ENSP00000284440	0
UCHL5	9606.ENSP00000356421	4
UGP2	9606.ENSP00000338703	0
UHRF1	9606.ENSP00000479617	5
UTS2	9606.ENSP00000054668	0
VKORC1L1	9606.ENSP00000403077	0
VPS25	9606.ENSP00000253794	1
VPS26C	9606.ENSP00000311399	0
VPS45	9606.ENSP00000495563	0
WARS1	9606.ENSP00000347495	0
WDFY3	9606.ENSP00000295888	1
WDHD1	9606.ENSP00000353793	12
WDR12	9606.ENSP00000261015	0
WDR49	9606.ENSP00000311343	0
WDR76	9606.ENSP00000263795	4
XPO1	9606.ENSP00000384863	4
XRCC2	9606.ENSP00000352271	8
YAE1	9606.ENSP00000223273	0
ZBTB8OS	9606.ENSP00000417677	0
ZDBF2	9606.ENSP00000497308	0
ZEB2	9606.ENSP00000487174	0
ZFP36	9606.ENSP00000471239	0
ZGRF1	9606.ENSP00000424737	0
ZHX2	9606.ENSP00000314709	0
ZMAT3	9606.ENSP00000311221	0
ZNF165	9606.ENSP00000366542	0
ZNF253	9606.ENSP00000468720	0
ZNF304	9606.ENSP00000401642	0
ZNF331	9606.ENSP00000253144	0
ZNF385D	9606.ENSP00000281523	0
ZNF532	9606.ENSP00000338217	0
ZNF57	9606.ENSP00000303696	0
ZNF730	9606.ENSP00000472959	0
ZNF738	9606.ENSP00000311957	0
ZNF804B	9606.ENSP00000329638	0
ZNF814	9606.ENSP00000410545	0
ZNF845	9606.ENSP00000388311	0
ZNF93	9606.ENSP00000342002	0
ZNHIT6	9606.ENSP00000359606	0
