object, label
http://purl.obolibrary.org/obo/GO_0005737,"cytoplasm"
http://purl.obolibrary.org/obo/GO_0031965,"nuclear membrane"
http://purl.obolibrary.org/obo/GO_0008270,"zinc ion binding"
http://purl.obolibrary.org/obo/GO_0060071,"Wnt signaling pathway, planar cell polarity pathway"
