Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000111961,SASH1,-0.699966385,0.000499608
ENSG00000108352,RAPGEFL1,-0.700865259,0.020252149
ENSG00000214655,ZSWIM8,-0.704767434,0.018872772
ENSG00000140320,BAHD1,-0.705310487,0.037457313
ENSG00000130024,PHF10,-0.706537522,0.0030447
ENSG00000105821,DNAJC2,-0.706856661,0.000575326
ENSG00000165113,GKAP1,-0.708153385,0.010085617
ENSG00000049249,TNFRSF9,-0.708728823,0.007738125
ENSG00000164134,NAA15,-0.708966452,0.000110304
ENSG00000167733,HSD11B1L,-0.710841876,0.02535879
ENSG00000144136,SLC20A1,-0.71386596,0.00456336
ENSG00000129467,ADCY4,-0.714110461,0.000770525
ENSG00000198369,SPRED2,-0.714721078,0.004193283
ENSG00000143153,ATP1B1,-0.715605018,0.001221453
ENSG00000213930,GALT,-0.715900656,0.000920587
ENSG00000088766,CRLS1,-0.71675768,0.007360137
ENSG00000278540,ACACA,-0.719009403,0.007535289
ENSG00000215252,GOLGA8B,-0.719504555,0.009990145
ENSG00000109684,CLNK,-0.720124415,0.017506254
ENSG00000071242,RPS6KA2,-0.720780335,0.049151864
ENSG00000116991,SIPA1L2,-0.721820306,0.00164983
ENSG00000136824,SMC2,-0.72207351,0.030719431
ENSG00000126777,KTN1,-0.722408025,0.000412924
ENSG00000117394,SLC2A1,-0.724807609,0.005950061
ENSG00000115541,HSPE1,-0.726643184,0.008173075
ENSG00000196549,MME,-0.728386511,0.021329293
ENSG00000125968,ID1,-0.729620874,0.005474217
ENSG00000113810,SMC4,-0.729707167,0.006600675
ENSG00000109099,PMP22,-0.730544254,0.031386206
ENSG00000066279,ASPM,-0.733073974,0.01758274
ENSG00000163029,SMC6,-0.734623277,0.009235588
ENSG00000136891,TEX10,-0.735097727,0.021560365
ENSG00000060982,BCAT1,-0.735625795,0.001076371
ENSG00000185513,L3MBTL1,-0.738827972,0.001274107
ENSG00000103485,QPRT,-0.740494234,0.006220521
ENSG00000162650,ATXN7L2,-0.740498396,0.040009268
ENSG00000186409,CCDC30,-0.744935216,0.023896584
ENSG00000067369,TP53BP1,-0.74776027,0.009951623
ENSG00000005243,COPZ2,-0.74790733,0.01011547
ENSG00000132254,ARFIP2,-0.748215023,0.000391528
ENSG00000123983,ACSL3,-0.748799511,0.000234418
ENSG00000084764,MAPRE3,-0.75044984,0.034975796
ENSG00000118762,PKD2,-0.751022679,0.00359494
ENSG00000108557,RAI1,-0.753299343,0.001347332
ENSG00000256591,ENSG00000256591,-0.754010881,0.041369021
ENSG00000101104,PABPC1L,-0.75545959,0.030232716
ENSG00000172367,PDZD3,-0.756356528,0.006204494
ENSG00000101384,JAG1,-0.764388438,0.024759435
ENSG00000122378,PRXL2A,-0.764676557,0.032864683
ENSG00000168301,KCTD6,-0.765458799,0.041808165
ENSG00000132478,UNK,-0.769433815,0.012698464
ENSG00000170425,ADORA2B,-0.775711309,9.62E-05
ENSG00000102554,KLF5,-0.777637472,0.00101849
ENSG00000128050,PAICS,-0.777718667,0.006200359
ENSG00000025156,HSF2,-0.780478838,0.008623498
ENSG00000188211,NCR3LG1,-0.782017584,0.010660483
ENSG00000068654,POLR1A,-0.782719953,0.007465748
ENSG00000197162,ZNF785,-0.783831504,0.000702418
ENSG00000184083,FAM120C,-0.784180245,0.042513737
ENSG00000077782,FGFR1,-0.784952536,0.013463078
ENSG00000163281,GNPDA2,-0.78559314,0.032316309
ENSG00000140416,TPM1,-0.785675081,0.006462092
ENSG00000122126,OCRL,-0.789052685,0.014223121
ENSG00000112983,BRD8,-0.790955922,0.022508131
