Source1,Source2,Weight_mean
bone infection,groin hernia,0.0963
bone infection,heart attack,0.0421667
bone infection,hepatitis a,0.0644444
bone infection,hepatitis b,0.0417222
bone infection,hepatitis c,0.0552
bone infection,hiatal hernia,0.0464375
bone infection,high blood pressure,0.0265
bone infection,high cholesterol,0.021875
bone infection,hiv/aids,0.0387083
bone infection,hives,0.10375
bone infection,hyperthyroidism,0.0449286
bone infection,hypoglycemia,0.0239167
bone infection,hyponatremia,0.0315
bone infection,hypothyroidism,0.0175
bone infection,insect bites and stings,0.0574167
bone infection,iron deficiency anemia,0.0365
bone infection,irritable bowel syndrome,0.0855
bone infection,kidney infection,0.112222
bone infection,kidney stone,0.106214
bone infection,liver cancer,0.0608571
bone infection,low back pain,0.0817778
bone infection,lung cancer,0.0438889
bone infection,lupus,0.0661875
bone infection,lyme disease,0.0726111
bone infection,major depression,0.0984
bone infection,melanoma,0.04725
bone infection,meningitis,0.07265
bone infection,middle ear infection,0.0748333
bone infection,migraine,0.0471429
bone infection,miscarriage,0.0586667
bone infection,mono,0.0846818
bone infection,multiple myeloma,0.0418
bone infection,multiple sclerosis,0.033125
bone infection,myasthenia gravis,0.0821667
bone infection,neutropenia,0.1044
bone infection,obesity,0.0516667
bone infection,osteoarthritis,0.04935
bone infection,osteoporosis,0.0551429
bone infection,ovarian cancer,0.0802143
bone infection,ovarian cyst,0.135
bone infection,pancreatitis,0.100417
bone infection,parkinson's disease,0.0318889
bone infection,pink eye,0.0988333
bone infection,plantar fasciitis,0.107083
bone infection,pleural effusion,0.072
bone infection,pneumonia,0.04935
bone infection,pneumothorax,0.0499286
bone infection,polycystic ovary syndrome,0.0917
bone infection,post traumatic stress disorder,0.0958
bone infection,prostate cancer,0.0531667
bone infection,psoriasis,0.069125
bone infection,psychosis,0.055
bone infection,pulmonary embolism,0.0498571
bone infection,pulmonary hypertension,0.0468
bone infection,retinal detachment,0.0121667
bone infection,rhabdomyolysis,0.03325
bone infection,rheumatoid arthritis,0.053875
bone infection,schizophrenia,0.0210833
bone infection,sciatica,0.104375
bone infection,seasonal allergies,0.03525
bone infection,sebaceous cyst,0.0844
bone infection,sepsis,0.0688
bone infection,shingles,0.0885
bone infection,sickle cell anemia,0.121786
bone infection,sinusitis,0.0665714
bone infection,sleep apnea,0.0449286
bone infection,spondylosis,0.0663125
bone infection,sprained ankle,0.1398
bone infection,sprained knee,0.0985
bone infection,sprained wrist,0.174167
bone infection,stomach flu,0.0599
bone infection,stomach ulcer,0.0836
bone infection,strep throat,0.0981667
bone infection,stroke,0.0776667
bone infection,tension headache,0.075125
bone infection,thoracic radiculopathy,0.132375
bone infection,thyroid cancer,0.0543333
bone infection,thyroid nodules,0.07025
bone infection,traumatic brain injury,0.0243333
bone infection,type 1 diabetes,0.0425714
bone infection,type 2 diabetes,0.0291667
bone infection,ulcerative colitis,0.0900714
bone infection,upper respiratory infection,0.0661
bone infection,urinary tract infection,0.0340385
bone infection,vitamin d deficiency,0.074
borderline personality disorder,brain tumor,0.067875
borderline personality disorder,bronchitis,0.073
borderline personality disorder,burn,0.17875
borderline personality disorder,cardiac arrest,0.0698125
borderline personality disorder,cardiomyopathy,0.0735
borderline personality disorder,carpal tunnel syndrome,0.142833
borderline personality disorder,cataracts,0.1925
borderline personality disorder,celiac disease,0.04975
borderline personality disorder,cervical cancer,0.145375
borderline personality disorder,cervical radiculopathy,0.1455
borderline personality disorder,chlamydia,0.06025
borderline personality disorder,cholangiocarcinoma,0.069
borderline personality disorder,cholecystitis,0.08375
borderline personality disorder,chronic kidney disease,0.0215
borderline personality disorder,chronic obstructive pulmonary disease,0.10725
borderline personality disorder,chronic pain,0.1207
borderline personality disorder,cirrhosis of the liver,0.0555
borderline personality disorder,colon cancer,0.0819167
borderline personality disorder,common cold,0.0125
borderline personality disorder,concussion,0.019
borderline personality disorder,coronary artery disease,0.179
borderline personality disorder,crohn's disease,0.07
borderline personality disorder,dementia,0.0567778
borderline personality disorder,diverticulitis,0.0696667
borderline personality disorder,diverticulosis,0.0585
borderline personality disorder,drug withdrawal,0.0561667
borderline personality disorder,ectopic pregnancy,0.0965
borderline personality disorder,encephalitis,0.0505
borderline personality disorder,encephalopathy,0.0904286
borderline personality disorder,endometrial cancer,0.02975
borderline personality disorder,endometriosis,0.1095
borderline personality disorder,epilepsy,0.122571
borderline personality disorder,esophageal cancer,0.03925
borderline personality disorder,fibroids,0.07475
borderline personality disorder,fibromyalgia,0.1268
borderline personality disorder,gallstones,0.079
borderline personality disorder,gastritis,0.0975
borderline personality disorder,gastroparesis,0.0954286
borderline personality disorder,glaucoma,0.18025
borderline personality disorder,groin hernia,0.066
borderline personality disorder,heart attack,0.118375
borderline personality disorder,hepatitis a,0.11925
borderline personality disorder,hepatitis b,0.137833
borderline personality disorder,hepatitis c,0.0874286
borderline personality disorder,hiatal hernia,0.131
borderline personality disorder,high blood pressure,0.1545
borderline personality disorder,high cholesterol,0.149333
borderline personality disorder,hiv/aids,0.0928333
borderline personality disorder,hyperthyroidism,0.0827857
borderline personality disorder,hypoglycemia,0.0618333
borderline personality disorder,hyponatremia,0.035
borderline personality disorder,hypothyroidism,0.0840833
borderline personality disorder,iron deficiency anemia,0.13125
borderline personality disorder,irritable bowel syndrome,0.0890556
borderline personality disorder,kidney infection,0.03225
borderline personality disorder,kidney stone,0.061
borderline personality disorder,liver cancer,0.063
borderline personality disorder,lung cancer,0.01375
borderline personality disorder,lupus,0.0278333
borderline personality disorder,major depression,0.108909
borderline personality disorder,melanoma,0.03675
borderline personality disorder,meningitis,0.031
borderline personality disorder,migraine,0.0870833
borderline personality disorder,miscarriage,0.14425
borderline personality disorder,mono,0.02
borderline personality disorder,multiple myeloma,0.0285
borderline personality disorder,multiple sclerosis,0.0176
borderline personality disorder,neutropenia,0.044
borderline personality disorder,obesity,0.127875
borderline personality disorder,osteoarthritis,0.165333
borderline personality disorder,osteoporosis,0.154
borderline personality disorder,ovarian cancer,0.05
borderline personality disorder,ovarian cyst,0.064375
borderline personality disorder,pancreatitis,0.114
borderline personality disorder,parkinson's disease,0.0156
borderline personality disorder,pneumonia,0.0185
borderline personality disorder,pneumothorax,0.01775
borderline personality disorder,polycystic ovary syndrome,0.1196
borderline personality disorder,post traumatic stress disorder,0.07875
borderline personality disorder,prostate cancer,0.0355
borderline personality disorder,psoriasis,0.135
borderline personality disorder,psychosis,0.0643
borderline personality disorder,pulmonary hypertension,0.17625
borderline personality disorder,rhabdomyolysis,0.01825
borderline personality disorder,rheumatoid arthritis,0.17775
borderline personality disorder,schizophrenia,0.0516071
borderline personality disorder,sciatica,0.032
borderline personality disorder,seasonal allergies,0.146333
borderline personality disorder,sepsis,0.036
borderline personality disorder,shingles,0.0095
borderline personality disorder,sickle cell anemia,0.0375
borderline personality disorder,sleep apnea,0.0971667
borderline personality disorder,spondylosis,0.162167
borderline personality disorder,stomach flu,0.074375
borderline personality disorder,stomach ulcer,0.14125
borderline personality disorder,stroke,0.0333333
borderline personality disorder,tension headache,0.0905
borderline personality disorder,traumatic brain injury,0.0207
borderline personality disorder,type 1 diabetes,0.103
borderline personality disorder,type 2 diabetes,0.0095
borderline personality disorder,ulcerative colitis,0.0723333
borderline personality disorder,upper respiratory infection,0.024
borderline personality disorder,urinary tract infection,0.02925
borderline personality disorder,vitamin d deficiency,0.1273
brain tumor,breast cancer,0.0485714
brain tumor,bronchitis,0.035
brain tumor,burn,0.033
brain tumor,cardiac arrest,0.0425
brain tumor,cardiomyopathy,0.0348
brain tumor,carpal tunnel syndrome,0.0449286
brain tumor,cataracts,0.046
brain tumor,celiac disease,0.0548125
brain tumor,cellulitis,0.05725
brain tumor,cervical cancer,0.0467
brain tumor,cervical radiculopathy,0.1335
brain tumor,chicken pox,0.0371667
brain tumor,chlamydia,0.0598333
brain tumor,cholangiocarcinoma,0.067
brain tumor,cholecystitis,0.066125
brain tumor,chronic kidney disease,0.0462857
brain tumor,chronic obstructive pulmonary disease,0.03925
brain tumor,chronic pain,0.0464
brain tumor,cirrhosis of the liver,0.04995
brain tumor,colon cancer,0.0584286
brain tumor,common cold,0.03275
brain tumor,concussion,0.0425
brain tumor,congestive heart failure,0.0485
brain tumor,coronary artery disease,0.041125
brain tumor,crohn's disease,0.0623
brain tumor,deep vein thrombosis,0.0565
brain tumor,dementia,0.0517
brain tumor,diverticulitis,0.086
brain tumor,diverticulosis,0.0385
brain tumor,drug withdrawal,0.0645714
brain tumor,ectopic pregnancy,0.04525
brain tumor,encephalitis,0.0641538
brain tumor,encephalopathy,0.0794
brain tumor,endometrial cancer,0.051
brain tumor,endometriosis,0.0685
brain tumor,epididymitis,0.0455
brain tumor,epilepsy,0.0702308
brain tumor,esophageal cancer,0.0771
brain tumor,fibroids,0.0535
brain tumor,fibromyalgia,0.0400417
brain tumor,gallstones,0.11375
brain tumor,gastritis,0.07875
brain tumor,gastroparesis,0.18
brain tumor,glaucoma,0.05675
brain tumor,goiter,0.0563333
brain tumor,gout,0.032
brain tumor,groin hernia,0.03825
brain tumor,heart attack,0.039
brain tumor,hepatitis a,0.0595833
brain tumor,hepatitis b,0.0387857
brain tumor,hepatitis c,0.0348125
brain tumor,hiatal hernia,0.056
brain tumor,high blood pressure,0.058625
brain tumor,high cholesterol,0.0415
brain tumor,hiv/aids,0.0488636
brain tumor,hyperthyroidism,0.04085
brain tumor,hypoglycemia,0.0457727
brain tumor,hyponatremia,0.06195
brain tumor,hypothyroidism,0.0425385
brain tumor,insect bites and stings,0.039
brain tumor,iron deficiency anemia,0.043375
brain tumor,irritable bowel syndrome,0.0605
brain tumor,kidney infection,0.06325
brain tumor,kidney stone,0.071
brain tumor,liver cancer,0.0718571
brain tumor,low back pain,0.0633333
brain tumor,lung cancer,0.0525
brain tumor,lupus,0.0485556
brain tumor,lyme disease,0.074
brain tumor,major depression,0.0956667
brain tumor,melanoma,0.0594091
brain tumor,meningitis,0.0826364
brain tumor,middle ear infection,0.0473333
brain tumor,migraine,0.0642188
brain tumor,miscarriage,0.03125
brain tumor,mono,0.0675
brain tumor,multiple myeloma,0.0648
brain tumor,multiple sclerosis,0.0442812
brain tumor,myasthenia gravis,0.0543571
brain tumor,neutropenia,0.0600833
brain tumor,obesity,0.0426
brain tumor,osteoarthritis,0.019
brain tumor,osteoporosis,0.0408
brain tumor,ovarian cancer,0.06175
brain tumor,ovarian cyst,0.081
brain tumor,pancreatitis,0.14625
brain tumor,parkinson's disease,0.0390455
brain tumor,pink eye,0.0435
brain tumor,pleural effusion,0.049
brain tumor,pneumonia,0.0594167
brain tumor,pneumothorax,0.0608333
brain tumor,polycystic ovary syndrome,0.0586
brain tumor,post traumatic stress disorder,0.11
brain tumor,prostate cancer,0.0466
brain tumor,psoriasis,0.03225
brain tumor,psychosis,0.0593
brain tumor,pulmonary embolism,0.0315
brain tumor,pulmonary hypertension,0.019
brain tumor,retinal detachment,0.0465
brain tumor,rhabdomyolysis,0.0540714
brain tumor,rheumatoid arthritis,0.045625
brain tumor,schizophrenia,0.0504
brain tumor,sciatica,0.0673333
brain tumor,seasonal allergies,0.037375
brain tumor,sebaceous cyst,0.054
brain tumor,sepsis,0.051625
brain tumor,shingles,0.0349286
brain tumor,sickle cell anemia,0.0416
brain tumor,sinusitis,0.0398
brain tumor,sleep apnea,0.0440625
brain tumor,spondylosis,0.0616429
brain tumor,sprained wrist,0.0245
brain tumor,stomach flu,0.101875
brain tumor,stomach ulcer,0.0515
brain tumor,strep throat,0.046
brain tumor,stroke,0.0494048
brain tumor,tension headache,0.101643
brain tumor,thoracic radiculopathy,0.142167
brain tumor,thyroid cancer,0.05575
brain tumor,thyroid nodules,0.05675
brain tumor,traumatic brain injury,0.0387813
brain tumor,type 1 diabetes,0.0387857
brain tumor,type 2 diabetes,0.0442857
brain tumor,ulcerative colitis,0.0555
brain tumor,upper respiratory infection,0.044125
brain tumor,urinary tract infection,0.04425
brain tumor,vitamin d deficiency,0.0531667
breast cancer,bronchitis,0.0863571
breast cancer,burn,0.021
breast cancer,cardiomyopathy,0.0269167
breast cancer,carpal tunnel syndrome,0.031
breast cancer,cataracts,0.0236667
breast cancer,celiac disease,0.049
breast cancer,cellulitis,0.0615
breast cancer,cervical cancer,0.0458
breast cancer,cervical radiculopathy,0.08025
breast cancer,chicken pox,0.0379
breast cancer,chlamydia,0.061375
breast cancer,cholangiocarcinoma,0.065375
breast cancer,cholecystitis,0.0520833
breast cancer,chronic kidney disease,0.0245556
breast cancer,chronic obstructive pulmonary disease,0.0378125
breast cancer,chronic pain,0.046
breast cancer,cirrhosis of the liver,0.0306364
breast cancer,colon cancer,0.03895
breast cancer,common cold,0.0322778
breast cancer,concussion,0.0610833
breast cancer,congestive heart failure,0.0583
breast cancer,coronary artery disease,0.025375
breast cancer,crohn's disease,0.0647143
breast cancer,deep vein thrombosis,0.031
breast cancer,dementia,0.022
breast cancer,diverticulitis,0.092
breast cancer,diverticulosis,0.047875
breast cancer,drug withdrawal,0.035375
breast cancer,ectopic pregnancy,0.0426667
breast cancer,encephalitis,0.0428571
breast cancer,encephalopathy,0.031625
breast cancer,endometrial cancer,0.0405833
breast cancer,endometriosis,0.0579
breast cancer,epididymitis,0.050375
breast cancer,epilepsy,0.0257
breast cancer,esophageal cancer,0.0449444
breast cancer,fibroids,0.04975
breast cancer,fibromyalgia,0.0321364
breast cancer,gallstones,0.069125
breast cancer,gastritis,0.070625
breast cancer,gastroparesis,0.105167
breast cancer,glaucoma,0.0243333
breast cancer,goiter,0.03625
breast cancer,gout,0.0226667
breast cancer,groin hernia,0.0325
breast cancer,heart attack,0.0375
breast cancer,hepatitis a,0.0452778
breast cancer,hepatitis b,0.0257273
breast cancer,hepatitis c,0.025
breast cancer,hiatal hernia,0.0400833
breast cancer,high blood pressure,0.031125
breast cancer,high cholesterol,0.0304
breast cancer,hiv/aids,0.03415
breast cancer,hives,0.0305
breast cancer,hyperthyroidism,0.029
breast cancer,hypoglycemia,0.02225
breast cancer,hyponatremia,0.039625
breast cancer,hypothyroidism,0.024
breast cancer,insect bites and stings,0.0285
breast cancer,iron deficiency anemia,0.0325
breast cancer,irritable bowel syndrome,0.08475
breast cancer,kidney infection,0.0721667
breast cancer,kidney stone,0.0483333
breast cancer,liver cancer,0.0492857
breast cancer,low back pain,0.131
breast cancer,lung cancer,0.04145
breast cancer,lupus,0.0285833
breast cancer,lyme disease,0.0671667
breast cancer,major depression,0.0125
breast cancer,melanoma,0.0374286
breast cancer,meningitis,0.0712083
breast cancer,middle ear infection,0.03775
breast cancer,migraine,0.0851667
breast cancer,miscarriage,0.03925
breast cancer,mono,0.0683636
breast cancer,multiple myeloma,0.03625
breast cancer,multiple sclerosis,0.03025
breast cancer,myasthenia gravis,0.0498333
breast cancer,neutropenia,0.0677778
breast cancer,obesity,0.0295714
breast cancer,osteoarthritis,0.029
breast cancer,osteoporosis,0.0455
breast cancer,ovarian cancer,0.0431111
breast cancer,ovarian cyst,0.076625
breast cancer,pancreatitis,0.081625
breast cancer,parkinson's disease,0.023
breast cancer,pink eye,0.0342
breast cancer,pleural effusion,0.0463571
breast cancer,pneumonia,0.0728889
breast cancer,pneumothorax,0.035375
breast cancer,polycystic ovary syndrome,0.0545
breast cancer,post traumatic stress disorder,0.0175
breast cancer,prostate cancer,0.0289286
breast cancer,psoriasis,0.032
breast cancer,pulmonary embolism,0.0456
breast cancer,pulmonary hypertension,0.04275
breast cancer,retinal detachment,0.037
breast cancer,rhabdomyolysis,0.03
breast cancer,rheumatoid arthritis,0.02675
breast cancer,sciatica,0.11275
breast cancer,seasonal allergies,0.0344167
breast cancer,sepsis,0.0477222
breast cancer,shingles,0.0231
breast cancer,sickle cell anemia,0.0411667
breast cancer,sinusitis,0.0483182
breast cancer,sleep apnea,0.0242857
breast cancer,spondylosis,0.053375
breast cancer,stomach flu,0.0973333
breast cancer,stomach ulcer,0.0382
breast cancer,strep throat,0.0688333
breast cancer,stroke,0.070375
breast cancer,tension headache,0.1118
breast cancer,thoracic radiculopathy,0.1915
breast cancer,thyroid cancer,0.0415
breast cancer,thyroid nodules,0.0321667
breast cancer,traumatic brain injury,0.0583333
breast cancer,type 1 diabetes,0.0245
breast cancer,type 2 diabetes,0.0195714
breast cancer,ulcerative colitis,0.0675
breast cancer,upper respiratory infection,0.0907143
breast cancer,urinary tract infection,0.0293333
breast cancer,vitamin d deficiency,0.0271667
bronchitis,cardiac arrest,0.0075
bronchitis,cardiomyopathy,0.076
bronchitis,carpal tunnel syndrome,0.009
bronchitis,cataracts,0.0125
bronchitis,celiac disease,0.0431667
bronchitis,cellulitis,0.0945
bronchitis,cervical cancer,0.04225
bronchitis,cervical radiculopathy,0.0115
bronchitis,chicken pox,0.06175
bronchitis,chlamydia,0.08525
bronchitis,cholangiocarcinoma,0.0854
bronchitis,cholecystitis,0.0635
bronchitis,chronic kidney disease,0.0757778
bronchitis,chronic obstructive pulmonary disease,0.0715
bronchitis,chronic pain,0.024
bronchitis,cirrhosis of the liver,0.0959167
bronchitis,colon cancer,0.048375
bronchitis,common cold,0.0653929
bronchitis,concussion,0.043
bronchitis,congestive heart failure,0.0757917
bronchitis,coronary artery disease,0.0425
bronchitis,crohn's disease,0.05775
bronchitis,deep vein thrombosis,0.135
bronchitis,dementia,0.01675
bronchitis,diverticulitis,0.10575
bronchitis,diverticulosis,0.0655
bronchitis,drug withdrawal,0.0429167
bronchitis,encephalitis,0.0502
bronchitis,encephalopathy,0.036
bronchitis,endometrial cancer,0.0486667
bronchitis,endometriosis,0.0368333
bronchitis,epididymitis,0.07975
bronchitis,epilepsy,0.0233333
bronchitis,esophageal cancer,0.07675
bronchitis,fibroids,0.076
bronchitis,fibromyalgia,0.0374286
bronchitis,gallstones,0.0775
bronchitis,gastritis,0.04675
bronchitis,gastroparesis,0.036
bronchitis,glaucoma,0.0235
bronchitis,goiter,0.064
bronchitis,gout,0.062
bronchitis,groin hernia,0.063
bronchitis,heart attack,0.0260833
bronchitis,hepatitis a,0.1129
bronchitis,hepatitis b,0.103583
bronchitis,hepatitis c,0.0854167
bronchitis,hiatal hernia,0.0478333
bronchitis,high blood pressure,0.0361667
bronchitis,high cholesterol,0.029
bronchitis,hiv/aids,0.08075
bronchitis,hives,0.0379
bronchitis,hyperthyroidism,0.0317857
bronchitis,hypoglycemia,0.0103333
bronchitis,hyponatremia,0.0815
bronchitis,hypothyroidism,0.0373125
bronchitis,insect bites and stings,0.0401
bronchitis,iron deficiency anemia,0.02525
bronchitis,irritable bowel syndrome,0.0475
bronchitis,kidney infection,0.0713333
bronchitis,kidney stone,0.07725
bronchitis,liver cancer,0.055125
bronchitis,lung cancer,0.0765417
bronchitis,lupus,0.0813333
bronchitis,lyme disease,0.0813333
bronchitis,major depression,0.062
bronchitis,melanoma,0.0403333
bronchitis,meningitis,0.119556
bronchitis,middle ear infection,0.103937
bronchitis,migraine,0.0951667
bronchitis,mono,0.140167
bronchitis,multiple myeloma,0.115667
bronchitis,multiple sclerosis,0.0308
bronchitis,myasthenia gravis,0.1048
bronchitis,neutropenia,0.136417
bronchitis,obesity,0.0481667
bronchitis,osteoarthritis,0.0145
bronchitis,osteoporosis,0.0135
bronchitis,ovarian cancer,0.0547
bronchitis,ovarian cyst,0.054
bronchitis,pancreatitis,0.07325
bronchitis,parkinson's disease,0.0763571
bronchitis,pink eye,0.09775
bronchitis,pleural effusion,0.0975
bronchitis,pneumonia,0.0845882
bronchitis,pneumothorax,0.0811429
bronchitis,polycystic ovary syndrome,0.0431667
bronchitis,post traumatic stress disorder,0.1455
bronchitis,prostate cancer,0.046
bronchitis,psoriasis,0.051125
bronchitis,psychosis,0.047
bronchitis,pulmonary embolism,0.0838125
bronchitis,pulmonary hypertension,0.100071
bronchitis,retinal detachment,0.022
bronchitis,rhabdomyolysis,0.02225
bronchitis,rheumatoid arthritis,0.0488
bronchitis,schizophrenia,0.0246667
bronchitis,seasonal allergies,0.0673
bronchitis,sepsis,0.0816
bronchitis,shingles,0.021
bronchitis,sickle cell anemia,0.08525
bronchitis,sinusitis,0.0780714
bronchitis,sleep apnea,0.08275
bronchitis,spondylosis,0.02625
bronchitis,stomach flu,0.0477857
bronchitis,stomach ulcer,0.06125
bronchitis,strep throat,0.112833
bronchitis,stroke,0.03025
bronchitis,tension headache,0.109875
bronchitis,thyroid cancer,0.0988333
bronchitis,thyroid nodules,0.021
bronchitis,traumatic brain injury,0.0405
bronchitis,type 1 diabetes,0.0785714
bronchitis,type 2 diabetes,0.0822
bronchitis,ulcerative colitis,0.059125
bronchitis,upper respiratory infection,0.115464
bronchitis,urinary tract infection,0.0465
bronchitis,vitamin d deficiency,0.041
burn,cardiac arrest,0.013
burn,carpal tunnel syndrome,0.0411429
burn,cataracts,0.02875
burn,celiac disease,0.1115
burn,cellulitis,0.116643
burn,cervical cancer,0.0703
burn,cervical radiculopathy,0.0795
burn,chicken pox,0.0729167
burn,chlamydia,0.0899
burn,cholangiocarcinoma,0.057125
burn,cholecystitis,0.0875
burn,chronic kidney disease,0.03725
burn,chronic obstructive pulmonary disease,0.0113333
burn,chronic pain,0.108875
burn,cirrhosis of the liver,0.0309
burn,colon cancer,0.0348
burn,common cold,0.012
burn,concussion,0.007
burn,congestive heart failure,0.0535
burn,coronary artery disease,0.013625
burn,crohn's disease,0.0776
burn,deep vein thrombosis,0.09675
burn,dementia,0.0138333
burn,diverticulitis,0.087
burn,diverticulosis,0.08475
burn,drug withdrawal,0.1
burn,ectopic pregnancy,0.171
burn,encephalitis,0.023375
burn,encephalopathy,0.0238333
burn,endometrial cancer,0.0155
burn,endometriosis,0.06775
burn,epididymitis,0.100571
burn,epilepsy,0.0261667
burn,esophageal cancer,0.051
burn,fibroids,0.103333
burn,fibromyalgia,0.06875
burn,gallstones,0.118
burn,gastritis,0.0804
burn,gastroparesis,0.0775
burn,glaucoma,0.028375
burn,goiter,0.0235
burn,gout,0.110875
burn,groin hernia,0.121333
burn,heart attack,0.0383333
burn,hepatitis a,0.0390714
burn,hepatitis b,0.015125
burn,hepatitis c,0.054
burn,hiatal hernia,0.0446
burn,high blood pressure,0.028
burn,high cholesterol,0.0183333
burn,hiv/aids,0.031875
burn,hives,0.12025
burn,hyperthyroidism,0.020375
burn,hypoglycemia,0.015
burn,hypothyroidism,0.0205
burn,insect bites and stings,0.09225
burn,iron deficiency anemia,0.0495
burn,irritable bowel syndrome,0.0594167
burn,kidney infection,0.10125
burn,kidney stone,0.0897
burn,liver cancer,0.189
burn,low back pain,0.080875
burn,lung cancer,0.02025
burn,lupus,0.054375
burn,lyme disease,0.0623
burn,major depression,0.113375
burn,meningitis,0.0486667
burn,middle ear infection,0.045
burn,migraine,0.05375
burn,miscarriage,0.041
burn,mono,0.063
burn,multiple myeloma,0.087
burn,multiple sclerosis,0.0103333
burn,myasthenia gravis,0.026
burn,neutropenia,0.0365
burn,obesity,0.04675
burn,osteoarthritis,0.065875
burn,osteoporosis,0.0691667
burn,ovarian cancer,0.065375
burn,ovarian cyst,0.162333
burn,pancreatitis,0.1056
burn,parkinson's disease,0.0155
burn,pink eye,0.0738333
burn,plantar fasciitis,0.0892
burn,pleural effusion,0.024
burn,pneumonia,0.0285
burn,pneumothorax,0.0445
burn,polycystic ovary syndrome,0.113
burn,post traumatic stress disorder,0.134667
burn,prostate cancer,0.0386667
burn,psoriasis,0.0383333
burn,psychosis,0.1105
burn,pulmonary embolism,0.02
burn,pulmonary hypertension,0.0156667
burn,retinal detachment,0.01475
burn,rhabdomyolysis,0.0265
burn,rheumatoid arthritis,0.0476429
burn,schizophrenia,0.042
burn,sciatica,0.19125
burn,seasonal allergies,0.0252143
burn,sebaceous cyst,0.089375
burn,sepsis,0.05025
burn,shingles,0.065625
burn,sickle cell anemia,0.0952
burn,sinusitis,0.035375
burn,sleep apnea,0.0285
burn,spondylosis,0.0881667
burn,sprained ankle,0.1143
burn,sprained knee,0.0815
burn,sprained wrist,0.1435
burn,stomach flu,0.0695
burn,stomach ulcer,0.0749
burn,strep throat,0.0672
burn,tension headache,0.173
burn,thoracic radiculopathy,0.1955
burn,thyroid nodules,0.0513333
burn,type 1 diabetes,0.0138333
burn,type 2 diabetes,0.034
burn,ulcerative colitis,0.0991667
burn,upper respiratory infection,0.0405
burn,urinary tract infection,0.0376667
burn,vitamin d deficiency,0.0521667
cardiac arrest,cardiomyopathy,0.0135
cardiac arrest,carpal tunnel syndrome,0.0105
cardiac arrest,cataracts,0.020375
cardiac arrest,cervical cancer,0.023625
cardiac arrest,cervical radiculopathy,0.0131667
cardiac arrest,cholangiocarcinoma,0.0195
cardiac arrest,chronic kidney disease,0.014
cardiac arrest,chronic obstructive pulmonary disease,0.0083
cardiac arrest,chronic pain,0.029625
cardiac arrest,cirrhosis of the liver,0.01225
cardiac arrest,colon cancer,0.0128333
cardiac arrest,common cold,0.008
cardiac arrest,concussion,0.0265
cardiac arrest,congestive heart failure,0.01425
cardiac arrest,coronary artery disease,0.0155
cardiac arrest,crohn's disease,0.0115
cardiac arrest,dementia,0.014
cardiac arrest,drug withdrawal,0.0445556
cardiac arrest,encephalitis,0.0203
cardiac arrest,encephalopathy,0.0176
cardiac arrest,endometriosis,0.0135
cardiac arrest,epilepsy,0.0602857
cardiac arrest,esophageal cancer,0.028
cardiac arrest,fibromyalgia,0.0356
cardiac arrest,gastritis,0.0135
cardiac arrest,gastroparesis,0.0125
cardiac arrest,glaucoma,0.0145
cardiac arrest,heart attack,0.0131875
cardiac arrest,hepatitis a,0.016
cardiac arrest,hepatitis b,0.014
cardiac arrest,hepatitis c,0.025375
cardiac arrest,hiatal hernia,0.018875
cardiac arrest,high blood pressure,0.02025
cardiac arrest,high cholesterol,0.017
cardiac arrest,hiv/aids,0.0216
cardiac arrest,hyperthyroidism,0.0205
cardiac arrest,hypoglycemia,0.017
cardiac arrest,hyponatremia,0.0171667
cardiac arrest,hypothyroidism,0.0156429
cardiac arrest,insect bites and stings,0.0105
cardiac arrest,iron deficiency anemia,0.031375
cardiac arrest,irritable bowel syndrome,0.0333
cardiac arrest,lupus,0.0195
cardiac arrest,major depression,0.0942857
cardiac arrest,melanoma,0.024
cardiac arrest,meningitis,0.026
cardiac arrest,migraine,0.0149167
cardiac arrest,multiple myeloma,0.016
cardiac arrest,multiple sclerosis,0.010625
cardiac arrest,myasthenia gravis,0.01525
cardiac arrest,obesity,0.0228333
cardiac arrest,osteoarthritis,0.033
cardiac arrest,osteoporosis,0.0216667
cardiac arrest,ovarian cancer,0.012
cardiac arrest,ovarian cyst,0.01
cardiac arrest,pancreatitis,0.01
cardiac arrest,parkinson's disease,0.011625
cardiac arrest,plantar fasciitis,0.012
cardiac arrest,pleural effusion,0.0135
cardiac arrest,pneumonia,0.011
cardiac arrest,pneumothorax,0.0125
cardiac arrest,polycystic ovary syndrome,0.031
cardiac arrest,post traumatic stress disorder,0.06785
cardiac arrest,prostate cancer,0.014
cardiac arrest,psoriasis,0.0355
cardiac arrest,psychosis,0.0442778
cardiac arrest,pulmonary hypertension,0.0118
cardiac arrest,rhabdomyolysis,0.0143333
cardiac arrest,rheumatoid arthritis,0.0118333
cardiac arrest,schizophrenia,0.0193
cardiac arrest,sciatica,0.0095
cardiac arrest,seasonal allergies,0.014
cardiac arrest,sepsis,0.0368333
cardiac arrest,sickle cell anemia,0.0285
cardiac arrest,sleep apnea,0.032625
cardiac arrest,spondylosis,0.029
cardiac arrest,sprained ankle,0.024
cardiac arrest,sprained knee,0.0135
cardiac arrest,sprained wrist,0.0185
cardiac arrest,stomach flu,0.00975
cardiac arrest,stomach ulcer,0.0453333
cardiac arrest,stroke,0.0318333
cardiac arrest,tension headache,0.02125
cardiac arrest,thyroid nodules,0.033
cardiac arrest,traumatic brain injury,0.0234
