Source1,Source2,Weight_mean
acid reflux,deep vein thrombosis,0.0589167
acid reflux,dementia,0.0178
acid reflux,diverticulitis,0.0986667
acid reflux,diverticulosis,0.0624091
acid reflux,drug withdrawal,0.0494615
acid reflux,ectopic pregnancy,0.0933889
acid reflux,encephalitis,0.0346
acid reflux,encephalopathy,0.03275
acid reflux,endometrial cancer,0.0391111
acid reflux,endometriosis,0.0812143
acid reflux,epididymitis,0.101714
acid reflux,epilepsy,0.0294286
acid reflux,esophageal cancer,0.0414231
acid reflux,fibroids,0.079
acid reflux,fibromyalgia,0.0522353
acid reflux,gallstones,0.0942083
acid reflux,gastritis,0.0715588
acid reflux,gastroparesis,0.100714
acid reflux,glaucoma,0.025
acid reflux,goiter,0.0253125
acid reflux,gout,0.0931667
acid reflux,groin hernia,0.0666818
acid reflux,heart attack,0.0395
acid reflux,hepatitis a,0.0658077
acid reflux,hepatitis b,0.031125
acid reflux,hepatitis c,0.049125
acid reflux,hiatal hernia,0.0539
acid reflux,high blood pressure,0.0309286
acid reflux,high cholesterol,0.033375
acid reflux,hiv/aids,0.0331
acid reflux,hives,0.012375
acid reflux,hyperthyroidism,0.0322647
acid reflux,hypoglycemia,0.018
acid reflux,hyponatremia,0.0322083
acid reflux,hypothyroidism,0.0221053
acid reflux,insect bites and stings,0.02
acid reflux,iron deficiency anemia,0.033
acid reflux,irritable bowel syndrome,0.0742188
acid reflux,kidney infection,0.0765
acid reflux,kidney stone,0.08765
acid reflux,liver cancer,0.0765
acid reflux,low back pain,0.10325
acid reflux,lung cancer,0.0279167
acid reflux,lupus,0.036
acid reflux,lyme disease,0.074375
acid reflux,major depression,0.0854375
acid reflux,melanoma,0.03525
acid reflux,meningitis,0.0692727
acid reflux,middle ear infection,0.0486667
acid reflux,migraine,0.079125
acid reflux,miscarriage,0.0718889
acid reflux,mono,0.0680357
acid reflux,multiple myeloma,0.0405625
acid reflux,multiple sclerosis,0.01415
acid reflux,myasthenia gravis,0.0373333
acid reflux,neutropenia,0.055
acid reflux,obesity,0.0544091
acid reflux,osteoarthritis,0.0582143
acid reflux,osteoporosis,0.0697
acid reflux,ovarian cancer,0.063
acid reflux,ovarian cyst,0.0999167
acid reflux,pancreatitis,0.103308
acid reflux,parkinson's disease,0.0113889
acid reflux,pink eye,0.039
acid reflux,plantar fasciitis,0.133
acid reflux,pleural effusion,0.0431
acid reflux,pneumonia,0.0647143
acid reflux,pneumothorax,0.0582
acid reflux,polycystic ovary syndrome,0.0668333
acid reflux,post traumatic stress disorder,0.1323
acid reflux,prostate cancer,0.0387857
acid reflux,psoriasis,0.0458182
acid reflux,psychosis,0.082125
acid reflux,pulmonary embolism,0.0331875
acid reflux,pulmonary hypertension,0.0292857
acid reflux,retinal detachment,0.0185
acid reflux,rhabdomyolysis,0.0153333
acid reflux,rheumatoid arthritis,0.046625
acid reflux,schizophrenia,0.0533333
acid reflux,sciatica,0.116375
acid reflux,seasonal allergies,0.0266538
acid reflux,sebaceous cyst,0.079875
acid reflux,sepsis,0.0247778
acid reflux,shingles,0.0493333
acid reflux,sickle cell anemia,0.0823125
acid reflux,sinusitis,0.0463571
acid reflux,sleep apnea,0.0309091
acid reflux,spondylosis,0.0678571
acid reflux,sprained ankle,0.1405
acid reflux,sprained knee,0.095
acid reflux,sprained wrist,0.17825
acid reflux,stomach flu,0.0918158
acid reflux,stomach ulcer,0.0575625
acid reflux,strep throat,0.063375
acid reflux,stroke,0.0231667
acid reflux,tension headache,0.109813
acid reflux,thoracic radiculopathy,0.1525
acid reflux,thyroid cancer,0.0374091
acid reflux,thyroid nodules,0.0420625
acid reflux,traumatic brain injury,0.0397857
acid reflux,type 1 diabetes,0.0278636
acid reflux,type 2 diabetes,0.0107
acid reflux,ulcerative colitis,0.0787857
acid reflux,upper respiratory infection,0.0601111
acid reflux,urinary tract infection,0.026
acid reflux,vitamin d deficiency,0.0492778
acute renal failure,alcohol intoxication,0.0415
acute renal failure,alcoholism,0.0198333
acute renal failure,alzheimer's disease,0.0375
acute renal failure,anaphylaxis,0.0373
acute renal failure,anemia,0.0501
acute renal failure,aneurysm,0.0465
acute renal failure,angina,0.0446
acute renal failure,aphasia,0.0855
acute renal failure,appendicitis,0.131667
acute renal failure,arrhythmia,0.0412857
acute renal failure,arthritis,0.04175
acute renal failure,asthma,0.033125
acute renal failure,atrial fibrillation,0.0306875
acute renal failure,bell's palsy,0.1425
acute renal failure,bipolar disorder,0.0264
acute renal failure,bladder cancer,0.04
acute renal failure,bone infection,0.0265
acute renal failure,borderline personality disorder,0.017
acute renal failure,brain tumor,0.0553125
acute renal failure,breast cancer,0.0395
acute renal failure,bronchitis,0.035375
acute renal failure,cardiac arrest,0.033
acute renal failure,cardiomyopathy,0.033
acute renal failure,carpal tunnel syndrome,0.085
acute renal failure,cataracts,0.038
acute renal failure,celiac disease,0.0624444
acute renal failure,cervical cancer,0.0545
acute renal failure,cervical radiculopathy,0.132
acute renal failure,chicken pox,0.027
acute renal failure,chlamydia,0.06875
acute renal failure,cholangiocarcinoma,0.0536875
acute renal failure,cholecystitis,0.077125
acute renal failure,chronic kidney disease,0.0336818
acute renal failure,chronic obstructive pulmonary disease,0.0354167
acute renal failure,chronic pain,0.04525
acute renal failure,cirrhosis of the liver,0.042
acute renal failure,colon cancer,0.0477273
acute renal failure,common cold,0.0253333
acute renal failure,concussion,0.0476429
acute renal failure,congestive heart failure,0.0606667
acute renal failure,coronary artery disease,0.039
acute renal failure,crohn's disease,0.0644375
acute renal failure,deep vein thrombosis,0.03825
acute renal failure,dementia,0.0502143
acute renal failure,diverticulitis,0.075125
acute renal failure,diverticulosis,0.054
acute renal failure,drug withdrawal,0.033
acute renal failure,ectopic pregnancy,0.0496667
acute renal failure,encephalitis,0.049
acute renal failure,encephalopathy,0.0898333
acute renal failure,endometrial cancer,0.0424286
acute renal failure,endometriosis,0.0736
acute renal failure,epididymitis,0.0366667
acute renal failure,epilepsy,0.0374167
acute renal failure,esophageal cancer,0.0511818
acute renal failure,fibroids,0.0545
acute renal failure,fibromyalgia,0.0415
acute renal failure,gallstones,0.0943333
acute renal failure,gastritis,0.0768
acute renal failure,gastroparesis,0.154625
acute renal failure,glaucoma,0.051
acute renal failure,goiter,0.0408333
acute renal failure,gout,0.0675
acute renal failure,groin hernia,0.035
acute renal failure,heart attack,0.037
acute renal failure,hepatitis a,0.065
acute renal failure,hepatitis b,0.0368333
acute renal failure,hepatitis c,0.0301429
acute renal failure,hiatal hernia,0.0562
acute renal failure,high blood pressure,0.0315
acute renal failure,high cholesterol,0.0323
acute renal failure,hiv/aids,0.0357083
acute renal failure,hives,0.0145
acute renal failure,hyperthyroidism,0.0357
acute renal failure,hypoglycemia,0.03635
acute renal failure,hyponatremia,0.042
acute renal failure,hypothyroidism,0.02575
acute renal failure,insect bites and stings,0.014
acute renal failure,iron deficiency anemia,0.0372143
acute renal failure,irritable bowel syndrome,0.0715833
acute renal failure,kidney infection,0.05125
acute renal failure,kidney stone,0.0642
acute renal failure,liver cancer,0.052
acute renal failure,low back pain,0.07
acute renal failure,lung cancer,0.03605
acute renal failure,lupus,0.034875
acute renal failure,lyme disease,0.0626667
acute renal failure,major depression,0.022
acute renal failure,melanoma,0.0425
acute renal failure,meningitis,0.0423
acute renal failure,middle ear infection,0.0205
acute renal failure,migraine,0.05625
acute renal failure,miscarriage,0.0241667
acute renal failure,mono,0.06075
acute renal failure,multiple myeloma,0.0367143
acute renal failure,multiple sclerosis,0.0342778
acute renal failure,myasthenia gravis,0.066875
acute renal failure,neutropenia,0.0545714
acute renal failure,obesity,0.0377
acute renal failure,osteoporosis,0.0605
acute renal failure,ovarian cancer,0.0538125
acute renal failure,ovarian cyst,0.101333
acute renal failure,pancreatitis,0.098375
acute renal failure,parkinson's disease,0.0264091
acute renal failure,plantar fasciitis,0.009
acute renal failure,pleural effusion,0.056875
acute renal failure,pneumonia,0.0423889
acute renal failure,pneumothorax,0.0405
acute renal failure,polycystic ovary syndrome,0.0635
acute renal failure,post traumatic stress disorder,0.02825
acute renal failure,prostate cancer,0.0405
acute renal failure,psoriasis,0.03825
acute renal failure,psychosis,0.02175
acute renal failure,pulmonary embolism,0.1265
acute renal failure,pulmonary hypertension,0.0845
acute renal failure,retinal detachment,0.036
acute renal failure,rhabdomyolysis,0.0393571
acute renal failure,rheumatoid arthritis,0.0336667
acute renal failure,schizophrenia,0.0213333
acute renal failure,sciatica,0.067
acute renal failure,seasonal allergies,0.0218333
acute renal failure,sepsis,0.043375
acute renal failure,shingles,0.0315
acute renal failure,sickle cell anemia,0.0253333
acute renal failure,sinusitis,0.0329286
acute renal failure,sleep apnea,0.0247143
acute renal failure,spondylosis,0.0665
acute renal failure,stomach flu,0.11
acute renal failure,stomach ulcer,0.0427
acute renal failure,strep throat,0.0364167
acute renal failure,stroke,0.0728
acute renal failure,tension headache,0.0735
acute renal failure,thoracic radiculopathy,0.158
acute renal failure,thyroid cancer,0.0495
acute renal failure,thyroid nodules,0.03
acute renal failure,traumatic brain injury,0.034
acute renal failure,type 1 diabetes,0.0335
acute renal failure,type 2 diabetes,0.0228889
acute renal failure,ulcerative colitis,0.0704286
acute renal failure,upper respiratory infection,0.04225
acute renal failure,urinary tract infection,0.0344583
acute renal failure,vitamin d deficiency,0.0361
alcohol intoxication,alcoholism,0.0301563
alcohol intoxication,alzheimer's disease,0.020125
alcohol intoxication,anaphylaxis,0.015375
alcohol intoxication,anemia,0.0248333
alcohol intoxication,aneurysm,0.01325
alcohol intoxication,angina,0.016375
alcohol intoxication,aphasia,0.0825
alcohol intoxication,appendicitis,0.091
alcohol intoxication,arrhythmia,0.0605
alcohol intoxication,arthritis,0.0168333
alcohol intoxication,asthma,0.0205
alcohol intoxication,atopic dermatitis,0.026
alcohol intoxication,atrial fibrillation,0.016375
alcohol intoxication,bed bug bite,0.023
alcohol intoxication,bell's palsy,0.061
alcohol intoxication,bipolar disorder,0.0283889
alcohol intoxication,bone fracture,0.0266667
alcohol intoxication,bone infection,0.021375
alcohol intoxication,borderline personality disorder,0.0542273
alcohol intoxication,brain tumor,0.0536667
alcohol intoxication,bronchitis,0.0065
alcohol intoxication,burn,0.0245
alcohol intoxication,cardiac arrest,0.0172
alcohol intoxication,cardiomyopathy,0.02075
alcohol intoxication,carpal tunnel syndrome,0.0225
alcohol intoxication,cataracts,0.024625
