source,target,source_label,target_label,type,subtype
hsa:2261,fu:3c2d350d,FGFR3,fu:3c2d350d,gene_to_fu,
hsa:2263,fu:3c2d350d,FGFR2,fu:3c2d350d,gene_to_fu,
hsa:2264,fu:3c2d350d,FGFR4,fu:3c2d350d,gene_to_fu,
hsa:2321,fu:3c2d350d,FLT1,fu:3c2d350d,gene_to_fu,
hsa:2322,fu:3c2d350d,FLT3,fu:3c2d350d,gene_to_fu,
hsa:2324,fu:3c2d350d,FLT4,fu:3c2d350d,gene_to_fu,
hsa:3480,fu:3c2d350d,IGF1R,fu:3c2d350d,gene_to_fu,
hsa:3643,fu:3c2d350d,INSR,fu:3c2d350d,gene_to_fu,
hsa:3791,fu:3c2d350d,KDR,fu:3c2d350d,gene_to_fu,
hsa:3815,fu:3c2d350d,KIT,fu:3c2d350d,gene_to_fu,
hsa:4233,fu:3c2d350d,MET,fu:3c2d350d,gene_to_fu,
hsa:4804,fu:3c2d350d,NGFR,fu:3c2d350d,gene_to_fu,
hsa:4914,fu:3c2d350d,NTRK1,fu:3c2d350d,gene_to_fu,
hsa:4915,fu:3c2d350d,NTRK2,fu:3c2d350d,gene_to_fu,
hsa:5156,fu:3c2d350d,PDGFRA,fu:3c2d350d,gene_to_fu,
hsa:5159,fu:3c2d350d,PDGFRB,fu:3c2d350d,gene_to_fu,
hsa:5979,fu:3c2d350d,RET,fu:3c2d350d,gene_to_fu,
hsa:7010,fu:3c2d350d,TEK,fu:3c2d350d,gene_to_fu,
hsa:10368,fu:bad14ab9,CACNG3,fu:bad14ab9,gene_to_fu,
hsa:10369,fu:bad14ab9,CACNG2,fu:bad14ab9,gene_to_fu,
hsa:27091,fu:bad14ab9,CACNG5,fu:bad14ab9,gene_to_fu,
hsa:27092,fu:bad14ab9,CACNG4,fu:bad14ab9,gene_to_fu,
hsa:55799,fu:bad14ab9,CACNA2D3,fu:bad14ab9,gene_to_fu,
hsa:59283,fu:bad14ab9,CACNG8,fu:bad14ab9,gene_to_fu,
hsa:59284,fu:bad14ab9,CACNG7,fu:bad14ab9,gene_to_fu,
hsa:59285,fu:bad14ab9,CACNG6,fu:bad14ab9,gene_to_fu,
hsa:773,fu:bad14ab9,CACNA1A,fu:bad14ab9,gene_to_fu,
hsa:774,fu:bad14ab9,CACNA1B,fu:bad14ab9,gene_to_fu,
hsa:775,fu:bad14ab9,CACNA1C,fu:bad14ab9,gene_to_fu,
hsa:776,fu:bad14ab9,CACNA1D,fu:bad14ab9,gene_to_fu,
hsa:777,fu:bad14ab9,CACNA1E,fu:bad14ab9,gene_to_fu,
hsa:778,fu:bad14ab9,CACNA1F,fu:bad14ab9,gene_to_fu,
hsa:779,fu:bad14ab9,CACNA1S,fu:bad14ab9,gene_to_fu,
hsa:781,fu:bad14ab9,CACNA2D1,fu:bad14ab9,gene_to_fu,
hsa:782,fu:bad14ab9,CACNB1,fu:bad14ab9,gene_to_fu,
hsa:783,fu:bad14ab9,CACNB2,fu:bad14ab9,gene_to_fu,
hsa:784,fu:bad14ab9,CACNB3,fu:bad14ab9,gene_to_fu,
hsa:785,fu:bad14ab9,CACNB4,fu:bad14ab9,gene_to_fu,
hsa:786,fu:bad14ab9,CACNG1,fu:bad14ab9,gene_to_fu,
hsa:8911,fu:bad14ab9,CACNA1I,fu:bad14ab9,gene_to_fu,
hsa:8912,fu:bad14ab9,CACNA1H,fu:bad14ab9,gene_to_fu,
hsa:8913,fu:bad14ab9,CACNA1G,fu:bad14ab9,gene_to_fu,
hsa:9254,fu:bad14ab9,CACNA2D2,fu:bad14ab9,gene_to_fu,
hsa:93589,fu:bad14ab9,CACNA2D4,fu:bad14ab9,gene_to_fu,
hsa:3164,fu:d5fad51c,NR4A1,fu:d5fad51c,gene_to_fu,
hsa:5598,fu:c9209858,MAPK7,fu:c9209858,gene_to_fu,
hsa:5607,fu:e801eb1f,MAP2K5,fu:e801eb1f,gene_to_fu,
hsa:51701,fu:9fc92db4,NLK,fu:9fc92db4,gene_to_fu,
hsa:994,fu:13cd58c4,CDC25B,fu:13cd58c4,gene_to_fu,
hsa:8986,fu:3aace7cb,RPS6KA4,fu:3aace7cb,gene_to_fu,
hsa:9252,fu:3aace7cb,RPS6KA5,fu:3aace7cb,gene_to_fu,
hsa:7867,fu:a8f2314c,MAPKAPK3,fu:a8f2314c,gene_to_fu,
hsa:9261,fu:a8f2314c,MAPKAPK2,fu:a8f2314c,gene_to_fu,
hsa:468,fu:8b106c85,ATF4,fu:8b106c85,gene_to_fu,
hsa:4208,fu:c6e0967c,MEF2C,fu:c6e0967c,gene_to_fu,
hsa:4149,fu:a5289ec4,MAX,fu:a5289ec4,gene_to_fu,
hsa:1649,fu:b0617671,DDIT3,fu:b0617671,gene_to_fu,
hsa:2005,fu:c92370d9,ELK4,fu:c92370d9,gene_to_fu,
hsa:7157,fu:5e7099e5,TP53,fu:5e7099e5,gene_to_fu,
hsa:2002,fu:ad8f8ff8,ELK1,fu:ad8f8ff8,gene_to_fu,
hsa:1386,fu:b276723a,ATF2,fu:b276723a,gene_to_fu,
hsa:1432,fu:6ba9e6d9,MAPK14,fu:6ba9e6d9,gene_to_fu,
hsa:5600,fu:6ba9e6d9,MAPK11,fu:6ba9e6d9,gene_to_fu,
hsa:5603,fu:6ba9e6d9,MAPK13,fu:6ba9e6d9,gene_to_fu,
hsa:6300,fu:6ba9e6d9,MAPK12,fu:6ba9e6d9,gene_to_fu,
hsa:5536,fu:b7b7b76a,PPP5C,fu:b7b7b76a,gene_to_fu,
hsa:5608,fu:c32fffbc,MAP2K6,fu:c32fffbc,gene_to_fu,
hsa:5606,fu:24b19240,MAP2K3,fu:24b19240,gene_to_fu,
hsa:11221,fu:f4ba257f,DUSP10,fu:f4ba257f,gene_to_fu,
hsa:1844,fu:f4ba257f,DUSP2,fu:f4ba257f,gene_to_fu,
hsa:1846,fu:f4ba257f,DUSP4,fu:f4ba257f,gene_to_fu,
hsa:1847,fu:f4ba257f,DUSP5,fu:f4ba257f,gene_to_fu,
hsa:1849,fu:f4ba257f,DUSP7,fu:f4ba257f,gene_to_fu,
hsa:1850,fu:f4ba257f,DUSP8,fu:f4ba257f,gene_to_fu,
hsa:1852,fu:f4ba257f,DUSP9,fu:f4ba257f,gene_to_fu,
hsa:80824,fu:f4ba257f,DUSP16,fu:f4ba257f,gene_to_fu,
hsa:1845,fu:b7042c12,DUSP3,fu:b7042c12,gene_to_fu,
hsa:5778,fu:b7042c12,PTPN7,fu:b7042c12,gene_to_fu,
hsa:5801,fu:b7042c12,PTPRR,fu:b7042c12,gene_to_fu,
hsa:84867,fu:b7042c12,PTPN5,fu:b7042c12,gene_to_fu,
hsa:5494,fu:4f421602,PPM1A,fu:4f421602,gene_to_fu,
hsa:10000,fu:76ff15cb,AKT3,fu:76ff15cb,gene_to_fu,
hsa:207,fu:76ff15cb,AKT1,fu:76ff15cb,gene_to_fu,
hsa:208,fu:76ff15cb,AKT2,fu:76ff15cb,gene_to_fu,
hsa:51347,fu:25aad4c3,TAOK3,fu:25aad4c3,gene_to_fu,
hsa:57551,fu:25aad4c3,TAOK1,fu:25aad4c3,gene_to_fu,
hsa:9344,fu:25aad4c3,TAOK2,fu:25aad4c3,gene_to_fu,
hsa:4216,fu:d885c339,MAP3K4,fu:d885c339,gene_to_fu,
hsa:3315,fu:69715a7a,HSPB1,fu:69715a7a,gene_to_fu,
hsa:6885,fu:13c25744,MAP3K7,fu:13c25744,gene_to_fu,
hsa:4217,fu:9430ca46,MAP3K5,fu:9430ca46,gene_to_fu,
hsa:9064,fu:7b59f2f9,MAP3K6,fu:7b59f2f9,gene_to_fu,
hsa:51776,fu:765239d2,MAP3K20,fu:765239d2,gene_to_fu,
hsa:7786,fu:bdf742c5,MAP3K12,fu:bdf742c5,gene_to_fu,
hsa:9175,fu:bdf742c5,MAP3K13,fu:bdf742c5,gene_to_fu,
hsa:4293,fu:e7c23063,MAP3K9,fu:e7c23063,gene_to_fu,
hsa:4294,fu:e7c23063,MAP3K10,fu:e7c23063,gene_to_fu,
hsa:84451,fu:e7c23063,MAP3K21,fu:e7c23063,gene_to_fu,
