id,label,full_label,type,logic,pathway
fu:b276723a,fu:b276723a,,functional_unit,SINGLE,path:hsa04010
hsa:1432,MAPK14,"MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA; mitogen-activated protein kinase 14 isoform 2",gene,,path:hsa04010
hsa:5600,MAPK11,"MAPK11, P38B, P38BETA2, PRKM11, SAPK2, SAPK2B, p38-2, p38Beta; mitogen-activated protein kinase 11",gene,,path:hsa04010
hsa:5603,MAPK13,"MAPK13, MAPK 13, MAPK-13, PRKM13, SAPK4, p38delta; mitogen-activated protein kinase 13",gene,,path:hsa04010
hsa:6300,MAPK12,"MAPK12, ERK-6, ERK3, ERK6, MAPK 12, P38GAMMA, PRKM12, SAPK-3, SAPK3; mitogen-activated protein kinase 12 isoform 1",gene,,path:hsa04010
fu:6ba9e6d9,fu:6ba9e6d9,,functional_unit,OR,path:hsa04010
hsa:5536,PPP5C,"PPP5C, PP5, PPP5, PPT; serine/threonine-protein phosphatase 5 isoform 1",gene,,path:hsa04010
fu:b7b7b76a,fu:b7b7b76a,,functional_unit,SINGLE,path:hsa04010
hsa:5608,MAP2K6,"MAP2K6, CRCMSL, MAPKK6, MEK6, MKK6, PRKMK6, SAPKK-3, SAPKK3; dual specificity mitogen-activated protein kinase kinase 6 isoform 1",gene,,path:hsa04010
fu:c32fffbc,fu:c32fffbc,,functional_unit,SINGLE,path:hsa04010
hsa:5606,MAP2K3,"MAP2K3, MAPKK3, MEK3, MKK3, PRKMK3, SAPKK-2, SAPKK2; dual specificity mitogen-activated protein kinase kinase 3 isoform B",gene,,path:hsa04010
fu:24b19240,fu:24b19240,,functional_unit,SINGLE,path:hsa04010
fu:f4ba257f,fu:f4ba257f,,functional_unit,OR,path:hsa04010
fu:b7042c12,fu:b7042c12,,functional_unit,OR,path:hsa04010
hsa:5494,PPM1A,"PPM1A, PP2C-ALPHA, PP2CA, PP2Calpha; protein phosphatase 1A isoform 1",gene,,path:hsa04010
fu:4f421602,fu:4f421602,,functional_unit,SINGLE,path:hsa04010
hsa:10000,AKT3,"AKT3, MPPH, MPPH2, PKB-GAMMA, PKBG, PRKBG, RAC-PK-gamma, RAC-gamma, STK-2; RAC-gamma serine/threonine-protein kinase isoform 1",gene,,path:hsa04010
hsa:207,AKT1,"AKT1, AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA; RAC-alpha serine/threonine-protein kinase",gene,,path:hsa04010
hsa:208,AKT2,"AKT2, HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA; RAC-beta serine/threonine-protein kinase isoform 1",gene,,path:hsa04010
fu:76ff15cb,fu:76ff15cb,,functional_unit,OR,path:hsa04010
hsa:51347,TAOK3,"TAOK3, DPK, JIK, MAP3K18, hKFC-A; serine/threonine-protein kinase TAO3 isoform b",gene,,path:hsa04010
hsa:57551,TAOK1,"TAOK1, DDIB, KFC-B, MAP3K16, MARKK, PSK-2, PSK2, TAO1, hKFC-B, hTAOK1; serine/threonine-protein kinase TAO1 isoform 1",gene,,path:hsa04010
hsa:9344,TAOK2,"TAOK2, MAP3K17, PSK, PSK1, PSK1-BETA, TAO1, TAO2, Tao2beta; serine/threonine-protein kinase TAO2 isoform 1",gene,,path:hsa04010
fu:25aad4c3,fu:25aad4c3,,functional_unit,OR,path:hsa04010
hsa:4216,MAP3K4,"MAP3K4, MAPKKK4, MEKK 4, MEKK4, MTK1, PRO0412; mitogen-activated protein kinase kinase kinase 4 isoform a",gene,,path:hsa04010
fu:d885c339,fu:d885c339,,functional_unit,SINGLE,path:hsa04010
hsa:3315,HSPB1,"HSPB1, CMT2F, HEL-S-102, HMN2B, HMND3, HS.76067, HSP27, HSP28, Hsp25, SRP27; heat shock protein beta-1",gene,,path:hsa04010
fu:69715a7a,fu:69715a7a,,functional_unit,SINGLE,path:hsa04010
hsa:6885,MAP3K7,"MAP3K7, CSCF, FMD2, MEKK7, TAK1, TGF1a; mitogen-activated protein kinase kinase kinase 7 isoform B",gene,,path:hsa04010
